date,universe,positive_abs_breadth,working_breadth,abs_confirmed_breadth,bearish_reverse_breadth,other_positive_abs_breadth,other_working_breadth,spread_dispersion,avg_corr_60d,mom_state,meta_state,momentum_state,momentum_top_abs20,momentum_spread20,revision_state,revision_top_abs20,revision_spread20,value_state,value_top_abs20,value_spread20,flow_state,flow_top_abs20,flow_spread20
2017-02-07,K200,0.75,0.25,0.25,0.25,1.0,0.3333333333333333,0.01768851273867752,0.17675754114244516,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.006662548694159831,-0.02072720718767651,N,0.024265387507268033,0.015678590093342493,N,0.0030512872478860587,0.007048211332079335,W+,0.006677089739937525,0.017592671078529132
2017-02-14,K200,0.75,0.25,0.25,0.25,1.0,0.3333333333333333,0.02441682294953028,0.2801792760970773,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.014290336962013872,-0.037482069754606884,N,0.017442427302741148,0.0015166561847952398,N,0.015398160240758019,0.0012534504868964014,W+,0.02533674083232862,0.02070744799287705
2017-02-21,K200,1.0,0.0,0.0,0.0,1.0,0.0,0.01785296673124631,0.5885224595263067,R+,BULLISH_STYLE_SHIFT,R+,0.006096097557553026,-0.03430889747525945,N,0.03200369250120971,0.001205493739483643,N,0.027678694706072315,0.005166585845916449,N,0.029087674319757006,-0.005466364415124936
2017-02-28,K200,1.0,0.0,0.0,0.0,1.0,0.0,0.026805869252305627,0.5608658285557592,R+,BULLISH_STYLE_SHIFT,R+,0.020249061015759073,-0.05846563709408614,R+,0.018135005651662928,-0.0456897186226084,N,0.04888868577006278,-0.009744261016133127,N,0.04620826819359536,-0.0037260876218134786
2017-03-08,K200,1.0,0.25,0.25,0.0,1.0,0.3333333333333333,0.025109518810817678,0.49069613655369543,R+,BULLISH_STYLE_SHIFT,R+,0.00242496025634531,-0.02262491046925197,N,0.004079753360781924,-0.013927818574442696,W+,0.033523030469075676,0.034397234231829166,N,0.018454848384258593,0.00158283387793956
2017-03-15,K200,0.25,0.0,0.0,0.5,0.3333333333333333,0.0,0.018791858793672518,0.39243593508309266,R-,MOM_BROAD_RISK_OFF,R-,-0.018591122727995124,-0.032092686818789184,N,-0.011331518262779117,0.0023877778409789885,N,0.0071745397319482596,0.009535612943272542,R-,-0.01578462996936114,-0.016275207960281923
2017-03-22,K200,0.5,0.25,0.25,0.0,0.6666666666666666,0.3333333333333333,0.00926321774540956,0.3881069390047716,N,OTHER,N,-0.011311905429245983,-0.0031216380391093645,W+,0.0038102206953429807,0.018443638003630025,N,0.008536824593559755,0.010307926645679366,N,-0.005898640217220974,0.0033509773763059636
2017-03-29,K200,0.75,0.25,0.25,0.0,1.0,0.3333333333333333,0.026988062022611285,0.31941938377526224,N,OTHER,N,-0.0028919022058562227,-0.01723465092054144,W+,0.03192627540381454,0.046256515795291775,N,0.0243875241837066,0.016959867343588897,N,0.009064173439231604,0.00047220400221803516
2017-04-05,K200,0.75,0.25,0.25,0.25,1.0,0.3333333333333333,0.03262133409663258,0.34005034640799153,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.013570044018311078,-0.05818785115942138,W+,0.032039490705322526,0.0203040608201559,R+,0.02865447715704339,-0.023123226646781125,N,0.022952549070806016,-0.008770869231180534
2017-04-12,K200,0.75,0.25,0.25,0.25,1.0,0.3333333333333333,0.028644208023144678,0.3418400210321555,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.008936411473008277,-0.04156777367607212,W+,0.03477737347490217,0.027663462773882985,N,0.019113536245066953,-0.004532172843028093,N,0.017952119466710714,0.0028793377584110935
