sample,universe,strategy,decision_n,rminus_n,rminus_share,revision_exposure,revision_positive_within_rminus
TRAIN_2017_2022,K200,RMINUS_TO_REV_ANY,291,68,0.23367697594501718,0.23367697594501718,0.4264705882352941
TRAIN_2017_2022,K200,RMINUS_TO_REV_POS,291,68,0.23367697594501718,0.09965635738831616,0.4264705882352941
TRAIN_2017_2022,KOSDAQ,RMINUS_TO_REV_ANY,291,68,0.23367697594501718,0.23367697594501718,0.45588235294117646
TRAIN_2017_2022,KOSDAQ,RMINUS_TO_REV_POS,291,68,0.23367697594501718,0.10652920962199312,0.45588235294117646
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_ANY,291,71,0.24398625429553264,0.24398625429553264,0.4084507042253521
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_POS,291,71,0.24398625429553264,0.09965635738831616,0.4084507042253521
TRAIN_2017_2022,KOSPI_ALL,RMINUS_TO_REV_ANY,291,75,0.25773195876288657,0.25773195876288657,0.4666666666666667
TRAIN_2017_2022,KOSPI_ALL,RMINUS_TO_REV_POS,291,75,0.25773195876288657,0.12027491408934708,0.4666666666666667
TRAIN_2017_2022,KOSPI_EX_K200,RMINUS_TO_REV_ANY,291,96,0.32989690721649484,0.32989690721649484,0.5416666666666666
TRAIN_2017_2022,KOSPI_EX_K200,RMINUS_TO_REV_POS,291,96,0.32989690721649484,0.17869415807560138,0.5416666666666666
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_ANY,291,68,0.23367697594501718,0.23367697594501718,0.39705882352941174
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_POS,291,68,0.23367697594501718,0.09278350515463918,0.39705882352941174
POST_2023_PLUS,K200,RMINUS_TO_REV_ANY,175,41,0.2342857142857143,0.2342857142857143,0.2926829268292683
POST_2023_PLUS,K200,RMINUS_TO_REV_POS,175,41,0.2342857142857143,0.06857142857142857,0.2926829268292683
POST_2023_PLUS,KOSDAQ,RMINUS_TO_REV_ANY,175,45,0.2571428571428571,0.2571428571428571,0.37777777777777777
POST_2023_PLUS,KOSDAQ,RMINUS_TO_REV_POS,175,45,0.2571428571428571,0.09714285714285714,0.37777777777777777
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_ANY,175,43,0.24571428571428572,0.24571428571428572,0.3488372093023256
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_POS,175,43,0.24571428571428572,0.08571428571428572,0.3488372093023256
POST_2023_PLUS,KOSPI_ALL,RMINUS_TO_REV_ANY,175,43,0.24571428571428572,0.24571428571428572,0.3953488372093023
POST_2023_PLUS,KOSPI_ALL,RMINUS_TO_REV_POS,175,43,0.24571428571428572,0.09714285714285714,0.3953488372093023
POST_2023_PLUS,KOSPI_EX_K200,RMINUS_TO_REV_ANY,175,42,0.24,0.24,0.47619047619047616
POST_2023_PLUS,KOSPI_EX_K200,RMINUS_TO_REV_POS,175,42,0.24,0.11428571428571428,0.47619047619047616
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_ANY,175,47,0.26857142857142857,0.26857142857142857,0.3404255319148936
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_POS,175,47,0.26857142857142857,0.09142857142857143,0.3404255319148936
POST_2023_2024,K200,RMINUS_TO_REV_ANY,97,22,0.2268041237113402,0.2268041237113402,0.3181818181818182
POST_2023_2024,K200,RMINUS_TO_REV_POS,97,22,0.2268041237113402,0.07216494845360824,0.3181818181818182
POST_2023_2024,KOSDAQ,RMINUS_TO_REV_ANY,97,27,0.27835051546391754,0.27835051546391754,0.25925925925925924
POST_2023_2024,KOSDAQ,RMINUS_TO_REV_POS,97,27,0.27835051546391754,0.07216494845360824,0.25925925925925924
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_ANY,97,26,0.26804123711340205,0.26804123711340205,0.3076923076923077
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_POS,97,26,0.26804123711340205,0.08247422680412371,0.3076923076923077
POST_2023_2024,KOSPI_ALL,RMINUS_TO_REV_ANY,97,25,0.25773195876288657,0.25773195876288657,0.52
POST_2023_2024,KOSPI_ALL,RMINUS_TO_REV_POS,97,25,0.25773195876288657,0.13402061855670103,0.52
POST_2023_2024,KOSPI_EX_K200,RMINUS_TO_REV_ANY,97,30,0.30927835051546393,0.30927835051546393,0.5666666666666667
POST_2023_2024,KOSPI_EX_K200,RMINUS_TO_REV_POS,97,30,0.30927835051546393,0.17525773195876287,0.5666666666666667
POST_2023_2024,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_ANY,97,27,0.27835051546391754,0.27835051546391754,0.2962962962962963
POST_2023_2024,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_POS,97,27,0.27835051546391754,0.08247422680412371,0.2962962962962963
BULL_2025,K200,RMINUS_TO_REV_ANY,49,12,0.24489795918367346,0.24489795918367346,0.3333333333333333
BULL_2025,K200,RMINUS_TO_REV_POS,49,12,0.24489795918367346,0.08163265306122448,0.3333333333333333
BULL_2025,KOSDAQ,RMINUS_TO_REV_ANY,49,11,0.22448979591836735,0.22448979591836735,0.9090909090909091
BULL_2025,KOSDAQ,RMINUS_TO_REV_POS,49,11,0.22448979591836735,0.20408163265306123,0.9090909090909091
