definition,sample,n_pairs,ex_median_hl,inc_median_hl,delta_median,ex_positive_share,inc_positive_share,inc_better_share
A,TRAIN_2017_2022,24,0.00027548391134657457,-0.00915021552656322,-0.007038540691981206,0.5,0.375,0.3333333333333333
A,POST_2023_PLUS,24,0.0074239251637005415,0.0092797910103666,0.001688857900441714,0.6666666666666666,0.7916666666666666,0.625
A,POST_2023_2024,20,-0.0016983019336786174,-0.0036347295895199994,-0.00315507218027594,0.4,0.4,0.4
A,BULL_2025,24,0.017764079295217918,0.015757740555453193,0.002599985120090024,0.8333333333333334,0.875,0.625
A,YTD_2026,20,-0.008931548565911706,-0.018361410256842077,0.006853330855612086,0.45,0.4,0.6
B,TRAIN_2017_2022,24,-0.0007916653179321218,-0.004824342876775418,-0.0035377384236164704,0.4583333333333333,0.25,0.25
B,POST_2023_PLUS,24,0.0011145072080695029,-0.0006875371633758677,-0.0030335596048282694,0.5833333333333334,0.4583333333333333,0.25
B,POST_2023_2024,24,-0.0046966228178224505,-0.014806260061510633,-0.0039854448205886555,0.375,0.16666666666666666,0.2916666666666667
B,BULL_2025,22,0.0032881022871528998,0.003964481365126381,-0.0031191244593272334,0.5454545454545454,0.5909090909090909,0.4090909090909091
B,YTD_2026,22,-0.007222521340585309,-0.00853837512268406,-0.006640213231301132,0.4090909090909091,0.4090909090909091,0.3181818181818182
C,TRAIN_2017_2022,24,-0.0036872696103720784,-0.004154228721136595,0.00040017634870668974,0.375,0.3333333333333333,0.5416666666666666
C,POST_2023_PLUS,24,-0.0064101323383094055,-0.0018229930125390178,0.0010621018949520337,0.3333333333333333,0.375,0.5416666666666666
C,POST_2023_2024,24,-0.014890944922697854,-0.01412634441036769,-0.002964552988105642,0.125,0.16666666666666666,0.4583333333333333
C,BULL_2025,23,0.0034925779389187485,0.005103980081767455,0.003567724124264711,0.5217391304347826,0.6086956521739131,0.6521739130434783
C,YTD_2026,23,-0.0032259796802805683,-0.010725493989108784,-0.0069259085855509495,0.391304347826087,0.34782608695652173,0.391304347826087
