sample,universe,target,family,n,ex_beta_per_1sd,ex_t,self_beta_per_1sd,self_t
TRAIN_2017_2022,K200,FLOW,A,291,-0.0008306729427153485,-0.1591310597916216,0.0028300542223253515,0.5665256743197823
TRAIN_2017_2022,K200,FLOW,B,291,-0.00020754332991801514,-0.03662024510850083,0.00012745868460784746,0.029306256034516708
TRAIN_2017_2022,K200,FLOW,C,291,-0.0036330506708261816,-0.5590440227896207,0.00521396085162561,1.0688255991457611
TRAIN_2017_2022,K200,MOMENTUM,A,291,0.009174745524919717,2.1182475339017373,-0.011511765413023477,-2.316845621124135
TRAIN_2017_2022,K200,MOMENTUM,B,291,0.007279833675036836,1.5026590634946417,-0.01026682981837649,-2.4306218816547718
TRAIN_2017_2022,K200,MOMENTUM,C,291,0.00808869247383869,1.27451328474249,-0.008904650772733516,-1.751438779379478
TRAIN_2017_2022,K200,REVISION,A,291,0.0026451370659110233,0.5171060169597037,-0.0052745604842567816,-1.1395178487168727
TRAIN_2017_2022,K200,REVISION,B,291,-0.0017960952923480942,-0.3620790153889383,-0.0009369553117238057,-0.15967000946497983
TRAIN_2017_2022,K200,REVISION,C,291,0.0031758421708802838,0.42204742526880484,-0.006023595770665112,-0.8971655667030553
TRAIN_2017_2022,K200,VALUE,A,291,-0.0014032662273897442,-0.26660479455229463,0.004100641613535546,0.924804839715293
TRAIN_2017_2022,K200,VALUE,B,291,-0.0010486172456343802,-0.19606076009622456,0.00018618506828320765,0.02820225102493638
TRAIN_2017_2022,K200,VALUE,C,291,-0.0010228272865106267,-0.17696056039986122,-0.005429938520759372,-0.590576817398254
TRAIN_2017_2022,KOSDAQ,FLOW,A,291,-0.012048608994812134,-2.5112959045571306,-0.0005908484123052485,-0.14619890467838348
TRAIN_2017_2022,KOSDAQ,FLOW,B,291,-0.008277436966136526,-1.5504673701764495,-0.005427246039933754,-0.9272842652848361
TRAIN_2017_2022,KOSDAQ,FLOW,C,291,-0.010671791571580555,-1.3771316988405544,-0.0035561565937309854,-0.5208621862890259
TRAIN_2017_2022,KOSDAQ,MOMENTUM,A,291,-0.0016828451553989774,-0.24551046027960535,-0.005066733991849107,-0.7889223487538958
TRAIN_2017_2022,KOSDAQ,MOMENTUM,B,291,-0.005015112236696261,-0.548605985240722,-0.005490546625737145,-0.7656999801078951
TRAIN_2017_2022,KOSDAQ,MOMENTUM,C,291,0.0032689814596326278,0.30466375940815893,-0.005110357817423312,-0.5977612300820995
TRAIN_2017_2022,KOSDAQ,REVISION,A,291,-0.004454479652051681,-0.8802011112421478,-0.0020751225502138653,-0.4244392890189082
TRAIN_2017_2022,KOSDAQ,REVISION,B,291,-0.003719849566736871,-0.5532565461585001,0.0005685914806350834,0.10399606922004098
TRAIN_2017_2022,KOSDAQ,REVISION,C,291,-0.008828275078778171,-1.1901434015223502,0.006006551312391568,1.0003010880974947
TRAIN_2017_2022,KOSDAQ,VALUE,A,291,-0.0014828098001781714,-0.3434258901402431,-0.005226851081156969,-1.1005054816716446
TRAIN_2017_2022,KOSDAQ,VALUE,B,291,-0.004383270552776076,-0.9464562035199157,-0.00023135239220210287,-0.0311543369244485
TRAIN_2017_2022,KOSDAQ,VALUE,C,291,-0.0043821437883749025,-0.8368117594302699,-0.005458141009261382,-0.7004452444461992
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,A,291,-0.004496348886684122,-0.8844943671788592,0.0026503228529987147,0.6600135892441189
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,B,291,-0.008977200972518569,-1.68292477058568,0.0019878175495599776,0.3640845419873438
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,C,291,-0.012260328848737716,-1.6164505141227024,0.00010896197580200624,0.015564450227559232
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,A,291,-0.003374276385679897,-0.6227626157519336,-0.0036577174264387545,-0.6413341995788663
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,B,291,-0.005499146724526141,-0.7671257411394852,-0.007667735974966075,-1.2825728218625043
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,C,291,-0.005330721711496222,-0.5942806516173772,-0.008663783844350908,-1.248454170359026
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,A,291,0.004625849684504075,0.8906714514007996,-0.003580195125581553,-0.7279844070350207
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,B,291,-0.0012583788674646412,-0.16331965284545563,-0.001725117630472569,-0.31904444722854514
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,C,291,-0.009941875597383501,-0.997488595016388,0.005241406738998157,0.6813709274642632
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,A,291,0.005782898796356994,1.2505626206662641,0.005632590425076009,1.2589561373452045
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,B,291,0.0020344511654781638,0.40314891441143874,0.0024568150537342005,0.31197806278202095
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,C,291,-0.0013401935996967397,-0.22425219152301962,-0.0007243256330332321,-0.07349282274001515
TRAIN_2017_2022,KOSPI_ALL,FLOW,A,291,2.440017251185972e-05,0.004740404057175422,0.0032723989933568154,0.7124678425871193
TRAIN_2017_2022,KOSPI_ALL,FLOW,B,291,0.0008375719655802111,0.15627810896889122,0.0009849334522116433,0.19801703517769717
TRAIN_2017_2022,KOSPI_ALL,FLOW,C,291,-0.00270304417205786,-0.40024583589280693,0.0028480016091605893,0.43690750033692616
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,A,291,0.0013319260915293175,0.31844957122034173,-0.0037321776548671953,-0.5790688980269098
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,B,291,0.0008169048944711982,0.17570850184881856,-0.005722550150689809,-1.044330303477575
TRAIN_2017_2022,KOSPI_ALL,MOMENTUM,C,291,0.000217012522854313,0.030697829393789008,-0.007367891096661703,-1.1265027267009189
TRAIN_2017_2022,KOSPI_ALL,REVISION,A,291,0.007077883014436948,1.422199728021236,-0.00657871272686106,-1.447573194689675
TRAIN_2017_2022,KOSPI_ALL,REVISION,B,291,0.005608259952696119,0.9404079360138956,-0.00493772657712499,-1.1765432777066018
TRAIN_2017_2022,KOSPI_ALL,REVISION,C,291,0.00291263368821988,0.31948486084054467,-0.00511026873365291,-0.7453241049945767
TRAIN_2017_2022,KOSPI_ALL,VALUE,A,291,0.0017721443205284183,0.38027853643570425,0.004845268537844625,1.1261945078205684
TRAIN_2017_2022,KOSPI_ALL,VALUE,B,291,0.0023381326336481493,0.49452756876580456,0.0019408753759874362,0.2822458309467672
TRAIN_2017_2022,KOSPI_ALL,VALUE,C,291,-0.0013433471044172402,-0.22378224962710985,-0.0026697063939770923,-0.2939553069885813
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,A,291,-0.0014776381355728933,-0.26983027248352165,0.006592435926169888,1.3810791792714034
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,B,291,0.001947901578044961,0.342414121820277,0.002373475997826545,0.4370157924429943
TRAIN_2017_2022,KOSPI_EX_K200,FLOW,C,291,0.0013904194505617036,0.18869759375972026,-0.006623194913007983,-0.8117857937379885
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,A,291,0.0004254793841434705,0.0787314012497712,-0.003161508786210264,-0.4420572849450412
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,B,291,0.000864634165923963,0.15432893700972575,-0.004514012540228386,-0.7100010632534028
TRAIN_2017_2022,KOSPI_EX_K200,MOMENTUM,C,291,-0.012268389695324643,-1.2587308943389541,-0.003295585050176416,-0.4567500128013545
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,A,291,0.010261657532269925,1.7024488893802248,-0.005249747225379836,-0.8726813492730942
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,B,291,0.014450457051835511,2.00247316183775,-0.009774298109076866,-1.7576550648565552
TRAIN_2017_2022,KOSPI_EX_K200,REVISION,C,291,-0.0006953430287904125,-0.08790541570124569,-0.0030185954920540605,-0.42933219832888325
TRAIN_2017_2022,KOSPI_EX_K200,VALUE,A,291,0.0035006304187267623,0.7116971475172461,0.0057405421231784305,1.3378275699061917
TRAIN_2017_2022,KOSPI_EX_K200,VALUE,B,291,0.0022875716612844733,0.4561356911154709,0.00860858435907966,1.584540245294811
TRAIN_2017_2022,KOSPI_EX_K200,VALUE,C,291,-0.0011082494055405128,-0.1642234135936888,-0.0012874738356763195,-0.17176686343281408
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,FLOW,A,291,-0.004960151803889447,-1.0256496966969182,0.001439406312482821,0.35929438951421083
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,FLOW,B,291,-0.006275973256857625,-1.296575167359916,0.004844042269311079,0.8567007462296542
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,FLOW,C,291,-0.00939359790887613,-1.386286058084505,0.0021830403746880404,0.3746232905604503
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,MOMENTUM,A,291,0.0020065635414217384,0.4063234574940469,-0.008732891275168691,-1.3281694090530636
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,MOMENTUM,B,291,0.00481622069720873,0.7688489235279617,-0.012722092759282318,-2.1077669948236757
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,MOMENTUM,C,291,0.0008294722547307445,0.11085620342518258,-0.009356743548338405,-1.4162325527842
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,REVISION,A,291,0.0037532571010449028,0.7802091158014525,-0.006078888727667389,-1.29782994211547
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,REVISION,B,291,0.004912841193761581,0.6674849687462919,-0.004795689239103278,-1.0302997420019524
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,REVISION,C,291,-0.00044388740983976435,-0.05043634212864359,-0.003230725267755097,-0.5071982044761942
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,VALUE,A,291,0.0012280992833768791,0.24757233359478523,0.0062123756692159,1.443897327456024
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,VALUE,B,291,0.0016762975388113365,0.31072675050964627,0.0060813876489210295,0.8162686023408171
TRAIN_2017_2022,KOSPI_KOSDAQ_ALL,VALUE,C,291,-0.002848437055102437,-0.44480078908748394,-4.766536886883268e-05,-0.005108104918522331
POST_2023_PLUS,K200,FLOW,A,171,0.006665364258262058,0.7937569170220851,0.0034612966712597565,0.5246515311051597
POST_2023_PLUS,K200,FLOW,B,171,0.007995775332291054,1.0699725543317435,-0.004670266963724912,-0.7575409432528322
POST_2023_PLUS,K200,FLOW,C,171,0.00821004326266178,0.6431203576223666,-0.007282346802441017,-0.9531149730468602
POST_2023_PLUS,K200,MOMENTUM,A,171,0.00790993352778838,0.6989515818004117,0.005845286682692416,0.7803595764279336
POST_2023_PLUS,K200,MOMENTUM,B,171,-0.0016339664701059285,-0.15265606812279098,0.010265818039995302,1.281128178857283
POST_2023_PLUS,K200,MOMENTUM,C,171,-0.011307282362794087,-0.9209740448458459,0.016426449093682013,1.3127673995092037
POST_2023_PLUS,K200,REVISION,A,171,0.0049324650955140745,0.5352346505807528,0.00831970563741663,1.324370906797444
POST_2023_PLUS,K200,REVISION,B,171,-0.001270045553834955,-0.1457157196248276,0.009630525086681625,1.4790340765348566
POST_2023_PLUS,K200,REVISION,C,171,-0.0021991857347967913,-0.19977732541766913,0.006823953415940267,0.9593445621915264
POST_2023_PLUS,K200,VALUE,A,171,0.00974116724540163,1.1440366817465804,-0.008707419687073784,-1.309963449443031
POST_2023_PLUS,K200,VALUE,B,171,0.00820919118095751,1.0604541597284363,-0.014255727066053351,-2.1051402093358513
POST_2023_PLUS,K200,VALUE,C,171,0.009294463382533917,0.8065643379974827,-0.01671231540221275,-1.9875907800578507
POST_2023_PLUS,KOSDAQ,FLOW,A,171,-0.003827805308937995,-0.4360340416356709,0.006389107107958834,0.9467082517144317
POST_2023_PLUS,KOSDAQ,FLOW,B,171,-0.007107554649416189,-0.7244908212872894,0.008196510611810552,1.0904704932130818
POST_2023_PLUS,KOSDAQ,FLOW,C,171,-0.023917615357628264,-1.7695585650698282,0.01961351866754295,1.8763006734662868
POST_2023_PLUS,KOSDAQ,MOMENTUM,A,171,0.010842399446471902,0.9624900790742209,-6.323819377256155e-05,-0.004785567073608878
