signal_date,date,universe,factor,ls_return,top_abs_return,n_side
2016-01-04,2016-01-11,K200,OP12_REV,0.044374060282967684,0.015295972522104611,31
2016-01-04,2016-01-11,K200,OPFY1_REV,-0.015053666673715247,-0.026551557380294445,31
2016-01-04,2016-01-11,K200,PBR12MF,-0.036365513771148494,-0.028375961616675088,31
2016-01-04,2016-01-11,K200,PER12MF,-0.06423373226427972,-0.017331670291263833,30
2016-01-04,2016-01-11,K200,MOM1M,0.03654179196681667,0.018634798529025935,33
2016-01-04,2016-01-11,K200,MOM12_1,0.052197344212988266,0.021984320800744545,33
2016-01-04,2016-01-11,K200,PRIVATE_FLOW,-0.003405016836510336,0.005904779223998764,33
2016-01-04,2016-01-11,K200,FOREIGN_FLOW,0.058085414558571365,0.02747990629573914,33
2016-01-04,2016-01-11,KOSPI_EX_K200,OPFY1_REV,0.008868753075048592,-0.020866936635417527,10
2016-01-04,2016-01-11,KOSPI_EX_K200,PBR12MF,-0.013797882446751297,-0.005340882226903668,10
2016-01-04,2016-01-11,KOSPI_EX_K200,PER12MF,0.007513955533037,-0.007173054084255617,10
2016-01-04,2016-01-11,KOSPI_EX_K200,MOM1M,0.00019681460490852433,-0.00894273223931856,16
2016-01-04,2016-01-11,KOSPI_EX_K200,MOM12_1,0.07449823634695919,0.03331923705209347,16
2016-01-04,2016-01-11,KOSPI_EX_K200,PRIVATE_FLOW,0.03670580665114039,0.011355290693582324,16
2016-01-04,2016-01-11,KOSPI_EX_K200,FOREIGN_FLOW,-0.017996562562364156,-0.01721113047846003,16
2016-01-04,2016-01-11,KOSPI_ALL,OP12_REV,0.028075702945443246,0.008089561177922523,41
2016-01-04,2016-01-11,KOSPI_ALL,OPFY1_REV,-0.009157482277239275,-0.02508272095854916,41
2016-01-04,2016-01-11,KOSPI_ALL,PBR12MF,-0.03154408158135649,-0.02095864483165155,41
2016-01-04,2016-01-11,KOSPI_ALL,PER12MF,-0.04408530481596655,-0.013120460965944917,40
2016-01-04,2016-01-11,KOSPI_ALL,MOM1M,0.021180941455993613,0.0073610128824603705,49
2016-01-04,2016-01-11,KOSPI_ALL,MOM12_1,0.06069945841016332,0.025685517944042148,49
2016-01-04,2016-01-11,KOSPI_ALL,PRIVATE_FLOW,0.016838043328134593,0.007684538071209723,49
2016-01-04,2016-01-11,KOSPI_ALL,FOREIGN_FLOW,0.029064253944113595,0.012694273539016563,49
2016-01-04,2016-01-11,KOSDAQ,OP12_REV,0.040324140080424536,-0.007680972333509467,10
2016-01-04,2016-01-11,KOSDAQ,OPFY1_REV,-0.00011320848750987628,-0.030313890031260417,11
2016-01-04,2016-01-11,KOSDAQ,PBR12MF,-0.0846491800876619,-0.04385655272225883,11
2016-01-04,2016-01-11,KOSDAQ,PER12MF,-0.05090116463952313,-0.03404585625683861,10
2016-01-04,2016-01-11,KOSDAQ,MOM1M,-0.012883150912889656,-0.035241335342057735,15
2016-01-04,2016-01-11,KOSDAQ,MOM12_1,-0.006807262488690966,-0.021442801313697947,15
2016-01-04,2016-01-11,KOSDAQ,PRIVATE_FLOW,-0.029145926108138768,-0.022470285930268955,15
2016-01-04,2016-01-11,KOSDAQ,FOREIGN_FLOW,0.03032062812176027,-0.01391174752321781,15
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,OP12_REV,0.030105669998901814,0.00499729970509272,51
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,OPFY1_REV,-0.011788117785446599,-0.024771979704951905,52
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,PBR12MF,-0.025297951891702322,-0.025570850914109076,52
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,PER12MF,-0.049492567894386524,-0.02031319737286134,51
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,MOM1M,0.014973318115699274,-0.005826443720467691,65
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,MOM12_1,0.04061455726965758,0.009311804774998154,65
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,0.007830919733457837,0.0006170011958631563,64
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,0.026198575476650113,0.0019060127638364796,64
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,0.014483188868589701,-0.0046231882318566895,20
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,-0.006475019241522377,-0.023340962423098893,21
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,-0.03948166634750508,-0.023441149880074,21
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,-0.017135519405515394,-0.021993320171981367,20
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,0.005926735029267518,-0.016270036599032252,31
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,0.039188559502872075,0.011326344942939477,31
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,0.015595150500996056,-0.005011923801829588,31
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,0.009600145149741765,-0.011397232957748724,31
2016-01-11,2016-01-18,K200,OP12_REV,0.032417661145048925,0.009621750659713605,34
2016-01-11,2016-01-18,K200,OPFY1_REV,-0.0010268523229982254,-0.015527459073851472,34
2016-01-11,2016-01-18,K200,PBR12MF,-0.026604562938717727,-0.021789366418918377,34
2016-01-11,2016-01-18,K200,PER12MF,-0.014339669681878855,-0.01476419521937056,33
2016-01-11,2016-01-18,K200,MOM1M,0.028563535442946642,-0.0001419864985659505,37
2016-01-11,2016-01-18,K200,MOM12_1,0.016498283086762478,0.0022280325759642403,37
2016-01-11,2016-01-18,K200,PRIVATE_FLOW,0.009132855169478411,-0.005943501045579556,37
2016-01-11,2016-01-18,K200,FOREIGN_FLOW,-0.0001168803362180549,-0.012224101734501485,37
2016-01-11,2016-01-18,KOSPI_EX_K200,OP12_REV,0.024433659225495168,0.0085081431462439,15
2016-01-11,2016-01-18,KOSPI_EX_K200,OPFY1_REV,0.033521928748806856,0.0008428376397910916,16
2016-01-11,2016-01-18,KOSPI_EX_K200,PBR12MF,-0.0199453295705671,-0.017805170634917874,16
2016-01-11,2016-01-18,KOSPI_EX_K200,PER12MF,-0.02864713038341065,-0.026447569747850425,16
2016-01-11,2016-01-18,KOSPI_EX_K200,MOM1M,0.013010028265088354,-0.018260708718798146,26
2016-01-11,2016-01-18,KOSPI_EX_K200,MOM12_1,0.027899862746108436,0.0036868767525783065,26
2016-01-11,2016-01-18,KOSPI_EX_K200,PRIVATE_FLOW,0.023351629521341045,0.008113132513603478,26
2016-01-11,2016-01-18,KOSPI_EX_K200,FOREIGN_FLOW,0.00985262375872816,-0.014524544009964587,26
2016-01-11,2016-01-18,KOSPI_ALL,OP12_REV,0.03529239424608172,0.009806929591323423,49
2016-01-11,2016-01-18,KOSPI_ALL,OPFY1_REV,0.0007420396713058962,-0.01739515227770562,50
2016-01-11,2016-01-18,KOSPI_ALL,PBR12MF,-0.027160145579705152,-0.02018174058219197,50
2016-01-11,2016-01-18,KOSPI_ALL,PER12MF,-0.017751547864685847,-0.018252705968147383,49
2016-01-11,2016-01-18,KOSPI_ALL,MOM1M,0.01856131192625759,-0.008080711174799056,63
2016-01-11,2016-01-18,KOSPI_ALL,MOM12_1,0.02190462882906758,0.0028570786676199293,63
2016-01-11,2016-01-18,KOSPI_ALL,PRIVATE_FLOW,0.014884643145851762,-0.0012644865686260152,63
2016-01-11,2016-01-18,KOSPI_ALL,FOREIGN_FLOW,0.009003306560673234,-0.011535460091354624,63
2016-01-11,2016-01-18,KOSDAQ,OP12_REV,0.020693341524914817,0.017668806439570646,18
2016-01-11,2016-01-18,KOSDAQ,OPFY1_REV,0.018814510360179927,0.03497118793090253,19
2016-01-11,2016-01-18,KOSDAQ,PBR12MF,-0.0022837155054637208,-0.0017038030800715395,18
2016-01-11,2016-01-18,KOSDAQ,PER12MF,0.011637211931611751,0.017478382971100784,18
2016-01-11,2016-01-18,KOSDAQ,MOM1M,0.04100986795125196,0.01961480496931975,29
2016-01-11,2016-01-18,KOSDAQ,MOM12_1,-0.00018395996607109555,0.01804168453412082,29
2016-01-11,2016-01-18,KOSDAQ,PRIVATE_FLOW,0.04080506039868528,0.0461304612618983,29
2016-01-11,2016-01-18,KOSDAQ,FOREIGN_FLOW,0.003680912960798932,-0.00033449488286709623,29
