sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
TRAIN,K200,K200,1,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,18,14,0.00010859998802685846,0.004069316585009344,-0.0039607165969824856,-1.5216166613913156,0.7222222222222222,0.6428571428571429
OOS,K200,K200,1,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,17,17,0.0003285210759700243,0.006033316179089244,-0.005704795103119219,-0.6956528027642951,0.47058823529411764,0.5294117647058824
TRAIN,K200,K200,5,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,18,14,0.002580922525783629,-0.0015002360004806195,0.004081158526264249,0.49874067393522564,0.6111111111111112,0.35714285714285715
OOS,K200,K200,5,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,16,17,0.000549483544723151,0.008751540487397054,-0.008202056942673903,-0.6455491591734978,0.5625,0.47058823529411764
TRAIN,K200,K200,20,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,18,14,0.011253211064261527,0.0045654795610431936,0.006687731503218334,0.38099099948058474,0.5,0.6428571428571429
OOS,K200,K200,20,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,16,17,0.03661786169036727,0.038284057083444345,-0.0016661953930770732,-0.045733679154605696,0.5625,0.7647058823529411
TRAIN,K200,KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,18,14,0.0013352775565134657,0.006640685155163863,-0.005305407598650397,-2.1943343379892952,0.6666666666666666,0.8571428571428571
OOS,K200,KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,17,17,0.002888024344401647,0.0035902394169903206,-0.0007022150725886737,-0.11378741652131587,0.5882352941176471,0.47058823529411764
TRAIN,K200,KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,18,14,0.0022202275856528946,0.007067427950129288,-0.004847200364476393,-0.739375894452152,0.5555555555555556,0.6428571428571429
OOS,K200,KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_1P,0.08643642378917578,0.5714285714285714,16,17,0.00867416139105978,0.003159667286612033,0.005514494104447747,0.5218103036114472,0.625,0.4117647058823529
