date,universe,leader_factor,LS_BREADTH_1P,LS_BREADTH_4P,ABS_BREADTH_1P,ABS_BREADTH_4P,AVG_CORR_12P,AVG_CORR_24P,DISPERSION_LS_4P,LEADER_STRENGTH_12P,LEADER_CORRECTION_1P,OTHERS_LS_BREADTH_4P,OTHERS_ABS_BREADTH_1P,OTHERS_ABS_BREADTH_4P,ORTHOGONAL_ABS_BREADTH_1P,n_orthogonal,MKT_ACT5_BREADTH,MKT_ACT1_BREADTH,KOSDAQ_TA_SHARE,FACTOR_TOP_ACT5_BREADTH_MEAN
2016-04-08,K200,PBR12MF,0.5,0.75,0.875,0.875,-0.03468424855494108,-0.04483941199978747,0.02993160148428691,0.25576762598567776,-0.01724212754350957,0.8571428571428571,0.8571428571428571,1.0,1.0,5,0.3684210526315789,0.32105263157894737,0.42685873984980266,0.44375
2016-04-18,K200,PBR12MF,0.375,0.75,0.875,1.0,-0.032812777677212766,-0.04631301816957056,0.03405783677458301,0.37906216349429783,0.05830447331978121,0.7142857142857143,0.8571428571428571,1.0,0.8,5,0.49473684210526314,0.38421052631578945,0.4315155975923747,0.66875
2016-04-25,K200,PBR12MF,0.25,0.625,0.375,1.0,-0.0218683995839332,-0.04137571820899154,0.04167240596081663,0.44964545207107204,0.017926203340381478,0.5714285714285714,0.2857142857142857,1.0,0.4,5,0.4473684210526316,0.3105263157894737,0.42089675542484306,0.6499999999999999
2016-05-02,K200,PBR12MF,0.5,0.5,0.0,0.875,-0.021711220282949046,-0.042766340820253816,0.03521764477893215,0.3366176478499967,-0.013393592010975746,0.42857142857142855,0.0,0.8571428571428571,0.0,5,0.39473684210526316,0.21578947368421053,0.45731009291712166,0.475
2016-05-11,K200,PBR12MF,0.25,0.5,0.125,0.25,-0.012725831718466637,-0.03763855939336965,0.01958915706507067,0.19063276995018313,-0.053956036652536864,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2,5,0.4052631578947368,0.2736842105263158,0.38806744032316126,0.45625
2016-05-18,K200,PER12MF,0.25,0.375,0.125,0.125,0.06422364139812514,-0.03804386001796656,0.04172420485995234,0.052999928544672836,-0.015551570261923406,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2,5,0.22631578947368422,0.30526315789473685,0.349399478508703,0.2125
2016-05-25,K200,PER12MF,0.25,0.375,0.125,0.0,0.053170677733897435,-0.03922552090994278,0.048607568662087514,0.029227739325603408,-0.011563929821179786,0.42857142857142855,0.14285714285714285,0.0,0.2,5,0.23157894736842105,0.33157894736842103,0.4669160275856535,0.16249999999999998
2016-06-01,K200,OPFY1_REV,0.25,0.25,1.0,0.125,0.10829467922372892,-0.03877834769636678,0.04965459494296752,0.04187963003609185,0.00934659146416067,0.2857142857142857,1.0,0.14285714285714285,1.0,5,0.45263157894736844,0.4263157894736842,0.37394593097658774,0.49375
2016-06-09,K200,OPFY1_REV,0.875,0.5,1.0,0.75,0.10407860058247136,-0.04034739153616126,0.022856005359853607,0.06004456911370082,0.015340515014215472,0.42857142857142855,1.0,0.7142857142857143,1.0,4,0.6736842105263158,0.9052631578947369,0.3376798452189761,0.625
2016-06-16,K200,OPFY1_REV,0.375,0.5,0.0,0.0,0.1009147880192572,-0.03993006803025751,0.021053122149370676,0.047592915126132174,0.0017116246888380093,0.42857142857142855,0.0,0.0,0.0,4,0.37894736842105264,0.26842105263157895,0.49563575022511724,0.325
2016-06-23,K200,OPFY1_REV,0.625,0.375,0.875,0.375,0.10671326476780241,-0.04152207942742432,0.02193724391692628,0.045607190629802896,0.00385692985489006,0.2857142857142857,0.8571428571428571,0.2857142857142857,1.0,4,0.14210526315789473,0.12631578947368421,0.46635231993686865,0.1875
2016-06-30,K200,OPFY1_REV,0.625,0.5,0.125,0.0,-0.05810206742026791,-0.042195764111504344,0.025016952653643308,0.04563196702327971,0.00014872367436411654,0.42857142857142855,0.14285714285714285,0.0,0.2,5,0.5368421052631579,0.24736842105263157,0.43761310400565423,0.55625
2016-07-07,K200,MOM12_1,0.75,0.5,0.875,0.0,-0.04721232771908586,-0.03945773325149598,0.03294391217010841,0.0344970294059892,0.010898735352161659,0.42857142857142855,0.8571428571428571,0.0,0.8333333333333334,6,0.15789473684210525,0.18947368421052632,0.5211394568245076,0.19375
2016-07-14,K200,MOM12_1,0.625,0.75,0.875,1.0,-0.0277735615591922,-0.04110628657652371,0.011033516229354468,0.033918554511248034,-0.022291093173537155,0.8571428571428571,1.0,1.0,1.0,7,0.41578947368421054,0.4105263157894737,0.48119931090488377,0.51875
2016-07-21,K200,OP12_REV,0.625,0.625,0.5,0.75,-0.035797463442832446,-0.03823127552630172,0.018792485834279348,0.026668182402898366,0.0007314434872732491,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.6,5,0.3473684210526316,0.3894736842105263,0.522592405037138,0.4125
2016-07-28,K200,OP12_REV,0.625,0.75,0.625,0.875,-0.02781729385447849,-0.030068180810121383,0.05181882995647351,0.03995757659555149,0.006471677245579071,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.4,5,0.42105263157894735,0.4789473684210526,0.43703015787728167,0.475
2016-08-04,K200,OP12_REV,0.875,0.75,0.0,0.625,-0.024213300228269046,-0.026954957378619523,0.060536940136935995,0.04463421375357557,0.010025977034283175,0.7142857142857143,0.0,0.5714285714285714,0.0,5,0.5526315789473685,0.2789473684210526,0.5019599755691028,0.475
2016-08-11,K200,PBR12MF,0.375,0.5,1.0,0.875,-0.018276588669587007,0.020046598775333237,0.03443128765078186,0.04912243211068862,-0.004792915259112233,0.42857142857142855,1.0,0.8571428571428571,1.0,6,0.4789473684210526,0.3368421052631579,0.44777244246997405,0.55
2016-08-19,K200,OP12_REV,1.0,0.875,0.5,0.75,0.1981602154624093,0.09466294788686305,0.03077242263790606,0.07080931545346081,0.03655238996855334,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.3333333333333333,3,0.5210526315789473,0.5157894736842106,0.3668790303929989,0.5375000000000001
2016-08-26,K200,PBR12MF,0.25,0.875,0.125,0.375,0.20665595560271535,0.14092529929681694,0.021070514918832415,0.0912114354192809,0.004171900122885638,0.8571428571428571,0.0,0.2857142857142857,0.0,5,0.3368421052631579,0.20526315789473684,0.41978278494280935,0.3625
2016-09-02,K200,PBR12MF,0.875,0.875,0.125,0.875,0.20138685368461076,0.14190974634569153,0.01709187230353487,0.07597132928692063,0.0020254604896872298,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.2,5,0.2631578947368421,0.21052631578947367,0.3775232129124728,0.3
2016-09-09,K200,PBR12MF,0.625,0.875,0.375,0.125,0.18731208953369147,0.13315219121691493,0.027889344710286385,0.13064753471910118,0.04321445172887956,0.8571428571428571,0.2857142857142857,0.0,0.2,5,0.3736842105263158,0.30526315789473685,0.4930251334263604,0.36875
2016-09-21,K200,PBR12MF,0.0,0.375,0.125,0.0,0.37926962600594344,0.24520180057811816,0.020231590180216034,0.09127739352062336,-0.035777400699392656,0.2857142857142857,0.14285714285714285,0.0,0.3333333333333333,3,0.3684210526315789,0.3105263157894737,0.46587193074503996,0.3375
2016-09-28,K200,PBR12MF,0.75,0.25,1.0,0.5,0.3994902653565658,0.2111427522765261,0.018158493893402735,0.10246864325519489,-0.02575719817525213,0.2857142857142857,1.0,0.5714285714285714,1.0,3,0.32105263157894737,0.29473684210526313,0.4535421431226903,0.3875
2016-10-06,K200,PBR12MF,0.625,0.5,0.375,0.625,0.3438501096539656,0.18324151582814593,0.03998904896603702,0.17348014714454557,0.04354178264701091,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.0,3,0.5,0.4368421052631579,0.3632544956285131,0.55
2016-10-13,K200,PBR12MF,0.625,0.375,0.25,0.5,0.3742521937717621,0.19872256231441093,0.03530182759729267,0.16884132450542294,0.0368052547896907,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,3,0.4789473684210526,0.4105263157894737,0.3815341409860044,0.48125000000000007
2016-10-20,K200,PBR12MF,0.625,0.625,0.625,0.5,0.372649594322247,0.19396876060445928,0.05420196854238585,0.16646133520393092,0.031830855335944645,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.3333333333333333,3,0.3193717277486911,0.29842931937172773,0.37880649733711963,0.375
2016-10-27,K200,PBR12MF,0.75,0.625,0.125,0.375,0.3951232666853141,0.19765602610548477,0.0710786095402644,0.12308732171511039,0.013304956794605687,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,3,0.3769633507853403,0.2356020942408377,0.32852458184515193,0.44375
2016-11-03,K200,PBR12MF,0.625,0.75,0.0,0.125,0.36893159090109534,0.206064637637346,0.051345820672796964,0.14309296882148737,0.013084267948493163,0.7142857142857143,0.0,0.0,0.0,3,0.34554973821989526,0.3507853403141361,0.4086681499811784,0.35625
2016-11-10,K200,PBR12MF,0.375,0.375,1.0,0.125,0.37309771060805363,0.22326880200698065,0.033708836214204785,0.1631873290755384,0.003505487254529309,0.2857142857142857,1.0,0.0,1.0,3,0.612565445026178,0.7329842931937173,0.3215351631564228,0.61875
2016-11-17,K200,PBR12MF,0.375,0.375,0.875,0.25,0.208064065643097,0.19724351438908277,0.04399445091450867,0.20084362706330505,0.03794350562969965,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.75,4,0.5654450261780105,0.2774869109947644,0.4325376137414122,0.59375
2016-11-24,K200,PER12MF,0.75,0.75,0.0,0.125,0.2482341289774894,0.21618785636794674,0.04445720342519305,0.21332800000899244,0.05718824772932791,0.7142857142857143,0.0,0.14285714285714285,0.0,2,0.3036649214659686,0.2931937172774869,0.4352259245554569,0.2625
2016-12-01,K200,PER12MF,0.5,0.625,0.5,0.75,0.2369678165239495,0.2140022797786741,0.03554551770113003,0.20321211020833585,-0.005292586575995759,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,2,0.2774869109947644,0.2774869109947644,0.3774272531077424,0.28750000000000003
2016-12-08,K200,PER12MF,1.0,0.875,1.0,0.75,0.32869668966701476,0.2646304617090776,0.051923429129719194,0.20782003739466987,0.04802133076959495,0.8571428571428571,1.0,0.7142857142857143,1.0,1,0.31413612565445026,0.5968586387434555,0.32935707516826956,0.38125
2016-12-15,K200,PER12MF,0.0,0.625,0.875,0.875,0.3358247427126117,0.33560406904593226,0.041746580672870265,0.1812674297251713,-0.03848488984544681,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.0,1,0.3769633507853403,0.29842931937172773,0.45791729790211233,0.44375
