sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
TRAIN,K200,K200,1,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0005413115797090291,0.00027731553175584827,0.5263157894736842,0.6219831704606968
TRAIN,K200,K200,1,LS_BREADTH_1P,MID,0.375,0.625,61,-0.00035131264885093224,0.0006680656619388663,0.5737704918032787,-0.2283583329964547
TRAIN,K200,K200,1,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.0002779402457927942,0.00017639217117021346,0.5031847133757962,-0.29632024979081395
OOS,K200,K200,1,LS_BREADTH_1P,LOW,0.375,0.625,52,-0.000760267183211458,0.0011183460093989739,0.5192307692307693,-0.2548519067037199
OOS,K200,K200,1,LS_BREADTH_1P,MID,0.375,0.625,36,0.0006693284308138796,-0.0002435587416539158,0.4722222222222222,0.16005174412415554
OOS,K200,K200,1,LS_BREADTH_1P,HIGH,0.375,0.625,87,0.0033395466281996816,0.004530502599163523,0.6206896551724138,1.4017582618988043
TRAIN,K200,K200,5,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0027371138703767076,0.002289623236323332,0.5701754385964912,1.4785286008859928
TRAIN,K200,K200,5,LS_BREADTH_1P,MID,0.375,0.625,61,-0.0003000356032599805,0.00255708861606041,0.5409836065573771,-0.07182785602237629
TRAIN,K200,K200,5,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.00017636028038931815,0.0020880384487226393,0.5605095541401274,-0.09376517878790964
OOS,K200,K200,5,LS_BREADTH_1P,LOW,0.375,0.625,51,0.007242803668228784,0.007892938058873393,0.5882352941176471,1.6808271743584604
OOS,K200,K200,5,LS_BREADTH_1P,MID,0.375,0.625,36,-0.002783910935215812,0.005484938313883716,0.6111111111111112,-0.3155493463099662
OOS,K200,K200,5,LS_BREADTH_1P,HIGH,0.375,0.625,87,0.010750121391744437,0.006356048664350104,0.6091954022988506,2.6917696404871876
TRAIN,K200,K200,20,LS_BREADTH_1P,LOW,0.375,0.625,114,0.00254203398406319,0.007238217130323018,0.5614035087719298,0.5967653333741628
TRAIN,K200,K200,20,LS_BREADTH_1P,MID,0.375,0.625,61,0.010254796515040165,0.005730774182867611,0.5737704918032787,1.3717890099341765
TRAIN,K200,K200,20,LS_BREADTH_1P,HIGH,0.375,0.625,157,0.0018703721229484393,0.006189264514564517,0.5477707006369427,0.4417827707528139
OOS,K200,K200,20,LS_BREADTH_1P,LOW,0.375,0.625,51,0.02021140911035151,0.01298460736694991,0.5882352941176471,2.1646453201368754
OOS,K200,K200,20,LS_BREADTH_1P,MID,0.375,0.625,35,0.017741749330829944,0.004481968218772906,0.5428571428571428,1.0026834980491663
OOS,K200,K200,20,LS_BREADTH_1P,HIGH,0.375,0.625,85,0.038515156009598824,0.029792480292688512,0.7176470588235294,3.6455422899552827
TRAIN,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0017497510422880282,0.002080117266618155,0.6228070175438597,2.0314977640736114
TRAIN,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,MID,0.375,0.625,61,0.00138107027235326,-3.099925567049273e-05,0.4918032786885246,0.9474203639116445
TRAIN,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.0008329651895295142,0.00021362193834924907,0.5031847133757962,-0.8370717048856733
