model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,delta_sharpe_vs_top2,avg_abs_lambda,avg_lambda,annual_turnover
PERSIST_CONT,K200,0,DEV_2020_2022,38,0.08611639455957154,1.1549100679626059,-0.04505760159247896,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.032670774411281744,0.28377043965786075,0.017323100462687924,0.22780835908729324,0.016265163872440147,0.8711396283047451,0.14972822458636634,-0.004373198841536202,2.2536147109335687
LIQ_CONT,K200,0,DEV_2020_2022,38,0.061049612482919624,0.8454838822096915,-0.058476326750501184,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.032670774411281744,0.28377043965786075,-0.007743681613963993,-0.08161782666562112,0.0028464387144179204,0.5617134425518308,0.11532220180342015,-0.0015573245688329212,1.7538453365023077
COMBINED_CONT,K200,0,DEV_2020_2022,38,0.07636422600949833,1.0472749502382654,-0.046382238401766585,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.032670774411281744,0.28377043965786075,0.007570931912614709,0.12017324136295282,0.01494052706315252,0.7635045105804047,0.10319196712265316,-0.0036022035425947846,1.5604417610340835
PERSIST_CONT,KOSDAQ,0,DEV_2020_2022,38,0.060124939750312745,0.986000462498182,-0.06847921125236078,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.08349194710304131,0.6152740599473255,0.018158051060431557,0.2911362825794843,0.031841117478386916,0.3707264025508564,0.1519289798539784,0.012809152723724453,2.2341065875853614
LIQ_CONT,KOSDAQ,0,DEV_2020_2022,38,0.02689249324031784,0.42547574049243936,-0.13609413191293263,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.08349194710304131,0.6152740599473255,-0.01507439544956335,-0.2693884394262583,-0.03577380318218493,-0.18979831945488618,0.13519602162326608,-0.005177830609570868,2.0036845364919826
COMBINED_CONT,KOSDAQ,0,DEV_2020_2022,38,0.0456241426268742,0.7354377950919645,-0.10493784094395053,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.08349194710304131,0.6152740599473255,0.00365725393699301,0.04057361517326685,-0.0046175122132028346,0.12016373514463896,0.14859764010964574,0.0029851634717064004,2.1972921131119914
PERSIST_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.06819816764930176,1.0446272430188788,-0.07290289233055147,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.09351506458952596,0.7299419985067269,0.007857180179077439,0.13142947469953015,0.014310189558716768,0.31468524451215185,0.14094797122320754,-0.029539705032797597,2.0566739623756707
LIQ_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.07575580650339697,1.1039949474550756,-0.07124536222540057,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.09351506458952596,0.7299419985067269,0.015414819033172655,0.19079717913572702,0.015967719663867674,0.37405294894834873,0.12588464917982348,0.032734883434521994,1.87921824404375
COMBINED_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.07448907212131606,1.1260598559354051,-0.07073589806700942,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.09351506458952596,0.7299419985067269,0.014148084651091741,0.21286208761605652,0.016477183822258823,0.3961178574286782,0.13051604077630288,-0.0012124970377359768,2.0800222790827463
PERSIST_CONT,KOSPI_ALL,0,DEV_2020_2022,38,0.08114161435398093,1.2763171535590574,-0.04523624013621674,0.06784398735064134,1.0980679005285914,-0.04072532130981743,0.04618925709060262,0.39406706339106023,0.013297627003339585,0.17824925303046601,-0.004510918826399313,0.8822500901679972,0.11215022737125739,-0.020048860337812478,1.6394209465809717
