date,universe,eval_year,period,persist_pct,liq_pct,combined_pct,PERSIST_ALL_CONT_lambda,PERSIST_ALL_CONT_gross,PERSIST_ALL_CONT_w_MOM1M,PERSIST_ALL_CONT_w_MOM12_1,PERSIST_ALL_CONT_w_OP12_REV,PERSIST_ALL_CONT_w_OPFY1_REV,PERSIST_ALL_CONT_w_PBR12MF,PERSIST_ALL_CONT_w_PER12MF,PERSIST_ALL_CONT_w_PRIVATE_FLOW,PERSIST_ALL_CONT_w_FOREIGN_FLOW,LIQ_ALL_CONT_lambda,LIQ_ALL_CONT_gross,LIQ_ALL_CONT_w_MOM1M,LIQ_ALL_CONT_w_MOM12_1,LIQ_ALL_CONT_w_OP12_REV,LIQ_ALL_CONT_w_OPFY1_REV,LIQ_ALL_CONT_w_PBR12MF,LIQ_ALL_CONT_w_PER12MF,LIQ_ALL_CONT_w_PRIVATE_FLOW,LIQ_ALL_CONT_w_FOREIGN_FLOW,COMBINED_ALL_CONT_lambda,COMBINED_ALL_CONT_gross,COMBINED_ALL_CONT_w_MOM1M,COMBINED_ALL_CONT_w_MOM12_1,COMBINED_ALL_CONT_w_OP12_REV,COMBINED_ALL_CONT_w_OPFY1_REV,COMBINED_ALL_CONT_w_PBR12MF,COMBINED_ALL_CONT_w_PER12MF,COMBINED_ALL_CONT_w_PRIVATE_FLOW,COMBINED_ALL_CONT_w_FOREIGN_FLOW,EW8_lambda,EW8_gross,EW8_w_MOM1M,EW8_w_MOM12_1,EW8_w_OP12_REV,EW8_w_OPFY1_REV,EW8_w_PBR12MF,EW8_w_PER12MF,EW8_w_PRIVATE_FLOW,EW8_w_FOREIGN_FLOW
2020-01-03,K200,2020,DEV_2020_2022,0.8152173913043478,0.22282608695652173,0.5244565217391305,0.1576086956521739,0.0261013244105984,0.10529891304347827,0.18410326086956522,0.18410326086956522,0.10529891304347827,0.10529891304347827,0.10529891304347827,0.10529891304347827,0.10529891304347827,-0.13858695652173914,0.012603532857378105,0.1423233695652174,0.07302989130434782,0.07302989130434782,0.1423233695652174,0.1423233695652174,0.1423233695652174,0.1423233695652174,0.1423233695652174,0.012228260869565244,0.0194762615840178,0.12347146739130435,0.12958559782608697,0.12958559782608697,0.12347146739130435,0.12347146739130435,0.12347146739130435,0.12347146739130435,0.12347146739130435,0.0,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-02-04,K200,2020,DEV_2020_2022,0.21739130434782608,0.4673913043478261,0.2391304347826087,-0.14130434782608697,-0.013999150020048918,0.14266304347826086,0.07201086956521738,0.14266304347826086,0.07201086956521738,0.14266304347826086,0.14266304347826086,0.14266304347826086,0.14266304347826086,-0.016304347826086946,-0.015117143552570904,0.12703804347826086,0.11888586956521739,0.12703804347826086,0.11888586956521739,0.12703804347826086,0.12703804347826086,0.12703804347826086,0.12703804347826086,-0.13043478260869565,-0.014096366848963876,0.14130434782608695,0.07608695652173914,0.14130434782608695,0.07608695652173914,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.14130434782608695,0.0,-0.015262968795943337,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-03-03,K200,2020,DEV_2020_2022,0.7445652173913043,0.3641304347826087,0.5788043478260869,0.12228260869565216,-0.007004012455181706,0.17085597826086957,0.10971467391304349,0.10971467391304349,0.10971467391304349,0.10971467391304349,0.10971467391304349,0.17085597826086957,0.10971467391304349,-0.06793478260869565,-0.01543808802637836,0.09952445652173914,0.13349184782608695,0.13349184782608695,0.13349184782608695,0.13349184782608695,0.13349184782608695,0.09952445652173914,0.13349184782608695,0.03940217391304346,-0.01067885966834596,0.1397758152173913,0.12007472826086957,0.12007472826086957,0.12007472826086957,0.12007472826086957,0.12007472826086957,0.1397758152173913,0.12007472826086957,0.0,-0.012425918179522412,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-03-31,K200,2020,DEV_2020_2022,0.22826086956521738,0.06521739130434782,0.03804347826086957,-0.1358695652173913,-0.007199056151103328,0.07404891304347827,0.14198369565217392,0.14198369565217392,0.14198369565217392,0.14198369565217392,0.14198369565217392,0.14198369565217392,0.07404891304347827,-0.21739130434782608,-0.000865893007760337,0.043478260869565216,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.043478260869565216,-0.23097826086956522,0.0001896341827968271,0.03838315217391304,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.15387228260869565,0.03838315217391304,0.0,-0.01775432805667497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-04-29,K200,2020,DEV_2020_2022,0.005434782608695652,0.8913043478260869,0.36141304347826086,-0.24728260869565216,0.025958774147023397,0.1559103260869565,0.1559103260869565,0.1559103260869565,0.1559103260869565,0.03226902173913043,0.03226902173913043,0.1559103260869565,0.1559103260869565,0.19565217391304346,0.011661571492326477,0.10054347826086957,0.10054347826086957,0.10054347826086957,0.10054347826086957,0.1983695652173913,0.1983695652173913,0.10054347826086957,0.10054347826086957,-0.06929347826086957,0.02021357921522801,0.1336616847826087,0.1336616847826087,0.1336616847826087,0.1336616847826087,0.09901494565217392,0.09901494565217392,0.1336616847826087,0.1336616847826087,0.0,0.0179769002723153,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-06-01,K200,2020,DEV_2020_2022,0.358695652173913,0.059782608695652176,0.08423913043478261,-0.07065217391304349,0.019387413552314613,0.13383152173913043,0.09850543478260869,0.13383152173913043,0.13383152173913043,0.13383152173913043,0.13383152173913043,0.13383152173913043,0.09850543478260869,-0.22010869565217392,0.015359835202889754,0.15251358695652173,0.042459239130434784,0.15251358695652173,0.15251358695652173,0.15251358695652173,0.15251358695652173,0.15251358695652173,0.042459239130434784,-0.2078804347826087,0.01568936434056997,0.15098505434782608,0.04704483695652173,0.15098505434782608,0.15098505434782608,0.15098505434782608,0.15098505434782608,0.15098505434782608,0.04704483695652173,0.0,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-06-29,K200,2020,DEV_2020_2022,0.10869565217391304,0.8967391304347826,0.48097826086956524,-0.1956521739130435,0.017356512698688358,0.14945652173913043,0.05163043478260869,0.14945652173913043,0.05163043478260869,0.14945652173913043,0.14945652173913043,0.14945652173913043,0.14945652173913043,0.1983695652173913,0.029315721193711314,0.10020380434782608,0.19938858695652173,0.10020380434782608,0.19938858695652173,0.10020380434782608,0.10020380434782608,0.10020380434782608,0.10020380434782608,-0.009510869565217378,0.02300620774633713,0.12618885869565216,0.12143342391304349,0.12618885869565216,0.12143342391304349,0.12618885869565216,0.12618885869565216,0.12618885869565216,0.12618885869565216,0.0,0.023294878296217,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-07-27,K200,2020,DEV_2020_2022,0.967391304347826,0.04891304347826087,0.48641304347826086,0.23369565217391303,0.010339709699727397,0.09578804347826086,0.21263586956521738,0.09578804347826086,0.21263586956521738,0.09578804347826086,0.09578804347826086,0.09578804347826086,0.09578804347826086,-0.22554347826086957,-0.004236416438161918,0.1531929347826087,0.04042119565217392,0.1531929347826087,0.04042119565217392,0.1531929347826087,0.1531929347826087,0.1531929347826087,0.1531929347826087,-0.006793478260869568,0.002706649562430331,0.1258491847826087,0.12245244565217392,0.1258491847826087,0.12245244565217392,0.1258491847826087,0.1258491847826087,0.1258491847826087,0.1258491847826087,0.0,0.002922272730150586,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-08-25,K200,2020,DEV_2020_2022,0.34782608695652173,0.782608695652174,0.6005434782608695,-0.07608695652173914,0.00242564493145059,0.09646739130434782,0.1345108695652174,0.09646739130434782,0.1345108695652174,0.1345108695652174,0.1345108695652174,0.1345108695652174,0.1345108695652174,0.14130434782608697,-0.0018120879621390173,0.17798913043478262,0.10733695652173914,0.17798913043478262,0.10733695652173914,0.10733695652173914,0.10733695652173914,0.10733695652173914,0.10733695652173914,0.050271739130434756,-3.75373129483694e-05,0.14385190217391303,0.11871603260869565,0.14385190217391303,0.11871603260869565,0.11871603260869565,0.11871603260869565,0.11871603260869565,0.11871603260869565,0.0,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2020-09-22,K200,2020,DEV_2020_2022,0.14130434782608695,0.7445652173913043,0.35054347826086957,-0.17934782608695654,0.022011281222272354,0.14741847826086957,0.14741847826086957,0.14741847826086957,0.14741847826086957,0.0577445652173913,0.0577445652173913,0.14741847826086957,0.14741847826086957,0.12228260869565216,0.0456245577629492,0.10971467391304349,0.10971467391304349,0.10971467391304349,0.10971467391304349,0.17085597826086957,0.17085597826086957,0.10971467391304349,0.10971467391304349,-0.07472826086956522,0.030201471734128738,0.13434103260869565,0.13434103260869565,0.13434103260869565,0.13434103260869565,0.09697690217391304,0.09697690217391304,0.13434103260869565,0.13434103260869565,0.0,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
