date,universe,eval_year,persist_score,crash_score,train_p33,train_p67,train_c67,persist_action,capped_action,cap_triggered,persist_only_gross,persist_only_w_MOM1M,persist_only_w_MOM12_1,persist_only_w_OP12_REV,persist_only_w_OPFY1_REV,persist_only_w_PBR12MF,persist_only_w_PER12MF,persist_only_w_PRIVATE_FLOW,persist_only_w_FOREIGN_FLOW,crash_cap_gross,crash_cap_w_MOM1M,crash_cap_w_MOM12_1,crash_cap_w_OP12_REV,crash_cap_w_OPFY1_REV,crash_cap_w_PBR12MF,crash_cap_w_PER12MF,crash_cap_w_PRIVATE_FLOW,crash_cap_w_FOREIGN_FLOW,ew8_gross,ew8_w_MOM1M,ew8_w_MOM12_1,ew8_w_OP12_REV,ew8_w_OPFY1_REV,ew8_w_PBR12MF,ew8_w_PER12MF,ew8_w_PRIVATE_FLOW,ew8_w_FOREIGN_FLOW,top2_gross,top2_w_MOM1M,top2_w_MOM12_1,top2_w_OP12_REV,top2_w_OPFY1_REV,top2_w_PBR12MF,top2_w_PER12MF,top2_w_PRIVATE_FLOW,top2_w_FOREIGN_FLOW,cost_bps,crash_cap_turnover,crash_cap_ret,persist_only_turnover,persist_only_ret,ew8_turnover,ew8_ret,top2_turnover,top2_ret
2020-01-03,K200,2020,0.1572162729499817,-0.9179452351403782,-0.14969523709363677,0.17579787683631196,0.28338621848864387,EW8,EW8,False,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.06448953891975705,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,0.5,0.018919013308884847,0.5,0.018919013308884847,0.5,0.018919013308884847,0.5,0.06448953891975705
2020-02-04,K200,2020,-0.40717490268446077,2.0881204447507247,-0.14969523709363677,0.17579787683631196,0.28338621848864387,BOTTOM2,BOTTOM2,False,-0.0316726403346868,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0316726403346868,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.015262968795943337,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0242069170561192,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0.75,-0.0316726403346868,0.75,-0.0316726403346868,0.0,-0.015262968795943337,0.5,-0.0242069170561192
2020-03-03,K200,2020,0.5380164029663516,-0.5056806739913832,-0.14969523709363677,0.17579787683631196,0.28338621848864387,TOP2,TOP2,False,0.03191322196619715,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03191322196619715,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.012425918179522412,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.03191322196619715,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,1.0,0.03191322196619715,1.0,0.03191322196619715,0.0,-0.012425918179522412,1.0,0.03191322196619715
2020-03-31,K200,2020,-0.20486837175693398,1.9141690643349731,-0.14969523709363677,0.17579787683631196,0.28338621848864387,BOTTOM2,BOTTOM2,False,0.08625354207575425,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.08625354207575425,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.01775432805667497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0954411292816823,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.0,0.08625354207575425,1.0,0.08625354207575425,0.0,-0.01775432805667497,0.5,-0.0954411292816823
2020-04-29,K200,2020,-0.8142216348424872,3.0667645493310887,-0.14969523709363677,0.17579787683631196,0.28338621848864387,BOTTOM2,BOTTOM2,False,0.02388649049848575,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02388649049848575,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0179769002723153,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.01430144682540535,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,1.0,0.02388649049848575,1.0,0.02388649049848575,0.0,0.0179769002723153,1.0,-0.01430144682540535
2020-06-01,K200,2020,0.6924151693840039,0.6249982692509449,-0.14969523709363677,0.17579787683631196,0.28338621848864387,TOP2,EW8,True,0.04823952027364905,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.04823952027364905,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0,0.75,0.02129135968113364,0.5,0.04823952027364905,0.0,0.02129135968113364,1.0,0.04823952027364905
2020-06-29,K200,2020,-0.5972332597493049,2.719750282520504,-0.14969523709363677,0.17579787683631196,0.28338621848864387,BOTTOM2,BOTTOM2,False,-0.0046199949432072,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0046199949432072,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.023294878296217,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.053646524683585606,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0.75,-0.0046199949432072,1.0,-0.0046199949432072,0.0,0.023294878296217,0.5,0.053646524683585606
2020-07-27,K200,2020,0.8015433854306405,-0.31368898761279557,-0.14969523709363677,0.17579787683631196,0.28338621848864387,TOP2,TOP2,False,0.0346620030185723,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0346620030185723,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.002922272730150586,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0346620030185723,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,1.0,0.0346620030185723,1.0,0.0346620030185723,0.0,0.002922272730150586,0.0,0.0346620030185723
2020-08-25,K200,2020,-0.08639709707867486,1.085671789808557,-0.14969523709363677,0.17579787683631196,0.28338621848864387,EW8,EW8,False,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.01855113289181795,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.75,0.0009424384186942254,0.75,0.0009424384186942254,0.0,0.0009424384186942254,1.0,-0.01855113289181795
2020-09-22,K200,2020,-0.06596295857307848,1.0149635052746506,-0.14969523709363677,0.17579787683631196,0.28338621848864387,EW8,EW8,False,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.11433706517410794,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0.0,0.036051607814026165,0.0,0.036051607814026165,0.0,0.036051607814026165,1.0,0.11433706517410794
