universe,cost_bps,period,n_rebalances,crash_cap_cagr,crash_cap_sharpe,crash_cap_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,top2_mdd,delta_sharpe_vs_persist,delta_cagr_vs_persist,delta_mdd_vs_persist,delta_sharpe_vs_ew8,delta_cagr_vs_ew8,delta_mdd_vs_ew8,cap_trigger_share,persist_top2_share,annual_cap_turnover
K200,0,DEV_2020_2022,38,0.0444896889072639,0.4141092355412862,-0.17716024417114629,0.053548671758540944,0.47797830729089286,-0.1771602441711464,0.06879329409688362,0.9271017088753126,-0.061322765464919105,0.032670774411281744,0.28377043965786075,-0.13180222196697777,-0.06386907174960665,-0.009058982851277042,1.1102230246251565e-16,-0.5129924733340264,-0.024303605189619715,-0.11583747870622718,0.02631578947368421,0.39473684210526316,9.035526315789474
KOSDAQ,0,DEV_2020_2022,38,0.07190919847223709,0.6250858244919854,-0.09650063006505116,0.07190919847223709,0.6250858244919854,-0.09650063006505116,0.04196688868988119,0.6948641799186976,-0.1003203287307477,0.08349194710304131,0.6152740599473255,-0.16194896393500946,0.0,0.0,0.0,-0.06977835542671229,0.029942309782355903,0.003819698665696536,0.0,0.42105263157894735,8.952631578947368
KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.11417215116878188,0.9704914120011073,-0.07664651255705768,0.11417215116878188,0.9704914120011073,-0.07664651255705768,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.09351506458952596,0.7299419985067269,-0.13554160378988944,0.0,0.0,0.0,0.05729364368175871,0.05383116369855756,0.010566569332210562,0.0,0.2894736842105263,9.118421052631579
KOSPI_ALL,0,DEV_2020_2022,38,0.07621519213647487,0.9267082695877551,-0.08034580459200646,0.06863959528560493,0.809250037448678,-0.08739405986491733,0.06784398735064134,1.0980679005285914,-0.04072532130981743,0.04618925709060262,0.39406706339106023,-0.1576972702241317,0.11745823213907713,0.007575596850869948,0.007048255272910864,-0.17135963094083628,0.00837120478583353,-0.039620483282189034,0.07894736842105263,0.2631578947368421,6.880263157894737
KOSPI_EX_K200,0,DEV_2020_2022,31,0.03706150214915116,0.3056262508851801,-0.1229268085224745,0.05367433873405658,0.3990122937992549,-0.1229268085224745,0.08418644663110508,0.9894260487380767,-0.06475484058299585,0.16033114286904793,0.9773542447977174,-0.1502623011395613,-0.09338604291407482,-0.01661283658490542,0.0,-0.6837997978528967,-0.04712494448195392,-0.05817196793947865,0.16129032258064516,0.2903225806451613,7.112903225806452
KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.03313478603770981,0.3530777138227448,-0.11113239271573372,0.02537169351652624,0.2848197311058508,-0.11113239271573383,0.07539231049923023,1.231490309029853,-0.0308142093400241,0.022858651921169537,0.22014881101303815,-0.21264806282555215,0.06825798271689398,0.007763092521183568,1.1102230246251565e-16,-0.8784125952071082,-0.042257524461520424,-0.08031818337570962,0.02631578947368421,0.21052631578947367,8.289473684210527
K200,0,CONFIRM_2023_2024,24,0.2063522167265992,1.308460932226839,-0.044675506951512345,0.22543745695742157,1.4075589716310777,-0.044675506951512345,0.10812552676521658,1.4845132388569693,-0.03179925204880618,0.09689955473524803,0.6897617652054854,-0.10711412614167382,-0.09909803940423867,-0.019085240230822365,0.0,-0.17605230663013027,0.09822668996138262,-0.012876254902706163,0.08333333333333333,0.2916666666666667,8.00625
KOSDAQ,0,CONFIRM_2023_2024,24,0.14892563879383625,1.3114544957324734,-0.048479203908381674,0.24602991170212274,1.4262450566298162,-0.04847920390838156,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.04440735746819824,0.30240744461305163,-0.14939917588656715,-0.11479056089734274,-0.09710427290828649,-1.1102230246251565e-16,0.7706535908756267,0.11062904126191242,0.01808971487344435,0.125,0.4583333333333333,8.6625
KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.14942694926113664,1.199280243452435,-0.06995301257926534,0.14909711858374886,1.1910531990800297,-0.06995301257926545,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.0525242265289505,0.3309777027451042,-0.2136566862423641,0.00822704437240529,0.00032983067738778793,1.1102230246251565e-16,0.447321960052646,0.10220881544954086,0.0038190831223340327,0.08333333333333333,0.375,9.31875
KOSPI_ALL,0,CONFIRM_2023_2024,24,0.10481505724924545,1.0873316619128017,-0.0497990068039873,0.13453466883101028,1.2892971079293531,-0.0497990068039873,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.17608548338274388,1.0309319266032486,-0.09116905875511094,-0.20196544601655142,-0.029719611581764838,0.0,-0.16542007938608405,0.01963679360358217,-0.00345037258175529,0.08333333333333333,0.375,7.3500000000000005
