feature,target,n_universe_years,train_direction_median,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
CROSS_HORIZON_RANK_CORR,TARGET_REVERSAL_GAP_20,42,1.0,0.02733987213179998,0.5555555555555556,-0.00016468864502945917,0.1787018736858525,0.75,0.005720964457300519,-0.1873202324826932,0.0,-0.02466300082930302,0.012399046385241766,0.5,-0.030536654845222253,5,6,True
DISPERSION_60,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.17439017084509567,0.6111111111111112,0.1470676691729323,0.17485753530491566,0.8333333333333334,0.1246000376435159,-0.12651919279945079,0.3333333333333333,-0.1574346405228758,-0.1375768614497333,0.3333333333333333,,5,6,True
ABS_OPPORTUNITY_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.10971426972165119,0.6111111111111112,0.08437499999999998,0.16152894106650664,0.8333333333333334,0.0256667884545122,-0.0703426659967892,0.16666666666666666,-0.015109890109890112,0.14239935864491038,0.8333333333333334,0.38888888888888895,6,6,True
LOSER_WEAKNESS_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.05631400762110757,0.5555555555555556,0.0625,0.13072035792837267,0.8333333333333334,0.08670343137254904,-0.01425723269562804,0.3333333333333333,-0.012254901960784298,0.039643857398546756,0.5,-0.19444444444444442,5,6,True
LOSER_WEAKNESS_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.061023409363745486,0.6666666666666666,0.0023633683733747766,0.12683673469387755,0.75,0.0037805625782277794,0.018163265306122448,0.6666666666666666,0.004847779943393182,0.05882352941176471,0.8333333333333334,-0.03708202626925479,5,6,True
TOP2_PREMIUM_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.03065919489667133,0.5555555555555556,0.020598370927318282,0.12117297190383214,0.8333333333333334,0.07458133971291869,-0.05560364885803982,0.3333333333333333,-0.016666666666666663,0.15220596931852473,0.8333333333333334,2.7755575615628914e-17,5,6,True
DISPERSION_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.05920490136883468,0.6111111111111112,0.02561327561327556,0.11348452525820776,0.8333333333333334,0.06587301587301586,-0.02251026304265244,0.3333333333333333,0.004598189020939447,0.13433161651487205,1.0,0.11111111111111105,5,6,True
LEADER_STRENGTH_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.03862367021096703,0.5555555555555556,0.03039772727272727,0.10628744412577937,0.8333333333333334,0.04469814241486067,-0.043612670691670526,0.3333333333333333,-0.03402777777777774,0.1377718949278146,0.8333333333333334,0.125,5,6,True
DISPERSION_CHANGE_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.09680763760221367,0.7222222222222222,0.04242424242424245,0.10562680872119001,0.75,0.04758986928104575,0.04818097347879674,0.6666666666666666,0.04194078947368424,-0.030552444007256045,0.16666666666666666,-0.029761904761904767,5,6,True
PC1_SHARE_60,TARGET_REVERSAL_GAP_20,42,-1.0,0.02267707082833133,0.6111111111111112,-0.005468710018781471,0.09732088580112896,0.6666666666666666,0.009661124054951006,0.07428571428571429,0.6666666666666666,-0.008527082335056018,-0.023284313725490197,0.3333333333333333,0.030955021056632177,4,6,True
RANGE_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.08632306611634936,0.6666666666666666,0.011904761904761918,0.0969013530321317,0.8333333333333334,0.062286324786324815,-0.020110950045057828,0.5,0.033333333333333354,0.18861127976360947,0.8333333333333334,0.0,5,6,True
DISPERSION_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.14336434573829532,0.6666666666666666,0.0045539465043121724,0.09634172818063397,0.6666666666666666,0.0030162165657091995,-0.006275510204081632,0.5,0.003697612300136257,0.12377450980392157,0.6666666666666666,0.0006321627012880653,5,6,True
TOP2_ABS_SHARE_20,TARGET_REVERSAL_GAP_20,42,-1.0,0.019789915966386556,0.5,0.0010510937376889062,0.09129396439426835,0.5833333333333334,0.01451854334581258,-0.12362244897959182,0.16666666666666666,-0.016903549216923754,0.058823529411764705,0.5,0.0070192601684927036,4,6,True
BREADTH_CHANGE_20,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.0017781726350521061,0.5,-0.02705949656750567,0.08101808726723485,0.6666666666666666,0.04467963386727686,-0.1653019930138419,0.0,-0.10665987886382625,-0.16314120650509234,0.16666666666666666,-0.11904761904761904,4,6,True
