universe,period,n,TARGET_RANK_CORR_20_mean,TARGET_RANK_CORR_20_median,TARGET_RANK_CORR_60_mean,TARGET_RANK_CORR_60_median,TARGET_TOP2_SURVIVAL_20_mean,TARGET_TOP2_SURVIVAL_20_median,TARGET_TOP2_SAME_20_mean,TARGET_TOP2_SAME_20_median,TARGET_FACTOR_MOM_20_mean,TARGET_FACTOR_MOM_20_median
K200,BULL_2025,49,-0.12682215743440237,-0.11904761904761905,0.17930029154518956,0.14285714285714288,0.37755102040816324,0.5,0.20408163265306123,0.0,-0.022457466788930604,-0.0038590521275027045
K200,CONFIRM_2023_2024,97,0.008100147275405006,0.023809523809523815,-0.15071183112420228,-0.2380952380952381,0.4536082474226804,0.5,0.22164948453608246,0.0,-0.004819045243194997,0.00014871209747890912
K200,DEV_2020_2022,149,0.0260466602748482,-0.023809523809523815,-0.06839245765420263,-0.07142857142857144,0.4697986577181208,0.5,0.2516778523489933,0.0,-0.0030432735157294,-0.002588481250500818
K200,YTD_2026,17,-0.02521008403361346,-0.07142857142857144,0.12605042016806722,0.14285714285714288,0.5,0.5,0.17647058823529413,0.0,-0.023301536272543714,0.002297157032440711
KOSDAQ,BULL_2025,49,0.17832847424684165,0.261904761904762,0.24684159378036935,0.3333333333333334,0.5306122448979592,0.5,0.24489795918367346,0.0,0.02851141761617453,0.026009811768714308
KOSDAQ,CONFIRM_2023_2024,97,0.011782032400589096,0.0,0.11070201276386846,0.09523809523809526,0.4793814432989691,0.5,0.25257731958762886,0.0,0.008727164110037476,0.00040236258986314777
KOSDAQ,DEV_2020_2022,149,0.04666027484819433,0.11904761904761905,-0.0033557046979865654,0.04761904761904763,0.5302013422818792,0.5,0.3187919463087248,0.5,0.006797687538976952,0.013482064225793455
KOSDAQ,YTD_2026,17,0.015406162464985985,0.023809523809523815,0.23109243697478998,0.3571428571428572,0.4117647058823529,0.5,0.2647058823529412,0.5,0.001479524303314772,0.012200016756841459
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,49,0.23712342079689022,0.30952380952380953,0.217687074829932,0.28571428571428575,0.5816326530612245,0.5,0.2755102040816326,0.5,0.03270909343302614,0.027679089437820048
KOSDAQ_PLUS_KOSPI_EX_K200,CONFIRM_2023_2024,97,-0.048109965635738855,-0.07142857142857144,0.11978399607265589,0.11904761904761905,0.44329896907216493,0.5,0.25257731958762886,0.0,-0.002176873341033528,-0.0035069786167203354
KOSDAQ_PLUS_KOSPI_EX_K200,DEV_2020_2022,149,0.1489293704058805,0.2142857142857143,0.03275806967082134,0.07142857142857144,0.5637583892617449,0.5,0.3523489932885906,0.5,0.017832153460829597,0.018267976008483344
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,17,0.10084033613445381,0.28571428571428575,0.2983193277310925,0.5476190476190477,0.5,0.5,0.2647058823529412,0.5,0.005793268483656858,0.024402764590099213
KOSPI_ALL,BULL_2025,49,-0.0534499514091351,-0.023809523809523815,0.34791059280855197,0.4047619047619048,0.45918367346938777,0.5,0.22448979591836735,0.0,-0.009102425953377019,-0.0022848747984762774
KOSPI_ALL,CONFIRM_2023_2024,97,-0.0056455571919489505,0.07142857142857144,0.024791359842906233,-0.023809523809523815,0.4896907216494845,0.5,0.27319587628865977,0.0,-0.0010285844574247638,-0.0008731098185099095
KOSPI_ALL,DEV_2020_2022,149,0.05225311601150528,0.04761904761904763,-0.05784595717481624,-0.04761904761904763,0.4865771812080537,0.5,0.21140939597315436,0.0,0.0036636587827876877,0.006694067231339473
KOSPI_ALL,YTD_2026,17,0.05042016806722688,-0.04761904761904763,0.08123249299719888,0.19047619047619052,0.5294117647058824,0.5,0.14705882352941177,0.0,-0.0032580780349514577,-0.0011768629127614227
KOSPI_EX_K200,BULL_2025,49,0.04130223517978619,0.04761904761904763,0.22400388726919346,0.261904761904762,0.5204081632653061,0.5,0.23469387755102042,0.0,0.006269230524994459,0.004030437456736924
KOSPI_EX_K200,CONFIRM_2023_2024,97,0.061610211094747194,0.09523809523809526,0.03902798232695141,0.04761904761904763,0.5309278350515464,0.5,0.28350515463917525,0.0,0.005188805963971948,0.0027554161595876314
KOSPI_EX_K200,DEV_2020_2022,125,0.016000000000000018,0.023809523809523815,-0.06114285714285715,-0.04761904761904763,0.508,0.5,0.272,0.5,0.006398356199469856,0.0002881675318010535
KOSPI_EX_K200,YTD_2026,17,0.018207282913165274,0.14285714285714288,0.08403361344537814,0.11904761904761905,0.4117647058823529,0.5,0.11764705882352941,0.0,0.008896067731810398,0.018284838840332773
KOSPI_KOSDAQ_ALL,BULL_2025,49,0.07337220602526727,0.14285714285714288,0.21428571428571433,0.261904761904762,0.47959183673469385,0.5,0.15306122448979592,0.0,0.004604544976755364,-0.001593261611080976
KOSPI_KOSDAQ_ALL,CONFIRM_2023_2024,97,-0.012518409425625932,-0.07142857142857144,0.0937653411880216,0.11904761904761905,0.4896907216494845,0.5,0.29896907216494845,0.0,-0.0030849053379090373,-0.006103264003616937
KOSPI_KOSDAQ_ALL,DEV_2020_2022,149,0.11936720997123683,0.19047619047619052,0.032917865132630245,0.04761904761904763,0.5436241610738255,0.5,0.3053691275167785,0.0,0.008993316016902255,0.011554410424985062
KOSPI_KOSDAQ_ALL,YTD_2026,17,-0.09943977591036415,-0.261904761904762,0.2661064425770309,0.5000000000000001,0.4411764705882353,0.5,0.08823529411764706,0.0,-0.02204996665004826,-0.02647047541201919
