feature,target,train_direction_median,n_universe_years,DEV_2020_2022_median_dic,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
MKT_ACT1_BREADTH,TARGET_TOP2_ALPHA_VS_EW8_20,-1.0,42,0.07001200480192077,0.010209156871180989,0.24069191689967362,0.02038323281934863,-0.035025724315773256,-0.0035021010427706166,-0.06251653528785542,-0.00668929050700912,6,6,True
MKT_ACT1_BREADTH,TARGET_TOP2_RELATIVE_LOSS_20,1.0,42,0.07001200480192077,0.010209156871180989,0.24069191689967362,0.02038323281934863,-0.035025724315773256,-0.0035021010427706166,-0.06251653528785542,-0.00668929050700912,6,6,True
KOSDAQ_TA_SHARE,TARGET_FWD_RANGE_20,1.0,42,0.13474189675870346,0.021150938118580764,0.19076530612244896,0.0274892862124129,0.03780612244897959,-0.019056496918271222,0.08210784313725492,,6,6,True
MKT_ACT5_BREADTH,TARGET_FWD_RANGE_20,1.0,42,0.0734423769507803,0.010216079274110917,0.16370245169088696,0.012378138359006273,0.09086734693877549,0.014074158823922822,-0.11029411764705883,-0.029565040489598238,6,6,True
MKT_ACT1_CHANGE_4,TARGET_TOP2_ALPHA_VS_EW8_20,-1.0,42,0.0466266506602641,0.004060433108121845,0.13005229336399554,0.011262439294237807,-0.033418976514758655,-0.0031994701418487075,-0.24019607843137258,-0.0045799600855738545,5,6,True
MKT_ACT1_CHANGE_4,TARGET_TOP2_RELATIVE_LOSS_20,1.0,42,0.0466266506602641,0.004060433108121845,0.13005229336399554,0.011262439294237807,-0.033418976514758655,-0.0031994701418487075,-0.24019607843137258,-0.0045799600855738545,5,6,True
MKT_ACT5_BREADTH,TARGET_TOP2_ALPHA_VS_EW8_20,-1.0,42,0.01786314525810324,0.007820120742020558,0.1221461137646548,0.010409462202782452,0.007809090303217518,-0.0024253514275722125,-0.0030708657281336444,-0.004883953038300586,4,6,True
MKT_ACT5_BREADTH,TARGET_TOP2_RELATIVE_LOSS_20,1.0,42,0.01786314525810324,0.007820120742020558,0.1221461137646548,0.010409462202782452,0.007809090303217518,-0.0024253514275722125,-0.0030708657281336444,-0.004883953038300586,4,6,True
MKT_ACT1_BREADTH,TARGET_FACTOR_MOM_20,-1.0,42,0.04718051809935507,0.009676815907823893,0.0968458680536613,0.021146728618884406,0.0758945459569598,0.00839823426792606,0.11887254901960785,-0.006306078576985084,5,6,True
MKT_ACT1_CHANGE_4,TARGET_FACTOR_MOM_20,-1.0,42,0.0005282112845138047,0.00464847945626125,0.09000108554059921,0.006808313675953301,-0.040612244897959185,-0.006636521591995183,-0.20588235294117652,0.002736372177183101,6,6,True
FACTOR_TOP_ACT5_BREADTH_MEAN,TARGET_FWD_RANGE_20,1.0,42,0.05959183673469387,0.004721162999158167,0.08024967433782024,0.007355056979908715,-0.10688775510204081,-0.00783258965773697,-0.15563725490196081,-0.04763407106229248,5,6,True
MKT_ACT5_CHANGE_4,TARGET_TOP2_ALPHA_VS_EW8_20,-1.0,42,0.0012484993997599037,0.00350581894896927,0.0652409900130265,0.010300399395035041,-0.0690836709654214,-0.00688743074258403,-0.11029411764705883,-0.008358743264701405,5,6,True
MKT_ACT5_CHANGE_4,TARGET_TOP2_RELATIVE_LOSS_20,1.0,42,0.0012484993997599037,0.00350581894896927,0.0652409900130265,0.010300399395035041,-0.0690836709654214,-0.00688743074258403,-0.11029411764705883,-0.008358743264701405,5,6,True
