sample,universe,factor_a,factor_b,corr
FULL,K200,MOM1M,MOM12_1,0.2532157745311154
FULL,K200,MOM1M,OP12_REV,0.2896812652325988
FULL,K200,MOM1M,OPFY1_REV,0.3076052978822627
FULL,K200,MOM1M,PBR12MF,-0.1051040189054925
FULL,K200,MOM1M,PER12MF,-0.042953044467133106
FULL,K200,MOM1M,PRIVATE_FLOW,0.4524459184603954
FULL,K200,MOM1M,FOREIGN_FLOW,0.18228705691954056
FULL,K200,MOM12_1,OP12_REV,0.503758141126129
FULL,K200,MOM12_1,OPFY1_REV,0.43030479397295546
FULL,K200,MOM12_1,PBR12MF,-0.42054568336427633
FULL,K200,MOM12_1,PER12MF,-0.26028156924693124
FULL,K200,MOM12_1,PRIVATE_FLOW,-0.07602711003589632
FULL,K200,MOM12_1,FOREIGN_FLOW,0.16486958287911999
FULL,K200,OP12_REV,OPFY1_REV,0.6951304122183255
FULL,K200,OP12_REV,PBR12MF,-0.33798847680466815
FULL,K200,OP12_REV,PER12MF,-0.2653166558965408
FULL,K200,OP12_REV,PRIVATE_FLOW,0.05616015181267432
FULL,K200,OP12_REV,FOREIGN_FLOW,0.19300314171222346
FULL,K200,OPFY1_REV,PBR12MF,-0.22461838879476037
FULL,K200,OPFY1_REV,PER12MF,-0.06736474021435673
FULL,K200,OPFY1_REV,PRIVATE_FLOW,-0.0013484594603683695
FULL,K200,OPFY1_REV,FOREIGN_FLOW,0.2606557761005598
FULL,K200,PBR12MF,PER12MF,0.8558101405589849
FULL,K200,PBR12MF,PRIVATE_FLOW,0.0880346574831081
FULL,K200,PBR12MF,FOREIGN_FLOW,-0.09063068181060581
FULL,K200,PER12MF,PRIVATE_FLOW,0.06945998873296962
FULL,K200,PER12MF,FOREIGN_FLOW,-0.036001881884572
FULL,K200,PRIVATE_FLOW,FOREIGN_FLOW,-0.04354797392259166
2016_2019,K200,MOM1M,MOM12_1,0.19184448227828255
2016_2019,K200,MOM1M,OP12_REV,0.3692468587244238
2016_2019,K200,MOM1M,OPFY1_REV,0.29288351823639325
2016_2019,K200,MOM1M,PBR12MF,-0.08289528062356102
2016_2019,K200,MOM1M,PER12MF,-0.0591020309089525
2016_2019,K200,MOM1M,PRIVATE_FLOW,0.24519829162046197
2016_2019,K200,MOM1M,FOREIGN_FLOW,0.2690488007127494
2016_2019,K200,MOM12_1,OP12_REV,0.48260817392461425
2016_2019,K200,MOM12_1,OPFY1_REV,0.31430654527052054
2016_2019,K200,MOM12_1,PBR12MF,-0.38759496181358843
2016_2019,K200,MOM12_1,PER12MF,-0.28751923344576297
2016_2019,K200,MOM12_1,PRIVATE_FLOW,-0.2174819517957667
2016_2019,K200,MOM12_1,FOREIGN_FLOW,0.2166715718184319
2016_2019,K200,OP12_REV,OPFY1_REV,0.6247325402578086
2016_2019,K200,OP12_REV,PBR12MF,-0.21527716749956444
2016_2019,K200,OP12_REV,PER12MF,-0.16357627281431458
2016_2019,K200,OP12_REV,PRIVATE_FLOW,-0.07959813569034749
2016_2019,K200,OP12_REV,FOREIGN_FLOW,0.2886451023576916
2016_2019,K200,OPFY1_REV,PBR12MF,-0.03354195476464699
2016_2019,K200,OPFY1_REV,PER12MF,0.0695092796928069
2016_2019,K200,OPFY1_REV,PRIVATE_FLOW,-0.1435295205126732
2016_2019,K200,OPFY1_REV,FOREIGN_FLOW,0.11061587463674616
2016_2019,K200,PBR12MF,PER12MF,0.8544107463202864
2016_2019,K200,PBR12MF,PRIVATE_FLOW,0.12957880948487638
2016_2019,K200,PBR12MF,FOREIGN_FLOW,-0.18638183980702946
2016_2019,K200,PER12MF,PRIVATE_FLOW,0.12242294383857612
2016_2019,K200,PER12MF,FOREIGN_FLOW,-0.1924195083216551
2016_2019,K200,PRIVATE_FLOW,FOREIGN_FLOW,-0.010790685425308614
2020_2022,K200,MOM1M,MOM12_1,0.23536752211202808
2020_2022,K200,MOM1M,OP12_REV,0.38777611921155986
2020_2022,K200,MOM1M,OPFY1_REV,0.3690155357551541
2020_2022,K200,MOM1M,PBR12MF,-0.15556217593906094
2020_2022,K200,MOM1M,PER12MF,-0.13441297667888055
2020_2022,K200,MOM1M,PRIVATE_FLOW,0.5508238527114715
2020_2022,K200,MOM1M,FOREIGN_FLOW,0.20851735767020763
2020_2022,K200,MOM12_1,OP12_REV,0.4740133808467927
2020_2022,K200,MOM12_1,OPFY1_REV,0.482891468588918
2020_2022,K200,MOM12_1,PBR12MF,-0.488106364196294
2020_2022,K200,MOM12_1,PER12MF,-0.33051316780718504
2020_2022,K200,MOM12_1,PRIVATE_FLOW,0.0037131126515654567
2020_2022,K200,MOM12_1,FOREIGN_FLOW,0.31016310140834397
2020_2022,K200,OP12_REV,OPFY1_REV,0.7401717126991384
2020_2022,K200,OP12_REV,PBR12MF,-0.1741503940281026
2020_2022,K200,OP12_REV,PER12MF,-0.1740179269268225
2020_2022,K200,OP12_REV,PRIVATE_FLOW,0.16798015891338786
2020_2022,K200,OP12_REV,FOREIGN_FLOW,0.16824595144080953
2020_2022,K200,OPFY1_REV,PBR12MF,-0.23356626634769384
2020_2022,K200,OPFY1_REV,PER12MF,-0.1001535183912863
2020_2022,K200,OPFY1_REV,PRIVATE_FLOW,0.09198762330372491
2020_2022,K200,OPFY1_REV,FOREIGN_FLOW,0.29555250819241574
2020_2022,K200,PBR12MF,PER12MF,0.8706068343040183
2020_2022,K200,PBR12MF,PRIVATE_FLOW,0.03108073361985815
2020_2022,K200,PBR12MF,FOREIGN_FLOW,-0.13091407126557186
2020_2022,K200,PER12MF,PRIVATE_FLOW,-0.01060341533407733
