universe,predictor,target,era,n,discovery_ic,direction,raw_ic,directed_ic,frozen_q1,frozen_q2,directed_high_low,n_low,n_high
K200,dispersion20,future_dispersion20,DISCOVERY_2016_2019,184,0.2004738880006164,1,0.2004738880006164,0.2004738880006164,0.0226635108121475,0.0327024022800849,0.005941767123191367,62,62
K200,dispersion20,future_dispersion20,VALIDATION_2020_2022,149,0.2004738880006164,1,0.023566116452022494,0.023566116452022494,0.0226635108121475,0.0327024022800849,0.0009255210146623186,18,84
K200,dispersion20,future_dispersion20,CONFIRM_2023_2024,97,0.2004738880006164,1,0.06197401641068798,0.06197401641068798,0.0226635108121475,0.0327024022800849,0.005329200489682277,18,38
K200,dispersion20,future_dispersion20,STRESS_2025,49,0.2004738880006164,1,-0.12357142857142855,-0.12357142857142855,0.0226635108121475,0.0327024022800849,,2,38
K200,dispersion20,future_dispersion20,STRESS_2026,25,0.2004738880006164,1,-0.23923076923076922,-0.23923076923076922,0.0226635108121475,0.0327024022800849,,0,25
K200,abs_opportunity20,future_dispersion20,DISCOVERY_2016_2019,184,0.2373909190730288,1,0.2373909190730288,0.2373909190730288,0.0205011572428563,0.0296339304054064,0.00437048817491853,62,62
K200,abs_opportunity20,future_dispersion20,VALIDATION_2020_2022,149,0.2373909190730288,1,-0.09761654271721386,-0.09761654271721386,0.0205011572428563,0.0296339304054064,-0.001929551493116556,23,88
K200,abs_opportunity20,future_dispersion20,CONFIRM_2023_2024,97,0.2373909190730288,1,0.0827766673679781,0.0827766673679781,0.0205011572428563,0.0296339304054064,0.00266886127831846,18,46
K200,abs_opportunity20,future_dispersion20,STRESS_2025,49,0.2373909190730288,1,0.01357142857142857,0.01357142857142857,0.0205011572428563,0.0296339304054064,,2,39
K200,abs_opportunity20,future_dispersion20,STRESS_2026,25,0.2373909190730288,1,-0.15384615384615383,-0.15384615384615383,0.0205011572428563,0.0296339304054064,,0,23
K200,range20,future_dispersion20,DISCOVERY_2016_2019,184,0.20278938953208378,1,0.20278938953208378,0.20278938953208378,0.0659960608127977,0.0939951389143807,0.004799480996112562,62,62
K200,range20,future_dispersion20,VALIDATION_2020_2022,149,0.20278938953208378,1,0.009319789588245964,0.009319789588245964,0.0659960608127977,0.0939951389143807,0.0007445100089937123,20,87
K200,range20,future_dispersion20,CONFIRM_2023_2024,97,0.20278938953208378,1,0.06560330317694088,0.06560330317694088,0.0659960608127977,0.0939951389143807,0.007656905764558217,19,42
K200,range20,future_dispersion20,STRESS_2025,49,0.20278938953208378,1,-0.09153061224489796,-0.09153061224489796,0.0659960608127977,0.0939951389143807,,4,37
K200,range20,future_dispersion20,STRESS_2026,25,0.20278938953208378,1,-0.23153846153846153,-0.23153846153846153,0.0659960608127977,0.0939951389143807,,0,25
K200,breadth20,future_dispersion20,DISCOVERY_2016_2019,184,-0.057922220574121094,-1,-0.057922220574121094,0.057922220574121094,0.375,0.625,0.001563733834250857,67,80
K200,breadth20,future_dispersion20,VALIDATION_2020_2022,149,-0.057922220574121094,-1,-0.060156039586519404,0.060156039586519404,0.375,0.625,-9.045269261029332e-05,44,78
K200,breadth20,future_dispersion20,CONFIRM_2023_2024,97,-0.057922220574121094,-1,0.19953101895913886,-0.19953101895913886,0.375,0.625,0.0019703564408468655,35,48
K200,breadth20,future_dispersion20,STRESS_2025,49,-0.057922220574121094,-1,0.11435952862618191,-0.11435952862618191,0.375,0.625,-0.0083293414664865,6,31
K200,breadth20,future_dispersion20,STRESS_2026,25,-0.057922220574121094,-1,0.37215128272154097,-0.37215128272154097,0.375,0.625,,3,19
K200,leader_abs_share20,future_dispersion20,DISCOVERY_2016_2019,184,-0.12481554969081696,-1,-0.12481554969081696,0.12481554969081696,0.2441214568009848,0.2815094696369927,0.002929140933573743,62,62
K200,leader_abs_share20,future_dispersion20,VALIDATION_2020_2022,149,-0.12481554969081696,-1,0.019717032468710323,-0.019717032468710323,0.2441214568009848,0.2815094696369927,-0.003858257039572356,43,65
K200,leader_abs_share20,future_dispersion20,CONFIRM_2023_2024,97,-0.12481554969081696,-1,-0.024523984851672623,0.024523984851672623,0.2441214568009848,0.2815094696369927,0.0008607842235602223,35,39
K200,leader_abs_share20,future_dispersion20,STRESS_2025,49,-0.12481554969081696,-1,0.06377551020408163,-0.06377551020408163,0.2441214568009848,0.2815094696369927,-0.0018372049200035476,17,17
K200,leader_abs_share20,future_dispersion20,STRESS_2026,25,-0.12481554969081696,-1,-0.2569230769230769,0.2569230769230769,0.2441214568009848,0.2815094696369927,0.03172766747186803,9,8
K200,avg_pair_corr_60,future_dispersion20,DISCOVERY_2016_2019,184,-0.03918437325422357,-1,-0.03918437325422357,0.03918437325422357,0.039571518468309,0.1149717197496557,0.00020029037721406434,62,62
K200,avg_pair_corr_60,future_dispersion20,VALIDATION_2020_2022,149,-0.03918437325422357,-1,-0.36688554326138223,0.36688554326138223,0.039571518468309,0.1149717197496557,0.01622305572640038,55,61
K200,avg_pair_corr_60,future_dispersion20,CONFIRM_2023_2024,97,-0.03918437325422357,-1,0.04969229960025246,-0.04969229960025246,0.039571518468309,0.1149717197496557,-0.005430063819760571,16,53
K200,avg_pair_corr_60,future_dispersion20,STRESS_2025,49,-0.03918437325422357,-1,-0.2103061224489796,0.2103061224489796,0.039571518468309,0.1149717197496557,0.011484891079398304,6,33
K200,avg_pair_corr_60,future_dispersion20,STRESS_2026,25,-0.03918437325422357,-1,-0.33307692307692305,0.33307692307692305,0.039571518468309,0.1149717197496557,,15,0
K200,pc1_share_60,future_dispersion20,DISCOVERY_2016_2019,184,0.037677948796979444,1,0.037677948796979444,0.037677948796979444,0.4155202211566575,0.4717944552781277,0.0021618370542834664,62,62
K200,pc1_share_60,future_dispersion20,VALIDATION_2020_2022,149,0.037677948796979444,1,0.12212225648467259,0.12212225648467259,0.4155202211566575,0.4717944552781277,-0.003260267177973064,18,96
