era,universe,x,y,nonoverlap,n,ic,horizon
2016_2019,K200,current_dispersion20,future_dispersion10,False,184,0.08155304270771126,10
2016_2019,KOSDAQ,current_dispersion20,future_dispersion10,False,184,0.06618250467145692,10
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,184,0.17890620485060968,10
2016_2019,KOSPI_ALL,current_dispersion20,future_dispersion10,False,184,0.030255629827974806,10
2016_2019,KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,184,0.12648956868486447,10
2016_2019,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion10,False,184,0.15745025139180518,10
2020_2022,K200,current_dispersion20,future_dispersion10,False,149,0.004589152911300563,10
2020_2022,KOSDAQ,current_dispersion20,future_dispersion10,False,149,0.16023580627607475,10
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,149,0.23990930527843282,10
2020_2022,KOSPI_ALL,current_dispersion20,future_dispersion10,False,149,0.23930346453836385,10
2020_2022,KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,133,0.40594872527315573,10
2020_2022,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion10,False,149,0.29396335933248685,10
2023_2024,K200,current_dispersion20,future_dispersion10,False,97,0.18004418262150218,10
2023_2024,KOSDAQ,current_dispersion20,future_dispersion10,False,97,0.34583420997264885,10
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,97,0.2677256469598148,10
2023_2024,KOSPI_ALL,current_dispersion20,future_dispersion10,False,97,0.10468388386282347,10
2023_2024,KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,97,0.14757784557121817,10
2023_2024,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion10,False,97,0.2151535872080791,10
2025,K200,current_dispersion20,future_dispersion10,False,49,0.1254081632653061,10
2025,KOSDAQ,current_dispersion20,future_dispersion10,False,49,0.08397959183673467,10
2025,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,49,-0.00857142857142857,10
2025,KOSPI_ALL,current_dispersion20,future_dispersion10,False,49,-0.1414285714285714,10
2025,KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,49,-0.11183673469387753,10
2025,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion10,False,49,0.019183673469387753,10
2026,K200,current_dispersion20,future_dispersion10,False,17,-0.37990196078431376,10
2026,KOSDAQ,current_dispersion20,future_dispersion10,False,17,-0.06862745098039216,10
2026,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,17,0.17647058823529413,10
2026,KOSPI_ALL,current_dispersion20,future_dispersion10,False,17,-0.24264705882352944,10
2026,KOSPI_EX_K200,current_dispersion20,future_dispersion10,False,17,0.18872549019607845,10
2026,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion10,False,17,0.17401960784313728,10
2016_2019,K200,current_dispersion20,future_dispersion20,False,184,0.2004738880006164,20
2016_2019,KOSDAQ,current_dispersion20,future_dispersion20,False,184,0.12773593265396543,20
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion20,False,184,0.18575253799772684,20
2016_2019,KOSPI_ALL,current_dispersion20,future_dispersion20,False,184,0.13834832694419294,20
2016_2019,KOSPI_EX_K200,current_dispersion20,future_dispersion20,False,184,0.14406965768334265,20
