signal,era,median_universe_ic,positive_universes,universe_count
GLOBAL_TOP2_SHARE,2016_2019,0.04875676743116682,6,6
GLOBAL_TOP2_SHARE,2020_2022,0.06505537596052821,6,6
GLOBAL_TOP2_SHARE,2023_2024,0.012354155277685021,3,6
GLOBAL_TOP2_SHARE,2025,0.03205219124500839,5,6
GLOBAL_TOP2_SHARE,2026,0.12821343726149442,6,6
GLOBAL_POSITIVE_SHARE,2016_2019,0.09321065160353925,6,6
GLOBAL_POSITIVE_SHARE,2020_2022,0.10530174735396618,6,6
GLOBAL_POSITIVE_SHARE,2023_2024,0.04908472702800873,5,6
GLOBAL_POSITIVE_SHARE,2025,0.16203479424164535,5,6
GLOBAL_POSITIVE_SHARE,2026,0.17975597501785462,6,6
GLOBAL_MEAN_PAYOFF20,2016_2019,0.09523809523809525,6,6
GLOBAL_MEAN_PAYOFF20,2020_2022,0.13095238095238096,6,6
GLOBAL_MEAN_PAYOFF20,2023_2024,0.04761904761904763,4,6
GLOBAL_MEAN_PAYOFF20,2025,0.07142857142857145,5,6
GLOBAL_MEAN_PAYOFF20,2026,0.08333333333333334,5,6
NEG_GLOBAL_RANK_DISPERSION20,2016_2019,0.023845274166709157,4,6
NEG_GLOBAL_RANK_DISPERSION20,2020_2022,0.023809523809523815,5,6
NEG_GLOBAL_RANK_DISPERSION20,2023_2024,0.011904761904761908,3,6
NEG_GLOBAL_RANK_DISPERSION20,2025,0.1202235750759981,5,6
NEG_GLOBAL_RANK_DISPERSION20,2026,0.17322680369119844,5,6
