sample,overlay,n_factor_configs,return_improve_share,sharpe_improve_share,mdd_improve_share,median_return_delta,median_sharpe_delta,median_turnover_delta
FULL,ACT1_W10,48,0.5625,0.4791666666666667,0.6875,0.0006554721348430159,-0.0007479755104762148,0.07559229602031153
FULL,ACT1_W20,48,0.20833333333333334,0.20833333333333334,0.5208333333333334,-0.018065250138761757,-0.07815932087168523,0.2074621035710531
FULL,ACT5_GT1,48,0.16666666666666666,0.1875,0.3333333333333333,-0.04522322625808278,-0.17492909580213684,0.3200108282637313
FULL,ACT5_KEEP_TOP50,48,0.375,0.3958333333333333,0.6041666666666666,-0.012908975081868501,-0.04859227145372075,0.2500292955545874
FULL,ACT5_KEEP_TOP70,48,0.5416666666666666,0.5208333333333334,0.625,0.003650888361570681,0.002273753564336095,0.14613824497092978
FULL,ACT5_MULTIPLY,48,0.16666666666666666,0.16666666666666666,0.4375,-0.026730914835140562,-0.10911886494282025,0.27608731577603185
FULL,ACT5_W10,48,0.4375,0.4375,0.7083333333333334,-0.004509135940699904,-0.013358764716809357,0.07374404699307421
FULL,ACT5_W20,48,0.3333333333333333,0.2916666666666667,0.5208333333333334,-0.013094717805553935,-0.05411443860979262,0.2047383681624927
FULL,RAW_TA_W10,48,0.6458333333333334,0.6458333333333334,0.5416666666666666,0.006292838570692405,0.013960757518702974,0.005308880308880326
FULL,TURNOVER_W10,48,0.6041666666666666,0.5833333333333334,0.625,0.004204604504866816,0.011893212062739605,0.013513513513513584
FULL,TURNOVER_W20,48,0.5833333333333334,0.5833333333333334,0.5625,0.00986792270539738,0.026290200685796905,0.029536679536679544
OOS_2023_PLUS,ACT1_W10,48,0.5208333333333334,0.5208333333333334,0.6666666666666666,0.0035675894242084283,0.006258501496932217,0.0709302325581396
OOS_2023_PLUS,ACT1_W20,48,0.125,0.125,0.6041666666666666,-0.04366044932530444,-0.13721010803257527,0.19883720930232562
OOS_2023_PLUS,ACT5_GT1,48,0.22916666666666666,0.2916666666666667,0.6041666666666666,-0.03778532595424633,-0.1349220099405095,0.31018171179931764
OOS_2023_PLUS,ACT5_KEEP_TOP50,48,0.5833333333333334,0.5833333333333334,0.8541666666666666,0.009591698079738031,0.05413366682850296,0.24389534883720929
OOS_2023_PLUS,ACT5_KEEP_TOP70,48,0.7083333333333334,0.7083333333333334,0.8541666666666666,0.01988916381894501,0.06564666821592344,0.13924418604651162
OOS_2023_PLUS,ACT5_MULTIPLY,48,0.3125,0.3125,0.7708333333333334,-0.03795638105180821,-0.1569142348727061,0.2732558139534884
OOS_2023_PLUS,ACT5_W10,48,0.5625,0.5625,0.7291666666666666,0.006013127283060471,0.01694651259865279,0.0715116279069768
OOS_2023_PLUS,ACT5_W20,48,0.4583333333333333,0.4583333333333333,0.8125,-0.002829380380548585,-0.01282475705482794,0.2029069767441861
OOS_2023_PLUS,RAW_TA_W10,48,0.5625,0.5,0.25,0.0053459050997143875,-0.002671322002470028,-0.0011627906976744429
OOS_2023_PLUS,TURNOVER_W10,48,0.5625,0.4166666666666667,0.3125,0.00874765439736469,-0.027009987834180738,0.0183139534883721
OOS_2023_PLUS,TURNOVER_W20,48,0.2708333333333333,0.22916666666666666,0.125,-0.023616734733193145,-0.06322351900625633,0.05116279069767449
