sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,-0.038530256959731224,-0.13976239033585253,-0.027288295081884684,0.10053032465483835
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,0,-0.03803493219770848,-0.13310517401503036,-0.020256359946236646,0.20753421570542196
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,-0.03079058142020008,-0.1087395547418914,0.018370368632382506,0.1293240989739045
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,10,0,-0.019755618872081326,-0.06851378944336606,0.01790045940456919,0.11687273710620016
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,-0.009961801141251447,-0.04732158595045133,-0.03139799269448529,-0.002702702702702675
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,0.013389388326697782,0.03114419633663912,-0.03437743054842546,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,-0.04495755329185469,-0.17378284566811414,-0.04925149779014659,0.10053032465483835
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,30,-0.052791851739782736,-0.20757562152653158,-0.054904834350845255,0.20753421570542196
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,-0.03981081984067214,-0.15394825832213915,0.0017337279014334461,0.1293240989739045
FULL,FOREIGN_FLOW,HIGH,ACT5_W10,10,30,-0.028313612892018947,-0.10842121612242828,-0.0011503725215166183,0.11687273710620016
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,-0.009352350740383653,-0.04094105200332665,-0.021659418877259085,-0.002702702702702675
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,0.012506340443686259,0.037728511002123544,-0.024047151578350245,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,-0.050798761305734796,-0.2078237843103213,-0.036964579138882625,0.10053032465483835
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,60,-0.06616984866611131,-0.2819214091993195,-0.08734984351213648,0.20753421570542196
FULL,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,-0.04802863773486998,-0.19914752082823456,0.037978957820223425,0.1293240989739045
