year,overlay,n_configs,return_improve_share,median_return_delta,median_turnover_delta
2016,ACT1_W10,96,0.3958333333333333,-0.0191709993282857,0.07956521739130434
2016,ACT5_KEEP_TOP50,96,0.53125,0.007800745356036087,0.2677826086956522
2016,ACT5_KEEP_TOP70,96,0.28125,-0.026692297773651896,0.16386956521739132
2016,ACT5_W10,96,0.3854166666666667,-0.008959451534842122,0.07695652173913037
2016,RAW_TA_W10,96,0.40625,-0.007810158901395026,0.007999999999999959
2016,TURNOVER_W10,96,0.4375,-0.002649351616392681,0.00899999999999998
2017,ACT1_W10,96,0.3958333333333333,-0.014005156920977035,0.06458333333333338
2017,ACT5_KEEP_TOP50,96,0.15625,-0.08216594617275574,0.2708333333333334
2017,ACT5_KEEP_TOP70,96,0.2916666666666667,-0.053353687865134836,0.153125
2017,ACT5_W10,96,0.2604166666666667,-0.02879988034504133,0.07187500000000006
2017,RAW_TA_W10,96,0.5520833333333334,0.007608995700113197,0.006249999999999978
2017,TURNOVER_W10,96,0.4895833333333333,-4.767027523533418e-05,0.011458333333333369
2018,ACT1_W10,96,0.4583333333333333,-0.006275818785911713,0.09399999999999997
2018,ACT5_KEEP_TOP50,96,0.2916666666666667,-0.03817589194897125,0.2480000000000001
2018,ACT5_KEEP_TOP70,96,0.3541666666666667,-0.025954674659601884,0.158
2018,ACT5_W10,96,0.4791666666666667,-0.007176425720120672,0.08000000000000002
2018,RAW_TA_W10,96,0.5104166666666666,0.0008858867803921422,0.006000000000000005
2018,TURNOVER_W10,96,0.6666666666666666,0.013069984981826377,0.013000000000000012
2019,ACT1_W10,96,0.3958333333333333,-0.013349729812538569,0.07291666666666667
2019,ACT5_KEEP_TOP50,96,0.5,6.322668880159865e-05,0.27916666666666656
2019,ACT5_KEEP_TOP70,96,0.6770833333333334,0.03096148058833209,0.15937500000000004
2019,ACT5_W10,96,0.3958333333333333,-0.009221504918852208,0.0802083333333334
2019,RAW_TA_W10,96,0.625,0.005609399135014181,0.002083333333333326
2019,TURNOVER_W10,96,0.5,-0.0004462493224364761,0.010416666666666657
2020,ACT1_W10,96,0.40625,-0.029971640218695805,0.0650000000000001
2020,ACT5_KEEP_TOP50,96,0.2708333333333333,-0.09417205833565667,0.24399999999999988
2020,ACT5_KEEP_TOP70,96,0.3125,-0.038936834332295445,0.15000000000000008
2020,ACT5_W10,96,0.3645833333333333,-0.04938448381411298,0.07299999999999997
2020,RAW_TA_W10,96,0.71875,0.04329515223810454,0.009000000000000008
2020,TURNOVER_W10,96,0.7395833333333334,0.07797186578905724,0.006999999999999951
2021,ACT1_W10,96,0.8020833333333334,0.036473504626878095,0.07400000000000002
2021,ACT5_KEEP_TOP50,96,0.7708333333333334,0.056227107076746274,0.254
2021,ACT5_KEEP_TOP70,96,0.6979166666666666,0.044698884824384,0.14800000000000002
2021,ACT5_W10,96,0.6041666666666666,0.021223640856132375,0.07299999999999997
2021,RAW_TA_W10,96,0.4583333333333333,-0.012875849254366523,0.0030000000000000027
2021,TURNOVER_W10,96,0.5,0.00010952463844310367,0.01100000000000001
2022,ACT1_W10,96,0.3333333333333333,-0.018890448808563776,0.09400000000000008
2022,ACT5_KEEP_TOP50,96,0.17708333333333334,-0.057405671902004574,0.2840000000000001
2022,ACT5_KEEP_TOP70,96,0.34375,-0.015829980382355724,0.18800000000000008
2022,ACT5_W10,96,0.21875,-0.03425125196979051,0.08200000000000006
2022,RAW_TA_W10,96,0.28125,-0.018504824637600448,1.3877787807814457e-17
2022,TURNOVER_W10,96,0.3125,-0.0177548876085738,0.014000000000000123
2023,ACT1_W10,96,0.2916666666666667,-0.026060388241190946,0.08645833333333329
2023,ACT5_KEEP_TOP50,96,0.3020833333333333,-0.039679606376886944,0.27604166666666663
2023,ACT5_KEEP_TOP70,96,0.375,-0.015543434415483504,0.18229166666666669
2023,ACT5_W10,96,0.3020833333333333,-0.021708893521363737,0.09791666666666665
2023,RAW_TA_W10,96,0.3541666666666667,-0.018410499338409547,0.007291666666666641
2023,TURNOVER_W10,96,0.28125,-0.020737226230875483,0.015624999999999986
2024,ACT1_W10,96,0.7291666666666666,0.02330334874323059,0.06666666666666665
2024,ACT5_KEEP_TOP50,96,0.59375,0.017609144677258826,0.24166666666666675
2024,ACT5_KEEP_TOP70,96,0.6770833333333334,0.029599193176901073,0.14583333333333334
2024,ACT5_W10,96,0.6770833333333334,0.02338522603623089,0.07916666666666666
2024,RAW_TA_W10,96,0.59375,0.020685286354014565,0.003124999999999989
2024,TURNOVER_W10,96,0.5625,0.005754902225839964,0.015625000000000028
2025,ACT1_W10,96,0.6145833333333334,0.022431553268739912,0.07699999999999989
2025,ACT5_KEEP_TOP50,96,0.3854166666666667,-0.05288492837383485,0.257
2025,ACT5_KEEP_TOP70,96,0.5,-0.00040779160662995917,0.14700000000000002
2025,ACT5_W10,96,0.5729166666666666,0.017495131814698084,0.062
2025,RAW_TA_W10,96,0.75,0.06881869735461943,-0.003999999999999962
2025,TURNOVER_W10,96,0.7083333333333334,0.03152954582333767,0.010999999999999982
2026,ACT1_W10,96,0.40625,-0.023918506527492445,0.0653846153846154
2026,ACT5_KEEP_TOP50,96,0.6666666666666666,0.044948044142065546,0.24807692307692306
2026,ACT5_KEEP_TOP70,96,0.8020833333333334,0.03999260946984978,0.1346153846153846
2026,ACT5_W10,96,0.625,0.01326289461406982,0.06346153846153842
2026,RAW_TA_W10,96,0.4895833333333333,-0.001098764279281239,0.0038461538461538602
2026,TURNOVER_W10,96,0.34375,-0.015688862034611506,0.021153846153846155
