year,factor,direction,overlay,top_n,cost_bps,return_delta,turnover_delta
2016,FOREIGN_FLOW,HIGH,ACT1_W10,10,0,-0.20090563944652662,0.09304347826086956
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,0,-0.12190910711535408,0.15826086956521734
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,0,-0.11382395107346666,0.07999999999999985
2016,FOREIGN_FLOW,HIGH,ACT5_W10,10,0,-0.13715067214782284,0.07565217391304335
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,-0.15903730385710413,0.015999999999999903
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,-0.0783273186322142,0.019999999999999907
2016,FOREIGN_FLOW,HIGH,ACT1_W10,10,30,-0.1966321277737798,0.09304347826086956
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,30,-0.12489958878353646,0.15826086956521734
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,30,-0.11204756996339604,0.07999999999999985
2016,FOREIGN_FLOW,HIGH,ACT5_W10,10,30,-0.13428893784678997,0.07565217391304335
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,-0.15436069908635464,0.015999999999999903
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,-0.07692400399048915,0.019999999999999907
2016,FOREIGN_FLOW,HIGH,ACT1_W10,10,60,-0.19238379835729547,0.09304347826086956
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,10,60,-0.12745010253417122,0.15826086956521734
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,10,60,-0.11024119609727312,0.07999999999999985
2016,FOREIGN_FLOW,HIGH,ACT5_W10,10,60,-0.1314456379022978,0.07565217391304335
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,-0.14980224973410283,0.015999999999999903
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,-0.07551261290030598,0.019999999999999907
2016,FOREIGN_FLOW,HIGH,ACT1_W10,20,0,-0.038766329084622964,0.014956521739130424
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,0,-0.0055426331387105066,0.19321739130434779
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,0,-0.022337041778119127,0.06930434782608708
2016,FOREIGN_FLOW,HIGH,ACT5_W10,20,0,-0.027056188441457518,0.023652173913043528
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,-0.009684841833727198,-0.019999999999999962
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,-0.03454838458358256,-1.1102230246251565e-16
2016,FOREIGN_FLOW,HIGH,ACT1_W10,20,30,-0.036048837463617533,0.014956521739130424
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,30,-0.014673368325157088,0.19321739130434779
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,30,-0.023409049175318386,0.06930434782608708
2016,FOREIGN_FLOW,HIGH,ACT5_W10,20,30,-0.025245426373220692,0.023652173913043528
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,-0.008022911198207194,-0.019999999999999962
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,-0.03336145978363558,-1.1102230246251565e-16
2016,FOREIGN_FLOW,HIGH,ACT1_W10,20,60,-0.03346956911743415,0.014956521739130424
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP50,20,60,-0.023097950219919672,0.19321739130434779
2016,FOREIGN_FLOW,HIGH,ACT5_KEEP_TOP70,20,60,-0.024383417812769537,0.06930434782608708
2016,FOREIGN_FLOW,HIGH,ACT5_W10,20,60,-0.02352739666168413,0.023652173913043528
2016,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,-0.006459226808464114,-0.019999999999999962
2016,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,-0.03221369281594655,-1.1102230246251565e-16
2016,FOREIGN_FLOW,LOW,ACT1_W10,10,0,0.061151157089933905,0.1139130434782607
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,0,0.05218676534302502,0.2139130434782609
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,0,0.0629838136950096,0.157391304347826
2016,FOREIGN_FLOW,LOW,ACT5_W10,10,0,0.04193476516395678,0.07043478260869551
2016,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,0.14139719476744328,-0.020000000000000018
2016,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,0.03377863796654301,-0.016000000000000014
2016,FOREIGN_FLOW,LOW,ACT1_W10,10,30,0.05339912360869592,0.1139130434782607
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,30,0.03659256011409395,0.2139130434782609
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,30,0.051525368954255635,0.157391304347826
2016,FOREIGN_FLOW,LOW,ACT5_W10,10,30,0.038692167645226094,0.07043478260869551
2016,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,0.13785711331190975,-0.020000000000000018
2016,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,0.03386460669451585,-0.016000000000000014
2016,FOREIGN_FLOW,LOW,ACT1_W10,10,60,0.046171381852210924,0.1139130434782607
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,10,60,0.022269775582945073,0.2139130434782609
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,10,60,0.04091733522975205,0.157391304347826
2016,FOREIGN_FLOW,LOW,ACT5_W10,10,60,0.03563062112016757,0.07043478260869551
2016,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,0.1343683520211747,-0.020000000000000018
2016,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,0.03388966605592225,-0.016000000000000014
2016,FOREIGN_FLOW,LOW,ACT1_W10,20,0,-0.0356437469333426,0.061304347826087124
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,0,-0.03679005506549138,0.2613043478260871
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,0,-0.039769295635934565,0.1743478260869566
2016,FOREIGN_FLOW,LOW,ACT5_W10,20,0,0.0021487697189581656,0.04173913043478267
2016,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,-0.04883555028593567,0.01800000000000007
2016,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,-0.02494381405522894,1.6653345369377348e-16
2016,FOREIGN_FLOW,LOW,ACT1_W10,20,30,-0.03576480785620051,0.061304347826087124
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,30,-0.051797931343465775,0.2613043478260871
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,30,-0.048187038544436955,0.1743478260869566
2016,FOREIGN_FLOW,LOW,ACT5_W10,20,30,0.0022443810260139863,0.04173913043478267
2016,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,-0.04862126585047877,0.01800000000000007
2016,FOREIGN_FLOW,LOW,TURNOVER_W10,20,30,-0.024144558552863016,1.6653345369377348e-16
2016,FOREIGN_FLOW,LOW,ACT1_W10,20,60,-0.035836399060685586,0.061304347826087124
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP50,20,60,-0.06552185573177427,0.2613043478260871
2016,FOREIGN_FLOW,LOW,ACT5_KEEP_TOP70,20,60,-0.05590711854396835,0.1743478260869566
2016,FOREIGN_FLOW,LOW,ACT5_W10,20,60,0.0023277030275361543,0.04173913043478267
2016,FOREIGN_FLOW,LOW,RAW_TA_W10,20,60,-0.04835967405049946,0.01800000000000007
2016,FOREIGN_FLOW,LOW,TURNOVER_W10,20,60,-0.02336960048858039,1.6653345369377348e-16
2016,MOM12_1,HIGH,ACT1_W10,10,0,-0.054774380813264245,0.21200000000000013
2016,MOM12_1,HIGH,ACT5_KEEP_TOP50,10,0,0.1266060758378147,0.3337391304347827
2016,MOM12_1,HIGH,ACT5_KEEP_TOP70,10,0,-0.1266089446287858,0.20765217391304353
2016,MOM12_1,HIGH,ACT5_W10,10,0,-0.06219630729554404,0.13373913043478258
2016,MOM12_1,HIGH,RAW_TA_W10,10,0,-0.0027063483971498936,0.02799999999999997
2016,MOM12_1,HIGH,TURNOVER_W10,10,0,0.0533311712641753,0.0040000000000000036
2016,MOM12_1,HIGH,ACT1_W10,10,30,-0.06378307388416826,0.21200000000000013
2016,MOM12_1,HIGH,ACT5_KEEP_TOP50,10,30,0.10404933366387203,0.3337391304347827
2016,MOM12_1,HIGH,ACT5_KEEP_TOP70,10,30,-0.13297480812707596,0.20765217391304353
2016,MOM12_1,HIGH,ACT5_W10,10,30,-0.06669525816168065,0.13373913043478258
2016,MOM12_1,HIGH,RAW_TA_W10,10,30,-0.004472330006154324,0.02799999999999997
2016,MOM12_1,HIGH,TURNOVER_W10,10,30,0.051901122867470395,0.0040000000000000036
2016,MOM12_1,HIGH,ACT1_W10,10,60,-0.07226881542119945,0.21200000000000013
2016,MOM12_1,HIGH,ACT5_KEEP_TOP50,10,60,0.08275668768885336,0.3337391304347827
2016,MOM12_1,HIGH,ACT5_KEEP_TOP70,10,60,-0.13891148233466044,0.20765217391304353
2016,MOM12_1,HIGH,ACT5_W10,10,60,-0.07093984190696889,0.13373913043478258
2016,MOM12_1,HIGH,RAW_TA_W10,10,60,-0.006159759020285649,0.02799999999999997
2016,MOM12_1,HIGH,TURNOVER_W10,10,60,0.050505672582250916,0.0040000000000000036
2016,MOM12_1,HIGH,ACT1_W10,20,0,-0.03564434655589843,0.05017391304347829
2016,MOM12_1,HIGH,ACT5_KEEP_TOP50,20,0,0.11256113894573527,0.380608695652174
2016,MOM12_1,HIGH,ACT5_KEEP_TOP70,20,0,-0.025157783335347017,0.19582608695652182
2016,MOM12_1,HIGH,ACT5_W10,20,0,-0.06560497585375757,0.04582608695652174
2016,MOM12_1,HIGH,RAW_TA_W10,20,0,0.026406333787450054,0.0020000000000000573
2016,MOM12_1,HIGH,TURNOVER_W10,20,0,0.023864338871545376,0.008000000000000007
2016,MOM12_1,HIGH,ACT1_W10,20,30,-0.03686847610369559,0.05017391304347829
2016,MOM12_1,HIGH,ACT5_KEEP_TOP50,20,30,0.08693380828122688,0.380608695652174
2016,MOM12_1,HIGH,ACT5_KEEP_TOP70,20,30,-0.03483532240523324,0.19582608695652182
2016,MOM12_1,HIGH,ACT5_W10,20,30,-0.06597995507147802,0.04582608695652174
2016,MOM12_1,HIGH,RAW_TA_W10,20,30,0.025783300967527678,0.0020000000000000573
2016,MOM12_1,HIGH,TURNOVER_W10,20,30,0.022940342310999617,0.008000000000000007
2016,MOM12_1,HIGH,ACT1_W10,20,60,-0.03803383157619311,0.05017391304347829
2016,MOM12_1,HIGH,ACT5_KEEP_TOP50,20,60,0.06273262101693433,0.380608695652174
2016,MOM12_1,HIGH,ACT5_KEEP_TOP70,20,60,-0.04403943198388316,0.19582608695652182
2016,MOM12_1,HIGH,ACT5_W10,20,60,-0.06631776312722049,0.04582608695652174
2016,MOM12_1,HIGH,RAW_TA_W10,20,60,0.025174154835375995,0.0020000000000000573
2016,MOM12_1,HIGH,TURNOVER_W10,20,60,0.022042144044282952,0.008000000000000007
2016,MOM12_1,LOW,ACT1_W10,10,0,0.03809358485619152,0.25234782608695666
2016,MOM12_1,LOW,ACT5_KEEP_TOP50,10,0,0.09860523263434495,0.45234782608695673
2016,MOM12_1,LOW,ACT5_KEEP_TOP70,10,0,0.01743825467720639,0.26973913043478254
2016,MOM12_1,LOW,ACT5_W10,10,0,0.030338475844218893,0.26539130434782615
2016,MOM12_1,LOW,RAW_TA_W10,10,0,0.014499601039866472,0.043999999999999984
