sample,factor,direction,overlay,top_n,cost_bps,return,sharpe,mdd,turnover
FULL,FOREIGN_FLOW,HIGH,BASE,10,0,0.11693979200413729,0.574962535056596,-0.387797284558828,0.5181467181467181
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,10,0,0.14519222641393958,0.611024161039288,-0.3877972845588282,0.5499999999999999
FULL,FOREIGN_FLOW,HIGH,BASE,10,30,0.0741376426882534,0.414942588893391,-0.40275102312414457,0.5181467181467181
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,10,30,0.09865329524530386,0.46695799604620597,-0.3930217707782161,0.5499999999999999
FULL,FOREIGN_FLOW,HIGH,BASE,10,60,0.03290731241069356,0.2548880870437709,-0.4690673233027315,0.5181467181467181
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,10,60,0.053928306922505165,0.32300418565630756,-0.3982114884778347,0.5499999999999999
FULL,FOREIGN_FLOW,HIGH,BASE,20,0,0.07457052672928066,0.4366813267388209,-0.3589755059317862,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,20,0,0.174756949699703,0.737697746339546,-0.3589755059317863,0.4790697674418606
FULL,FOREIGN_FLOW,HIGH,BASE,20,30,0.03779578027373409,0.2788159381731731,-0.3973903750282538,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,20,30,0.13317870874097726,0.6012285555664934,-0.3634004465478414,0.4790697674418606
FULL,FOREIGN_FLOW,HIGH,BASE,20,60,0.0022287461606906867,0.12084703645518995,-0.4513780210946633,0.4613899613899614
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,BASE,20,60,0.09301356143495454,0.4646694009291831,-0.36780109366466374,0.4790697674418606
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,10,0,0.06878281857865698,0.39036364762536063,-0.43272947743667767,0.5100386100386102
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,MCAP_W10,10,0,0.21186699944009013,0.767377997531041,-0.43272947743667767,0.5395348837209303
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,10,30,0.028409607651315394,0.23664742846023154,-0.4380294105707738,0.5100386100386102
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,MCAP_W10,10,30,0.16367837773620852,0.6371501852045623,-0.4380294105707738,0.5395348837209303
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,10,60,-0.01050142319466052,0.08277349530646634,-0.49088596519160743,0.5100386100386102
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,MCAP_W10,10,60,0.11732845887037668,0.5068654275631768,-0.44360212420563316,0.5395348837209303
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,20,0,0.08270752075982735,0.47231598062002395,-0.38369485659247105,0.45444015444015445
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,MCAP_W10,20,0,0.1489182624420895,0.6538902606681429,-0.38369485659247105,0.4732558139534883
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,20,30,0.0462168381220569,0.3160106845150745,-0.4065941460180388,0.45444015444015445
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,MCAP_W10,20,30,0.10868788066305046,0.5190870822071709,-0.38866559430345393,0.4732558139534883
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,20,60,0.010906103300068137,0.15956996870403464,-0.45658999880129136,0.45444015444015445
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,MCAP_W10,20,60,0.06980946615891503,0.3842205484321594,-0.39360471036217415,0.4732558139534883
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,0.11022271314196708,0.5391940763390015,-0.4191952772533132,0.5146718146718147
OOS_2023_PLUS,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,0.2506646619754178,0.8674149064164369,-0.4191952772533133,0.5302325581395348
