sample,factor,direction,overlay,top_n,cost_bps,return_delta,sharpe_delta,mdd_delta,turnover_delta
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,10,0,-0.04815697342548031,-0.18459888743123537,-0.044932192877849664,-0.008108108108107914
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,0,-0.0067170788621702116,-0.03576845871759449,-0.03139799269448518,-0.0034749034749034236
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,0,0.015059238199494729,0.040230692446947325,-0.017207365707891165,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,0,0.016656540122148344,0.0424557015689081,-0.03437743054842557,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,10,30,-0.04572803503693801,-0.17829516043315943,-0.035278387446629256,-0.008108108108107914
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,30,-0.006165304670847194,-0.029130205228768913,-0.021659418877258974,-0.0034749034749034236
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,30,0.014120478397600555,0.045478239652804786,-0.007123841174058287,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,30,0.015651183665375434,0.04902506559909242,-0.024047151578350245,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,10,60,-0.043408735605354076,-0.1721145917373046,-0.021818641888875945,-0.008108108108107914
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,10,60,-0.005643743579394567,-0.022615731310639653,0.02888493097528788,-0.0034749034749034236
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,10,60,0.013230305492732741,0.05059396303442115,-0.00736086333681818,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,10,60,0.014696764068465873,0.055489767491156805,0.014114004084646692,0.0050193050193050315
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,20,0,0.008136994030546685,0.03563465388120307,-0.02471935066068487,-0.006949806949806958
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,0,0.014625782748747262,0.05844081693096426,-0.027974660966566423,-0.005984555984555995
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,0,-0.0034140464999599107,-0.022715464218197035,-0.020090844704996225,0.0003861003861003187
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,0,-0.007176885767794294,-0.03781399494274068,-0.019724210927630104,0.0011583011583011227
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,20,30,0.00842105784832281,0.03719474634190145,-0.009203770989784976,-0.006949806949806958
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,30,0.014611447948345235,0.06183606364192823,0.00571206403081681,-0.005984555984555995
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,30,-0.0033447871565790432,-0.016479074230551616,-0.02130231927297277,0.0003861003861003187
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,30,-0.007039329665261551,-0.03206379829277978,-0.022014098025566642,0.0011583011583011227
FULL,FOREIGN_FLOW,HIGH,MCAP_W10,20,60,0.00867735713937745,0.038722932248844696,-0.005211977706628068,-0.006949806949806958
FULL,FOREIGN_FLOW,HIGH,RAW_TA_W10,20,60,0.014581701817765857,0.06527333940442638,0.021451326128370418,-0.005984555984555995
FULL,FOREIGN_FLOW,HIGH,RESID_TA_W10,20,60,-0.0032763143975134135,-0.01017879353178297,-0.03676615958615914,0.0003861003861003187
FULL,FOREIGN_FLOW,HIGH,TURNOVER_W10,20,60,-0.006902783014038905,-0.02627516414885328,-0.03762009623737406,0.0011583011583011227
FULL,FOREIGN_FLOW,LOW,MCAP_W10,10,0,0.042498452397297104,0.14281592482204813,0.08747027991195289,-0.008494208494208455
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,0,0.009757304543341894,0.03267923375949211,0.006617210217426672,-0.004247104247104172
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,10,0,-0.009527178911702405,-0.03096469348790673,0.004791264652275529,-0.005405405405405461
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,0,0.005546029262209817,0.018987278622366432,0.040739463094617845,-0.0034749034749035346
FULL,FOREIGN_FLOW,LOW,MCAP_W10,10,30,0.04156832900503438,0.1446763332891135,0.08872753589806481,-0.008494208494208455
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,30,0.009671797092077217,0.03611478187157323,-0.014330488429896038,-0.004247104247104172
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,10,30,-0.008837895978425214,-0.024177293422589285,-0.05453247151758567,-0.005405405405405461
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,30,0.005539450158157377,0.024218102898948643,-0.0031229820393684493,-0.0034749034749035346
FULL,FOREIGN_FLOW,LOW,MCAP_W10,10,60,0.040645313109369696,0.14650654775234107,0.08025267750628418,-0.008494208494208455
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,10,60,0.009577525078545035,0.03966629420432065,-0.03277506454964185,-0.004247104247104172
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,10,60,-0.008186753069479913,-0.017177109918893024,-0.06325044415566505,-0.005405405405405461
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,10,60,0.0055248067457227545,0.029619360585718596,-0.023345527221479756,-0.0034749034749035346
FULL,FOREIGN_FLOW,LOW,MCAP_W10,20,0,-0.019988623330147837,-0.08058666746308074,-9.932153028258117e-05,-0.0036679536679536384
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,0,-0.013615846552097466,-0.05745847335385329,0.0017128647258249918,-0.00617760617760621
FULL,FOREIGN_FLOW,LOW,RESID_TA_W10,20,0,-0.0006027481896593301,-0.00799257399140385,-0.02215258808135745,0.00019305019305021487
FULL,FOREIGN_FLOW,LOW,TURNOVER_W10,20,0,-0.0006154389705295138,-0.00834972937100742,-0.02494282949347093,-0.0034749034749034236
FULL,FOREIGN_FLOW,LOW,MCAP_W10,20,30,-0.01900823345835434,-0.07748734051895143,0.0011972437436033045,-0.0036679536679536384
FULL,FOREIGN_FLOW,LOW,RAW_TA_W10,20,30,-0.012659854038963303,-0.0512352170749337,0.002387651505264987,-0.00617760617760621
