sample,signal,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover
FULL,ACT1_HIGH,10,0,257,0.050780224093648796,-0.005443564909035303,0.3271713759536064,0.04248456464676237,-0.4120537589471317,0.9486381322957199
FULL,ACT1_HIGH,10,30,257,-0.021988910665448502,-0.07440703549954053,0.02608172245642213,-0.4175379968284257,-0.4949437251744334,0.9486381322957199
FULL,ACT1_HIGH,10,60,257,-0.08990676559786426,-0.1387667495577256,-0.2749240559626992,-0.8777931901050798,-0.6439388026313917,0.9486381322957199
FULL,ACT1_HIGH,20,0,257,0.041609394868291405,-0.013704248110454675,0.30063026706107704,-0.08299078070531805,-0.4161920024989426,0.9025291828793773
FULL,ACT1_HIGH,20,30,257,-0.027137623123951737,-0.07889242975117683,-0.0261959755298963,-0.7454413930605053,-0.4869936757847967,0.9025291828793773
FULL,ACT1_HIGH,20,60,257,-0.09151713908208203,-0.13993312385617707,-0.3529064307342051,-1.40718166236184,-0.662460001512009,0.9025291828793773
FULL,ACT1_LOW,10,0,257,-0.06487965505102355,-0.11184052976926273,-0.15106409577078367,-0.7581862604215962,-0.581813861265327,0.8560311284046692
FULL,ACT1_LOW,10,30,257,-0.12376755359611225,-0.16782171934442192,-0.4165224635759811,-1.213471583729492,-0.7579667180007043,0.8560311284046692
FULL,ACT1_LOW,10,60,257,-0.17908796064642396,-0.22040812167418566,-0.6820338460229523,-1.6696999031497435,-0.8733321210783562,0.8560311284046692
FULL,ACT1_LOW,20,0,257,-0.010950897348998012,-0.06027181038323559,0.06596151046548111,-0.525433678264176,-0.5041956422732132,0.8231517509727627
FULL,ACT1_LOW,20,30,257,-0.07081956007436774,-0.11720341733749617,-0.20906227626914442,-1.1032307007628128,-0.6153139310667946,0.8231517509727627
FULL,ACT1_LOW,20,60,257,-0.12720187925345683,-0.17081657494678038,-0.4836237877318388,-1.678592464466378,-0.774058911013729,0.8231517509727627
FULL,ACT5_HIGH,10,0,257,-0.029237721343885692,-0.08166999143538622,0.008257696509482814,-0.3879230550938896,-0.5572791915704967,0.9494163424124513
FULL,ACT5_HIGH,10,30,257,-0.09674395283406823,-0.1456056401913679,-0.2762730473703469,-0.790224468584475,-0.7060052410422292,0.9494163424124513
FULL,ACT5_HIGH,10,60,257,-0.15973108474781972,-0.2052558251618256,-0.5606031737815128,-1.1925551781373933,-0.8473697877013704,0.9494163424124513
FULL,ACT5_HIGH,20,0,257,0.01293482192935369,-0.04165834658310963,0.16846978531962742,-0.27437505321818967,-0.534827918226938,0.903501945525292
FULL,ACT5_HIGH,20,30,257,-0.05408289173632075,-0.10512683245568566,-0.14485452393016457,-0.8168051685656222,-0.6388426994339177,0.903501945525292
FULL,ACT5_HIGH,20,60,257,-0.11683270306318982,-0.16454908477155084,-0.45781944839211125,-1.3599298937800401,-0.7984391389151759,0.903501945525292
FULL,ACT5_LOW,10,0,257,0.02425354333962515,-0.024362301871523107,0.22297212686190993,-0.092255981862499,-0.48015473076247783,0.8182879377431908
FULL,ACT5_LOW,10,30,257,-0.037290313788363116,-0.08305079195867071,-0.0164503206149693,-0.508718066417859,-0.578106562393105,0.8182879377431908
FULL,ACT5_LOW,10,60,257,-0.09527864900070859,-0.13834467088959768,-0.2558273294918574,-0.9244788383044525,-0.6853557496686322,0.8182879377431908
FULL,ACT5_LOW,20,0,257,0.0203678055358667,-0.029305377687611878,0.20442342838684296,-0.22667819303269535,-0.4653139793174773,0.7859922178988327
FULL,ACT5_LOW,20,30,257,-0.038598679652552925,-0.08546479459805323,-0.0527739252427695,-0.7845426181865357,-0.527825269718897,0.7859922178988327
FULL,ACT5_LOW,20,60,257,-0.09428796088868796,-0.13849927276517893,-0.3097725433295256,-1.3399820292023987,-0.6583505410537747,0.7859922178988327
FULL,RAW_HIGH,10,0,259,0.0904795846613562,0.03406526215831818,0.4377121237391338,0.25894377878986824,-0.5095817525026496,0.4011583011583012
FULL,RAW_HIGH,10,30,259,0.05793242627639428,0.0031652050456416614,0.3361020290006286,0.12494332156300038,-0.5544791988113567,0.4011583011583012
FULL,RAW_HIGH,10,60,259,0.026314899444968454,-0.026851186408876626,0.23450354065609486,-0.009064792066613684,-0.5977620597145183,0.4011583011583012
FULL,RAW_HIGH,20,0,259,0.060713058232009676,0.00612998086978811,0.35678380704840945,0.11790726522427272,-0.4272197213921137,0.3432432432432433
FULL,RAW_HIGH,20,30,259,0.0335668403176137,-0.019651127381087097,0.25555799450877315,-0.04025887677594382,-0.47402302238256855,0.3432432432432433
FULL,RAW_HIGH,20,60,259,0.0070859818987358825,-0.04479951283065786,0.15430265046112293,-0.19853997140753213,-0.5170458707999025,0.3432432432432433
FULL,RAW_LOW,10,0,259,-0.04070822994690304,-0.0987180501612569,-0.12863318347337205,-0.7745410381378123,-0.5979799505001211,0.3891891891891892
FULL,RAW_LOW,10,30,259,-0.06864695542495691,-0.12498562806426383,-0.28643134852943153,-1.0114310330480045,-0.6426291514950913,0.3891891891891892
FULL,RAW_LOW,10,60,259,-0.09580702525774565,-0.1505204794208369,-0.44378062951549707,-1.2477991004811202,-0.6823698925968373,0.3891891891891892
FULL,RAW_LOW,20,0,259,-0.021957632268037486,-0.07846014002401758,-0.02134023229829426,-0.7310088705807521,-0.5694434020026251,0.30617760617760614
FULL,RAW_LOW,20,30,259,-0.04438694969436929,-0.09964296330861366,-0.14371196210711468,-0.9518754140486181,-0.6029797435649344,0.30617760617760614
FULL,RAW_LOW,20,60,259,-0.06632376039634047,-0.12035956320382668,-0.2660401783165462,-1.1718808370800795,-0.6339305475125401,0.30617760617760614
FULL,TURNOVER_HIGH,10,0,259,0.02285526944885241,-0.02547587293139797,0.22855292995015977,0.0025861060840410063,-0.6046952069579097,0.655984555984556
FULL,TURNOVER_HIGH,10,30,259,-0.026758315900818563,-0.07279876771779203,0.072585782901917,-0.21181900534383688,-0.6548189531179233,0.655984555984556
FULL,TURNOVER_HIGH,10,60,259,-0.07406131455506304,-0.11791516034976934,-0.08325435386937513,-0.42588245743628333,-0.7017611462924841,0.655984555984556
FULL,TURNOVER_HIGH,20,0,259,0.06223136763790782,0.012597450456515613,0.3546718199494147,0.15830747088009742,-0.4429075260798221,0.5687258687258686
FULL,TURNOVER_HIGH,20,30,259,0.01751410900879291,-0.030061615101092842,0.20239275195966566,-0.08401369444203328,-0.481279546867844,0.5687258687258686
FULL,TURNOVER_HIGH,20,60,259,-0.02539514034684931,-0.07099449897648458,0.05018951999315084,-0.3262033461440686,-0.5582925288350562,0.5687258687258686
FULL,TURNOVER_LOW,10,0,259,-0.057696871415947815,-0.11666458697315385,-0.2623308238007798,-0.9916505699100605,-0.5836806559474865,0.4826254826254826
FULL,TURNOVER_LOW,10,30,259,-0.09157992298495199,-0.14848346009041713,-0.47646788297840764,-1.3030612553036547,-0.6801667321300812,0.4826254826254826
FULL,TURNOVER_LOW,10,60,259,-0.12429520268501215,-0.17920369955570592,-0.6905266365372261,-1.6147363004005448,-0.7595845403706595,0.4826254826254826
