sample,factor,overlay,top_n,cost_bps,n_periods,annualized_return,annualized_excess,sharpe,excess_sharpe,mdd,avg_turnover,hit_rate,avg_eligible
FULL,FOREIGN_FLOW,ACT1_W10,10,0,257,0.10852589516151423,0.05823156941170837,0.5039557792741505,0.40619900073016585,-0.4936547852616915,0.6167315175097277,0.556420233463035,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W10,10,30,257,0.058170627921689366,0.010069790768365339,0.34018784556379883,0.1430230341413082,-0.5320953375835513,0.6167315175097277,0.5447470817120622,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W10,10,60,257,0.010012166549523194,-0.03598687977634307,0.17616572511135487,-0.12034059569273571,-0.5676819459179494,0.6167315175097277,0.5330739299610895,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W10,20,0,257,0.06547055920146394,0.015103441937115436,0.3835798536429676,0.18749025715706752,-0.5020222738278333,0.49085603112840465,0.5447470817120622,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W10,20,30,257,0.026689436354577323,-0.02189619955716715,0.23018930607488253,-0.1364811013054018,-0.5321021673668532,0.49085603112840465,0.5252918287937743,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W10,20,60,257,-0.010736753232783447,-0.05760126900780105,0.07675117605703134,-0.46006013612956376,-0.5641075906562605,0.49085603112840465,0.5214007782101168,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W20,10,0,257,0.03817434464814662,-0.011575656786587674,0.27301656182924205,0.01384785888563556,-0.5799828779802245,0.7392996108949417,0.5408560311284046,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W20,10,30,257,-0.018276184546635932,-0.06538767360316622,0.06586126338748062,-0.31657302673914195,-0.6283104401059341,0.7392996108949417,0.5214007782101168,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W20,10,60,257,-0.07177611116327631,-0.116383358211677,-0.14148186224871623,-0.647492606076938,-0.7445440045989817,0.7392996108949417,0.5097276264591439,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W20,20,0,257,0.0546067061719977,0.005056438623784132,0.34143509576930486,0.10025418899561381,-0.5150737067332929,0.579377431906615,0.5330739299610895,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W20,20,30,257,0.009439106964492794,-0.03805260442946279,0.160264484209036,-0.29135163450227014,-0.5557839563406987,0.579377431906615,0.5252918287937743,193.28015564202335
FULL,FOREIGN_FLOW,ACT1_W20,20,60,257,-0.033869856093047934,-0.07938502838766481,-0.021042239793155244,-0.6829544206875533,-0.6165051825381158,0.579377431906615,0.5136186770428015,193.28015564202335
FULL,FOREIGN_FLOW,ACT5_GT1,10,0,257,0.04106361637109379,-0.009656814461758811,0.2831054564967518,0.020102423119322293,-0.5572786050557157,0.8019455252918288,0.556420233463035,80.10505836575875
FULL,FOREIGN_FLOW,ACT5_GT1,10,30,257,-0.020238640834145172,-0.0680202354597208,0.052989532939433676,-0.3512384687881896,-0.6716121006105668,0.8019455252918288,0.5330739299610895,80.10505836575875
FULL,FOREIGN_FLOW,ACT5_GT1,10,60,257,-0.07806966892176481,-0.12307582863091326,-0.17709318529307602,-0.722855167856073,-0.7819988699524776,0.8019455252918288,0.5214007782101168,80.10505836575875
FULL,FOREIGN_FLOW,ACT5_GT1,20,0,256,0.04709677920629285,-0.010214945813077803,0.32028574745907146,-0.050566697162822756,-0.5092546458606606,0.7705078125,0.546875,80.34375
FULL,FOREIGN_FLOW,ACT5_GT1,20,30,256,-0.012169384269291705,-0.06632066879098997,0.055207801604626155,-0.6228189130899373,-0.5957120155331739,0.7705078125,0.51171875,80.34375
FULL,FOREIGN_FLOW,ACT5_GT1,20,60,256,-0.06820931455949009,-0.11936748505887651,-0.20987876729687308,-1.1945488548843233,-0.7322441989050137,0.7705078125,0.5,80.34375
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,10,0,257,0.10720822989975076,0.05361134944798884,0.5152289509820798,0.3979902399468725,-0.4932464858862343,0.7447470817120623,0.5330739299610895,97.34241245136187
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,10,30,257,0.04665471754899109,-0.004034488055115637,0.3027372994603861,0.05477225259959491,-0.5602340051287751,0.7447470817120623,0.5136186770428015,97.34241245136187
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,10,60,257,-0.010716261175224062,-0.05864899334768059,0.09039522583238974,-0.288694508611005,-0.6948673081822818,0.7447470817120623,0.4980544747081712,97.34241245136187
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,20,0,257,0.07788434394005161,0.024301869438213997,0.44403995586168765,0.27591071774783016,-0.4535798400404767,0.6974708171206225,0.5486381322957199,97.34241245136187
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,20,30,257,0.022587156783287154,-0.028315027494330125,0.2123889158950957,-0.2135159681404133,-0.5089062213078862,0.6974708171206225,0.5214007782101168,97.34241245136187
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP50,20,60,257,-0.029982508922820283,-0.07833307139715362,-0.019416157079840343,-0.7036712570667929,-0.605356088774756,0.6974708171206225,0.49416342412451364,97.34241245136187
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,10,0,257,0.09354250046403001,0.04155268906879561,0.46846901010957176,0.3317658551744421,-0.5008222050625868,0.6599221789883268,0.5486381322957199,135.82490272373542
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,10,30,257,0.040347212485992046,-0.009140310759470749,0.28090089379302163,0.02167189645345214,-0.5420227525660326,0.6599221789883268,0.5291828793774319,135.82490272373542
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,10,60,257,-0.010362955042421795,-0.0574635010849146,0.09348439592577173,-0.2881300635404989,-0.6383734093764301,0.6599221789883268,0.5097276264591439,135.82490272373542
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,20,0,257,0.08386259115617167,0.03067948687834443,0.4660076193790035,0.33557564525965067,-0.47536775721945845,0.6060311284046692,0.5408560311284046,135.82490272373542
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,20,30,257,0.0353791623047941,-0.015468103234219543,0.26681399937009853,-0.09303523045033597,-0.5224079207857368,0.6060311284046692,0.5214007782101168,135.82490272373542
FULL,FOREIGN_FLOW,ACT5_KEEP_TOP70,20,60,257,-0.011020533472124283,-0.05963029238368733,0.067604449008754,-0.5219940159458257,-0.5663310255193217,0.6060311284046692,0.5136186770428015,135.82490272373542
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,10,0,257,-0.01369775544930285,-0.061582966532744754,0.0783735615810494,-0.31538358323492444,-0.661274310408562,0.8128404669260701,0.5214007782101168,193.23346303501947
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,10,30,257,-0.07268466308325638,-0.11773911595309727,-0.15555222468954294,-0.6976382047799012,-0.7734458493171155,0.8128404669260701,0.5136186770428015,193.23346303501947
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,10,60,257,-0.1282790178839469,-0.17066327177014395,-0.3893089108116009,-1.0799283301866809,-0.8503628684663129,0.8128404669260701,0.4669260700389105,193.23346303501947
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,20,0,257,0.06642915897331281,0.012417119227234874,0.3992999110402981,0.16549345378694655,-0.4780715702591215,0.6974708171206225,0.5408560311284046,193.23346303501947
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,20,30,257,0.01167121107404645,-0.039617443328609614,0.16447000923159283,-0.3098014152130244,-0.5326581869154083,0.6974708171206225,0.5097276264591439,193.23346303501947
FULL,FOREIGN_FLOW,ACT5_MULTIPLY,20,60,257,-0.04038314044188074,-0.08908017187177564,-0.07027126694266554,-0.7854165129745264,-0.6396048775700269,0.6974708171206225,0.4980544747081712,193.23346303501947
