universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
K200,WEIGHTED_MOM,ACT1_W10,30,BULL_2025,10,0.0058960749394917356,0.021407317303069773,0.000691518638250399,0.06637499999999996,6
K200,WEIGHTED_MOM,ACT1_W10,30,EARLY_2017_2019,10,0.0002456562639541193,0.009805869237706377,-0.0017563965559273531,0.04315068493150684,5
K200,WEIGHTED_MOM,ACT1_W10,30,LATE_2020_2022,10,0.0035854161251298033,-0.009590840678930512,-0.0021038799292015242,0.06013513513513513,6
K200,WEIGHTED_MOM,ACT1_W10,30,NORMAL_2023_2024,10,0.00048080982060416666,0.004100994706638952,0.0031140794039673514,0.06938775510204076,5
K200,WEIGHTED_MOM,ACT1_W10,30,PRE_STRESS_2017_2024,10,0.004080640262509094,0.006601810381392903,0.011564631582727691,0.05293367346938782,7
K200,WEIGHTED_MOM,ACT1_W10,30,YTD_2026,10,0.0032291546458035336,-0.00587608253579433,0.02025135874657613,0.07333333333333328,6
K200,WEIGHTED_MOM,ACT1_W10,60,BULL_2025,10,-0.0005130751441932979,0.00541219952184957,0.0004098390899502369,0.06637499999999996,4
K200,WEIGHTED_MOM,ACT1_W10,60,EARLY_2017_2019,10,-0.0028076485125908546,-0.011815257051305483,0.0002309860223896898,0.04315068493150684,5
K200,WEIGHTED_MOM,ACT1_W10,60,LATE_2020_2022,10,-0.0007464179923848402,-0.03463019727472788,-0.004640925798650164,0.06013513513513513,4
K200,WEIGHTED_MOM,ACT1_W10,60,NORMAL_2023_2024,10,-0.003949247626339192,-0.022172244449264716,0.0015531029775204264,0.06938775510204076,4
K200,WEIGHTED_MOM,ACT1_W10,60,PRE_STRESS_2017_2024,10,0.0002456678329777473,-0.013384383013761353,0.0025210432905148905,0.05293367346938782,5
K200,WEIGHTED_MOM,ACT1_W10,60,YTD_2026,10,-0.0021993047629692564,-0.014985834109182944,0.01958156847435527,0.07333333333333328,4
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,BULL_2025,10,-0.14582242490123154,-0.24530122404194588,-0.010323255186084734,0.1438333333333334,0
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,EARLY_2017_2019,10,-0.010616552539790214,-0.065422386547201,-0.019668857051559796,0.11267123287671232,3
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,LATE_2020_2022,10,-0.0016664250948297266,-0.012751856293917445,-0.0093974605106521,0.1375,4
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,NORMAL_2023_2024,10,-0.023977466499199795,-0.14994529189974243,-0.02880152375413686,0.13418367346938778,3
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,PRE_STRESS_2017_2024,10,-0.006977416873483633,-0.05385642108334818,-0.016928682202597523,0.12729591836734688,4
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,YTD_2026,10,0.20464448787646217,0.2088572395795517,0.04564190749772762,0.1100000000000001,9
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,BULL_2025,10,-0.15725594259721365,-0.2775198145399773,-0.011134335349184288,0.1438333333333334,0
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,EARLY_2017_2019,10,-0.017626095138724318,-0.10883318550059828,-0.023403236149175777,0.11267123287671232,1
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,LATE_2020_2022,10,-0.010675688759899826,-0.047627169722809976,-0.018870970433267464,0.1375,4
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,NORMAL_2023_2024,10,-0.03166340491045744,-0.1979597052175138,-0.02716176142340837,0.13418367346938778,3
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,PRE_STRESS_2017_2024,10,-0.015127018119188318,-0.10113852305107637,-0.03729024842767964,0.12729591836734688,3
K200,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,YTD_2026,10,0.18411358916531073,0.2000043313203686,0.04485558494842373,0.1100000000000001,9
