universe,factor,period,n_valid_dates,replacement_event_rate,avg_replacements_all_valid_dates,n_events,n_pairs,mean_removed_fwd10,mean_added_fwd10,mean_pair_delta_fwd10,median_pair_delta_fwd10,pair_win_rate,mean_event_delta_fwd10,positive_event_rate,phase_win_count,n_phases,mean_removed_act5,mean_added_act5,mean_removed_act5_rank,mean_added_act5_rank,mean_removed_r1m,mean_added_r1m,mean_removed_factor_rank,mean_added_factor_rank
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,1962,0.972986748216106,4.242099898063201,1909,8323,0.0008686080489638548,0.0010611725986359106,0.00019256454967205477,0.0030503802437755745,0.512795866874925,0.000475983692892904,0.5117862755369303,7,10,0.6062384888200845,1.5069770941686755,0.14382066788404474,0.7022350698529698,0.1248402324488002,0.09758536340510497,10.666586567343506,24.17685930553887
K200,WEIGHTED_MOM_R1M_GE0,PRE_STRESS_2017_2024,1872,0.9594017094017094,3.796474358974359,1796,7107,0.003212898627202173,0.003004573866391441,-0.00020832476081073203,0.0025393540564282446,0.5116082735331363,0.00022366654431691386,0.5139198218262806,6,10,0.6101379999857343,1.55317163813068,0.14697478309920692,0.7121397409275624,0.16369366476377087,0.11158375685423497,10.63472632615731,23.833966511889685
KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,1962,0.9908256880733946,4.742099898063201,1944,9304,-0.0034979420616813106,-0.0006041608024377755,0.002893781259243536,0.00818373821690177,0.5278374892519346,0.0014976032015450904,0.5303497942386831,6,10,0.4662600074756202,2.4872028807708717,0.14600849237626048,0.7114863284274122,0.16789963573599537,0.1179514072353738,10.795571797076526,24.565563198624247
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,PRE_STRESS_2017_2024,1849,0.9848566792861005,4.1281773931855055,1821,7633,-0.002707554382045172,0.0016871175118497936,0.004394671893894964,0.009707666649212299,0.5349141883925063,0.0028845125709850614,0.543108182317408,6,10,0.4673187528031539,2.5390785650479866,0.1489221298888181,0.722358413519394,0.23949607155816316,0.13820647619363982,10.73850386479759,23.96973666972357
KOSPI_ALL,WEIGHTED_MOM,PRE_STRESS_2017_2024,1962,0.9841997961264016,4.728848114169215,1931,9278,-0.0033852063528288954,-0.00126014669808056,0.0021250596547483353,0.006916759839782127,0.5217719336063806,0.0017925526844874604,0.5442775763852926,7,10,0.5129250679110189,2.5604485158946333,0.1342274402256748,0.7312308063196363,0.20429084601941927,0.1687271266656657,10.48286268592369,24.639361931450743
KOSPI_ALL,WEIGHTED_MOM_R1M_GE0,PRE_STRESS_2017_2024,1937,0.980898296334538,4.184305627258647,1900,8105,-0.003051343243796496,-9.68590389773779e-05,0.002954484204819118,0.008121268457599973,0.5260950030845157,0.003360766183698002,0.5410526315789473,8,10,0.5211538719892964,2.6434359086509405,0.13887727956116538,0.7384123854236723,0.26551330879743806,0.17947731621669544,10.392473781616287,24.07353485502776
KOSDAQ,WEIGHTED_MOM,PRE_STRESS_2017_2024,1962,0.9867482161060143,4.417940876656473,1936,8668,-0.0019244515736059058,-1.9826249323785714e-05,0.0019046253242821188,0.012013723867042192,0.5321873557914167,0.0016192508899878968,0.5201446280991735,5,10,0.47793044972174414,2.6036986914269478,0.1429072441502008,0.7260130700559684,0.2615391449713534,0.209688649258912,10.646169820027689,24.358560221504383
KOSDAQ,WEIGHTED_MOM_R1M_GE0,PRE_STRESS_2017_2024,1921,0.9724102030192608,3.7444039562727744,1868,7193,-0.004719712039984533,0.0003021274757736363,0.00502183951575817,0.01264637638789301,0.535798693173919,0.0028541210350731703,0.5289079229122056,5,10,0.4885000074036495,2.806192510076763,0.14820937414295304,0.7364923793544715,0.36338898839464207,0.2358269206062238,10.530376755178645,23.749478659808148
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM,PRE_STRESS_2017_2024,1962,0.9852191641182467,4.636085626911315,1933,9096,-0.0032623704123874646,0.0021377898940286347,0.0054001603064160976,0.013306867882585782,0.5324318381706244,0.004092944906001437,0.5256078634247284,5,10,0.4940322551584654,3.428334230304932,0.13408260466939445,0.7496722327169766,0.3207009583942486,0.28319587669352597,10.66721635883905,24.60169305189094
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE0,PRE_STRESS_2017_2024,1949,0.9728065674704977,4.057465366854798,1896,7908,-0.004732091268927665,-0.0006624062235948735,0.004069685045332791,0.012892654513808055,0.5356600910470409,0.004100808461109005,0.5311181434599156,7,10,0.504401478323479,3.3521292408053767,0.13924446431921167,0.7567014998204163,0.41457435787050934,0.30009762844120275,10.538189175518463,24.059812847749114
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,1962,0.9821610601427115,4.31243628950051,1927,8461,-0.005565938732231082,0.0030460582830495837,0.008611997015280665,0.014316602179168858,0.5337430563763148,0.007769247681565244,0.5339906590555267,8,10,0.473751232462857,3.54201109508563,0.14366511272461244,0.7369560003274522,0.31130714483325006,0.26678907568887705,10.657014537288736,24.29748256707245
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,PRE_STRESS_2017_2024,1943,0.9696345856922285,3.754503345342254,1884,7295,-0.00825098746163701,-0.001327577868236719,0.006923409593400289,0.013191284995411223,0.5328307059629883,0.005008885194554408,0.5424628450106157,7,10,0.4815676278667363,3.4039119821380797,0.14828921560597716,0.7455338807591672,0.40804881889567685,0.28814381670409883,10.57217272104181,23.771761480466072
K200,WEIGHTED_MOM,EARLY_2017_2019,731,0.9685362517099864,4.138166894664843,708,3025,-0.00014971802911402748,-0.0004159045238340377,-0.0002661864947200111,-0.0017190175808674546,0.49454545454545457,0.000721090251149378,0.5,7,10,0.6493141072874539,1.3544814055211103,0.1492863397851536,0.6837318113923442,0.10908873333171643,0.08066502370309797,10.811239669421488,24.063140495867767
K200,WEIGHTED_MOM_R1M_GE0,EARLY_2017_2019,700,0.9614285714285714,3.88,673,2716,0.001598593693646515,-0.001022423606932121,-0.002621017300578637,-0.002275291566012194,0.49189985272459497,-0.002093612533277351,0.4903417533432392,2,10,0.649878572457391,1.3752771825421695,0.1503504433127977,0.6927411065615845,0.1279677301332768,0.09226055427823712,10.756627393225331,23.94219440353461
KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,731,0.9945280437756497,4.701778385772914,727,3437,-0.008920416260001179,-0.004154236346265081,0.004766179913736099,0.008678912192057187,0.5338958393948211,0.0014551631839345405,0.5254470426409904,6,10,0.5007687111344845,1.903971989330372,0.1471772973973752,0.6869737940354426,0.1292281865611358,0.08696636673826177,10.926098341576957,24.42682572010474
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,EARLY_2017_2019,670,0.9850746268656716,4.104477611940299,660,2750,-0.00809083609249793,-0.003355813684451231,0.004735022408046698,0.006761757023924675,0.5287272727272727,0.0009098372368587991,0.5424242424242425,5,10,0.5098001414275277,1.8912313841660857,0.15221887401252965,0.6994457546759305,0.188185557169116,0.10480489430833177,10.905818181818182,23.90509090909091
KOSPI_ALL,WEIGHTED_MOM,EARLY_2017_2019,731,0.987688098495212,4.580027359781122,722,3348,-0.013174172171304904,0.00038295519556403375,0.013557127366868938,0.010481203027581598,0.545400238948626,0.012008863007620666,0.6038781163434903,9,10,0.5548772365061941,1.8063192776599197,0.13578025696770932,0.7062030351598058,0.1665617102211356,0.1271976574524115,10.417861409796894,24.373954599761053
KOSPI_ALL,WEIGHTED_MOM_R1M_GE0,EARLY_2017_2019,721,0.9833564493758669,4.169209431345354,709,3006,-0.010769348732516762,-0.0005934326512993623,0.0101759160812174,0.0071767723537516925,0.5289421157684631,0.007752370844556453,0.5726375176304654,9,10,0.5664860719130509,1.8768054705091362,0.14158126364750445,0.7101332049303233,0.20830703733167374,0.13522733905064113,10.468729208250167,23.986027944111775
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,731,0.9945280437756497,4.317373461012312,727,3156,0.0019379941208406705,0.0038795735441097884,0.001941579423269116,0.009907676851105385,0.5297845373891001,-0.002705890230001823,0.4965612104539202,5,10,0.5369425097869096,1.903411438445862,0.1432777886666433,0.7068536015685045,0.2068624585877547,0.15180446777857814,10.743662864385298,24.237325728770596
KOSDAQ,WEIGHTED_MOM_R1M_GE0,EARLY_2017_2019,709,0.9830747531734838,3.706629055007052,697,2628,0.002119372354849002,0.0039130987946930295,0.0017937264398440293,0.005646232738621471,0.5186453576864536,-0.006250735550202127,0.49928263988522237,4,10,0.5490142213015997,1.928667737489321,0.15017545066095458,0.7168715968001079,0.27982706049340433,0.17437208954773806,10.662861491628615,23.712709284627092
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM,EARLY_2017_2019,731,0.9863201094391245,4.641586867305062,721,3393,-0.0022995188726744227,0.00574339649073281,0.00804291536340723,0.017596864051597105,0.5484821691718244,0.005571993790043692,0.5325936199722607,8,10,0.5423671262937984,2.4570058428766184,0.13525451900154142,0.7345883781018144,0.25379199172207334,0.20852204594208668,10.587385794282346,24.587680518715
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE0,EARLY_2017_2019,727,0.9738651994497937,4.105914718019257,708,2985,-0.0016451961642386527,0.0024568147782010716,0.004102010942439725,0.013720844263355958,0.541038525963149,0.0015649349758712955,0.5240112994350282,3,10,0.555895946429397,2.2818949949865877,0.14079871080404618,0.737898713861872,0.32043971361836887,0.21916009852875945,10.479396984924623,24.11926298157454
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,EARLY_2017_2019,731,0.9863201094391245,4.210670314637483,721,3078,-0.005509612521606618,0.004586940714917181,0.010096553236523802,0.01446094224304012,0.5412605588044185,0.008449704038788461,0.5353675450762829,7,10,0.5210087020871951,2.319345376646395,0.1444154750182808,0.720872559992457,0.24292448063375763,0.1953464822800044,10.676738141650423,24.10883690708252
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,EARLY_2017_2019,723,0.9778699861687413,3.691562932226833,707,2669,-0.006094276652655048,0.0014252685705191386,0.007519545223174186,0.013051588025947747,0.538029224428625,0.004874430222309585,0.562942008486563,7,10,0.5326504790573006,2.1708878864348313,0.15041622269427776,0.723966518781077,0.3130773259254714,0.2088652792817358,10.61071562382915,23.69089546646684
K200,WEIGHTED_MOM,LATE_2020_2022,742,0.9757412398921833,4.393530997304582,724,3260,-0.0009892917971636268,0.0014199571525336154,0.0024092489496972424,0.005822044804173199,0.5242331288343558,0.0009420528085591599,0.5207182320441989,6,10,0.5817145858547252,1.6278208230816142,0.13735507085492885,0.7126046752075726,0.14062860439212246,0.11137783136985109,10.590184049079754,24.41288343558282
K200,WEIGHTED_MOM_R1M_GE0,LATE_2020_2022,683,0.9560761346998536,3.780380673499268,653,2582,0.003110502681903937,0.00431354937634977,0.0012030466944458313,0.0050740668162140845,0.5193648334624322,-0.0014879751964483772,0.5222052067381318,4,10,0.5818863008866697,1.6972049723737321,0.14130721060566379,0.721357306920696,0.20745855641910843,0.13451979712036355,10.59140201394268,23.866382649109216
KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,742,0.9865229110512129,4.824797843665769,732,3580,0.0037779827109837567,-0.0003178331863481094,-0.004095815897331869,0.0054698500098948055,0.5159217877094973,-0.009740528746798097,0.4972677595628415,1,10,0.4465681166785033,2.693101468362265,0.14412233232335916,0.7232008746256008,0.19105270329134474,0.14000862648811163,10.686312849162011,24.804189944134077
