date,variant,threshold,top_n,weighting,cost_bps,net,benchmark,turnover,n_eligible,rank_ic
2016-01-04,MOM12_1_BASE,,5,equal,0,-0.010214168861995243,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,equal,30,-0.011714168861995243,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,equal,60,-0.013214168861995244,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,equal,100,-0.015214168861995243,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,rank_linear,0,-0.008331486995295675,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,rank_linear,30,-0.009831486995295674,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,rank_linear,60,-0.011331486995295674,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,5,rank_linear,100,-0.013331486995295676,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,equal,0,0.007350836115713997,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,equal,30,0.005850836115713997,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,equal,60,0.004350836115713997,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,equal,100,0.002350836115713997,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,rank_linear,0,0.0038187217007902433,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,rank_linear,30,0.0023187217007902433,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,rank_linear,60,0.0008187217007902432,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,10,rank_linear,100,-0.0011812782992097568,-0.009377173995137843,0.5,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,equal,0,0.0067807038897661764,-0.009377173995137843,0.5000000000000001,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,equal,30,0.005280703889766176,-0.009377173995137843,0.5000000000000001,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,equal,60,0.003780703889766176,-0.009377173995137843,0.5000000000000001,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,equal,100,0.0017807038897661746,-0.009377173995137843,0.5000000000000001,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,rank_linear,0,0.003956028226758329,-0.009377173995137843,0.49999999999999994,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,rank_linear,30,0.002456028226758329,-0.009377173995137843,0.49999999999999994,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,rank_linear,60,0.000956028226758329,-0.009377173995137843,0.49999999999999994,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,,20,rank_linear,100,-0.0010439717732416707,-0.009377173995137843,0.49999999999999994,166,0.27239558499365407
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,equal,0,-0.010214168861995243,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,equal,30,-0.011714168861995243,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,equal,60,-0.013214168861995244,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,equal,100,-0.015214168861995243,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,0,-0.008331486995295675,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,30,-0.009831486995295674,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,60,-0.011331486995295674,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,5,rank_linear,100,-0.013331486995295676,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,equal,0,0.007350836115713997,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,equal,30,0.005850836115713997,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,equal,60,0.004350836115713997,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,equal,100,0.002350836115713997,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,0,0.0038187217007902433,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,30,0.0023187217007902433,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,60,0.0008187217007902432,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,10,rank_linear,100,-0.0011812782992097568,-0.009377173995137843,0.5,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,equal,0,0.0067807038897661764,-0.009377173995137843,0.5000000000000001,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,equal,30,0.005280703889766176,-0.009377173995137843,0.5000000000000001,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,equal,60,0.003780703889766176,-0.009377173995137843,0.5000000000000001,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,equal,100,0.0017807038897661746,-0.009377173995137843,0.5000000000000001,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,0,0.003956028226758329,-0.009377173995137843,0.49999999999999994,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,30,0.002456028226758329,-0.009377173995137843,0.49999999999999994,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,60,0.000956028226758329,-0.009377173995137843,0.49999999999999994,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M10,-10.0,20,rank_linear,100,-0.0010439717732416707,-0.009377173995137843,0.49999999999999994,150,0.25605071874379537
2016-01-04,MOM12_1_1M_GT_M05,-5.0,5,equal,0,-0.010214168861995243,-0.009377173995137843,0.5,107,0.19688865377456458
2016-01-04,MOM12_1_1M_GT_M05,-5.0,5,equal,30,-0.011714168861995243,-0.009377173995137843,0.5,107,0.19688865377456458
2016-01-04,MOM12_1_1M_GT_M05,-5.0,5,equal,60,-0.013214168861995244,-0.009377173995137843,0.5,107,0.19688865377456458
2016-01-04,MOM12_1_1M_GT_M05,-5.0,5,equal,100,-0.015214168861995243,-0.009377173995137843,0.5,107,0.19688865377456458
