variant,top_n,weighting,cost_bps,year,n_periods,return,excess_return,sharpe,mdd,avg_turnover,avg_rank_ic
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2016,25,-0.2177344276330574,-0.2168762365729756,-0.5904251088046136,-0.26706501849650355,0.5000000000000001,-0.006222448773533256
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2017,24,0.11683922661216584,-0.016552852238673865,0.7782570284097265,-0.09056220867633002,0.45,0.03871126213630461
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2018,25,-0.34058425677509085,-0.23280497534884614,-1.3901672524410678,-0.4296936946211719,0.512,-0.07761071373414119
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2019,24,-0.01769078536616897,0.03265024146484685,-0.017625738920430005,-0.22255148016087745,0.5166666666666667,-0.02248791513974655
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2020,25,0.20395071540131848,-0.08284074879285408,0.64305400540415,-0.2109049954089831,0.44800000000000006,0.0028971884900707077
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2021,25,0.453999144439831,0.40049739609034063,1.2314310000125381,-0.1110373428582817,0.496,-0.06346084169185014
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2022,25,-0.42739612342352107,-0.34214297536246663,-1.4908954009888762,-0.4182065907424837,0.544,-0.004079943429634787
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2023,24,0.24706449214125348,0.2121326581115246,0.7324387668827976,-0.3130027259749708,0.46666666666666673,-0.020987571186296478
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2024,24,0.41493411712344486,0.4202889425060645,1.25352819051324,-0.17813500738390042,0.45,0.02587780279735452
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2025,25,0.8605195327528161,0.20787242356199265,1.4998233924334372,-0.18683765866572322,0.512,0.04317089438852708
MOM12_1_1M_ABOVE_MEDIAN,5,equal,0,2026,13,0.3273355018009769,0.3065757552074284,1.1401561479876838,-0.3544575986500289,0.3692307692307693,-0.019173301945579164
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2016,25,-0.2467520952478981,-0.24593118756746857,-0.705950037436431,-0.2767571566707674,0.5000000000000001,-0.006222448773533256
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2017,24,0.08144056787678666,-0.04785610376560745,0.5761671121865543,-0.09832100133947275,0.45,0.03871126213630461
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2018,25,-0.3658670545011178,-0.2620658343497657,-1.5326756115088063,-0.44836511136528723,0.512,-0.07761071373414119
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2019,24,-0.05374694498031973,-0.005039570925914116,-0.23218711818482915,-0.2380436385980068,0.5166666666666667,-0.02248791513974655
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2020,25,0.16477339492420384,-0.11321444374407696,0.5640585974299943,-0.21304508427259705,0.44800000000000006,0.0028971884900707077
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2021,25,0.4018579910444715,0.35025266740246375,1.1283276448301873,-0.11329984167514229,0.496,-0.06346084169185014
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2022,25,-0.45070470300830645,-0.3687517223286142,-1.6174478821162328,-0.438621659216071,0.544,-0.004079943429634787
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2023,24,0.20583717455944028,0.17208459995113734,0.6510108308503199,-0.3190927503327011,0.46666666666666673,-0.020987571186296478
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2024,24,0.3704811353302844,0.3757149956175907,1.1525872377602246,-0.19095010361652975,0.45,0.02587780279735452
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2025,25,0.7916460169507464,0.16252474346780543,1.4218415498723422,-0.19250814251516424,0.512,0.04317089438852708
MOM12_1_1M_ABOVE_MEDIAN,5,equal,30,2026,13,0.3084493916815285,0.2879598466664235,1.099032828720774,-0.35842455531124784,0.3692307692307693,-0.019173301945579164
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2016,25,-0.27474219214234763,-0.2739571607480126,-0.8217005872567404,-0.29422208284892504,0.5000000000000001,-0.006222448773533256
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2017,24,0.04711110583756084,-0.07820973725037728,0.3726014888589165,-0.10602572627531803,0.45,0.03871126213630461
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2018,25,-0.3902252448022572,-0.29026222290298664,-1.6750103887883652,-0.46645972265138413,0.512,-0.07761071373414119
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2019,24,-0.08854101650567225,-0.04141726942368262,-0.4449362120999437,-0.25332694596888117,0.5166666666666667,-0.02248791513974655
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2020,25,0.1268070881033896,-0.14263298085103115,0.48467766065984136,-0.21656783398945,0.44800000000000006,0.0028971884900707077
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2021,25,0.3515061501996304,0.3017331743631848,1.024728459988292,-0.11762789447488076,0.496,-0.06346084169185014
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2022,25,-0.47310552738153566,-0.394330768784665,-1.7445595131708702,-0.45835728357727434,0.544,-0.004079943429634787
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2023,24,0.16590373347277887,0.1332927124245975,0.5697743325337528,-0.3251386122568254,0.46666666666666673,-0.020987571186296478
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2024,24,0.3273504451691629,0.3324658521259267,1.0513070167911194,-0.20358658671451801,0.45,0.02587780279735452
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2025,25,0.7251985687384916,0.11879739632891484,1.3437825756684885,-0.1981499135707453,0.512,0.04317089438852708
MOM12_1_1M_ABOVE_MEDIAN,5,equal,60,2026,13,0.2898020162039221,0.2695803307739504,1.0579054921084174,-0.36237631000909476,0.3692307692307693,-0.019173301945579164
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2016,25,-0.31052364933795884,-0.30978434564172186,-0.9763287135913231,-0.3203539745162093,0.5000000000000001,-0.006222448773533256
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2017,24,0.002948718410213713,-0.11725131691619073,0.09916118497813758,-0.11621509609922898,0.45,0.03871126213630461
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2018,25,-0.4213200446117197,-0.326265114469815,-1.864398911237118,-0.4897175320411814,0.512,-0.07761071373414119
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2019,24,-0.1330423396466548,-0.08795475916731721,-0.7255349158159975,-0.27645865425016247,0.5166666666666667,-0.02248791513974655
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2020,25,0.07800794643549858,-0.18042098084277935,0.37826239282056545,-0.22124774979719108,0.44800000000000006,0.0028971884900707077
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2021,25,0.2870526394287889,0.23962666870160287,0.8858461973117636,-0.12347282306511198,0.496,-0.06346084169185014
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2022,25,-0.5016194063027744,-0.42689998268326024,-1.9148662856478749,-0.483651414717024,0.544,-0.004079943429634787
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2023,24,0.11460550808329706,0.08345986882867984,0.4617816513844648,-0.3331314976246649,0.46666666666666673,-0.020987571186296478
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2024,24,0.2718356964032882,0.2767969891145714,0.9158086133366574,-0.2201611886080358,0.45,0.02587780279735452
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2025,25,0.6402359923416296,0.0629200156197014,1.2396089387026121,-0.2056277729222229,0.512,0.04317089438852708
MOM12_1_1M_ABOVE_MEDIAN,5,equal,100,2026,13,0.26530559540879395,0.24543743106464233,1.0030689065657046,-0.3676217250912328,0.3692307692307693,-0.019173301945579164
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,2016,25,-0.24021599834908536,-0.2403390549875528,-0.47737765886444833,-0.3411174000009368,0.5293333333333333,-0.006222448773533256
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,2017,24,0.0365323189006197,-0.08717675460521201,0.28026784893684314,-0.12828577755211557,0.5138888888888888,0.03871126213630461
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,2018,25,-0.24437391740842573,-0.12395415000066923,-0.8342101143374375,-0.38488416758657684,0.5306666666666667,-0.07761071373414119
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,2019,24,-0.0782593447409623,-0.03267687345954429,-0.33324589386530495,-0.2846328729483777,0.5361111111111111,-0.02248791513974655
MOM12_1_1M_ABOVE_MEDIAN,5,rank_linear,0,2020,25,0.20537577996483414,-0.07683892975124329,0.6361760588128634,-0.23336474587919698,0.4746666666666666,0.0028971884900707077
