universe,period,phase,n_dates,mean_ic,mean_top20_10d,mean_bottom20_10d,mean_top_minus_bottom_10d,top_minus_bottom_positive_rate
K200,EARLY_2017_2019,0,73,-0.04646984328314644,-0.0031572592366140534,0.003902891439360428,-0.007060150675974485,0.4246575342465753
K200,EARLY_2017_2019,1,73,-0.04188919009958043,-0.0028140391146157444,0.005718627757384259,-0.008532666872000003,0.3698630136986301
K200,EARLY_2017_2019,2,74,-0.03974417650691184,-0.001717229623762803,0.006220917488422265,-0.007938147112185068,0.35135135135135137
K200,EARLY_2017_2019,3,73,-0.04832288691165303,-0.0037777166106024783,0.005747616234251371,-0.00952533284485385,0.3972602739726027
K200,EARLY_2017_2019,4,73,-0.03699263873044015,-0.0038463659877476654,0.005212285369407851,-0.009058651357155514,0.3972602739726027
K200,EARLY_2017_2019,5,73,-0.034922817636309056,-0.003891934835289713,0.004036060105378107,-0.007927994940667817,0.4520547945205479
K200,EARLY_2017_2019,6,73,-0.03512743744995282,-0.002812347899846957,0.0036647255362734082,-0.006477073436120365,0.3972602739726027
K200,EARLY_2017_2019,7,73,-0.0356076999025603,-0.0021294017565640145,0.0028519245055568143,-0.004981326262120829,0.4520547945205479
K200,EARLY_2017_2019,8,73,-0.040994885086688304,-0.0014519738820214746,0.0018234891079639483,-0.0032754629899854233,0.4931506849315068
K200,EARLY_2017_2019,9,73,-0.04029804113026005,-0.002674443192129667,0.0019841461141174447,-0.004658589306247111,0.4520547945205479
K200,LATE_2020_2022,0,74,-0.05701104787407973,-0.003224005587713986,0.0059005802379776566,-0.009124585825691643,0.43243243243243246
K200,LATE_2020_2022,1,74,-0.0517682349507312,-0.003147391422611347,0.003393369688731211,-0.006540761111342556,0.43243243243243246
K200,LATE_2020_2022,2,74,-0.045140673295966424,0.0003066989245898728,0.00457214117607406,-0.004265442251484185,0.43243243243243246
K200,LATE_2020_2022,3,75,-0.055698886752546625,-0.002928193246770038,0.002824341591513663,-0.0057525348382836995,0.44
K200,LATE_2020_2022,4,75,-0.054074196909459964,-0.0013262879037950089,0.0031711455687632667,-0.004497433472558273,0.4666666666666667
K200,LATE_2020_2022,5,74,-0.04490646740487192,-0.0010953997236334465,0.0011418584127628828,-0.0022372581363963293,0.4864864864864865
K200,LATE_2020_2022,6,74,-0.05365390989175965,-0.0015557045173604015,0.0035060210337463874,-0.005061725551106789,0.47297297297297297
K200,LATE_2020_2022,7,74,-0.06212274323828929,-0.0005790691125027228,0.0065190262984260155,-0.007098095410928741,0.47297297297297297
K200,LATE_2020_2022,8,74,-0.07069560918639935,-0.0012697413140756765,0.008641028117229159,-0.009910769431304835,0.43243243243243246
K200,LATE_2020_2022,9,74,-0.05739346919218113,-0.0008308813307695939,0.007190541027313739,-0.008021422358083334,0.4189189189189189
K200,NORMAL_2023_2024,0,49,0.00018620907139949583,0.0016363214113619524,-0.0034033452200574925,0.005039666631419444,0.5918367346938775
K200,NORMAL_2023_2024,1,49,-0.007217266521376528,-0.000325960903027276,-0.0022692267301220614,0.001943265827094785,0.5306122448979592
K200,NORMAL_2023_2024,2,49,-0.01784878019132611,-0.0017344649024402606,-0.001267567908365345,-0.00046689699407491457,0.46938775510204084
K200,NORMAL_2023_2024,3,49,-0.01550878656226409,-0.0008841309360428994,-0.0016402340284743513,0.0007561030924314515,0.4897959183673469
K200,NORMAL_2023_2024,4,48,-0.01286102102602444,-0.00013803111492532213,-0.0032696865126972674,0.0031316553977719466,0.5
K200,NORMAL_2023_2024,5,49,-0.038786409045090266,-0.0037549868963185247,0.0023004303188253715,-0.006055417215143895,0.42857142857142855
K200,NORMAL_2023_2024,6,49,-0.025453872456624567,-0.002508492592424596,0.0010218781374355332,-0.0035303707298601278,0.5102040816326531
K200,NORMAL_2023_2024,7,49,-0.01589795334038867,0.0018907633329826026,0.0004403489892364811,0.001450414343746123,0.5510204081632653
K200,NORMAL_2023_2024,8,49,-0.015458286911243022,0.0018062489030980032,-0.0021916905835468133,0.003997939486644816,0.5510204081632653
K200,NORMAL_2023_2024,9,49,-0.011376377759679767,-0.0010008897521868309,-0.0020767586935438423,0.0010758689413570119,0.5102040816326531
K200,BULL_2025,0,24,0.005512700859084711,0.02194180786723292,0.00846006952461678,0.013481738342616144,0.5416666666666666
K200,BULL_2025,1,24,-0.0029709009965622805,0.026464949087051836,0.010264568030131009,0.016200381056920826,0.5416666666666666
K200,BULL_2025,2,24,-0.0031969053907972464,0.031234781745271636,0.008596950799843694,0.02263783094542794,0.5833333333333334
K200,BULL_2025,3,24,0.004918122408584143,0.02751788560154639,0.009475114761153059,0.018042770840393334,0.5833333333333334
K200,BULL_2025,4,25,-0.003576519425612603,0.02475879927240005,0.015652687325484797,0.009106111946915244,0.48
K200,BULL_2025,5,25,0.0008137498537577214,0.026420508183082836,0.013442322222966638,0.012978185960116202,0.48
K200,BULL_2025,6,24,-0.0187074713692119,0.023019208997971802,0.012510586380707038,0.010508622617264762,0.5416666666666666
K200,BULL_2025,7,24,-0.0017020666409288214,0.02036866676636465,0.011823168827196124,0.008545497939168525,0.5416666666666666
K200,BULL_2025,8,24,-0.008934968989000924,0.020327137594021032,0.008958032722388815,0.011369104871632217,0.5416666666666666
K200,BULL_2025,9,24,-0.001614406400437728,0.0229739176964246,0.012701449481983845,0.010272468214440751,0.5833333333333334
K200,YTD_2026,0,14,0.018596242800130253,0.026099275199739376,-0.005060943666650375,0.031160218866389745,0.7142857142857143
K200,YTD_2026,1,14,-0.004849822099267292,0.025659913743680655,-0.0018279443994676044,0.027487858143148247,0.6428571428571429
K200,YTD_2026,2,14,-0.020894914504842318,0.024323663316169298,0.0013849266793271402,0.022938736636842157,0.5714285714285714
K200,YTD_2026,3,13,-0.013129991538276618,0.020615368749061096,-0.005943768398794866,0.026559137147855964,0.5384615384615384
K200,YTD_2026,4,13,-0.020095364591704152,0.015204764052656635,-0.005618092815726888,0.02082285686838352,0.5384615384615384
K200,YTD_2026,5,13,-0.005418107303167117,0.011096887670376237,-0.008319082270532236,0.01941596994090848,0.46153846153846156
K200,YTD_2026,6,14,-0.0019773157655462574,0.010185966456233186,0.0007259660614580445,0.00946000039477515,0.5
K200,YTD_2026,7,14,-0.001495485315473587,0.017666215965337535,-0.00294617800135906,0.020612393966696587,0.35714285714285715
K200,YTD_2026,8,14,0.0005340704666011442,0.020893538901009995,-0.0004936538753234547,0.021387192776333448,0.5
K200,YTD_2026,9,14,-0.007684977616232868,0.018098308633314752,-0.003462677068874324,0.02156098570218909,0.5
KOSPI_EX_K200,EARLY_2017_2019,0,73,-0.06419630429745057,-0.0065063130889781474,0.0030381272532136907,-0.009544440342191839,0.4657534246575342
KOSPI_EX_K200,EARLY_2017_2019,1,73,-0.06057526279656972,-0.007239566762775731,0.0026910942826560073,-0.00993066104543174,0.410958904109589
KOSPI_EX_K200,EARLY_2017_2019,2,74,-0.05795579705266948,-0.004153993958480437,0.0027865863312387397,-0.0069405802897191775,0.4189189189189189
KOSPI_EX_K200,EARLY_2017_2019,3,73,-0.06661594988773303,-0.007633428449605218,0.002783725377980214,-0.010417153827585434,0.410958904109589
KOSPI_EX_K200,EARLY_2017_2019,4,73,-0.06933516416116008,-0.006619651773120189,0.0024919817992744946,-0.009111633572394686,0.3698630136986301
KOSPI_EX_K200,EARLY_2017_2019,5,73,-0.073056879937778,-0.006362906508267119,0.004425618201243511,-0.01078852470951063,0.3835616438356164
KOSPI_EX_K200,EARLY_2017_2019,6,73,-0.0667036600470521,-0.00631457664975274,0.0035724533514920483,-0.00988703000124479,0.4246575342465753
KOSPI_EX_K200,EARLY_2017_2019,7,73,-0.06914264659905785,-0.008822516653103426,0.0012071423036425094,-0.010029658956745935,0.3835616438356164
KOSPI_EX_K200,EARLY_2017_2019,8,73,-0.07030519115253527,-0.007965510682546148,0.0018276852780374935,-0.009793195960583645,0.4246575342465753
KOSPI_EX_K200,EARLY_2017_2019,9,73,-0.06582443491907938,-0.007212134473385481,0.0023647709091231123,-0.009576905382508593,0.4383561643835616
KOSPI_EX_K200,LATE_2020_2022,0,74,-0.06827042764327534,-0.000621366514076149,0.005196142777566668,-0.005817509291642817,0.32432432432432434
KOSPI_EX_K200,LATE_2020_2022,1,74,-0.05519231998888716,0.000377373711021097,0.005980839803558003,-0.005603466092536904,0.44594594594594594
KOSPI_EX_K200,LATE_2020_2022,2,74,-0.058501305208727775,0.0022893844350711187,0.006023429441826534,-0.0037340450067554157,0.4189189189189189
KOSPI_EX_K200,LATE_2020_2022,3,75,-0.058155929758139574,0.0012806883623591378,0.003592222617165649,-0.002311534254806512,0.48
KOSPI_EX_K200,LATE_2020_2022,4,75,-0.05598193726242858,0.003952366474395449,0.002318040666906414,0.0016343258074890336,0.5066666666666667
KOSPI_EX_K200,LATE_2020_2022,5,74,-0.041269918476433035,0.00025783574929320646,0.002287951560595918,-0.0020301158113027124,0.5675675675675675
KOSPI_EX_K200,LATE_2020_2022,6,74,-0.046122169698899526,0.002930048392455764,0.0022126051669195774,0.0007174432255361861,0.5405405405405406
KOSPI_EX_K200,LATE_2020_2022,7,74,-0.059471924609564894,0.003065689643343443,0.0039438265920452445,-0.0008781369487017982,0.4864864864864865
KOSPI_EX_K200,LATE_2020_2022,8,74,-0.06280742940643261,0.0030013748847542688,0.005429008734411897,-0.0024276338496576283,0.44594594594594594
KOSPI_EX_K200,LATE_2020_2022,9,74,-0.06559700966613215,0.003400785124648945,0.004787030781500777,-0.0013862456568518307,0.4189189189189189
KOSPI_EX_K200,NORMAL_2023_2024,0,49,-0.01755672832796573,0.00021661210990576402,-0.0038326784134163406,0.004049290523322107,0.5714285714285714
KOSPI_EX_K200,NORMAL_2023_2024,1,49,-0.020589426987196426,-0.00048172655106444275,-0.0044415624477523305,0.003959835896687887,0.5306122448979592
KOSPI_EX_K200,NORMAL_2023_2024,2,49,-0.011891178822619542,0.0018056937253221658,-0.006021530515632603,0.00782722424095477,0.5102040816326531
KOSPI_EX_K200,NORMAL_2023_2024,3,49,-0.010301390737074758,0.0023072307818847336,-0.007314001058708012,0.009621231840592746,0.4897959183673469
KOSPI_EX_K200,NORMAL_2023_2024,4,48,-0.01316150986688939,-0.0020115042294889746,-0.009069067901775878,0.007057563672286903,0.4791666666666667
KOSPI_EX_K200,NORMAL_2023_2024,5,49,-0.03482884933480298,0.0018212809499224467,-0.0034020437087851365,0.00522332465870758,0.4897959183673469
KOSPI_EX_K200,NORMAL_2023_2024,6,49,-0.038868357517974406,0.0004278667114329141,-0.0013920771176851863,0.0018199438291180998,0.4897959183673469
KOSPI_EX_K200,NORMAL_2023_2024,7,49,-0.032331924757956404,0.0007827794700645133,-0.0043351753359565865,0.0051179548060211015,0.5102040816326531
KOSPI_EX_K200,NORMAL_2023_2024,8,49,-0.03536594426938499,-0.001544427376827346,-0.00431996262993936,0.0027755352531120144,0.5306122448979592
KOSPI_EX_K200,NORMAL_2023_2024,9,49,-0.027285270135392493,-0.0006621184437265785,-0.002356331669803979,0.0016942132260774022,0.4897959183673469
KOSPI_EX_K200,BULL_2025,0,24,-0.034608411762374926,0.0069341039949933165,0.003388918925010287,0.003545185069983029,0.5
KOSPI_EX_K200,BULL_2025,1,24,-0.02697134981888104,0.0070670846492361114,0.010609226036662589,-0.0035421413874264763,0.375
KOSPI_EX_K200,BULL_2025,2,24,-0.01505062088234565,0.008127434617478732,0.009203509195767427,-0.0010760745782886945,0.4583333333333333
KOSPI_EX_K200,BULL_2025,3,24,-0.016420332499183277,0.005021205515664632,0.007859053685437427,-0.0028378481697727957,0.375
KOSPI_EX_K200,BULL_2025,4,25,-0.02381049608839073,0.015368715115610753,0.011806716521454607,0.003561998594156145,0.48
KOSPI_EX_K200,BULL_2025,5,25,-0.02966470153236422,0.012257675660368235,0.009240705819925012,0.0030169698404432237,0.52
KOSPI_EX_K200,BULL_2025,6,24,-0.047750655501457344,0.00542744599452745,0.00908022235425705,-0.003652776359729599,0.4583333333333333
KOSPI_EX_K200,BULL_2025,7,24,-0.0516964856476812,0.005717077306535689,0.0052086340266385535,0.0005084432798971375,0.4166666666666667
KOSPI_EX_K200,BULL_2025,8,24,-0.03927127697898016,0.0006366790644382232,0.005972399468194156,-0.00533572040375593,0.4166666666666667
KOSPI_EX_K200,BULL_2025,9,24,-0.042756970054193065,0.005355021605038299,0.007571417932866001,-0.0022163963278276993,0.375
KOSPI_EX_K200,YTD_2026,0,14,-0.05872844912283172,-0.010063949944174541,0.0008643604000551869,-0.010928310344229725,0.42857142857142855
KOSPI_EX_K200,YTD_2026,1,14,-0.06446076791154587,-0.01048670420061106,-0.004849608387488311,-0.0056370958131227505,0.35714285714285715
KOSPI_EX_K200,YTD_2026,2,14,-0.0713810664950255,-0.007472672086674066,-0.007919673004612505,0.00044700091793844446,0.42857142857142855
KOSPI_EX_K200,YTD_2026,3,13,-0.05633688310962126,-0.01880254065930096,-0.012165256589852215,-0.006637284069448744,0.15384615384615385
KOSPI_EX_K200,YTD_2026,4,13,-0.04253413526016715,-0.021459493772497937,-0.017574260197126435,-0.003885233575371507,0.46153846153846156
KOSPI_EX_K200,YTD_2026,5,13,-0.03870421942845226,-0.028321651080543467,-0.019885586685275312,-0.008436064395268155,0.46153846153846156
KOSPI_EX_K200,YTD_2026,6,14,-0.03166625771675713,-0.015509998483463084,-0.020804060764257688,0.005294062280794602,0.5714285714285714
KOSPI_EX_K200,YTD_2026,7,14,-0.019036143518720187,-0.008613697208386792,-0.017884711146001094,0.009271013937614299,0.5714285714285714
KOSPI_EX_K200,YTD_2026,8,14,-0.05216836158169922,-0.011418438068269199,-0.017605662241351346,0.006187224173082149,0.42857142857142855
KOSPI_EX_K200,YTD_2026,9,14,-0.05390267386642046,-0.007384773805042869,-0.004516647343350762,-0.0028681264616921037,0.42857142857142855
KOSPI_ALL,EARLY_2017_2019,0,73,-0.05540609216754698,-0.009497748110639644,0.006483516252131158,-0.0159812643627708,0.3835616438356164
KOSPI_ALL,EARLY_2017_2019,1,73,-0.050564633897578655,-0.009209667736513149,0.0069789266017780405,-0.01618859433829119,0.3287671232876712
KOSPI_ALL,EARLY_2017_2019,2,74,-0.04883725313741311,-0.006665531340613855,0.005667618019387611,-0.012333149360001466,0.3918918918918919
KOSPI_ALL,EARLY_2017_2019,3,73,-0.058198827736795425,-0.009818520919554725,0.006329960308761572,-0.0161484812283163,0.410958904109589
KOSPI_ALL,EARLY_2017_2019,4,73,-0.05324743720388317,-0.00607104404839259,0.006001909260269739,-0.01207295330866233,0.410958904109589
KOSPI_ALL,EARLY_2017_2019,5,73,-0.053265204228311124,-0.00831344686508709,0.006321751492070806,-0.014635198357157892,0.3698630136986301
KOSPI_ALL,EARLY_2017_2019,6,73,-0.050553831088818425,-0.00735966609618544,0.005878132906252672,-0.013237799002438112,0.3972602739726027
KOSPI_ALL,EARLY_2017_2019,7,73,-0.0515342511688924,-0.010378067168074073,0.00712959982204845,-0.01750766699012252,0.3150684931506849
KOSPI_ALL,EARLY_2017_2019,8,73,-0.054965096873017656,-0.008601095429430368,0.004855534784449266,-0.013456630213879635,0.3013698630136986
KOSPI_ALL,EARLY_2017_2019,9,73,-0.05136718870456775,-0.012100763442557302,0.00559475245902223,-0.01769551590157953,0.3561643835616438
KOSPI_ALL,LATE_2020_2022,0,74,-0.06417117470284409,0.0007982077698966342,0.0063508381522654825,-0.005552630382368848,0.40540540540540543
KOSPI_ALL,LATE_2020_2022,1,74,-0.05390621989525035,-8.732966701330168e-06,0.0065852265586467396,-0.00659395952534807,0.40540540540540543
KOSPI_ALL,LATE_2020_2022,2,74,-0.053175583804975085,0.0031584904148013134,0.006823019213343119,-0.003664528798541802,0.4189189189189189
KOSPI_ALL,LATE_2020_2022,3,75,-0.05840238174838788,-0.001077987344648496,0.006420484956304758,-0.007498472300953257,0.49333333333333335
KOSPI_ALL,LATE_2020_2022,4,75,-0.056289537892714965,-0.0010572936557952288,0.005402218681391051,-0.006459512337186275,0.48
KOSPI_ALL,LATE_2020_2022,5,74,-0.04406788668270988,-0.00015590728332439698,0.00173022884018197,-0.0018861361235063664,0.5
KOSPI_ALL,LATE_2020_2022,6,74,-0.05024051558299998,0.001523202797516158,0.004806263874596811,-0.0032830610770806534,0.5
KOSPI_ALL,LATE_2020_2022,7,74,-0.060562679856269674,0.0012464788467092464,0.006269717387090537,-0.00502323854038129,0.5
KOSPI_ALL,LATE_2020_2022,8,74,-0.0658224707993262,0.00010979598820714421,0.008830972182316819,-0.008721176194109677,0.44594594594594594
KOSPI_ALL,LATE_2020_2022,9,74,-0.062110355938753394,0.0008205010282161041,0.006102764102937988,-0.005282263074721884,0.3783783783783784
KOSPI_ALL,NORMAL_2023_2024,0,49,-0.013074517306003742,0.0035964033157388706,-0.005922466053195612,0.009518869368934483,0.5510204081632653
KOSPI_ALL,NORMAL_2023_2024,1,49,-0.01852213795093954,0.0028633626208436776,-0.007196103937133074,0.010059466557976751,0.5102040816326531
KOSPI_ALL,NORMAL_2023_2024,2,49,-0.017951670498682674,0.004710399445204693,-0.007633744834344574,0.012344144279549269,0.46938775510204084
KOSPI_ALL,NORMAL_2023_2024,3,49,-0.016952091636460487,0.004211419705390613,-0.007657716707477231,0.011869136412867845,0.4897959183673469
KOSPI_ALL,NORMAL_2023_2024,4,48,-0.01588869171238826,0.00030844582674911125,-0.006652765327898282,0.0069612111546473905,0.5208333333333334
KOSPI_ALL,NORMAL_2023_2024,5,49,-0.03945008119729049,0.00026100715010694576,-0.0010043748272829378,0.0012653819773898829,0.4897959183673469
KOSPI_ALL,NORMAL_2023_2024,6,49,-0.034412894935467175,0.0015440725515073266,-0.0020817606254831477,0.003625833176990475,0.4897959183673469
KOSPI_ALL,NORMAL_2023_2024,7,49,-0.026588334621739897,0.0007674504212340587,-0.0029016634975556725,0.0036691139187897295,0.4897959183673469
KOSPI_ALL,NORMAL_2023_2024,8,49,-0.02681088732044031,0.0015821032420400489,-0.004707563663643193,0.006289666905683244,0.5102040816326531
KOSPI_ALL,NORMAL_2023_2024,9,49,-0.021802371486610923,4.456344907689955e-05,-0.0027040380547470114,0.0027486015038239125,0.46938775510204084
KOSPI_ALL,BULL_2025,0,24,-0.011749756425718618,0.010852196834873692,0.005997055387938423,0.004855141446935271,0.5833333333333334
KOSPI_ALL,BULL_2025,1,24,-0.011921224978895306,0.01445628121399592,0.007940390401523667,0.006515890812472257,0.5
KOSPI_ALL,BULL_2025,2,24,-0.00797114891732005,0.018263607610129375,0.007380086812824743,0.010883520797304633,0.5
KOSPI_ALL,BULL_2025,3,24,-0.004875464888843636,0.017956476104715017,0.0038708398611360163,0.014085636243578998,0.625
KOSPI_ALL,BULL_2025,4,25,-0.014413549134955113,0.020981015681068072,0.011451336235042185,0.00952967944602589,0.48
