universe,strategy,period,cost_bp,n_phases,median_cagr,worst_phase_cagr,positive_cagr_phases,median_mdd,median_sharpe,worst_phase_sharpe,median_calmar,median_benchmark_cagr,median_excess_cagr,positive_excess_phases,median_information_ratio,median_relative_mdd,median_turnover
K200,WEIGHTED_MOM,BULL_2025,0,10,0.5997916008414677,0.5042758876528781,10,-0.182620851138468,1.6819068517161198,1.4871669608182907,3.267847705191394,0.8474539436294959,-0.13405603081042033,1,-0.564805078017916,-0.33703442484575674,10.576856566957307
K200,WEIGHTED_MOM,BULL_2025,30,10,0.5501058629702237,0.45585147051558206,10,-0.18727550629594109,1.5794342106366561,1.378868069157573,2.9224180695557997,0.8474539436294959,-0.1609501994269502,0,-0.7135776513347568,-0.3477825395880741,10.576856566957307
K200,WEIGHTED_MOM,BULL_2025,60,10,0.501901107809578,0.4089214364263023,10,-0.19168643632729815,1.4763398245242114,1.2702777691270084,2.6012295738905706,0.8474539436294959,-0.1870427336018166,0,-0.8666663907251229,-0.35837022537494334,10.576856566957307
K200,WEIGHTED_MOM,EARLY_2017_2019,0,10,-0.08294215746261818,-0.10157817181550155,0,-0.40034409124114473,-0.3715135944474964,-0.4774245655617861,-0.2166237798522313,0.027164865641854608,-0.1049267206767206,0,-0.6253632673796757,-0.31399876332272786,12.25808548989739
K200,WEIGHTED_MOM,EARLY_2017_2019,30,10,-0.11635716777814242,-0.13382723645935302,0,-0.4295512056146616,-0.5691571598373011,-0.6711053315177353,-0.2760591850425591,0.027164865641854608,-0.13732375310941175,0,-0.8567204552296428,-0.3763578115604443,12.25808548989739
K200,WEIGHTED_MOM,EARLY_2017_2019,60,10,-0.14860353766745288,-0.1649654948522178,0,-0.46485022284652033,-0.7649456540211845,-0.8658921262776992,-0.32342107683091625,0.027164865641854608,-0.16859532225311358,0,-1.08475456735933,-0.43125174529664945,12.25808548989739
K200,WEIGHTED_MOM,FULL_2017_2026,0,10,0.025756226255498005,-0.011471978963895846,8,-0.5548647698766628,0.23140949253408055,0.1003791867321777,0.04516101040980383,0.1327965224671892,-0.09287550844253645,0,-0.4449049641637606,-0.653550585691047,11.564298237917667
K200,WEIGHTED_MOM,FULL_2017_2026,30,10,-0.009473999700691016,-0.045690775477392975,2,-0.6316874554662595,0.10759027181326966,-0.024453784784540394,-0.014718934174702502,0.1327965224671892,-0.12403126420095106,0,-0.6208944454974609,-0.7412056299255654,11.564298237917667
K200,WEIGHTED_MOM,FULL_2017_2026,60,10,-0.04354339951273817,-0.07877301940227521,0,-0.7119894493845149,-0.01625626672161097,-0.14900278482947543,-0.0605056644151949,0.1327965224671892,-0.15416044613102087,0,-0.7955620179476472,-0.8106776179114252,11.564298237917667
K200,WEIGHTED_MOM,LATE_2020_2022,0,10,-0.06195158216468921,-0.09610648930536114,0,-0.47320786263915054,-0.10731050403415282,-0.24202251483855422,-0.14384579759504906,0.0031120961055546292,-0.06486182204645363,0,-0.2847348031598044,-0.3571310659432219,11.599194580552808
K200,WEIGHTED_MOM,LATE_2020_2022,30,10,-0.09348854173127558,-0.12710419542386697,0,-0.49745977380456535,-0.23795024916951094,-0.3746761408993915,-0.20398772735015938,0.0031120961055546292,-0.09630094005632012,0,-0.4584184526643366,-0.4039678522061525,11.599194580552808
K200,WEIGHTED_MOM,LATE_2020_2022,60,10,-0.12400897128204424,-0.15708237708548323,0,-0.5206288224038762,-0.36796972922957505,-0.5067281642486087,-0.2545299278843783,0.0031120961055546292,-0.12672668177477825,0,-0.6313518761125948,-0.44831803080552435,11.599194580552808
K200,WEIGHTED_MOM,NORMAL_2023_2024,0,10,-0.059770190480871566,-0.12671967242270932,3,-0.25509092110066534,-0.12717680199941556,-0.4345291970818877,-0.21067501421897694,0.03542592171588388,-0.09193908535629391,0,-0.4157815038373705,-0.2249014285974802,11.580045111749786
K200,WEIGHTED_MOM,NORMAL_2023_2024,30,10,-0.09189585195216143,-0.1574026835198693,0,-0.28585264519196796,-0.26742844466365345,-0.5803134287334906,-0.30030711079450195,0.03542592171588388,-0.12296560381359928,0,-0.5885262472226137,-0.2421214316508773,11.580045111749786
K200,WEIGHTED_MOM,NORMAL_2023_2024,60,10,-0.12296798447976481,-0.1870509535571354,0,-0.3177831037847392,-0.40681619104654987,-0.7251503394371127,-0.3748588693933027,0.03542592171588388,-0.15297463862326593,0,-0.7595457502312429,-0.2716559434475744,11.580045111749786
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,0,10,-0.06809527612733651,-0.09202807944768243,0,-0.5548647698766628,-0.1851748117509659,-0.3017326599453384,-0.12386751560669607,0.020023146913723422,-0.08571258943251636,0,-0.4319783424873604,-0.5619393480068002,11.83029653684629
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,30,10,-0.10050142095635123,-0.1236944898325053,0,-0.6146983655201239,-0.33681411573528475,-0.45425934236319515,-0.16364592477442225,0.020023146913723422,-0.1175062976053553,0,-0.6260253710337351,-0.6557134220756557,11.83029653684629
K200,WEIGHTED_MOM,PRE_STRESS_2017_2024,60,10,-0.13182639022652504,-0.15430143334356416,0,-0.6888515864264549,-0.48809859288565527,-0.6058491692907757,-0.19149360217757405,0.020023146913723422,-0.14823925682925804,0,-0.8188370631111974,-0.7302046081685352,11.83029653684629
K200,WEIGHTED_MOM,YTD_2026,0,10,0.6589761655968114,0.2328784268626598,10,-0.44058406817439466,1.1332450235867824,0.6484939927589018,1.5306566274242994,1.0477770274712994,-0.1898648420500157,0,-0.697814661906083,-0.29581132468173976,10.420030110077256
K200,WEIGHTED_MOM,YTD_2026,30,10,0.6083339049609373,0.19348773270335062,10,-0.443167965794867,1.0823719855566774,0.5965085287736385,1.4044734328316784,1.0477770274712994,-0.21459520085202127,0,-0.7775629584573157,-0.30067040644367127,10.420030110077256
K200,WEIGHTED_MOM,YTD_2026,60,10,0.5591795709466225,0.15530556252715688,10,-0.4457433866024116,1.0313665053396175,0.5444220535949559,1.2832376848926237,1.0477770274712994,-0.238598953875375,0,-0.8570732223547013,-0.30550184136862063,10.420030110077256
KOSDAQ,WEIGHTED_MOM,BULL_2025,0,10,0.6713947598342077,0.45003729875132503,10,-0.21992158400489287,1.6458367682153252,1.2923053218719889,2.6842128842456523,0.4002075396664764,0.1936764461590641,10,0.8151562114763626,-0.2152428183560347,12.358116191987673
KOSDAQ,WEIGHTED_MOM,BULL_2025,30,10,0.6091929057363874,0.3955519006765198,10,-0.22429114134225148,1.5390651318415858,1.1747985008033317,2.410269969750682,0.4002075396664764,0.14925313580277155,9,0.6722163496754905,-0.2216572598444953,12.358116191987673
KOSDAQ,WEIGHTED_MOM,BULL_2025,60,10,0.5492008331434465,0.34303533930254315,10,-0.22864273980761463,1.4314841261203015,1.0570949681283226,2.1525307312444495,0.4002075396664764,0.10640800685336738,7,0.5290030182539138,-0.23196486634423025,12.358116191987673
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,0,10,0.09189717194412317,0.023213427705233824,10,-0.49295173155605554,0.4330645878424946,0.23379092030729215,0.17384119667378212,0.02669404119639318,0.06585818174388236,10,0.43253916361514577,-0.3765121025072957,11.396855369553142
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,30,10,0.05510858913632277,-0.011857810729323903,9,-0.508813380721288,0.32713428029432057,0.12751742941081717,0.10133297579924838,0.02669404119639318,0.030219293783899537,9,0.2765315249250469,-0.3964502004152788,11.396855369553142
KOSDAQ,WEIGHTED_MOM,EARLY_2017_2019,60,10,0.019702109994702344,-0.04577645573337863,9,-0.524889833846107,0.22216211085269316,0.02136963978385973,0.035416379106322345,0.02669404119639318,-0.004277225830845943,4,0.1202147609544612,-0.41577951537486824,11.396855369553142
KOSDAQ,WEIGHTED_MOM,FULL_2017_2026,0,10,0.02737847161492135,-0.009660147218378379,9,-0.7007045121674134,0.2713675144862045,0.18255596687984177,0.042278880932504224,0.03033193591747374,-0.00214987998961641,5,0.15629057369247484,-0.5881595428697448,11.760793614600566
KOSDAQ,WEIGHTED_MOM,FULL_2017_2026,30,10,-0.008144086975890197,-0.044469942683372676,4,-0.7319864167523159,0.18562552840437013,0.09582611576796977,-0.012249626602797194,0.03033193591747374,-0.036651517866358785,1,0.03191725801878985,-0.6476842410515866,11.760793614600566
KOSDAQ,WEIGHTED_MOM,FULL_2017_2026,60,10,-0.04248797710001412,-0.0781052538423912,1,-0.7600397340082218,0.0998667622483975,0.009107725640054487,-0.05883641558880172,0.03033193591747374,-0.07000836063717247,0,-0.09242485453384275,-0.7058880663890932,11.760793614600566
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,0,10,-0.10109241740331276,-0.13956669452847958,0,-0.6100115801269914,-0.08951527190867761,-0.19452307196995489,-0.16336264589994176,0.010954874215636456,-0.11083312863581868,0,-0.28912468539645053,-0.4848875540093452,12.06546572215106
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,30,10,-0.13307687719257344,-0.170147206625064,0,-0.6256374847753599,-0.18424193284031642,-0.28870297145562124,-0.20628976636602397,0.010954874215636456,-0.14247099952899384,0,-0.4137517250049011,-0.5290954271653778,12.06546572215106
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,60,10,-0.16396865364878022,-0.19968425403042256,0,-0.6406038576671831,-0.27875019450671945,-0.3829902716935466,-0.24884362645597186,0.010954874215636456,-0.1730280275864282,0,-0.5377983564259082,-0.5673594790718502,12.06546572215106
