period,universe,strategy,cost_bps,n_5d,sharpe,cagr,max_drawdown,annualized_weight_turnover
VAL_2020_2022,K200,EW8,0,148,1.1064801199010208,0.08717491968264679,-0.08023227159814117,0.0
CONF_2023_2024,K200,EW8,0,97,1.0513917878010366,0.08655541649093812,-0.0509605364554383,0.0
STRESS_2025,K200,EW8,0,49,2.1368190077081604,0.20007697455895346,-0.06144940117202313,0.0
STRESS_2026,K200,EW8,0,29,4.013294982580927,0.4165351889842188,-0.019319938691044758,0.0
VAL_2020_2022,K200,EW8,10,148,1.1064801199010208,0.08717491968264679,-0.08023227159814117,0.0
CONF_2023_2024,K200,EW8,10,97,1.0513917878010366,0.08655541649093812,-0.0509605364554383,0.0
STRESS_2025,K200,EW8,10,49,2.1368190077081604,0.20007697455895346,-0.06144940117202313,0.0
STRESS_2026,K200,EW8,10,29,4.013294982580927,0.4165351889842188,-0.019319938691044758,0.0
VAL_2020_2022,K200,EW8,30,148,1.1064801199010208,0.08717491968264679,-0.08023227159814117,0.0
CONF_2023_2024,K200,EW8,30,97,1.0513917878010366,0.08655541649093812,-0.0509605364554383,0.0
STRESS_2025,K200,EW8,30,49,2.1368190077081604,0.20007697455895346,-0.06144940117202313,0.0
STRESS_2026,K200,EW8,30,29,4.013294982580927,0.4165351889842188,-0.019319938691044758,0.0
VAL_2020_2022,K200,PAIRWISE_SOFT,0,148,1.1640891377697689,0.09595265075364656,-0.08057957771675162,1.244074553882108
CONF_2023_2024,K200,PAIRWISE_SOFT,0,97,1.022012131803694,0.08615853847302812,-0.05298498702572174,1.3492725678370614
STRESS_2025,K200,PAIRWISE_SOFT,0,49,2.127173506959674,0.19898273453354443,-0.0615589171293055,1.2347697750475222
STRESS_2026,K200,PAIRWISE_SOFT,0,29,4.019609756117072,0.4557464280706782,-0.018168855072157153,1.508196352859447
VAL_2020_2022,K200,PAIRWISE_SOFT,10,148,1.1489332945157371,0.09459296950567153,-0.08069432541356103,1.244074553882108
CONF_2023_2024,K200,PAIRWISE_SOFT,10,97,1.0060352872726128,0.08469639783496219,-0.05326146951532351,1.3492725678370614
