period,confidence_quintile,n,median_rank_ic,mean_rank_ic,mean_top3_minus_ew8,median_top3_minus_ew8,mean_bottom2_veto_minus_ew8,median_bottom2_veto_minus_ew8
CONF_2023_2024,1,204,-0.10714285714285715,-0.053221288515406175,-0.002349914607722247,-0.0004456803724892733,-0.001464064332705769,-0.00022840236874699008
CONF_2023_2024,2,168,0.09523809523809526,0.10274943310657599,0.0034979641707343864,0.002486132769266589,0.0007010661624910388,0.00035786198253799184
CONF_2023_2024,3,72,0.08333333333333334,0.06117724867724869,0.0014357290784268355,0.0004822942901806424,0.0007561733252088384,0.0015999252717270266
CONF_2023_2024,4,66,-0.44047619047619047,-0.19805194805194806,-0.006009629053884143,-0.006325038076292041,-0.0011108362133562,-0.0014392986461309136
CONF_2023_2024,5,72,0.07142857142857144,0.09623015873015874,0.002977403280233558,0.0025544621710880252,-0.0018298187840419132,-0.0007180224479120331
STRESS_2025,1,120,0.2142857142857143,0.09424603174603177,0.0025806610382241787,0.0030780050692782324,0.0002699295250207455,0.0004934592689412576
STRESS_2025,2,48,0.3214285714285715,0.1830357142857143,0.003709575213772491,0.0038071686518788665,0.002634635371446708,0.0024389377914295777
STRESS_2025,3,36,0.14285714285714288,0.10119047619047622,0.0009945074602304663,0.00044359436688006567,-0.0010877159515529102,-0.0009509317341565363
STRESS_2025,4,48,-0.023809523809523815,0.04563492063492064,0.0016470653493667997,-0.0046625808787716565,0.002289321158632792,0.003849729469428188
STRESS_2025,5,42,-0.1785714285714286,-0.06689342403628118,-0.0008035327802753038,-0.0018264490804115732,0.0002867195369611342,-9.165408914639126e-05
STRESS_2026,1,96,0.07142857142857144,0.05307539682539684,-0.001790638087943104,0.0009349353288012189,0.001997742806617936,0.001767588879609417
STRESS_2026,2,30,-0.3690476190476191,-0.24523809523809528,-0.011391118009424075,-0.01459612812354613,-0.005578023737637653,-0.0031548629161676483
STRESS_2026,3,6,0.7380952380952381,0.5793650793650794,0.01587783541846607,0.015931185736297808,0.011916758341678409,0.012382119164167418
STRESS_2026,4,18,0.22619047619047625,0.2420634920634921,0.016182061409654346,0.009604044183944758,0.0033808618110350123,-0.0010352186591777127
STRESS_2026,5,24,0.5357142857142858,0.29960317460317465,0.014606928056968152,0.01180614479663024,0.011480427799635269,0.00781822227439315
VAL_2020_2022,1,288,0.14285714285714288,0.10937500000000001,0.0027274694534925015,0.002547367219944687,0.0021068932150613688,0.0013901759750914557
VAL_2020_2022,2,264,0.09523809523809526,0.08676046176046177,0.00023798454653953233,0.0007449108993341482,0.0011610484451518733,0.001580707125582748
VAL_2020_2022,3,162,-0.023809523809523815,0.025720164609053495,0.00013359193020464724,0.00040762858228218747,7.336146442236873e-05,-0.00023683004777708128
VAL_2020_2022,4,102,0.011904761904761908,0.05322128851540617,0.0009072470674364136,0.0016731473568958274,0.00026430297095354896,-0.0010871140457810193
VAL_2020_2022,5,72,0.1666666666666667,0.1431878306878307,0.0026944535583588777,0.0008464590317598191,0.002849725348104738,0.001587640862499386
