date,period,universe,confidence_quintile,rank_ic,top3_minus_ew8,bottom2_veto_minus_ew8
2020-01-03,VAL_2020_2022,K200,3,0.09523809523809526,0.0041825027438673525,-0.001972910571986595
2020-01-10,VAL_2020_2022,K200,1,0.19047619047619052,0.015085499151021222,0.00518841196569917
2020-01-17,VAL_2020_2022,K200,1,0.38095238095238104,0.0022693641493476283,0.00043890892991143
2020-01-28,VAL_2020_2022,K200,5,-0.2142857142857143,0.0009050986787399167,-0.0006784910687468995
2020-02-04,VAL_2020_2022,K200,4,0.6904761904761906,0.003652894866432487,0.00498644384402422
2020-02-11,VAL_2020_2022,K200,5,-0.7857142857142858,-0.02562184237832771,-0.009542613836710477
2020-02-18,VAL_2020_2022,K200,2,0.523809523809524,0.004397682135360367,0.0012943804499943676
2020-02-25,VAL_2020_2022,K200,2,0.6666666666666669,0.008486755688747892,0.008950207679955642
2020-03-03,VAL_2020_2022,K200,2,0.11904761904761905,-0.0004917011466646715,0.002861746082293346
2020-03-10,VAL_2020_2022,K200,1,0.6666666666666669,0.015709719433345464,0.01431226272119013
2020-03-17,VAL_2020_2022,K200,2,0.7380952380952381,0.029193795271491352,0.012926202413923896
2020-03-24,VAL_2020_2022,K200,1,0.6190476190476191,0.022502737798253798,0.01593227562768941
2020-04-07,VAL_2020_2022,K200,1,-0.5952380952380953,-0.025276354249476107,-0.01736001261240889
2020-04-14,VAL_2020_2022,K200,1,-0.9285714285714287,-0.030032557583918873,-0.012939491251675449
2020-04-22,VAL_2020_2022,K200,1,0.6904761904761906,0.024225181878919186,0.0075432125305032495
2020-04-29,VAL_2020_2022,K200,3,0.11904761904761905,0.0048062666829616334,-0.0047898145013030675
2020-05-11,VAL_2020_2022,K200,1,0.6190476190476191,0.013520161054426128,0.006951488891074042
2020-05-18,VAL_2020_2022,K200,1,-0.523809523809524,-0.0008792701427309223,-0.01198904482436059
2020-05-25,VAL_2020_2022,K200,2,-0.4285714285714286,0.0001845335698156831,-0.006153314607568199
2020-06-01,VAL_2020_2022,K200,4,-0.523809523809524,-0.010024211050495937,-0.009061076693418255
2020-06-08,VAL_2020_2022,K200,4,-0.2380952380952381,-0.00890299409257974,-0.011966788108207055
2020-06-15,VAL_2020_2022,K200,1,0.523809523809524,0.007887262975483738,0.023016301698623842
2020-06-22,VAL_2020_2022,K200,1,0.4523809523809524,0.022005283097962795,-0.00055988762028082
2020-06-29,VAL_2020_2022,K200,2,0.3333333333333334,0.002199028934366881,0.008616998604941353
2020-07-06,VAL_2020_2022,K200,2,-0.28571428571428575,-0.0009405637107416042,-0.006409782718978737
2020-07-13,VAL_2020_2022,K200,2,0.6190476190476191,0.014475885284123722,0.013521891743342219
2020-07-20,VAL_2020_2022,K200,1,-0.3333333333333334,-0.006284814410079647,-0.012344727408183234
2020-07-27,VAL_2020_2022,K200,2,0.6666666666666669,0.01816284117754703,0.014483868767565564
2020-08-03,VAL_2020_2022,K200,1,0.9285714285714287,0.02027728068268879,0.006385211837773156
2020-08-10,VAL_2020_2022,K200,2,0.4047619047619048,0.01524172147928694,0.016053499409173774
2020-08-18,VAL_2020_2022,K200,2,-0.5714285714285715,-0.013633087882620337,-0.011419246905493254
2020-08-25,VAL_2020_2022,K200,1,0.38095238095238104,0.014192047249803596,0.009176875573196878
2020-09-01,VAL_2020_2022,K200,1,-0.523809523809524,-0.006024004755509738,-0.002643757056143787
2020-09-08,VAL_2020_2022,K200,1,-0.523809523809524,-0.008371459285110058,-0.003542185493060175
2020-09-15,VAL_2020_2022,K200,1,-0.3571428571428572,-0.0071411972617326175,-0.0007800803805457829
2020-09-22,VAL_2020_2022,K200,2,-0.5000000000000001,-0.0039830417379459835,-0.006159400973790016
2020-09-29,VAL_2020_2022,K200,2,0.4047619047619048,0.0006726412513242373,0.003064246324247521
2020-10-12,VAL_2020_2022,K200,3,-0.523809523809524,-0.008939539891328112,-0.00026978082225774525
2020-10-19,VAL_2020_2022,K200,5,0.5952380952380953,0.025105407579804107,0.013301410504849027
2020-10-26,VAL_2020_2022,K200,1,0.6190476190476191,0.020215756588488412,0.00508570058454141
2020-11-02,VAL_2020_2022,K200,2,-0.7619047619047621,-0.015148327703560005,-0.004679264530744972
2020-11-09,VAL_2020_2022,K200,1,-0.8571428571428572,-0.03590853300586093,-0.011023049726258182
2020-11-16,VAL_2020_2022,K200,1,0.8571428571428572,0.04737978783297003,0.019531160173074356
2020-11-23,VAL_2020_2022,K200,1,0.3571428571428572,0.0022838282778658036,0.005483231199924798
2020-11-30,VAL_2020_2022,K200,3,-0.07142857142857144,-0.003234040850913623,-0.0030842447781067716
2020-12-07,VAL_2020_2022,K200,1,0.7142857142857144,0.007843401937027159,0.0024515185608971757
2020-12-14,VAL_2020_2022,K200,3,0.5952380952380953,0.014416319881032376,0.0036851017543503076
2020-12-21,VAL_2020_2022,K200,2,0.14285714285714288,-0.009093575512048722,0.0012683236775754263
2020-12-29,VAL_2020_2022,K200,1,0.3333333333333334,-0.0019628506689932743,0.003593858601698542
2021-01-07,VAL_2020_2022,K200,1,0.023809523809523815,0.0027616845888370004,0.001919168543982306
2021-01-14,VAL_2020_2022,K200,1,-0.04761904761904763,-0.004507961262339471,-0.0018496326747685045
2021-01-21,VAL_2020_2022,K200,3,0.4047619047619048,0.0007119421592847713,0.00513043120358112
2021-01-28,VAL_2020_2022,K200,3,0.5000000000000001,0.02709650207264572,0.005949347306516621
2021-02-04,VAL_2020_2022,K200,5,0.14285714285714288,0.00016469125067393106,0.0048604915862973976
2021-02-15,VAL_2020_2022,K200,5,-0.5476190476190477,-0.021330120593240444,0.0012369119002766408
2021-02-22,VAL_2020_2022,K200,2,0.2142857142857143,0.001212859506378271,0.009057984194723489
2021-03-02,VAL_2020_2022,K200,1,0.4285714285714286,0.0031477403358470615,0.012360523569614644
2021-03-09,VAL_2020_2022,K200,5,0.9285714285714287,0.033725479795659846,0.0234800977467833
2021-03-16,VAL_2020_2022,K200,2,-0.2142857142857143,-0.0019555696405710726,-0.008320188970810924
2021-03-23,VAL_2020_2022,K200,1,0.7619047619047621,0.00827505218723873,0.004057212000847462
2021-03-30,VAL_2020_2022,K200,2,-0.6666666666666669,-0.004294599841983792,-0.004423226303444909
2021-04-06,VAL_2020_2022,K200,1,0.07142857142857144,-0.0006167637594312299,0.0033164579835699044
2021-04-13,VAL_2020_2022,K200,1,0.3571428571428572,0.00913342841704868,0.004632449980969613
2021-04-20,VAL_2020_2022,K200,2,0.3333333333333334,0.004009917839370155,0.0015907570822132544
2021-04-27,VAL_2020_2022,K200,3,0.09523809523809526,0.015635279641149816,0.001914887146563772
2021-05-04,VAL_2020_2022,K200,1,-0.023809523809523815,-0.0008099380795133042,0.0012509569411272292
2021-05-12,VAL_2020_2022,K200,1,0.4047619047619048,0.0035302126978856586,0.0012729257693985235
2021-05-20,VAL_2020_2022,K200,2,-0.5714285714285715,-0.003350019526159643,-0.0037274453123471926
2021-05-27,VAL_2020_2022,K200,2,-0.14285714285714288,-0.002835217390521127,-0.0020819887909311156
2021-06-03,VAL_2020_2022,K200,2,0.14285714285714288,0.004308556879929042,0.0008868303177413414
2021-06-10,VAL_2020_2022,K200,3,0.14285714285714288,-0.005565637012770016,0.003786816043562083
2021-06-17,VAL_2020_2022,K200,4,-0.880952380952381,-0.01161705418547749,-0.005649450014690438
2021-06-24,VAL_2020_2022,K200,1,0.38095238095238104,0.002266320912476991,0.0029572120842209088
2021-07-01,VAL_2020_2022,K200,1,-0.2380952380952381,-0.0009511179284864294,0.0013578422816011208
2021-07-08,VAL_2020_2022,K200,3,-0.04761904761904763,0.0026716100495156915,-0.00310626009886354
2021-07-15,VAL_2020_2022,K200,2,0.7380952380952381,0.006484852557405951,0.004403622223602434
2021-07-22,VAL_2020_2022,K200,2,-0.4047619047619048,-0.002164403220944895,-0.0004985426696605798
2021-07-29,VAL_2020_2022,K200,5,-0.023809523809523815,-0.00026756538081604123,-0.0022327448360159414
2021-08-05,VAL_2020_2022,K200,3,-0.4761904761904762,-0.0034646099799383063,-0.00206812581049747
2021-08-12,VAL_2020_2022,K200,4,0.6190476190476191,0.012927113285232062,0.003609964341456579
2021-08-20,VAL_2020_2022,K200,2,0.28571428571428575,0.007652785651360025,0.004077971433660508
2021-08-27,VAL_2020_2022,K200,4,-0.4523809523809524,-0.015611351586235365,-0.0006949616358214146
2021-09-03,VAL_2020_2022,K200,1,-0.6904761904761906,-0.004152914517516292,-0.002464574740599108
2021-09-10,VAL_2020_2022,K200,1,0.6666666666666669,0.0033739410773225426,0.003994617479307957
2021-09-17,VAL_2020_2022,K200,2,-0.04761904761904763,0.0006697396033203129,0.0022274108349236467
2021-09-29,VAL_2020_2022,K200,3,-0.38095238095238104,-0.014515170260596327,0.0018188325463026865
2021-10-07,VAL_2020_2022,K200,2,-0.5000000000000001,-0.01255416230081213,-0.003963115650423364
2021-10-15,VAL_2020_2022,K200,1,0.2142857142857143,0.002850512388275034,0.00022439083623291677
2021-10-22,VAL_2020_2022,K200,2,-0.4523809523809524,-0.00962207179799797,-0.00324824242161642
2021-10-29,VAL_2020_2022,K200,3,0.09523809523809526,0.006513452362855591,-0.001051275170198459
2021-11-05,VAL_2020_2022,K200,4,0.11904761904761905,0.004932400029495569,-0.00047612262002106123
2021-11-12,VAL_2020_2022,K200,3,0.28571428571428575,0.004016984509057296,0.0032735793653992794
2021-11-19,VAL_2020_2022,K200,4,0.8095238095238096,0.015214257796392976,0.012092628718539491
2021-11-26,VAL_2020_2022,K200,3,0.7857142857142858,0.007239352728148562,0.005027998181189711
2021-12-03,VAL_2020_2022,K200,2,-0.5000000000000001,-0.01136120407834105,-0.009799120515077852
2021-12-10,VAL_2020_2022,K200,1,0.14285714285714288,0.0030128471423932126,-0.0027659793260035046
2021-12-17,VAL_2020_2022,K200,4,-0.023809523809523815,-0.0017988251219700083,-0.00018279371984185767
2021-12-24,VAL_2020_2022,K200,4,-0.19047619047619052,-0.0019332512458798588,-0.0029635006168699414
