strategy,period,median_delta_sharpe_vs_ew8,positive_universes_vs_ew8,median_delta_cagr_vs_ew8,median_delta_mdd_vs_ew8,median_annualized_turnover,primary_style_gate
ENS_BOTTOM2_VETO,VAL_2020_2022,0.32977687019603585,6,0.06417507712982973,0.0002754744043799162,5.959459459459458,False
ENS_BOTTOM2_VETO,CONF_2023_2024,-0.5181804481704955,0,-0.041481216378480346,-0.0938009472542673,7.967010309278351,False
ENS_BOTTOM2_VETO,STRESS_2025,0.25394899003017735,4,0.035764279803476184,0.004013399921080518,5.485714285714286,False
ENS_BOTTOM2_VETO,STRESS_2026,0.06885077486703639,3,0.16176997142492489,-0.00837111682435121,4.9241379310344815,False
ENS_SOFT,VAL_2020_2022,0.05121172510883565,6,0.0082355795241571,-0.0005413270612258936,1.252806996229879,False
ENS_SOFT,CONF_2023_2024,-0.05613355887826624,0,-0.0037053010379202167,-0.01367306497819526,1.350749152039399,False
ENS_SOFT,STRESS_2025,0.09587516890548864,5,0.0062501398201207925,0.0009250190086155796,1.2353130725641246,False
ENS_SOFT,STRESS_2026,0.07393365059455159,5,0.03434103908838604,-0.001330286794824831,1.5395186187197525,False
ENS_TOP3,VAL_2020_2022,-0.09851568245163278,1,0.05168366097121169,-0.031345344404765496,16.8,False
ENS_TOP3,CONF_2023_2024,-0.46833188475749593,0,-0.024641220002262987,-0.10898654824116083,17.49278350515464,False
ENS_TOP3,STRESS_2025,0.45443026074565995,4,0.11084010424857726,-0.009987785141488181,15.428571428571427,False
ENS_TOP3,STRESS_2026,-1.456025907638014,0,0.044823151450967824,-0.05563418733775216,16.220689655172414,False
EPI_CONF_BOTTOM2_VETO,VAL_2020_2022,0.07715010223371294,6,0.010592888959338076,-0.00043765575725268624,1.9297297297297296,False
EPI_CONF_BOTTOM2_VETO,CONF_2023_2024,-0.23997857912334053,0,-0.015848737492477616,-0.03600947900570156,2.771134020618556,False
EPI_CONF_BOTTOM2_VETO,STRESS_2025,-0.07561983063478717,1,-0.00031452579326796126,-0.003521535146187582,3.4285714285714284,False
EPI_CONF_BOTTOM2_VETO,STRESS_2026,0.6090374572922563,6,0.09358204572669859,-0.00024999999999997247,2.6068965517241374,False
EPI_CONF_HALF_TOP3,VAL_2020_2022,-0.004338176655549586,3,0.0037679688044509607,-0.0007752653960535483,2.3412162162162162,False
EPI_CONF_HALF_TOP3,CONF_2023_2024,0.024793592732744174,4,0.005924382659106886,-0.015364852777721816,3.3340206185567007,False
EPI_CONF_HALF_TOP3,STRESS_2025,-0.1745265719033695,1,-0.009490428419696162,-0.004852868894148599,3.8571428571428568,False
EPI_CONF_HALF_TOP3,STRESS_2026,0.19457423627738657,5,0.05312560440677638,-0.0017297189408749802,3.258620689655173,False
EPI_CONF_SOFT,VAL_2020_2022,0.02196459215044827,6,0.002407922794000261,-0.0001469798334198802,0.33489928169316435,False
EPI_CONF_SOFT,CONF_2023_2024,-0.004290734521284034,2,0.0006365948870200588,-0.005508761058671097,0.5464154588594894,False
EPI_CONF_SOFT,STRESS_2025,-0.018122572649791224,1,-0.0010643964861187794,-0.0009422684439445161,0.6049616933312961,False
EPI_CONF_SOFT,STRESS_2026,0.3413638903464391,6,0.04034231734599325,-5.604630163202895e-05,0.8063122257271255,False
EPI_CONT_HALF_TOP3,VAL_2020_2022,0.007021973557370331,3,0.004179936752043423,-0.00010041910818414657,3.0530145530145534,False
EPI_CONT_HALF_TOP3,CONF_2023_2024,-0.101732667911522,0,-0.005871727723217535,-0.022445363029077847,3.507930214115781,False
EPI_CONT_HALF_TOP3,STRESS_2025,0.0010046956269613716,3,0.0020922905801423752,-0.004450109770071153,4.19905808477237,False
EPI_CONT_HALF_TOP3,STRESS_2026,0.24914680485968466,5,0.05450526842402059,-0.0012666292771373322,3.341379310344827,False
