period,universe,strategy,cost_bps,n_5d,sharpe,cagr,max_drawdown,annualized_weight_turnover
VAL_2020_2022,K200,EW8,0,148,1.1064801199010208,0.08717491968264679,-0.08023227159814117,0.0
CONF_2023_2024,K200,EW8,0,97,1.0513917878010366,0.08655541649093812,-0.0509605364554383,0.0
STRESS_2025,K200,EW8,0,49,2.1368190077081604,0.20007697455895346,-0.06144940117202313,0.0
STRESS_2026,K200,EW8,0,29,4.013294982580927,0.4165351889842188,-0.019319938691044758,0.0
VAL_2020_2022,K200,EW8,10,148,1.1064801199010208,0.08717491968264679,-0.08023227159814117,0.0
CONF_2023_2024,K200,EW8,10,97,1.0513917878010366,0.08655541649093812,-0.0509605364554383,0.0
STRESS_2025,K200,EW8,10,49,2.1368190077081604,0.20007697455895346,-0.06144940117202313,0.0
STRESS_2026,K200,EW8,10,29,4.013294982580927,0.4165351889842188,-0.019319938691044758,0.0
VAL_2020_2022,K200,EW8,30,148,1.1064801199010208,0.08717491968264679,-0.08023227159814117,0.0
CONF_2023_2024,K200,EW8,30,97,1.0513917878010366,0.08655541649093812,-0.0509605364554383,0.0
STRESS_2025,K200,EW8,30,49,2.1368190077081604,0.20007697455895346,-0.06144940117202313,0.0
STRESS_2026,K200,EW8,30,29,4.013294982580927,0.4165351889842188,-0.019319938691044758,0.0
VAL_2020_2022,K200,ENS_SOFT,0,148,1.1658045748159618,0.09587223652893506,-0.08054754009284026,1.2528069962298787
CONF_2023_2024,K200,ENS_SOFT,0,97,1.0271625965810631,0.08629510412482144,-0.05286159874739926,1.3507491520393988
STRESS_2025,K200,ENS_SOFT,0,49,2.128535664563766,0.19922801482987262,-0.0616486731396203,1.2353130725641244
STRESS_2026,K200,ENS_SOFT,0,29,4.033418122123642,0.4513447713571499,-0.01829285353935506,1.5395186187197525
VAL_2020_2022,K200,ENS_SOFT,10,148,1.150531922858776,0.09450327903979527,-0.08066137104891558,1.2528069962298787
CONF_2023_2024,K200,ENS_SOFT,10,97,1.0110859253121172,0.08483103466435393,-0.05313250317516449,1.3507491520393988
