era,score,median_ic_raw,positive_ic_universes,median_ic_improvement_vs_raw20,median_top2_raw_alpha,positive_top2_alpha_universes,median_ic_neutral,median_top2_neutral_alpha
2016-19,NEUTRAL20,0.03100198412698413,3,-0.011160714285714274,0.0017451824760410456,3,0.034952362916645434,0.001443603659621099
2016-19,RAW20,0.06398809523809525,3,0.0,0.0012601972547773414,3,0.024429563492063492,0.000532571787879819
2016-19,WITHIN20,0.0553075396825397,2,-0.013020833333333339,0.0020132981174751327,2,0.03509424603174603,0.0015349440672705829
2020-22,NEUTRAL20,0.03978906999041228,3,-0.019015659955257266,0.0007609913030890794,2,0.03627356983061681,0.0007301296446744498
2020-22,RAW20,0.03643336529242571,3,0.0,0.001304905225277807,3,0.0302013422818792,-0.000647356237569017
2020-22,WITHIN20,0.020933205496963897,3,-0.012464046021092995,0.001321478062707339,3,0.026685842122083737,0.0005544406274325651
2023-24,NEUTRAL20,-0.03215513009327442,1,-0.012027491408934703,-0.0004304602519370598,1,0.013009327442317139,-0.0009143885147908692
2023-24,RAW20,-0.016936671575846836,1,0.0,0.00039089645188098766,2,0.004909180166912125,0.0004534421218115348
2023-24,WITHIN20,0.011782032400589101,2,0.0051546391752577345,0.0004958515301973027,3,0.016200294550810013,0.0016032594511210297
2025,NEUTRAL20,0.002915451895043734,2,-0.009232264334305164,-0.0010918303182109834,1,-0.038386783284742466,-0.0007656431675852732
2025,RAW20,-0.02866861030126336,1,0.0,-0.0014615503120931263,1,-0.052478134110787174,-0.00149721356769012
2025,WITHIN20,-0.043731778425655975,1,0.009232264334305157,-0.0030857210265206585,1,-0.023809523809523826,-0.001250833045604466
2026,NEUTRAL20,-0.01020408163265306,1,-0.08588435374149661,0.0029261515489831477,2,-0.030612244897959186,-0.000679270600216024
2026,RAW20,0.07568027210884355,3,0.0,0.002098346125528787,3,0.04251700680272108,0.002564047590639679
2026,WITHIN20,0.004251700680272101,2,-0.05867346938775511,0.004767527556791621,2,0.042517006802721094,0.0008787191223341344
