era,confirmed_factor,n,mean_pair_diff,win_rate
2016-19,FOREIGN_FLOW,13,0.0001704472491739155,0.6153846153846154
2016-19,MOM12_1,15,-0.003472375352676554,0.4
2016-19,MOM1M,8,-0.0028607412224573255,0.625
2016-19,OP12_REV,14,0.0163445558611845,0.5
2016-19,OPFY1_REV,5,0.005427526013497599,0.6
2016-19,PBR12MF,18,0.00017769199880607225,0.4444444444444444
2016-19,PER12MF,23,-0.007155304108017191,0.34782608695652173
2016-19,PRIVATE_FLOW,18,-0.007242165083279327,0.2777777777777778
2020-22,FOREIGN_FLOW,8,0.00478814676789875,0.625
2020-22,MOM12_1,14,0.00933190877609478,0.6428571428571429
2020-22,MOM1M,13,0.005355630251720962,0.5384615384615384
2020-22,OP12_REV,10,-0.0027242404521248195,0.5
2020-22,OPFY1_REV,5,0.02675326874871372,0.8
2020-22,PBR12MF,8,0.011398485832324003,0.875
2020-22,PER12MF,6,0.014928978709404801,0.6666666666666666
2020-22,PRIVATE_FLOW,15,-0.0040743091984961665,0.4
2023-24,FOREIGN_FLOW,9,0.00925237893386719,0.6666666666666666
2023-24,MOM12_1,17,0.0041688176988322586,0.5882352941176471
2023-24,MOM1M,5,0.04661320191428684,1.0
2023-24,OP12_REV,5,0.00923165758106732,0.6
2023-24,OPFY1_REV,5,-0.00594869350845136,0.2
2023-24,PBR12MF,11,0.013570695483634553,0.7272727272727273
2023-24,PER12MF,6,-0.007888592742709933,0.3333333333333333
2023-24,PRIVATE_FLOW,12,-0.0080720901588526,0.5
2025,FOREIGN_FLOW,2,-0.04028469219520825,0.0
2025,MOM12_1,2,-0.0747047310411439,0.0
2025,OP12_REV,4,-0.0068582174939149495,0.75
2025,OPFY1_REV,6,0.015224983074041666,0.8333333333333334
2025,PER12MF,1,0.0190165698615503,1.0
2025,PRIVATE_FLOW,2,0.01528378538466805,0.5
2026,MOM12_1,7,0.006493641225228759,0.42857142857142855
2026,OPFY1_REV,2,-0.04011634605530995,0.0
2026,PBR12MF,2,-0.029282241927538703,0.0
2026,PRIVATE_FLOW,5,0.015780018222955876,0.6
