universe,overlay,sample,n_dates,mean_delta,median_delta,positive_date_rate,mean_factor_beat_rate
K200,CROSS_FAMILY_W10,BULL_2025,25,0.0015021532476403724,0.0007749995372624101,0.64,0.55
K200,CROSS_FAMILY_W10,EARLY_2016_2019,98,-7.132363388184607e-05,-1.0643406050243193e-05,0.5,0.4642857142857143
K200,CROSS_FAMILY_W10,LATE_2020_2022,75,0.00017239344116015036,0.00021416897271307322,0.5466666666666666,0.495
K200,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.0007593494826326747,0.0001356672532551313,0.5416666666666666,0.5208333333333334
K200,CROSS_FAMILY_W10,YTD_2026,13,7.14101820295893e-05,-0.0012180308072421563,0.3076923076923077,0.4326923076923077
K200,CROSS_FAMILY_W20,BULL_2025,25,0.0023836050626297907,0.002565632586177559,0.64,0.545
K200,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0002421873475364503,-0.00015356943480419064,0.45918367346938777,0.4961734693877551
K200,CROSS_FAMILY_W20,LATE_2020_2022,75,-0.000132675398043495,-0.0002090325009627171,0.4666666666666667,0.5266666666666666
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.0007029961450016405,-0.00033649681636971763,0.4166666666666667,0.5130208333333334
K200,CROSS_FAMILY_W20,YTD_2026,13,0.002721614135340904,0.0032687370797391327,0.6923076923076923,0.5480769230769231
K200,FOUR_FAMILY_EW,BULL_2025,25,0.004979783479308492,0.005610972618307867,0.52,0.59
K200,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.0003338733289349756,2.612267567616124e-05,0.5,0.49107142857142855
K200,FOUR_FAMILY_EW,LATE_2020_2022,75,0.0002899276350247318,-0.001936228102575471,0.44,0.48333333333333334
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,48,-0.000622787197068228,0.0006678409479936463,0.5208333333333334,0.4817708333333333
K200,FOUR_FAMILY_EW,YTD_2026,13,0.008928977723523916,0.006540955644514345,0.6153846153846154,0.5673076923076923
K200,SIBLING_W20,BULL_2025,25,0.0015079720129082478,0.001957675883697262,0.6,0.52
K200,SIBLING_W20,EARLY_2016_2019,98,0.0001747845887633684,0.00045027160261928317,0.5408163265306123,0.514030612244898
K200,SIBLING_W20,LATE_2020_2022,75,0.00012834830606560247,0.0003130569886555352,0.5333333333333333,0.515
K200,SIBLING_W20,NORMAL_2023_2024,48,0.0004424814138800904,0.0003751127128352837,0.5208333333333334,0.5260416666666666
K200,SIBLING_W20,YTD_2026,13,-0.000688544674342311,-0.0001531087075550639,0.46153846153846156,0.4519230769230769
KOSDAQ,CROSS_FAMILY_W10,BULL_2025,25,0.0007250054201284324,0.0008123662597422105,0.56,0.46
KOSDAQ,CROSS_FAMILY_W10,EARLY_2016_2019,98,0.0002155486998985735,0.00018135824863437227,0.5408163265306123,0.47066326530612246
KOSDAQ,CROSS_FAMILY_W10,LATE_2020_2022,75,0.0003410720839258239,-6.0494725739114984e-05,0.49333333333333335,0.49166666666666664
KOSDAQ,CROSS_FAMILY_W10,NORMAL_2023_2024,48,-0.00028363842897287075,-0.00028822957067100186,0.4375,0.4375
KOSDAQ,CROSS_FAMILY_W10,YTD_2026,13,0.0003623295151783881,-0.0007847030896778566,0.46153846153846156,0.4519230769230769
KOSDAQ,CROSS_FAMILY_W20,BULL_2025,25,0.00032608167939549037,-0.0005233598399278683,0.44,0.505
KOSDAQ,CROSS_FAMILY_W20,EARLY_2016_2019,98,0.0003908634626361734,0.0007156719357703806,0.5510204081632653,0.5229591836734694
KOSDAQ,CROSS_FAMILY_W20,LATE_2020_2022,75,0.0005684480117050664,0.0018110707882023958,0.56,0.525
KOSDAQ,CROSS_FAMILY_W20,NORMAL_2023_2024,48,0.00037873188870002805,0.0007335735003111744,0.6041666666666666,0.5182291666666666
KOSDAQ,CROSS_FAMILY_W20,YTD_2026,13,0.005255574300738446,0.004495036970377938,0.6923076923076923,0.5673076923076923
KOSDAQ,FOUR_FAMILY_EW,BULL_2025,25,0.006501467171849486,0.0037042264860013153,0.6,0.555
KOSDAQ,FOUR_FAMILY_EW,EARLY_2016_2019,98,-0.0020105125603936277,-0.0036738214835654254,0.42857142857142855,0.4770408163265306
KOSDAQ,FOUR_FAMILY_EW,LATE_2020_2022,75,7.526145813788308e-05,0.0012145945639940158,0.52,0.49333333333333335
