date,universe,factor,family,base_ic
2016-01-04,K200,OP12_REV,REVISION,0.23880150517034357
2016-01-04,K200,OPFY1_REV,REVISION,-0.024754370569468373
2016-01-04,K200,PBR12MF,VALUE,-0.2991132372577099
2016-01-04,K200,PER12MF,VALUE,-0.3023055881223313
2016-01-04,K200,MOM1M,MOMENTUM,0.2765083356340956
2016-01-04,K200,MOM12_1,MOMENTUM,0.2883896589188414
2016-01-04,K200,PRIVATE_FLOW,FLOW,0.01684200993077476
2016-01-04,K200,FOREIGN_FLOW,FLOW,0.25510159921960524
2016-01-04,KOSPI_EX_K200,OPFY1_REV,REVISION,0.0437596693197345
2016-01-04,KOSPI_EX_K200,PBR12MF,VALUE,-0.19384065924706548
2016-01-04,KOSPI_EX_K200,PER12MF,VALUE,-0.08663232606222977
2016-01-04,KOSPI_EX_K200,MOM1M,MOMENTUM,0.09746208592889401
2016-01-04,KOSPI_EX_K200,MOM12_1,MOMENTUM,0.3201502227624187
2016-01-04,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,0.23600098535933609
2016-01-04,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,-0.15336325891861086
2016-01-04,KOSPI_ALL,OP12_REV,REVISION,0.15070983004385002
2016-01-04,KOSPI_ALL,OPFY1_REV,REVISION,-0.008943342290308085
2016-01-04,KOSPI_ALL,PBR12MF,VALUE,-0.27761409627013345
2016-01-04,KOSPI_ALL,PER12MF,VALUE,-0.262553700758818
2016-01-04,KOSPI_ALL,MOM1M,MOMENTUM,0.20517424634113934
2016-01-04,KOSPI_ALL,MOM12_1,MOMENTUM,0.2910112689061846
2016-01-04,KOSPI_ALL,PRIVATE_FLOW,FLOW,0.07340189793217503
2016-01-04,KOSPI_ALL,FOREIGN_FLOW,FLOW,0.12183122216814157
2016-01-04,KOSDAQ,OP12_REV,REVISION,0.020129997536183893
2016-01-04,KOSDAQ,OPFY1_REV,REVISION,-0.0023928033847341918
2016-01-04,KOSDAQ,PBR12MF,VALUE,-0.1701478919918465
2016-01-04,KOSDAQ,PER12MF,VALUE,0.049930403751729996
2016-01-04,KOSDAQ,MOM1M,MOMENTUM,-0.04851821361533239
2016-01-04,KOSDAQ,MOM12_1,MOMENTUM,-0.08397454785660434
2016-01-04,KOSDAQ,PRIVATE_FLOW,FLOW,0.022949079925595497
2016-01-04,KOSDAQ,FOREIGN_FLOW,FLOW,0.012459387263368009
