universe,factor,family,overlay,sample,n,ann_return,sharpe,mdd,hit_rate,avg_turnover,mean_delta_vs_base,beat_base_rate,median_delta_vs_base
K200,FOREIGN_FLOW,FLOW,BASE,BULL_2025,25,0.796945895771416,2.0825157110378516,-0.09180833462745508,0.6,0.47,0.0,0.0,0.0
K200,FOREIGN_FLOW,FLOW,BASE,EARLY_2016_2019,98,-0.031472458596694675,-0.11729856106591433,-0.2956827957397551,0.5204081632653061,0.43163265306122456,0.0,0.0,0.0
K200,FOREIGN_FLOW,FLOW,BASE,LATE_2020_2022,75,0.026891621021635226,0.23336238176871357,-0.38900101763887684,0.5733333333333334,0.48,0.0,0.0,0.0
K200,FOREIGN_FLOW,FLOW,BASE,NORMAL_2023_2024,48,-0.007697021218895261,0.006702846510269906,-0.15351813497047007,0.5625,0.48333333333333334,0.0,0.0,0.0
K200,FOREIGN_FLOW,FLOW,BASE,YTD_2026,13,-0.23773716121141808,-0.3663166836757779,-0.3634004465478414,0.46153846153846156,0.4807692307692308,0.0,0.0,0.0
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W10,BULL_2025,25,0.8818858378153833,2.22638415527357,-0.09312580724852271,0.56,0.47,0.0018978292236891793,0.44,0.0
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W10,EARLY_2016_2019,98,-0.0152424755650995,-0.016918278034817043,-0.2913713345960931,0.5612244897959183,0.4229591836734694,0.0006421876830156541,0.5204081632653061,6.212925488703093e-05
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W10,LATE_2020_2022,75,0.059722651747881716,0.3648914271294872,-0.3752842417142638,0.5866666666666667,0.474,0.0012859235833627908,0.56,0.0002997518948645861
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W10,NORMAL_2023_2024,48,0.008918937989770503,0.13214181103888736,-0.13560539429150265,0.6041666666666666,0.471875,0.0006680415156826044,0.5,3.469446951953614e-18
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W10,YTD_2026,13,-0.22511489929404316,-0.33653683119068567,-0.37225546231170936,0.5384615384615384,0.49230769230769234,0.0005988924315476925,0.46153846153846156,-1.4637362435357404e-05
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W20,BULL_2025,25,1.0045523517997732,2.517015077859954,-0.08545498805556395,0.68,0.466,0.004357630382373498,0.6,0.0024180504802296388
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W20,EARLY_2016_2019,98,-0.019985399756466515,-0.04554563040580258,-0.3064618363756365,0.5816326530612245,0.4224489795918367,0.0004599691259306124,0.5204081632653061,0.0004982877436439512
K200,FOREIGN_FLOW,FLOW,CROSS_FAMILY_W20,LATE_2020_2022,75,0.04338004176129662,0.30101360459330073,-0.3698709269604217,0.6,0.4726666666666666,0.0006171026328741489,0.5733333333333334,0.0011070345151706802
