universe,overlay,sample,metric,n_dates,mean,ci025,ci975,p_gt0
K200,CROSS_FAMILY_W10,BULL_2025,net_delta,25,0.0015021532476403668,0.0003253025331286089,0.0033266862898366336,0.9996
K200,CROSS_FAMILY_W10,BULL_2025,gross_delta,25,0.0015201532476403672,0.0003558961286886626,0.0033080695568656064,0.9998
K200,CROSS_FAMILY_W10,EARLY_2016_2019,net_delta,98,-7.132363388184627e-05,-0.0005241968341404871,0.0003576959669680697,0.3806
K200,CROSS_FAMILY_W10,EARLY_2016_2019,gross_delta,98,-7.113230735123464e-05,-0.000535931888539347,0.0003523965738757086,0.3766
K200,CROSS_FAMILY_W10,LATE_2020_2022,net_delta,75,0.00017239344116015085,-0.0002915772402001591,0.0006767786135531428,0.75
K200,CROSS_FAMILY_W10,LATE_2020_2022,gross_delta,75,0.00018139344116015074,-0.00028446172426633995,0.0006597919214376866,0.7624
K200,CROSS_FAMILY_W10,NORMAL_2023_2024,net_delta,48,0.0007593494826326737,5.357879813163045e-05,0.0015076505506661088,0.9828
K200,CROSS_FAMILY_W10,NORMAL_2023_2024,gross_delta,48,0.0007648182326326732,4.611601549177954e-05,0.0014950282727156476,0.9824
K200,CROSS_FAMILY_W10,YTD_2026,net_delta,13,7.141018202959207e-05,-0.0012748859470950696,0.0013929303631900342,0.5432
K200,CROSS_FAMILY_W10,YTD_2026,gross_delta,13,9.448710510651287e-05,-0.0013172951973801376,0.0014597795278381844,0.5556
K200,CROSS_FAMILY_W20,BULL_2025,net_delta,25,0.0023836050626297885,-0.00011708599602069132,0.005692510763121462,0.9672
K200,CROSS_FAMILY_W20,BULL_2025,gross_delta,25,0.0024556050626297872,-7.733705328568258e-05,0.005855103947934036,0.9706
K200,CROSS_FAMILY_W20,EARLY_2016_2019,net_delta,98,0.00024218734753644896,-0.0003288428302170826,0.0008025236742342791,0.7998
K200,CROSS_FAMILY_W20,EARLY_2016_2019,gross_delta,98,0.00026992969447522377,-0.0002841707498253576,0.0008227640614709787,0.8254
K200,CROSS_FAMILY_W20,LATE_2020_2022,net_delta,75,-0.00013267539804349694,-0.0011667798434661688,0.0009176017529179339,0.386
K200,CROSS_FAMILY_W20,LATE_2020_2022,gross_delta,75,-8.292539804349725e-05,-0.0010520003938068935,0.00100095897975105,0.4438
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,net_delta,48,0.0007029961450016386,-0.00031789397481322615,0.0017541955073487525,0.9104
K200,CROSS_FAMILY_W20,NORMAL_2023_2024,gross_delta,48,0.0007412773950016384,-0.00029421068897387545,0.0018066325817770405,0.9196
K200,CROSS_FAMILY_W20,YTD_2026,net_delta,13,0.0027216141353408997,0.000806198379782929,0.004804471750763698,0.999
K200,CROSS_FAMILY_W20,YTD_2026,gross_delta,13,0.002800941058417821,0.0008739528114716257,0.004882029656624157,0.9996
K200,FOUR_FAMILY_EW,BULL_2025,net_delta,25,0.00497978347930848,-0.0030738498460044106,0.012804942828286685,0.8912
K200,FOUR_FAMILY_EW,BULL_2025,gross_delta,25,0.005405783479308479,-0.002619790772397949,0.013510922847219088,0.9186
K200,FOUR_FAMILY_EW,EARLY_2016_2019,net_delta,98,-0.00033387332893497555,-0.0025710634864562205,0.001922304879299414,0.3974
K200,FOUR_FAMILY_EW,EARLY_2016_2019,gross_delta,98,6.3052424935951915e-06,-0.002138304626830298,0.002084883049466095,0.5042
K200,FOUR_FAMILY_EW,LATE_2020_2022,net_delta,75,0.0002899276350247317,-0.00379204296775234,0.0041300618343348555,0.5478
K200,FOUR_FAMILY_EW,LATE_2020_2022,gross_delta,75,0.0006904276350247307,-0.0032076111086713323,0.004577600564480476,0.6442
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,net_delta,48,-0.0006227871970682254,-0.00595606718431351,0.004961986846938516,0.4038
K200,FOUR_FAMILY_EW,NORMAL_2023_2024,gross_delta,48,-0.00020677157206822552,-0.005427870070254445,0.0052294507651998055,0.4566
K200,FOUR_FAMILY_EW,YTD_2026,net_delta,13,0.008928977723523909,-0.002934116468778513,0.022411588373258587,0.9112
K200,FOUR_FAMILY_EW,YTD_2026,gross_delta,13,0.009279458492754678,-0.0024887828912865317,0.02276022776853193,0.9282
K200,SIBLING_W20,BULL_2025,net_delta,25,0.0015079720129082446,-0.0012732858659695492,0.0040605354291459944,0.8572
K200,SIBLING_W20,BULL_2025,gross_delta,25,0.0016369720129082441,-0.0010861783565603844,0.004229083026022351,0.8796
