metric,strategy,universe,horizon,sample,family,n_dates,gross_delta
ACT1,LOW05,K200,5,BULL_2025,FLOW,49,8.396397865473895e-05
ACT1,LOW05,K200,5,BULL_2025,MOMENTUM,49,0.0006164361981879733
ACT1,LOW05,K200,5,BULL_2025,REVISION,49,0.0007285983680645466
ACT1,LOW05,K200,5,BULL_2025,VALUE,49,-6.674202776483766e-05
ACT1,LOW05,K200,5,EARLY_2016_2019,FLOW,193,-0.00011810628115461176
ACT1,LOW05,K200,5,EARLY_2016_2019,MOMENTUM,193,-4.687220952390944e-05
ACT1,LOW05,K200,5,EARLY_2016_2019,REVISION,193,-0.00020626588277231704
ACT1,LOW05,K200,5,EARLY_2016_2019,VALUE,193,6.641017097637613e-05
ACT1,LOW05,K200,5,LATE_2020_2022,FLOW,149,-0.0002765555764053276
ACT1,LOW05,K200,5,LATE_2020_2022,MOMENTUM,149,-1.2471030980399743e-06
ACT1,LOW05,K200,5,LATE_2020_2022,REVISION,149,2.6001175510456585e-05
ACT1,LOW05,K200,5,LATE_2020_2022,VALUE,149,0.0002124995110778779
ACT1,LOW05,K200,5,NORMAL_2023_2024,FLOW,97,-0.00015669436756154956
ACT1,LOW05,K200,5,NORMAL_2023_2024,MOMENTUM,97,-3.814408756970099e-05
ACT1,LOW05,K200,5,NORMAL_2023_2024,REVISION,97,-0.00030979609374689305
ACT1,LOW05,K200,5,NORMAL_2023_2024,VALUE,97,-0.00022833895741681336
ACT1,LOW05,K200,5,YTD_2026,FLOW,28,0.0006390462827580554
ACT1,LOW05,K200,5,YTD_2026,MOMENTUM,28,0.0004999136005963206
ACT1,LOW05,K200,5,YTD_2026,REVISION,28,0.0005983154503756742
ACT1,LOW05,K200,5,YTD_2026,VALUE,28,0.000518117535394173
ACT1,LOW05,K200,20,BULL_2025,FLOW,12,0.0019391542719463344
ACT1,LOW05,K200,20,BULL_2025,MOMENTUM,12,0.0008929817900394068
ACT1,LOW05,K200,20,BULL_2025,REVISION,12,-0.00020069014109672274
ACT1,LOW05,K200,20,BULL_2025,VALUE,12,0.00010211767756103905
ACT1,LOW05,K200,20,EARLY_2016_2019,FLOW,48,-0.00038268601205599127
ACT1,LOW05,K200,20,EARLY_2016_2019,MOMENTUM,48,0.0006787662367955914
ACT1,LOW05,K200,20,EARLY_2016_2019,REVISION,48,-0.00031155223858615245
ACT1,LOW05,K200,20,EARLY_2016_2019,VALUE,48,-0.0007596779486749606
ACT1,LOW05,K200,20,LATE_2020_2022,FLOW,38,-0.00025946990609402584
ACT1,LOW05,K200,20,LATE_2020_2022,MOMENTUM,38,0.002051517368079052
ACT1,LOW05,K200,20,LATE_2020_2022,REVISION,38,-3.714088836054322e-05
ACT1,LOW05,K200,20,LATE_2020_2022,VALUE,38,0.0001110397745707612
ACT1,LOW05,K200,20,NORMAL_2023_2024,FLOW,24,-0.0017124464623068374
ACT1,LOW05,K200,20,NORMAL_2023_2024,MOMENTUM,24,-0.001982618528376664
ACT1,LOW05,K200,20,NORMAL_2023_2024,REVISION,24,0.0003151795613735629
ACT1,LOW05,K200,20,NORMAL_2023_2024,VALUE,24,-0.0006001702900941378
ACT1,LOW05,K200,20,YTD_2026,FLOW,6,0.0005613375936545107
ACT1,LOW05,K200,20,YTD_2026,MOMENTUM,6,-0.00242245463379913
ACT1,LOW05,K200,20,YTD_2026,REVISION,6,0.0014075836194063676
ACT1,LOW05,K200,20,YTD_2026,VALUE,6,0.0005108090197725746
ACT1,LOW05,KOSDAQ,5,BULL_2025,FLOW,49,8.776229983570503e-05
ACT1,LOW05,KOSDAQ,5,BULL_2025,MOMENTUM,49,0.00014083278762481004
ACT1,LOW05,KOSDAQ,5,BULL_2025,REVISION,49,0.00013443711257134228
ACT1,LOW05,KOSDAQ,5,BULL_2025,VALUE,49,6.630789133241514e-05
ACT1,LOW05,KOSDAQ,5,EARLY_2016_2019,FLOW,193,0.00015021702026287128
ACT1,LOW05,KOSDAQ,5,EARLY_2016_2019,MOMENTUM,193,0.00042100790773327715
ACT1,LOW05,KOSDAQ,5,EARLY_2016_2019,REVISION,193,0.0001401920502897166
ACT1,LOW05,KOSDAQ,5,EARLY_2016_2019,VALUE,193,0.00018773751480649853
ACT1,LOW05,KOSDAQ,5,LATE_2020_2022,FLOW,149,0.000200320017094526
ACT1,LOW05,KOSDAQ,5,LATE_2020_2022,MOMENTUM,149,-7.5317149389607e-05
ACT1,LOW05,KOSDAQ,5,LATE_2020_2022,REVISION,149,7.326275586896275e-05
ACT1,LOW05,KOSDAQ,5,LATE_2020_2022,VALUE,149,7.95728423895399e-05
ACT1,LOW05,KOSDAQ,5,NORMAL_2023_2024,FLOW,97,0.00026837758787223904
ACT1,LOW05,KOSDAQ,5,NORMAL_2023_2024,MOMENTUM,97,0.00048429012409311584
ACT1,LOW05,KOSDAQ,5,NORMAL_2023_2024,REVISION,97,0.0003338985144304595
ACT1,LOW05,KOSDAQ,5,NORMAL_2023_2024,VALUE,97,-2.0767841481702653e-05
ACT1,LOW05,KOSDAQ,5,YTD_2026,FLOW,28,-0.0001403238073406752
ACT1,LOW05,KOSDAQ,5,YTD_2026,MOMENTUM,28,0.0009425529086005298
ACT1,LOW05,KOSDAQ,5,YTD_2026,REVISION,28,-0.00018148222332207037
ACT1,LOW05,KOSDAQ,5,YTD_2026,VALUE,28,-0.00039052999857769083
ACT1,LOW05,KOSDAQ,20,BULL_2025,FLOW,12,0.0
ACT1,LOW05,KOSDAQ,20,BULL_2025,MOMENTUM,12,0.00013939298030161973
ACT1,LOW05,KOSDAQ,20,BULL_2025,REVISION,12,0.0006360620877941265
ACT1,LOW05,KOSDAQ,20,BULL_2025,VALUE,12,0.0
ACT1,LOW05,KOSDAQ,20,EARLY_2016_2019,FLOW,48,0.0012273665337203669
ACT1,LOW05,KOSDAQ,20,EARLY_2016_2019,MOMENTUM,48,0.001324567142445029
ACT1,LOW05,KOSDAQ,20,EARLY_2016_2019,REVISION,48,0.0009775848168107994
ACT1,LOW05,KOSDAQ,20,EARLY_2016_2019,VALUE,48,0.0006830477980602506
ACT1,LOW05,KOSDAQ,20,LATE_2020_2022,FLOW,38,7.882969587695992e-05
ACT1,LOW05,KOSDAQ,20,LATE_2020_2022,MOMENTUM,38,-0.0003242488987404568
ACT1,LOW05,KOSDAQ,20,LATE_2020_2022,REVISION,38,0.00030802051883156234
ACT1,LOW05,KOSDAQ,20,LATE_2020_2022,VALUE,38,0.0006909105782093968
ACT1,LOW05,KOSDAQ,20,NORMAL_2023_2024,FLOW,24,0.0010276776352516374
ACT1,LOW05,KOSDAQ,20,NORMAL_2023_2024,MOMENTUM,24,0.0020273308100692694
ACT1,LOW05,KOSDAQ,20,NORMAL_2023_2024,REVISION,24,0.0012706143069387418
ACT1,LOW05,KOSDAQ,20,NORMAL_2023_2024,VALUE,24,1.2346538335632757e-05
ACT1,LOW05,KOSDAQ,20,YTD_2026,FLOW,6,0.0003897897461379816
ACT1,LOW05,KOSDAQ,20,YTD_2026,MOMENTUM,6,0.003087569274968472
ACT1,LOW05,KOSDAQ,20,YTD_2026,REVISION,6,0.0
ACT1,LOW05,KOSDAQ,20,YTD_2026,VALUE,6,8.040360513667602e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,FLOW,49,0.0002017094620273991
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,0.000629404337820517
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,REVISION,49,7.834931093053169e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,VALUE,49,2.860460484189296e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,193,7.717839189515451e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,193,0.0008328851775640607
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,193,0.00027731678976212755
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,193,9.649309887402626e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,-7.723961634241536e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,0.0001561552457057889
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,REVISION,149,0.0001868384721001678
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,2.9573664360673784e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,0.0004192914057295156
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0012562791939393523
