metric,strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
ACT1,LOW05,K200,5,BULL_2025,49,0.00034056412928560524,0.029336734693877552,0.00034056412928560524,0.0002525539252039726,0.00016454372112234002
ACT1,LOW05,K200,5,EARLY_2016_2019,193,-7.620855061861556e-05,0.030181347150259063,-7.620855061861556e-05,-0.00016675259206939272,-0.00025729663352016993
ACT1,LOW05,K200,5,LATE_2020_2022,149,-9.825498228758273e-06,0.02718120805369127,-9.825498228758273e-06,-9.136912238983209e-05,-0.00017291274655090592
ACT1,LOW05,K200,5,NORMAL_2023_2024,97,-0.0001832433765737392,0.02867268041237114,-0.0001832433765737392,-0.0002692614178108526,-0.00035527945904796605
ACT1,LOW05,K200,5,YTD_2026,28,0.0005638482172810558,0.02388392857142857,0.0005638482172810558,0.00049219643156677,0.0004205446458524843
ACT1,LOW05,K200,20,BULL_2025,12,0.0006833908996125146,0.010937499999999998,0.0006833908996125146,0.0006505783996125143,0.0006177658996125143
ACT1,LOW05,K200,20,EARLY_2016_2019,48,-0.00019378749063037818,0.026041666666666668,-0.00019378749063037818,-0.00027191249063037825,-0.00035003749063037827
ACT1,LOW05,K200,20,LATE_2020_2022,38,0.00046648658704881094,0.014473684210526317,0.00046648658704881094,0.0004230655344172321,0.00037964448178565326
ACT1,LOW05,K200,20,NORMAL_2023_2024,24,-0.0009950139298510188,0.017968750000000006,-0.0009950139298510188,-0.0010489201798510187,-0.0011028264298510188
ACT1,LOW05,K200,20,YTD_2026,6,1.4318899758580719e-05,0.01145833333333334,1.4318899758580719e-05,-2.0056100241419453e-05,-5.443110024141919e-05
ACT1,LOW05,KOSDAQ,5,BULL_2025,49,0.00010733502284106811,0.0014030612244897945,0.00010733502284106811,0.00010312583916759874,9.891665549412935e-05
ACT1,LOW05,KOSDAQ,5,EARLY_2016_2019,193,0.0002247886232730909,0.007351036269430051,0.0002247886232730909,0.00020273551446480068,0.00018068240565651057
ACT1,LOW05,KOSDAQ,5,LATE_2020_2022,149,6.945961649085541e-05,0.005494966442953021,6.945961649085541e-05,5.2974717161996304e-05,3.648981783313727e-05
ACT1,LOW05,KOSDAQ,5,NORMAL_2023_2024,97,0.00026644959622852796,0.0021262886597938143,0.00026644959622852796,0.0002600707302491465,0.00025369186426976503
ACT1,LOW05,KOSDAQ,5,YTD_2026,28,5.755421984002332e-05,0.0022321428571428583,5.755421984002332e-05,5.0857791268594786e-05,4.416136269716613e-05
ACT1,LOW05,KOSDAQ,20,BULL_2025,12,0.00019386376702393654,-0.0005208333333333327,0.00019386376702393654,0.00019542626702393655,0.00019698876702393657
ACT1,LOW05,KOSDAQ,20,EARLY_2016_2019,48,0.0010531415727591115,0.006380208333333332,0.0010531415727591115,0.0010340009477591116,0.0010148603227591116
ACT1,LOW05,KOSDAQ,20,LATE_2020_2022,38,0.00018837797354436556,0.0008223684210526323,0.00018837797354436556,0.00018591086828120766,0.00018344376301804982
ACT1,LOW05,KOSDAQ,20,NORMAL_2023_2024,24,0.0010844923226488203,-0.0007812500000000002,0.0010844923226488203,0.0010868360726488202,0.0010891798226488204
ACT1,LOW05,KOSDAQ,20,YTD_2026,6,0.0008894406565607824,-0.004166666666666668,0.0008894406565607824,0.0009019406565607826,0.0009144406565607826
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,0.00023451692890508516,0.0012755102040816332,0.00023451692890508516,0.00023069039829284028,0.00022686386768059537
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,193,0.0003209683645238423,0.006994818652849739,0.0003209683645238423,0.000299983908565293,0.0002789994526067438
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,7.383194145605375e-05,0.004572147651006711,7.383194145605375e-05,6.0115498503033615e-05,4.639905555001349e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.00047278617162063345,0.003479381443298968,0.00047278617162063345,0.00046234802729073663,0.0004519098829608397
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.00018999250596135432,0.0037946428571428562,-0.00018999250596135432,-0.0002013764345327829,-0.00021276036310421146
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,5.5119329342337865e-05,-1.1564823173178713e-18,5.5119329342337865e-05,5.511932934233787e-05,5.5119329342337885e-05
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0014696295936023403,0.006380208333333334,0.0014696295936023403,0.0014504889686023405,0.0014313483436023402
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,2.495739703277542e-06,3.6520494231090674e-19,2.495739703277542e-06,2.4957397032775335e-06,2.4957397032775246e-06
