universe,sample,contrast,n_dates,mean,ci025,ci975,p_gt0
K200,BULL_2025,MID60_MINUS_LOW20,25,-0.00845357130049004,-0.02169689601197009,0.006066227870635204,0.116
K200,BULL_2025,MID60_MINUS_HIGH20,25,0.007050923258779499,-0.005304317272321502,0.01905986372798805,0.8671666666666666
K200,BULL_2025,LOW20_MINUS_HIGH20,25,0.01550449455926954,-0.00395150157983787,0.03463550683456084,0.9391666666666667
K200,EARLY_2016_2019,MID60_MINUS_LOW20,96,-0.0006928589382293468,-0.0036630038238788984,0.0023632010063730263,0.32316666666666666
K200,EARLY_2016_2019,MID60_MINUS_HIGH20,96,0.0011253801681943454,-0.0019290977694324002,0.004383670261610678,0.7561666666666667
K200,EARLY_2016_2019,LOW20_MINUS_HIGH20,96,0.001818239106423692,-0.0021695369228433375,0.005809451697416537,0.8025
K200,LATE_2020_2022,MID60_MINUS_LOW20,75,-0.001576629633117222,-0.0068812941634605026,0.00410426201601173,0.287
K200,LATE_2020_2022,MID60_MINUS_HIGH20,75,-0.00018827682411627777,-0.007041021666310156,0.006580273236935259,0.4796666666666667
K200,LATE_2020_2022,LOW20_MINUS_HIGH20,75,0.0013883528090009435,-0.00790187027591923,0.010379434203009782,0.626
K200,NORMAL_2023_2024,MID60_MINUS_LOW20,48,0.005978170604412486,-6.276051987829282e-05,0.012108701573836318,0.9735
K200,NORMAL_2023_2024,MID60_MINUS_HIGH20,48,0.0011870632549967795,-0.0054703896818223035,0.007292744416490412,0.6498333333333334
K200,NORMAL_2023_2024,LOW20_MINUS_HIGH20,48,-0.004791107349415706,-0.01513966161213482,0.0047021029711276615,0.16783333333333333
K200,YTD_2026,MID60_MINUS_LOW20,13,0.028076878231245682,0.002153200740740709,0.049901370341992005,0.9831666666666666
K200,YTD_2026,MID60_MINUS_HIGH20,13,-0.0012009460468683391,-0.03371083993629624,0.032720647110909794,0.473
K200,YTD_2026,LOW20_MINUS_HIGH20,13,-0.02927782427811402,-0.07246918341541453,0.009974077509596889,0.08966666666666667
