universe,sample,act5_decile,n_dates,fwd10
K200,BULL_2025,1,25,0.0394552112276171
K200,BULL_2025,2,25,0.033956732144671646
K200,BULL_2025,3,25,0.01957704927169671
K200,BULL_2025,4,25,0.019135673551137034
K200,BULL_2025,5,25,0.027519944640667135
K200,BULL_2025,6,25,0.030589029061691947
K200,BULL_2025,7,25,0.035108975704989005
K200,BULL_2025,8,25,0.024064838541102185
K200,BULL_2025,9,25,0.016962852794284684
K200,BULL_2025,10,25,0.018584156984076138
K200,EARLY_2016_2019,1,96,0.0016861898813838644
K200,EARLY_2016_2019,2,96,0.0003228419979930559
K200,EARLY_2016_2019,3,96,0.0015464998259274749
K200,EARLY_2016_2019,4,96,0.0015249045080027006
K200,EARLY_2016_2019,5,96,-0.0004926435387151672
K200,EARLY_2016_2019,6,96,-0.001391983754571887
K200,EARLY_2016_2019,7,96,0.00015296920714354673
K200,EARLY_2016_2019,8,96,0.002333187284467808
K200,EARLY_2016_2019,9,96,0.0002312258128120137
K200,EARLY_2016_2019,10,96,0.0005725527834599424
K200,LATE_2020_2022,1,75,0.007023830488111084
K200,LATE_2020_2022,2,75,0.005992111573184871
K200,LATE_2020_2022,3,75,0.0030013840073860863
K200,LATE_2020_2022,4,75,0.006877554118186809
K200,LATE_2020_2022,5,75,0.006654699408790821
K200,LATE_2020_2022,6,75,0.007553544058610667
K200,LATE_2020_2022,7,75,0.005505175305563586
K200,LATE_2020_2022,8,75,-0.0003515042417028517
K200,LATE_2020_2022,9,75,0.0022589527138098973
K200,LATE_2020_2022,10,75,0.008011967467692206
K200,NORMAL_2023_2024,1,48,-0.0017587462960784873
K200,NORMAL_2023_2024,2,48,-0.0038729134976857125
K200,NORMAL_2023_2024,3,48,0.0016004311125585033
K200,NORMAL_2023_2024,4,48,0.0034247994217994145
K200,NORMAL_2023_2024,5,48,0.006972081961526831
K200,NORMAL_2023_2024,6,48,0.00728277736588176
K200,NORMAL_2023_2024,7,48,0.007772301543373661
K200,NORMAL_2023_2024,8,48,0.003428619533749495
K200,NORMAL_2023_2024,9,48,0.0005436052216295172
K200,NORMAL_2023_2024,10,48,0.004257892569794953
K200,YTD_2026,1,13,-0.014788198967838237
K200,YTD_2026,2,13,-0.01169520182715664
K200,YTD_2026,3,13,0.030011538492757735
K200,YTD_2026,4,13,0.004124784210241201
K200,YTD_2026,5,13,0.021985067234905103
K200,YTD_2026,6,13,0.019934619872113604
K200,YTD_2026,7,13,0.028208666182533877
K200,YTD_2026,8,13,0.01774305173503124
K200,YTD_2026,9,13,0.03906214610373852
K200,YTD_2026,10,13,0.013165910130978275
KOSDAQ,BULL_2025,1,22,-0.0069123917490275626
KOSDAQ,BULL_2025,2,25,0.010980313702415045
KOSDAQ,BULL_2025,3,25,0.0316445712613516
KOSDAQ,BULL_2025,4,25,0.01156072137360572
KOSDAQ,BULL_2025,5,25,0.022140516137616837
KOSDAQ,BULL_2025,6,25,0.025556528048955595
KOSDAQ,BULL_2025,7,25,0.02360884774757044
KOSDAQ,BULL_2025,8,25,0.02175374881388865
KOSDAQ,BULL_2025,9,25,0.0373926428117085
KOSDAQ,BULL_2025,10,25,0.02827424444783825
KOSDAQ,EARLY_2016_2019,1,78,-0.014294156878886811
KOSDAQ,EARLY_2016_2019,2,96,-0.00779062596715362
KOSDAQ,EARLY_2016_2019,3,96,-0.006909101258086696
KOSDAQ,EARLY_2016_2019,4,96,0.0007765053546035556
KOSDAQ,EARLY_2016_2019,5,96,0.001559136519332834
KOSDAQ,EARLY_2016_2019,6,96,-0.0009126223789051527
KOSDAQ,EARLY_2016_2019,7,96,0.0004089844797064302
KOSDAQ,EARLY_2016_2019,8,96,0.0015350031119710503
KOSDAQ,EARLY_2016_2019,9,96,0.0036547770031582594
KOSDAQ,EARLY_2016_2019,10,96,0.006814915642684054
KOSDAQ,LATE_2020_2022,1,71,-0.005222897030101918
KOSDAQ,LATE_2020_2022,2,75,-0.007881859544838247
KOSDAQ,LATE_2020_2022,3,75,-0.0035366862544637108
KOSDAQ,LATE_2020_2022,4,75,0.005900412659387534
KOSDAQ,LATE_2020_2022,5,75,0.00934173738604925
KOSDAQ,LATE_2020_2022,6,75,0.008268375318633402
KOSDAQ,LATE_2020_2022,7,75,0.0028957217834701073
KOSDAQ,LATE_2020_2022,8,75,0.004483669772833894
KOSDAQ,LATE_2020_2022,9,75,0.0010764025698659387
KOSDAQ,LATE_2020_2022,10,75,0.007169483193703107
KOSDAQ,NORMAL_2023_2024,1,43,-0.0064669836086307724
KOSDAQ,NORMAL_2023_2024,2,48,-0.010958773456218937
KOSDAQ,NORMAL_2023_2024,3,48,0.00725131829996789
KOSDAQ,NORMAL_2023_2024,4,48,0.0022075433387281178
KOSDAQ,NORMAL_2023_2024,5,48,-0.002283302408596322
KOSDAQ,NORMAL_2023_2024,6,48,0.0040646577861798905
KOSDAQ,NORMAL_2023_2024,7,48,-0.0010456240387133667
KOSDAQ,NORMAL_2023_2024,8,48,0.012377206059119508
KOSDAQ,NORMAL_2023_2024,9,48,-0.0004939743915338503
KOSDAQ,NORMAL_2023_2024,10,48,-0.0009249046378448778
KOSDAQ,YTD_2026,1,13,-0.049954983374100766
KOSDAQ,YTD_2026,2,13,-0.038842688007030876
KOSDAQ,YTD_2026,3,13,-0.03002736741435143
KOSDAQ,YTD_2026,4,13,0.007989465691894128
KOSDAQ,YTD_2026,5,13,-0.01950836561966223
KOSDAQ,YTD_2026,6,13,0.021157913569676737
KOSDAQ,YTD_2026,7,13,0.006003956650372991
KOSDAQ,YTD_2026,8,13,0.006964438785737729
KOSDAQ,YTD_2026,9,13,-0.013550696997828638
KOSDAQ,YTD_2026,10,13,-0.005709934118022327
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,1,24,-0.008415573180328068
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,2,25,-0.0010528544963621749
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,3,25,0.02632472030118671
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,4,25,0.018502987448187985
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,5,25,0.0261713678424841
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,6,25,0.012389657938222894
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,7,25,0.02274339536183049
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,8,25,0.02450244843893492
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,9,25,0.026468436210764522
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,10,25,0.026022843723285026
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,1,93,-0.015396529437733196
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,2,96,-0.0028563775063218944
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,3,96,0.000905653485142763
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,4,96,-0.0009323949800748582
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,5,96,0.003905204482704073
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,6,96,-0.0034359283874294175
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,7,96,0.001217084740584836
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,8,96,0.004222620693660512
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,9,96,-0.0027777517281619758
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,10,96,0.0041750425054136895
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,1,74,0.00295347021584374
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,2,75,0.002210912111472531
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,3,75,0.0035247047558972576
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,4,75,0.004635156360993934
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,5,75,0.0039210219206978715
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,6,75,0.009894567103112862
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,7,75,0.0048893551319651235
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,8,75,0.0013911757761025944
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,9,75,0.004721389937351971
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,10,75,0.004849789280013569
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,1,48,-0.0010611922544548347
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,2,48,0.004786107631774689
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,3,48,2.2501986439285002e-05
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,4,48,0.003419080386450779
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,5,48,0.00021739585133494308
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,6,48,0.004083159727890156
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,7,48,0.0002872054082899561
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,8,48,0.011456085591908449
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,9,48,0.00011059763601727751
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,10,48,-0.001515144437481935
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,1,13,-0.03960467882134656
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,2,13,-0.021228591499402545
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,3,13,-0.029461105782763897
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,4,13,0.015126454426356779
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,5,13,0.0007125347648191629
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,6,13,0.02075652521938681
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,7,13,0.0112695394458061
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,8,13,0.0009961441008217507
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,9,13,-0.021059103790047586
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,10,13,-0.02506345115511112
KOSPI_ALL,BULL_2025,1,25,0.002819760687936841
KOSPI_ALL,BULL_2025,2,25,0.021322405101768284
KOSPI_ALL,BULL_2025,3,25,0.0412796365484964
KOSPI_ALL,BULL_2025,4,25,0.034575144873155876
KOSPI_ALL,BULL_2025,5,25,0.009540123311752111
KOSPI_ALL,BULL_2025,6,25,0.022556799011780804
