strategy,universe,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
BASE,K200,BULL_2025,25,-0.002455605062629791,-0.024,-0.002455605062629791,-0.0023836050626297907,-0.002311605062629791,gross_delta,-0.002455605062629791,-0.005635839385522413,8.714463422818216e-05,0.033666666666666664
BASE,K200,BULL_2025,25,-0.002455605062629791,-0.024,-0.002455605062629791,-0.0023836050626297907,-0.002311605062629791,net_30,-0.0023836050626297907,-0.005759893739939137,0.0001492712329576946,0.034666666666666665
BASE,K200,BULL_2025,25,-0.002455605062629791,-0.024,-0.002455605062629791,-0.0023836050626297907,-0.002311605062629791,net_60,-0.002311605062629791,-0.005714726268399821,0.000212261645571829,0.043
BASE,K200,EARLY_2016_2019,98,-0.0002699296944752257,-0.009247448979591837,-0.0002699296944752257,-0.00024218734753645018,-0.0002144450005976748,gross_delta,-0.0002699296944752257,-0.0008514347058963422,0.00028126973311078107,0.162
BASE,K200,EARLY_2016_2019,98,-0.0002699296944752257,-0.009247448979591837,-0.0002699296944752257,-0.00024218734753645018,-0.0002144450005976748,net_30,-0.00024218734753645018,-0.0007873151879596885,0.00032691630965196955,0.20533333333333334
BASE,K200,EARLY_2016_2019,98,-0.0002699296944752257,-0.009247448979591837,-0.0002699296944752257,-0.00024218734753645018,-0.0002144450005976748,net_60,-0.0002144450005976748,-0.0007863312127659025,0.00035630009137313984,0.22316666666666668
BASE,K200,LATE_2020_2022,75,8.292539804349478e-05,-0.016583333333333332,8.292539804349478e-05,0.0001326753980434948,0.00018242539804349481,gross_delta,8.292539804349478e-05,-0.0009947453523656469,0.0011111936383725097,0.5736666666666667
BASE,K200,LATE_2020_2022,75,8.292539804349478e-05,-0.016583333333333332,8.292539804349478e-05,0.0001326753980434948,0.00018242539804349481,net_30,0.0001326753980434948,-0.0009698832779977679,0.00112691246771539,0.6075
BASE,K200,LATE_2020_2022,75,8.292539804349478e-05,-0.016583333333333332,8.292539804349478e-05,0.0001326753980434948,0.00018242539804349481,net_60,0.00018242539804349481,-0.0008862525692395759,0.0012042901268427084,0.6263333333333333
BASE,K200,NORMAL_2023_2024,48,-0.0007412773950016406,-0.012760416666666663,-0.0007412773950016406,-0.0007029961450016406,-0.0006647148950016405,gross_delta,-0.0007412773950016406,-0.0017738469323044788,0.00031300134802146064,0.09183333333333334
BASE,K200,NORMAL_2023_2024,48,-0.0007412773950016406,-0.012760416666666663,-0.0007412773950016406,-0.0007029961450016406,-0.0006647148950016405,net_30,-0.0007029961450016406,-0.0017701435769496936,0.00032404194170260956,0.0885
BASE,K200,NORMAL_2023_2024,48,-0.0007412773950016406,-0.012760416666666663,-0.0007412773950016406,-0.0007029961450016406,-0.0006647148950016405,net_60,-0.0006647148950016405,-0.0017622526963119575,0.00037131577905537874,0.10716666666666666
BASE,K200,YTD_2026,13,-0.002800941058417827,-0.026442307692307692,-0.002800941058417827,-0.0027216141353409032,-0.00264228721226398,gross_delta,-0.002800941058417827,-0.004885029878872062,-0.0009634349896957056,0.0006666666666666666
BASE,K200,YTD_2026,13,-0.002800941058417827,-0.026442307692307692,-0.002800941058417827,-0.0027216141353409032,-0.00264228721226398,net_30,-0.0027216141353409032,-0.004817213422205855,-0.0008102918600948338,0.0008333333333333334
BASE,K200,YTD_2026,13,-0.002800941058417827,-0.026442307692307692,-0.002800941058417827,-0.0027216141353409032,-0.00264228721226398,net_60,-0.00264228721226398,-0.004759754784837692,-0.0007719616498798498,0.0008333333333333334
BASE,KOSDAQ,BULL_2025,25,-0.0004258316793954901,-0.03325,-0.0004258316793954901,-0.0003260816793954903,-0.0002263316793954903,gross_delta,-0.0004258316793954901,-0.0031811564332279827,0.0019507358922010813,0.38966666666666666
BASE,KOSDAQ,BULL_2025,25,-0.0004258316793954901,-0.03325,-0.0004258316793954901,-0.0003260816793954903,-0.0002263316793954903,net_30,-0.0003260816793954903,-0.003094269856247942,0.002109533537157414,0.4156666666666667
BASE,KOSDAQ,BULL_2025,25,-0.0004258316793954901,-0.03325,-0.0004258316793954901,-0.0003260816793954903,-0.0002263316793954903,net_60,-0.0002263316793954903,-0.0028652108255086788,0.0022132802288734117,0.4435
BASE,KOSDAQ,EARLY_2016_2019,98,-0.00042511091161576505,-0.011415816326530612,-0.00042511091161576505,-0.0003908634626361732,-0.0003566160136565814,gross_delta,-0.00042511091161576505,-0.0010772228028266043,0.0002066791863624513,0.10083333333333333
BASE,KOSDAQ,EARLY_2016_2019,98,-0.00042511091161576505,-0.011415816326530612,-0.00042511091161576505,-0.0003908634626361732,-0.0003566160136565814,net_30,-0.0003908634626361732,-0.00104190491996266,0.00027025500816406654,0.12766666666666668
BASE,KOSDAQ,EARLY_2016_2019,98,-0.00042511091161576505,-0.011415816326530612,-0.00042511091161576505,-0.0003908634626361732,-0.0003566160136565814,net_60,-0.0003566160136565814,-0.0010057583747060113,0.0002940016056209157,0.1465
BASE,KOSDAQ,LATE_2020_2022,75,-0.0006616980117050663,-0.03108333333333333,-0.0006616980117050663,-0.0005684480117050664,-0.00047519801170506636,gross_delta,-0.0006616980117050663,-0.0024667901337342606,0.0010058804939055024,0.21783333333333332
