strategy,universe,sample,family,n_dates,gross_delta,positive_date_rate
BASE,K200,BULL_2025,FLOW,25,-0.004209336073302548,0.36
BASE,K200,BULL_2025,MOMENTUM,25,-0.0008369385261829278,0.52
BASE,K200,BULL_2025,REVISION,25,-0.0028102552749886627,0.48
BASE,K200,BULL_2025,VALUE,25,-0.0019658903760450246,0.4
BASE,K200,EARLY_2016_2019,FLOW,98,-0.00036076343024121885,0.45918367346938777
BASE,K200,EARLY_2016_2019,MOMENTUM,98,-0.00031932682466991123,0.5
BASE,K200,EARLY_2016_2019,REVISION,98,-8.159604625287072e-05,0.5408163265306123
BASE,K200,EARLY_2016_2019,VALUE,98,-0.0003180324767369022,0.5
BASE,K200,LATE_2020_2022,FLOW,75,0.000773178504475141,0.5333333333333333
BASE,K200,LATE_2020_2022,MOMENTUM,75,1.7174324793984177e-05,0.4666666666666667
BASE,K200,LATE_2020_2022,REVISION,75,-0.0005225008454313085,0.4666666666666667
BASE,K200,LATE_2020_2022,VALUE,75,6.384960833616222e-05,0.49333333333333335
BASE,K200,NORMAL_2023_2024,FLOW,48,-0.0008580252935767345,0.3958333333333333
BASE,K200,NORMAL_2023_2024,MOMENTUM,48,8.10652213831268e-05,0.4375
BASE,K200,NORMAL_2023_2024,REVISION,48,-0.0018553800170049938,0.4166666666666667
BASE,K200,NORMAL_2023_2024,VALUE,48,-0.00033276949080796096,0.5
BASE,K200,YTD_2026,FLOW,13,-0.0034173081988352447,0.38461538461538464
BASE,K200,YTD_2026,MOMENTUM,13,-0.001372519674224532,0.38461538461538464
BASE,K200,YTD_2026,REVISION,13,-0.004916244135503652,0.3076923076923077
BASE,K200,YTD_2026,VALUE,13,-0.0014976922251078765,0.46153846153846156
BASE,KOSDAQ,BULL_2025,FLOW,25,0.0017658815250466413,0.52
BASE,KOSDAQ,BULL_2025,MOMENTUM,25,-0.0021687112876285462,0.48
BASE,KOSDAQ,BULL_2025,REVISION,25,-0.001965004890049723,0.44
BASE,KOSDAQ,BULL_2025,VALUE,25,0.0006645079350496664,0.6
BASE,KOSDAQ,EARLY_2016_2019,FLOW,98,-0.0010940535272014151,0.4897959183673469
BASE,KOSDAQ,EARLY_2016_2019,MOMENTUM,98,-0.000695961655897143,0.45918367346938777
BASE,KOSDAQ,EARLY_2016_2019,REVISION,98,0.000513139823323318,0.4897959183673469
BASE,KOSDAQ,EARLY_2016_2019,VALUE,98,-0.00042356828668782033,0.42857142857142855
BASE,KOSDAQ,LATE_2020_2022,FLOW,75,-0.0004946939147822639,0.4666666666666667
BASE,KOSDAQ,LATE_2020_2022,MOMENTUM,75,1.4051691370708616e-05,0.48
BASE,KOSDAQ,LATE_2020_2022,REVISION,75,-0.0008808775203351908,0.4666666666666667
BASE,KOSDAQ,LATE_2020_2022,VALUE,75,-0.001285272303073519,0.4266666666666667
BASE,KOSDAQ,NORMAL_2023_2024,FLOW,48,0.0025111346159836646,0.5625
BASE,KOSDAQ,NORMAL_2023_2024,MOMENTUM,48,-0.004882255557190719,0.3541666666666667
BASE,KOSDAQ,NORMAL_2023_2024,REVISION,48,-0.0005097821939225672,0.5
BASE,KOSDAQ,NORMAL_2023_2024,VALUE,48,0.0009441005803295105,0.5416666666666666
BASE,KOSDAQ,YTD_2026,FLOW,13,-0.002751890772377581,0.38461538461538464
BASE,KOSDAQ,YTD_2026,MOMENTUM,13,-0.00825626286864517,0.3076923076923077
BASE,KOSDAQ,YTD_2026,REVISION,13,-0.009907310250235637,0.3076923076923077
BASE,KOSDAQ,YTD_2026,VALUE,13,-0.0007356794655415493,0.38461538461538464
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,FLOW,25,-0.0008556565488488609,0.48
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,MOMENTUM,25,-0.012237505310492097,0.4
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,REVISION,25,-0.0014470976913954301,0.4
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,VALUE,25,-0.0032191159511933613,0.36
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,FLOW,98,-0.0023292251704686395,0.3877551020408163
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,MOMENTUM,98,-0.0010526200542547355,0.47959183673469385
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,REVISION,98,0.00035934116236737904,0.5
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,VALUE,98,-0.0007371375400077309,0.5204081632653061
