strategy,universe,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
BASE,K200,BULL_2025,25,-0.002455605062629791,-0.024,-0.002455605062629791,-0.0023836050626297907,-0.002311605062629791
BASE,K200,EARLY_2016_2019,98,-0.0002699296944752257,-0.009247448979591837,-0.0002699296944752257,-0.00024218734753645018,-0.0002144450005976748
BASE,K200,LATE_2020_2022,75,8.292539804349478e-05,-0.016583333333333332,8.292539804349478e-05,0.0001326753980434948,0.00018242539804349481
BASE,K200,NORMAL_2023_2024,48,-0.0007412773950016406,-0.012760416666666663,-0.0007412773950016406,-0.0007029961450016406,-0.0006647148950016405
BASE,K200,YTD_2026,13,-0.002800941058417827,-0.026442307692307692,-0.002800941058417827,-0.0027216141353409032,-0.00264228721226398
BASE,KOSDAQ,BULL_2025,25,-0.0004258316793954901,-0.03325,-0.0004258316793954901,-0.0003260816793954903,-0.0002263316793954903
BASE,KOSDAQ,EARLY_2016_2019,98,-0.00042511091161576505,-0.011415816326530612,-0.00042511091161576505,-0.0003908634626361732,-0.0003566160136565814
BASE,KOSDAQ,LATE_2020_2022,75,-0.0006616980117050663,-0.03108333333333333,-0.0006616980117050663,-0.0005684480117050664,-0.00047519801170506636
BASE,KOSDAQ,NORMAL_2023_2024,48,-0.0004842006387000277,-0.03515625000000001,-0.0004842006387000277,-0.00037873188870002784,-0.00027326313870002774
BASE,KOSDAQ,YTD_2026,13,-0.0054127858391999845,-0.052403846153846155,-0.0054127858391999845,-0.005255574300738446,-0.005098362762276908
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.004439843875482437,-0.048249999999999994,-0.004439843875482437,-0.004295093875482437,-0.004150343875482437
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,-0.0009399104005909317,-0.037563775510204074,-0.0009399104005909317,-0.0008272190740603193,-0.0007145277475297071
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.0018960792376692954,-0.060833333333333336,-0.0018960792376692954,-0.0017135792376692957,-0.0015310792376692958
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.001076232439738742,-0.05611979166666666,-0.001076232439738742,-0.0009078730647387425,-0.0007395136897387424
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,-0.004853376192824443,-0.06538461538461537,-0.004853376192824443,-0.004657222346670597,-0.00446106850051675
BASE,KOSPI_ALL,BULL_2025,25,-0.0027359705886824907,-0.04499999999999999,-0.0027359705886824907,-0.002600970588682491,-0.002465970588682491
BASE,KOSPI_ALL,EARLY_2016_2019,98,-0.0003487730425639145,-0.029591836734693882,-0.0003487730425639145,-0.0002599975323598327,-0.00017122202215575112
BASE,KOSPI_ALL,LATE_2020_2022,75,-0.0007175085720929224,-0.04875000000000001,-0.0007175085720929224,-0.0005712585720929223,-0.00042500857209292235
BASE,KOSPI_ALL,NORMAL_2023_2024,48,-0.0005750031463474691,-0.056640625,-0.0005750031463474691,-0.00040508127134746924,-0.00023515939634746914
BASE,KOSPI_ALL,YTD_2026,13,-0.0019144230575867361,-0.05096153846153847,-0.0019144230575867361,-0.0017615384422021208,-0.0016086538268175051
BASE,KOSPI_EX_K200,BULL_2025,25,-0.001103935193157967,-0.011999999999999997,-0.001103935193157967,-0.0010679351931579672,-0.001031935193157967
BASE,KOSPI_EX_K200,EARLY_2016_2019,98,-0.0003773837439609105,-0.006760204081632653,-0.0003773837439609105,-0.0003571031317160125,-0.00033682251947111453
BASE,KOSPI_EX_K200,LATE_2020_2022,75,-2.8281939059669945e-05,-0.02,-2.8281939059669945e-05,3.1718060940330185e-05,9.171806094033003e-05
BASE,KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0009633302265644974,-0.022526041666666663,-0.0009633302265644974,-0.0008957521015644974,-0.0008281739765644974
BASE,KOSPI_EX_K200,YTD_2026,13,-0.0019844605993703276,-0.03317307692307693,-0.0019844605993703276,-0.0018849413686010967,-0.0017854221378318662
BASE,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.004620957740483625,-0.06899999999999999,-0.004620957740483625,-0.004413957740483626,-0.004206957740483625
BASE,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.0014663648727892102,-0.05720663265306124,-0.0014663648727892102,-0.0012947449748300266,-0.0011231250768708428
BASE,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.0019391236453947898,-0.08241666666666667,-0.0019391236453947898,-0.00169187364539479,-0.0014446236453947898
BASE,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.0008432560410292208,-0.08736979166666665,-0.0008432560410292208,-0.0005811466660292208,-0.00031903729102922084
BASE,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.011318455529616495,-0.09134615384615384,-0.011318455529616495,-0.011044417068078032,-0.010770378606539574
PROMOTE20,K200,BULL_2025,25,-0.0003993147619641929,0.0275,-0.0003993147619641929,-0.00048181476196419286,-0.000564314761964193
PROMOTE20,K200,EARLY_2016_2019,98,-0.0003758465435474219,0.036288265306122454,-0.0003758465435474219,-0.0004847113394657892,-0.0005935761353841564
PROMOTE20,K200,LATE_2020_2022,75,-0.0005507716634593185,0.03358333333333333,-0.0005507716634593185,-0.0006515216634593186,-0.0007522716634593186
PROMOTE20,K200,NORMAL_2023_2024,48,-1.8116093948890213e-05,0.03880208333333333,-1.8116093948890213e-05,-0.00013452234394889027,-0.00025092859394889016
PROMOTE20,K200,YTD_2026,13,-0.005207171317773549,0.032692307692307694,-0.005207171317773549,-0.005305248240850473,-0.005403325163927396
PROMOTE20,KOSDAQ,BULL_2025,25,-0.0013285536997790393,0.0245,-0.0013285536997790393,-0.0014020536997790393,-0.0014755536997790395
PROMOTE20,KOSDAQ,EARLY_2016_2019,98,-1.4547396877614861e-05,0.03609693877551021,-1.4547396877614861e-05,-0.0001228382132041454,-0.0002311290295306761
PROMOTE20,KOSDAQ,LATE_2020_2022,75,-0.0016062302453841442,0.016833333333333336,-0.0016062302453841442,-0.0016567302453841437,-0.0017072302453841432
PROMOTE20,KOSDAQ,NORMAL_2023_2024,48,-0.0010564784491258943,0.021093750000000005,-0.0010564784491258943,-0.0011197596991258944,-0.0011830409491258942
PROMOTE20,KOSDAQ,YTD_2026,13,-0.003973202640677189,-0.006730769230769229,-0.003973202640677189,-0.003953010332984882,-0.003932818025292575
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.00399608333191399,0.006000000000000001,-0.00399608333191399,-0.004014083331913989,-0.00403208333191399
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,-0.00043238120049553626,0.015561224489795918,-0.00043238120049553626,-0.00047906487396492416,-0.0005257485474343117
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.001076603787824716,-0.014083333333333331,-0.001076603787824716,-0.001034353787824716,-0.000992103787824716
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0006394496324152023,-0.005078124999999999,-0.0006394496324152023,-0.0006242152574152023,-0.0006089808824152027
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,-0.004496979031697449,-0.016826923076923087,-0.004496979031697449,-0.00444649826246668,-0.004396017493235911
PROMOTE20,KOSPI_ALL,BULL_2025,25,-0.0010851113739755419,0.004000000000000001,-0.0010851113739755419,-0.001097111373975542,-0.0011091113739755418
PROMOTE20,KOSPI_ALL,EARLY_2016_2019,98,-0.0003729415222050619,0.01772959183673469,-0.0003729415222050619,-0.00042613029771526606,-0.00047931907322547014
PROMOTE20,KOSPI_ALL,LATE_2020_2022,75,0.00014977861197091677,0.0051666666666666675,0.00014977861197091677,0.00013427861197091678,0.00011877861197091671
PROMOTE20,KOSPI_ALL,NORMAL_2023_2024,48,-0.0013679615374340495,-0.010677083333333337,-0.0013679615374340495,-0.0013359302874340502,-0.0013038990374340496
PROMOTE20,KOSPI_ALL,YTD_2026,13,-0.0005195872886818586,-0.009134615384615392,-0.0005195872886818586,-0.0004921834425280125,-0.0004647795963741661
PROMOTE20,KOSPI_EX_K200,BULL_2025,25,0.0005569593808297735,0.04524999999999999,0.0005569593808297735,0.00042120938082977323,0.0002854593808297735
PROMOTE20,KOSPI_EX_K200,EARLY_2016_2019,98,-0.00044006220227846775,0.03922193877551021,-0.00044006220227846775,-0.0005577280186049984,-0.000675393834931529
PROMOTE20,KOSPI_EX_K200,LATE_2020_2022,75,0.00012641954796308933,0.03241666666666666,0.00012641954796308933,2.9169547963089337e-05,-6.80804520369106e-05
PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0018297379398501078,0.03528645833333333,-0.0018297379398501078,-0.0019355973148501076,-0.0020414566898501077
PROMOTE20,KOSPI_EX_K200,YTD_2026,13,-0.0015497110523169468,0.031249999999999997,-0.0015497110523169468,-0.0016434610523169467,-0.001737211052316947
PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.003556189146575127,-0.035250000000000004,-0.003556189146575127,-0.0034504391465751284,-0.0033446891465751276
PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.000440539498535576,-0.010650510204081634,-0.000440539498535576,-0.0004085879679233311,-0.0003766364373110861
PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.00080580974229115,-0.032583333333333325,-0.00080580974229115,-0.0007080597422911498,-0.0006103097422911502
PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.00033847422846292166,-0.035546875,-0.00033847422846292166,-0.00023183360346292113,-0.00012519297846292146
PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.009381356324150028,-0.04375,-0.009381356324150028,-0.009250106324150027,-0.009118856324150028
VETO20,K200,BULL_2025,25,-0.0005664843087924619,0.04125,-0.0005664843087924619,-0.000690234308792462,-0.0008139843087924617
VETO20,K200,EARLY_2016_2019,98,-0.00014307257683015902,0.045599489795918366,-0.00014307257683015902,-0.0002798710462179141,-0.00041666951560566915
VETO20,K200,LATE_2020_2022,75,0.0003072461406928591,0.040249999999999994,0.0003072461406928591,0.00018649614069285908,6.57461406928592e-05
VETO20,K200,NORMAL_2023_2024,48,1.0908474479588985e-05,0.047005208333333326,1.0908474479588985e-05,-0.00013010715052041107,-0.000271122775520411
VETO20,K200,YTD_2026,13,-0.0006338685297461709,0.04615384615384616,-0.0006338685297461709,-0.000772330068207709,-0.0009107916066692477
VETO20,KOSDAQ,BULL_2025,25,-0.001517084672260023,0.0275,-0.001517084672260023,-0.0015995846722600224,-0.0016820846722600227
VETO20,KOSDAQ,EARLY_2016_2019,98,-0.0004001929158955395,0.04413265306122449,-0.0004001929158955395,-0.000532590875079213,-0.0006649888342628863
VETO20,KOSDAQ,LATE_2020_2022,75,0.00036257807006457335,0.03025000000000001,0.00036257807006457335,0.0002718280700645733,0.0001810780700645733
VETO20,KOSDAQ,NORMAL_2023_2024,48,-5.8409326720994344e-05,0.02552083333333333,-5.8409326720994344e-05,-0.00013497182672099454,-0.0002115343267209945
VETO20,KOSDAQ,YTD_2026,13,-0.005719067002361813,0.015865384615384618,-0.005719067002361813,-0.0057666631562079676,-0.005814259310054122
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.003915143915776367,0.009000000000000001,-0.003915143915776367,-0.0039421439157763674,-0.003969143915776367
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,5.278713176669967e-05,0.028698979591836735,5.278713176669967e-05,-3.3309807008810596e-05,-0.00011940674578432078
