date,sample,universe,factor,family,strategy,gross,turnover
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,BASE,0.01775300238065726,1.0
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,VETO20,0.02782874947172917,1.0
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,PROMOTE20,0.013372891178369881,1.0
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,VETO_PROMOTE20,0.019381505182673203,1.0
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,CF20,0.02716572708291142,1.0
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,BASE,-0.04963953637874304,1.0
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,VETO20,-0.0321939124677775,1.0
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,PROMOTE20,-0.05561602025075291,1.0
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.03269272951943987,1.0
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,CF20,-0.03164563120426565,1.0
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,BASE,-0.04806922049004022,1.0
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,VETO20,-0.04553535123611112,1.0
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,PROMOTE20,-0.05305563113743922,1.0
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,VETO_PROMOTE20,-0.038443300444977,1.0
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,CF20,-0.056033211335544106,1.0
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,BASE,-0.03481149630686957,1.0
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,VETO20,-0.023124972263401128,1.0
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,PROMOTE20,-0.04406737629019284,1.0
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,VETO_PROMOTE20,-0.03440548918926264,1.0
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,CF20,-0.016871225948327722,1.0
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,BASE,0.02742453900840073,1.0
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,VETO20,0.02806784031386191,1.0
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,PROMOTE20,0.018581428479873104,1.0
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,VETO_PROMOTE20,0.02708538642083655,1.0
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,CF20,0.014755659210455543,1.0
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,BASE,0.0067807038897661365,1.0
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,VETO20,0.03668439744529793,1.0
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,PROMOTE20,0.004989362174755976,1.0
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,VETO_PROMOTE20,0.006505251657618866,1.0
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,CF20,0.016608988196832555,1.0
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,BASE,-0.0008239769484453069,1.0
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,VETO20,0.005358749500535895,1.0
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,PROMOTE20,-0.009613036296350028,1.0
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,VETO_PROMOTE20,-0.001907008214308395,1.0
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,CF20,0.0004118930402294163,1.0
2016-01-04,EARLY_2016_2019,K200,FOREIGN_FLOW,FLOW,BASE,0.01760357178726437,1.0
2016-01-04,EARLY_2016_2019,K200,FOREIGN_FLOW,FLOW,VETO20,0.012171315783030871,1.0
2016-01-04,EARLY_2016_2019,K200,FOREIGN_FLOW,FLOW,PROMOTE20,0.031175054399080693,1.0
2016-01-04,EARLY_2016_2019,K200,FOREIGN_FLOW,FLOW,VETO_PROMOTE20,0.020848243308763042,1.0
2016-01-04,EARLY_2016_2019,K200,FOREIGN_FLOW,FLOW,CF20,0.018811800519249397,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OP12_REV,REVISION,BASE,-0.03465268058914513,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OP12_REV,REVISION,VETO20,-0.03628904016647247,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OP12_REV,REVISION,PROMOTE20,-0.037957152392778644,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OP12_REV,REVISION,VETO_PROMOTE20,-0.032232522877231565,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OP12_REV,REVISION,CF20,-0.03465268058914513,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OPFY1_REV,REVISION,BASE,-0.0177454909011912,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OPFY1_REV,REVISION,VETO20,-0.020443110722607523,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OPFY1_REV,REVISION,PROMOTE20,-0.04847807085759677,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.02371728239185831,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,-0.02498605763075254,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PBR12MF,VALUE,BASE,-0.03205183582577646,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PBR12MF,VALUE,VETO20,-0.03514202177150328,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PBR12MF,VALUE,PROMOTE20,-0.012898177261762867,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PBR12MF,VALUE,VETO_PROMOTE20,-0.011203420475640786,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.034674348405842007,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PER12MF,VALUE,BASE,-0.023458309919379045,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PER12MF,VALUE,VETO20,-0.017757325794566917,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PER12MF,VALUE,PROMOTE20,-0.021993804112186557,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PER12MF,VALUE,VETO_PROMOTE20,-0.015404339975130391,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PER12MF,VALUE,CF20,-0.022800437036078973,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM1M,MOMENTUM,BASE,-0.028180495468498434,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM1M,MOMENTUM,VETO20,-0.019273444206306674,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM1M,MOMENTUM,PROMOTE20,-0.029695459850664834,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM1M,MOMENTUM,VETO_PROMOTE20,-0.035068595251408284,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM1M,MOMENTUM,CF20,-0.0268869538508379,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM12_1,MOMENTUM,BASE,0.00965978289354031,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM12_1,MOMENTUM,VETO20,-0.009141330755909277,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM12_1,MOMENTUM,PROMOTE20,0.006724482878761565,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM12_1,MOMENTUM,VETO_PROMOTE20,-0.016109520962435786,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20,0.006422708636862723,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,BASE,-0.0015809226731616929,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,VETO20,-0.013587713758716041,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,PROMOTE20,0.01362691395291131,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,VETO_PROMOTE20,-0.007368657516679276,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20,-0.0015809226731616929,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,BASE,-0.03590229385991232,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,VETO20,-0.03526536428142539,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,PROMOTE20,-0.02343103367836308,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,VETO_PROMOTE20,-0.020384511413575133,1.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,CF20,-0.026990870736067124,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OP12_REV,REVISION,BASE,0.02777050649455299,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OP12_REV,REVISION,VETO20,0.01998846737991837,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OP12_REV,REVISION,PROMOTE20,0.004354270753730502,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OP12_REV,REVISION,VETO_PROMOTE20,0.0214369225875505,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OP12_REV,REVISION,CF20,0.0015223120248955453,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OPFY1_REV,REVISION,BASE,-0.03836486411752824,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OPFY1_REV,REVISION,VETO20,-0.02054407538891532,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OPFY1_REV,REVISION,PROMOTE20,-0.027113298803485713,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.029033426867990104,1.0
