strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
HOT_HIGH30_DIAG,K200,5,BULL_2025,49,-0.0031333482815617897,0.40127551020408164,-0.0031333482815617897,-0.004337174812174034,-0.005541001342786279,gross_delta,-0.0031333482815617897,-0.006353689607789775,-0.00014953644046764456,0.018666666666666668
HOT_HIGH30_DIAG,K200,5,BULL_2025,49,-0.0031333482815617897,0.40127551020408164,-0.0031333482815617897,-0.004337174812174034,-0.005541001342786279,net_30,-0.004337174812174034,-0.007657685173613931,-0.001299163377549102,0.0016666666666666668
HOT_HIGH30_DIAG,K200,5,BULL_2025,49,-0.0031333482815617897,0.40127551020408164,-0.0031333482815617897,-0.004337174812174034,-0.005541001342786279,net_60,-0.005541001342786279,-0.008843057927431444,-0.00249964451009842,0.0003333333333333333
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,192,-0.0007821258167874668,0.4322916666666667,-0.0007821258167874668,-0.0020790008167874668,-0.0033758758167874666,gross_delta,-0.0007821258167874668,-0.001767522556246179,0.00021757866880004937,0.060833333333333336
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,192,-0.0007821258167874668,0.4322916666666667,-0.0007821258167874668,-0.0020790008167874668,-0.0033758758167874666,net_30,-0.0020790008167874668,-0.0030611868988253727,-0.001045405726950536,0.0
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,192,-0.0007821258167874668,0.4322916666666667,-0.0007821258167874668,-0.0020790008167874668,-0.0033758758167874666,net_60,-0.0033758758167874666,-0.004394787559546919,-0.0023665284951808925,0.0
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,149,-0.0016875549419834847,0.3863255033557047,-0.0016875549419834847,-0.0028465314520505986,-0.004005507962117713,gross_delta,-0.0016875549419834847,-0.003687647400611673,0.00021995512607538302,0.043166666666666666
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,149,-0.0016875549419834847,0.3863255033557047,-0.0016875549419834847,-0.0028465314520505986,-0.004005507962117713,net_30,-0.0028465314520505986,-0.0049318614697653265,-0.0009580313165594193,0.0018333333333333333
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,149,-0.0016875549419834847,0.3863255033557047,-0.0016875549419834847,-0.0028465314520505986,-0.004005507962117713,net_60,-0.004005507962117713,-0.006140729163338645,-0.001985454282451907,0.0
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,97,-0.001815272597039321,0.39626288659793824,-0.001815272597039321,-0.0030040612568331356,-0.004192849916626951,gross_delta,-0.001815272597039321,-0.0035045049291415804,-0.0001494165542976742,0.0165
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,97,-0.001815272597039321,0.39626288659793824,-0.001815272597039321,-0.0030040612568331356,-0.004192849916626951,net_30,-0.0030040612568331356,-0.004611308218803651,-0.0013325975594270384,0.0
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,97,-0.001815272597039321,0.39626288659793824,-0.001815272597039321,-0.0030040612568331356,-0.004192849916626951,net_60,-0.004192849916626951,-0.005827695600058498,-0.002509954868013366,0.0
HOT_HIGH30_DIAG,K200,5,YTD_2026,28,-0.001607324921598835,0.3803571428571429,-0.001607324921598835,-0.002748396350170264,-0.0038894677787416924,gross_delta,-0.001607324921598835,-0.008599419526601782,0.005550754321121444,0.331
HOT_HIGH30_DIAG,K200,5,YTD_2026,28,-0.001607324921598835,0.3803571428571429,-0.001607324921598835,-0.002748396350170264,-0.0038894677787416924,net_30,-0.002748396350170264,-0.009706113180282007,0.0041959960491288004,0.223
HOT_HIGH30_DIAG,K200,5,YTD_2026,28,-0.001607324921598835,0.3803571428571429,-0.001607324921598835,-0.002748396350170264,-0.0038894677787416924,net_60,-0.0038894677787416924,-0.010993787968177805,0.0031290650508180116,0.142
HOT_HIGH30_DIAG,K200,10,BULL_2025,25,-0.00836086148697849,0.42949999999999994,-0.00836086148697849,-0.009649361486978491,-0.01093786148697849,gross_delta,-0.00836086148697849,-0.01636904094178013,-0.00044466199183014357,0.017666666666666667
HOT_HIGH30_DIAG,K200,10,BULL_2025,25,-0.00836086148697849,0.42949999999999994,-0.00836086148697849,-0.009649361486978491,-0.01093786148697849,net_30,-0.009649361486978491,-0.0180180842328083,-0.0017699934306767472,0.007666666666666666
HOT_HIGH30_DIAG,K200,10,BULL_2025,25,-0.00836086148697849,0.42949999999999994,-0.00836086148697849,-0.009649361486978491,-0.01093786148697849,net_60,-0.01093786148697849,-0.018852967960581037,-0.0031876191724119637,0.002
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,96,-0.0004703259067508062,0.4284505208333333,-0.0004703259067508062,-0.0017556774692508064,-0.003041029031750806,gross_delta,-0.0004703259067508062,-0.002248135261749405,0.0013494837413086267,0.3011666666666667
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,96,-0.0004703259067508062,0.4284505208333333,-0.0004703259067508062,-0.0017556774692508064,-0.003041029031750806,net_30,-0.0017556774692508064,-0.0035701275818513455,7.126750694601181e-06,0.025833333333333333
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,96,-0.0004703259067508062,0.4284505208333333,-0.0004703259067508062,-0.0017556774692508064,-0.003041029031750806,net_60,-0.003041029031750806,-0.0048915617401425636,-0.0011456911392617847,0.0005
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,75,-0.0038550551060782512,0.39449999999999996,-0.0038550551060782512,-0.005038555106078251,-0.006222055106078251,gross_delta,-0.0038550551060782512,-0.007489913562479433,-0.00011437354402264704,0.020833333333333332
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,75,-0.0038550551060782512,0.39449999999999996,-0.0038550551060782512,-0.005038555106078251,-0.006222055106078251,net_30,-0.005038555106078251,-0.008718550291801633,-0.0014645122812086467,0.0025
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,75,-0.0038550551060782512,0.39449999999999996,-0.0038550551060782512,-0.005038555106078251,-0.006222055106078251,net_60,-0.006222055106078251,-0.009990230952870795,-0.0025212841817075986,0.001
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,48,-0.0011540266069280467,0.4143229166666667,-0.0011540266069280467,-0.002396995356928047,-0.0036399641069280466,gross_delta,-0.0011540266069280467,-0.004449723942312188,0.0022440128492092083,0.24666666666666667
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,48,-0.0011540266069280467,0.4143229166666667,-0.0011540266069280467,-0.002396995356928047,-0.0036399641069280466,net_30,-0.002396995356928047,-0.005733102720990775,0.0008715025833142398,0.07683333333333334
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,48,-0.0011540266069280467,0.4143229166666667,-0.0011540266069280467,-0.002396995356928047,-0.0036399641069280466,net_60,-0.0036399641069280466,-0.006985901085093624,-0.0002732578748912496,0.016
HOT_HIGH30_DIAG,K200,10,YTD_2026,13,-0.004192163465946015,0.4086538461538462,-0.004192163465946015,-0.005418125004407552,-0.006644086542869091,gross_delta,-0.004192163465946015,-0.020278445975678676,0.009301424484699661,0.32016666666666665
HOT_HIGH30_DIAG,K200,10,YTD_2026,13,-0.004192163465946015,0.4086538461538462,-0.004192163465946015,-0.005418125004407552,-0.006644086542869091,net_30,-0.005418125004407552,-0.021331840875756215,0.007888218956724154,0.25066666666666665
HOT_HIGH30_DIAG,K200,10,YTD_2026,13,-0.004192163465946015,0.4086538461538462,-0.004192163465946015,-0.005418125004407552,-0.006644086542869091,net_60,-0.006644086542869091,-0.022979400746278765,0.006869480653870204,0.20466666666666666
