strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
HOT_HIGH30_DIAG,K200,5,BULL_2025,FLOW,49,-0.0035066447142235125,0.42857142857142855
HOT_HIGH30_DIAG,K200,5,BULL_2025,MOMENTUM,49,-0.0037755945029885442,0.32653061224489793
HOT_HIGH30_DIAG,K200,5,BULL_2025,REVISION,49,-0.0018650669137600941,0.3877551020408163
HOT_HIGH30_DIAG,K200,5,BULL_2025,VALUE,49,-0.0033860869952750078,0.46938775510204084
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,FLOW,192,-0.0006415477482113486,0.4739583333333333
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,MOMENTUM,192,-0.0005832600029954393,0.4947916666666667
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,REVISION,192,-0.0013883435270545454,0.4427083333333333
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,VALUE,192,-0.0005153519888885337,0.515625
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,FLOW,149,-0.001213595745107038,0.436241610738255
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,MOMENTUM,149,-0.0021421817022628143,0.46308724832214765
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,REVISION,149,-0.002004142986234677,0.3825503355704698
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,VALUE,149,-0.0013902993343294083,0.42953020134228187
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,FLOW,97,-0.0018054423936846883,0.41237113402061853
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,MOMENTUM,97,-0.002377268957992565,0.4639175257731959
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,REVISION,97,0.000557381968445415,0.4742268041237113
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,VALUE,97,-0.0036357610049254476,0.3711340206185567
HOT_HIGH30_DIAG,K200,5,YTD_2026,FLOW,28,0.0010721556658363314,0.5714285714285714
HOT_HIGH30_DIAG,K200,5,YTD_2026,MOMENTUM,28,-0.003209883644388277,0.4642857142857143
HOT_HIGH30_DIAG,K200,5,YTD_2026,REVISION,28,-0.003023020011234066,0.4642857142857143
HOT_HIGH30_DIAG,K200,5,YTD_2026,VALUE,28,-0.0012685516966093285,0.4642857142857143
HOT_HIGH30_DIAG,K200,10,BULL_2025,FLOW,25,-0.009866028910225462,0.32
HOT_HIGH30_DIAG,K200,10,BULL_2025,MOMENTUM,25,-0.009853417945764992,0.36
HOT_HIGH30_DIAG,K200,10,BULL_2025,REVISION,25,-0.006595048621149782,0.32
HOT_HIGH30_DIAG,K200,10,BULL_2025,VALUE,25,-0.007128950470773725,0.32
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,FLOW,96,-0.0011993045727267916,0.4375
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,MOMENTUM,96,-0.0003048006795670488,0.5208333333333334
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,REVISION,96,-0.0009113881763059585,0.4166666666666667
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,VALUE,96,0.000534189801596574,0.53125
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,FLOW,75,-0.0025957661841622148,0.41333333333333333
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,MOMENTUM,75,-0.004078197589983676,0.5066666666666667
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,REVISION,75,-0.005071471865294208,0.37333333333333335
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,VALUE,75,-0.003674784784872908,0.4533333333333333
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,FLOW,48,-0.0016183531566023722,0.4791666666666667
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,MOMENTUM,48,-0.0020888633331812624,0.4583333333333333
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,REVISION,48,0.0010430395785182903,0.5
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,VALUE,48,-0.0019519295164468424,0.3958333333333333
HOT_HIGH30_DIAG,K200,10,YTD_2026,FLOW,13,-0.002226001884203169,0.38461538461538464
HOT_HIGH30_DIAG,K200,10,YTD_2026,MOMENTUM,13,-0.005002553054814123,0.38461538461538464
HOT_HIGH30_DIAG,K200,10,YTD_2026,REVISION,13,-0.007672918306262211,0.46153846153846156
HOT_HIGH30_DIAG,K200,10,YTD_2026,VALUE,13,-0.0018671806185045535,0.38461538461538464
HOT_HIGH30_DIAG,K200,20,BULL_2025,FLOW,12,-0.011455269248427468,0.3333333333333333
HOT_HIGH30_DIAG,K200,20,BULL_2025,MOMENTUM,12,-0.012327923091673168,0.4166666666666667
HOT_HIGH30_DIAG,K200,20,BULL_2025,REVISION,12,-0.007834638341094782,0.3333333333333333
HOT_HIGH30_DIAG,K200,20,BULL_2025,VALUE,12,-0.015483603715534816,0.3333333333333333
HOT_HIGH30_DIAG,K200,20,EARLY_2016_2019,FLOW,48,-0.0021016912375614355,0.4583333333333333
HOT_HIGH30_DIAG,K200,20,EARLY_2016_2019,MOMENTUM,48,0.002451996041384905,0.5
HOT_HIGH30_DIAG,K200,20,EARLY_2016_2019,REVISION,48,-0.003854249255595909,0.375
HOT_HIGH30_DIAG,K200,20,EARLY_2016_2019,VALUE,48,-0.0023343908652129846,0.4375
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,FLOW,38,-0.0021096512154653965,0.47368421052631576
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,MOMENTUM,38,-0.005888782976521314,0.39473684210526316
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,REVISION,38,-0.01076326977784908,0.34210526315789475
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,VALUE,38,-0.006376686886926593,0.3684210526315789
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,FLOW,24,-0.005874670022661771,0.4166666666666667
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,MOMENTUM,24,-0.007563231563365525,0.4583333333333333
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,REVISION,24,0.007487065181113625,0.6666666666666666
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,VALUE,24,-0.0007836885277387806,0.5416666666666666
HOT_HIGH30_DIAG,K200,20,YTD_2026,FLOW,6,0.011561137184412899,0.5
HOT_HIGH30_DIAG,K200,20,YTD_2026,MOMENTUM,6,-0.00718390413875921,0.6666666666666666
HOT_HIGH30_DIAG,K200,20,YTD_2026,REVISION,6,0.007242234558197301,0.5
HOT_HIGH30_DIAG,K200,20,YTD_2026,VALUE,6,-0.012882141583879144,0.5
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,FLOW,49,-0.0008269325876124943,0.5306122448979592
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,MOMENTUM,49,-0.0013859372148960346,0.5306122448979592
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,REVISION,47,-0.004322881093101215,0.3617021276595745
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,VALUE,48,0.0013379155442698118,0.5625
HOT_HIGH30_DIAG,KOSDAQ,5,EARLY_2016_2019,FLOW,192,-0.0013855727296872504,0.4375
