strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
HOT_HIGH30_DIAG,K200,5,BULL_2025,49,-0.0031333482815617897,0.40127551020408164,-0.0031333482815617897,-0.004337174812174034,-0.005541001342786279
HOT_HIGH30_DIAG,K200,5,EARLY_2016_2019,192,-0.0007821258167874668,0.4322916666666667,-0.0007821258167874668,-0.0020790008167874668,-0.0033758758167874666
HOT_HIGH30_DIAG,K200,5,LATE_2020_2022,149,-0.0016875549419834847,0.3863255033557047,-0.0016875549419834847,-0.0028465314520505986,-0.004005507962117713
HOT_HIGH30_DIAG,K200,5,NORMAL_2023_2024,97,-0.001815272597039321,0.39626288659793824,-0.001815272597039321,-0.0030040612568331356,-0.004192849916626951
HOT_HIGH30_DIAG,K200,5,YTD_2026,28,-0.001607324921598835,0.3803571428571429,-0.001607324921598835,-0.002748396350170264,-0.0038894677787416924
HOT_HIGH30_DIAG,K200,10,BULL_2025,25,-0.00836086148697849,0.42949999999999994,-0.00836086148697849,-0.009649361486978491,-0.01093786148697849
HOT_HIGH30_DIAG,K200,10,EARLY_2016_2019,96,-0.0004703259067508062,0.4284505208333333,-0.0004703259067508062,-0.0017556774692508064,-0.003041029031750806
HOT_HIGH30_DIAG,K200,10,LATE_2020_2022,75,-0.0038550551060782512,0.39449999999999996,-0.0038550551060782512,-0.005038555106078251,-0.006222055106078251
HOT_HIGH30_DIAG,K200,10,NORMAL_2023_2024,48,-0.0011540266069280467,0.4143229166666667,-0.0011540266069280467,-0.002396995356928047,-0.0036399641069280466
HOT_HIGH30_DIAG,K200,10,YTD_2026,13,-0.004192163465946015,0.4086538461538462,-0.004192163465946015,-0.005418125004407552,-0.006644086542869091
HOT_HIGH30_DIAG,K200,20,BULL_2025,12,-0.011775358599182559,0.3286458333333333,-0.011775358599182559,-0.012761296099182556,-0.013747233599182555
HOT_HIGH30_DIAG,K200,20,EARLY_2016_2019,48,-0.0014595838292463554,0.3588541666666667,-0.0014595838292463554,-0.002536146329246356,-0.003612708829246356
HOT_HIGH30_DIAG,K200,20,LATE_2020_2022,38,-0.006284597714190596,0.33026315789473687,-0.006284597714190596,-0.007275387187874805,-0.008266176661559018
HOT_HIGH30_DIAG,K200,20,NORMAL_2023_2024,24,-0.0016836312331631126,0.32578124999999997,-0.0016836312331631126,-0.0026609749831631134,-0.0036383187331631137
HOT_HIGH30_DIAG,K200,20,YTD_2026,6,-0.000315668495007041,0.3343749999999999,-0.000315668495007041,-0.0013187934950070392,-0.0023219184950070367
HOT_HIGH30_DIAG,KOSDAQ,5,BULL_2025,49,-0.001305497858408831,0.3394132653061225,-0.001305497858408831,-0.002323737654327199,-0.003341977450245566
HOT_HIGH30_DIAG,KOSDAQ,5,EARLY_2016_2019,192,-0.0010830961649279283,0.3931857638888889,-0.0010830961649279283,-0.002262653456594595,-0.0034422107482612613
HOT_HIGH30_DIAG,KOSDAQ,5,LATE_2020_2022,149,-0.0020228240774405356,0.3620541706615532,-0.0020228240774405356,-0.0031089865894251955,-0.004195149101409855
HOT_HIGH30_DIAG,KOSDAQ,5,NORMAL_2023_2024,97,0.001409514762729901,0.34304123711340206,0.001409514762729901,0.0003803910513896943,-0.0006487326599505118
HOT_HIGH30_DIAG,KOSDAQ,5,YTD_2026,28,-0.005369562078017905,0.32834821428571426,-0.005369562078017905,-0.006354606720875048,-0.00733965136373219
HOT_HIGH30_DIAG,KOSDAQ,10,BULL_2025,25,0.002148471279709933,0.33149999999999996,0.002148471279709933,0.0011539712797099322,0.0001594712797099329
HOT_HIGH30_DIAG,KOSDAQ,10,EARLY_2016_2019,96,-0.0006921702334865753,0.39361979166666666,-0.0006921702334865753,-0.0018730296084865747,-0.003053888983486575
HOT_HIGH30_DIAG,KOSDAQ,10,LATE_2020_2022,75,0.00018539026313802337,0.34118333333333334,0.00018539026313802337,-0.0008381597368619774,-0.0018617097368619766
HOT_HIGH30_DIAG,KOSDAQ,10,NORMAL_2023_2024,48,0.0004903160151521618,0.34674479166666666,0.0004903160151521618,-0.0005499183598478386,-0.0015901527348478382
HOT_HIGH30_DIAG,KOSDAQ,10,YTD_2026,13,-0.00638088698921537,0.3057692307692308,-0.00638088698921537,-0.007298194681523059,-0.00821550237383075
HOT_HIGH30_DIAG,KOSDAQ,20,BULL_2025,12,0.005241222494408775,0.22604166666666667,0.005241222494408775,0.004563097494408775,0.0038849724944087735
HOT_HIGH30_DIAG,KOSDAQ,20,EARLY_2016_2019,48,0.00011904424283947987,0.28489583333333335,0.00011904424283947987,-0.0007356432571605202,-0.0015903307571605199
HOT_HIGH30_DIAG,KOSDAQ,20,LATE_2020_2022,38,0.003690075991025712,0.24273026315789475,0.003690075991025712,0.002961885201552028,0.0022336944120783437
HOT_HIGH30_DIAG,KOSDAQ,20,NORMAL_2023_2024,24,-0.0055157062590585485,0.26328124999999997,-0.0055157062590585485,-0.006305550009058548,-0.007095393759058547
HOT_HIGH30_DIAG,KOSDAQ,20,YTD_2026,6,0.0013481053529725562,0.21562499999999996,0.0013481053529725562,0.0007012303529725563,5.435535297255526e-05
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-0.0019414686620174743,0.3275510204081633,-0.0019414686620174743,-0.0029241217232419637,-0.003906774784466454
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.00032486300903579327,0.37734375000000003,-0.00032486300903579327,-0.0014568942590357933,-0.0025889255090357933
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.0020551213026752057,0.3316275167785235,-0.0020551213026752057,-0.0030500038530107765,-0.004044886403346346
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0014434963926221458,0.3339561855670103,0.0014434963926221458,0.00044162783592111487,-0.0005602407207799163
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.005209721074193783,0.32075892857142857,-0.005209721074193783,-0.0061719978599080695,-0.0071342746456223545
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0017892366010167323,0.31525,0.0017892366010167323,0.0008434866010167324,-0.00010226339898326775
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.000686858668843324,0.362109375,-0.000686858668843324,-0.001773186793843324,-0.0028595149188433244
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.0022459686077077666,0.31383333333333335,-0.0022459686077077666,-0.0031874686077077666,-0.004128968607707767
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0006307782228196242,0.32395833333333335,0.0006307782228196242,-0.00034109677718037614,-0.001312971777180376
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,-0.007460680210122245,0.30432692307692305,-0.007460680210122245,-0.00837366097935301,-0.009286641748583778
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,-6.272337495033242e-05,0.2203125,-6.272337495033242e-05,-0.0007236608749503331,-0.0013845983749503328
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,-0.0002075118222610624,0.2604166666666667,-0.0002075118222610624,-0.0009887618222610627,-0.0017700118222610632
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,0.0031884440127032164,0.21480263157894736,0.0031884440127032164,0.002544036117966374,0.0018996282232295319
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,24,-0.00572914331539059,0.21848958333333332,-0.00572914331539059,-0.006384612065390589,-0.00704008081539059
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,6,-0.008707874912331848,0.19895833333333335,-0.008707874912331848,-0.009304749912331847,-0.009901624912331848
HOT_HIGH30_DIAG,KOSPI_ALL,5,BULL_2025,49,-0.0036538088044664476,0.364030612244898,-0.0036538088044664476,-0.004745900641201141,-0.005837992477935835
HOT_HIGH30_DIAG,KOSPI_ALL,5,EARLY_2016_2019,192,-0.0007894952142809878,0.40546875,-0.0007894952142809878,-0.002005901464280988,-0.003222307714280988
HOT_HIGH30_DIAG,KOSPI_ALL,5,LATE_2020_2022,149,-0.0016962518701434844,0.34609899328859056,-0.0016962518701434844,-0.002734548850009256,-0.0037728458298750276
HOT_HIGH30_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,97,-0.0008404226852732599,0.36262886597938143,-0.0008404226852732599,-0.0019283092832114049,-0.0030161958811495485
HOT_HIGH30_DIAG,KOSPI_ALL,5,YTD_2026,28,0.002312993410832236,0.34375,0.002312993410832236,0.001281743410832236,0.00025049341083223565
HOT_HIGH30_DIAG,KOSPI_ALL,10,BULL_2025,25,-0.004495036950972815,0.363,-0.004495036950972815,-0.005584036950972816,-0.006673036950972816
HOT_HIGH30_DIAG,KOSPI_ALL,10,EARLY_2016_2019,96,-0.0017584553275862465,0.3875,-0.0017584553275862465,-0.0029209553275862457,-0.004083455327586246
HOT_HIGH30_DIAG,KOSPI_ALL,10,LATE_2020_2022,75,-0.004304386406947845,0.3428333333333333,-0.004304386406947845,-0.0053328864069478454,-0.006361386406947846
HOT_HIGH30_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,48,-0.002477138273860292,0.36093749999999997,-0.002477138273860292,-0.0035599507738602923,-0.004642763273860291
