universe,strategy,period,cost_bp,n_phases,median_delta_cagr,mean_delta_cagr,min_delta_cagr,cagr_better_phases,median_delta_sharpe,sharpe_better_phases,median_mdd_improvement,mdd_better_phases,median_delta_annual_turnover,median_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_annual_turnover
KOSDAQ,ACT1_LOW05,BULL_2025,0,10,0.003037517678591506,0.0072511265062329185,-0.0036878263998731953,8,0.007770552639892125,8,0.0,4,0.01865243749363632,0.7300264768086453,0.6720466921853914,-0.15509012135098876,-0.1663476443247348,2.496331765214117,2.3947403030914773,10.202928692835291
KOSDAQ,ACT5_LOW30,BULL_2025,0,10,0.031163560151509118,0.03237500753177462,0.005566772924064711,10,0.10559005966754786,10,0.0029206835130549114,8,1.4802359786291435,0.7599542313953724,0.7005379286474451,-0.14925653240609243,-0.15936985736962583,2.580511763868593,2.4901284638314105,11.6431264856483
KOSDAQ,AMIHUD20_TOP05,BULL_2025,0,10,0.0029396151292818695,0.003944235136902163,-0.0010108864916638094,9,0.007987261325072437,10,0.0,2,-0.003676185797980125,0.7340702499204408,0.672840940752661,-0.1546507585853727,-0.1663476443247348,2.508743987742098,2.3920103085888544,10.169171762786572
KOSDAQ,TURNOVER20_LOW30,BULL_2025,0,10,0.03329285662272041,0.03187712516241552,0.007335266237533888,10,-0.0693182723056951,2,-0.009509005440097806,0,0.2697426777683969,0.7685816739826117,0.7258372864670899,-0.16508769758165404,-0.1760537964673491,2.454075610193434,2.3789133533327718,10.436168423762666
KOSDAQ,TURNOVER20_TOP01_LOW30,BULL_2025,0,10,0.032525791785895874,0.03358603889757692,-0.019313492071545202,8,-0.044844659285805166,2,-0.010275342510647878,0,0.22421022876337027,0.7778592556430874,0.7078848875333408,-0.16660167300908268,-0.17492262581883122,2.4912385618000936,2.377280737905013,10.404684992043254
KOSDAQ,ACT1_LOW05,BULL_2025,30,10,0.0028195842215512634,0.0069375710876962374,-0.003605501921792875,8,0.0074143637166623755,8,0.0,3,0.01865243749363632,0.6766811090844621,0.6216128256117601,-0.15816626742452872,-0.16946425601296422,2.3650319438378213,2.257003946173994,10.202928692835291
KOSDAQ,ACT5_LOW30,BULL_2025,30,10,0.02304421975188753,0.024049798135998213,-0.0033890088039247868,9,0.08509267064008519,10,0.002359521430749578,7,1.4802359786291435,0.6980846442588284,0.6412665711324279,-0.15332449511066615,-0.16283502806217764,2.427681238256879,2.328086005796358,11.6431264856483
KOSDAQ,AMIHUD20_TOP05,BULL_2025,30,10,0.002852241839573333,0.0038436043599828994,-0.0009152816767656891,9,0.00795541882565276,10,0.0,2,-0.003676185797980125,0.6806837984105384,0.6225332390948508,-0.1577359228018147,-0.16946425601296422,2.372994085991497,2.2547054586866606,10.169171762786572
KOSDAQ,TURNOVER20_LOW30,BULL_2025,30,10,0.03055068932657168,0.029424991392679133,0.006122682988010553,10,-0.06598590974470664,2,-0.009573456315919271,0,0.2697426777683969,0.7131760314580587,0.6726015368436384,-0.16815973932107298,-0.18048134728585596,2.3227115053891687,2.2507292605577547,10.436168423762666
KOSDAQ,TURNOVER20_TOP01_LOW30,BULL_2025,30,10,0.030040707510333498,0.031214422724112012,-0.019820479134581515,8,-0.040943099670393446,2,-0.010267022565692008,0,0.22421022876337027,0.7223893779102505,0.6555200520402413,-0.1699722139499077,-0.17934401433447167,2.3586181804976576,2.2494694831752984,10.404684992043254
KOSDAQ,ACT1_LOW05,BULL_2025,60,10,0.002611694615925475,0.00663590567992931,-0.003524643985689746,7,0.007049487316776348,8,0.0,3,0.01865243749363632,0.6253614007215588,0.5726405312043292,-0.16123495030285184,-0.1725731147346884,2.2321483028274796,2.1182703360676585,10.202928692835291
KOSDAQ,ACT5_LOW30,BULL_2025,60,10,0.015412766197556382,0.01621096325578535,-0.011777203662818092,8,0.06429207508045365,9,0.0018020107125159557,7,1.4802359786291435,0.6383084386822262,0.5839804081858759,-0.15737798188818014,-0.16753725956044396,2.2742321936721828,2.164514344172681,11.6431264856483
KOSDAQ,AMIHUD20_TOP05,BULL_2025,60,10,0.0027673587071355144,0.003745336402609123,-0.0008245461830669321,9,0.00791940736616148,10,0.0,2,-0.003676185797980125,0.6288790025677622,0.5736791365532095,-0.16103955647612989,-0.1725731147346884,2.2399870120382324,2.1164000242166425,10.169171762786572
KOSDAQ,TURNOVER20_LOW30,BULL_2025,60,10,0.027941261749097834,0.027089033729882715,0.004973495241672676,10,-0.062488199517612975,2,-0.009637480563564726,0,0.2697426777683969,0.6594383406496238,0.6209436113056093,-0.17122424780645162,-0.18489104452768057,2.192933469375128,2.113958787301493,10.436168423762666
KOSDAQ,TURNOVER20_TOP01_LOW30,BULL_2025,60,10,0.02767192046835376,0.028952556122343664,-0.020281689322160235,8,-0.036917795031024436,2,-0.010258631020866882,0,0.22421022876337027,0.6685825387409369,0.6046978572597921,-0.17360128225985438,-0.18374762398187428,2.2248806715362246,2.1198290656595544,10.404684992043254
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,0,10,0.013426680369010513,0.013210619159043046,0.00880605381939481,10,0.06256773700146782,10,0.005388240641383157,10,0.051007202546990094,0.04167413983155377,0.01575789280799289,-0.3148134538865375,-0.3236302237009553,0.29967549151669287,0.18009937487400782,8.878989330121023
KOSDAQ,ACT5_LOW30,EARLY_2016_2019,0,10,0.020472939199697948,0.017360025927969546,-0.0015654338617192565,9,0.0943468645743891,9,-0.006429452024372284,2,1.9949998930718795,0.049264001499411125,0.01765229027217341,-0.32791352221035713,-0.34473731922048845,0.3342048647666767,0.1885768714144641,10.834008303363024
KOSDAQ,AMIHUD20_TOP05,EARLY_2016_2019,0,10,0.01058972437397021,0.011057120061863036,0.009393942506473518,10,0.04886947829276243,10,0.0030442535483542477,10,0.011695297883706601,0.03865577764360839,0.017311378894230067,-0.31852263019747623,-0.3307219576862436,0.285966684536946,0.18732394519215548,8.836024163931473
KOSDAQ,TURNOVER20_LOW30,EARLY_2016_2019,0,10,0.01759184826979443,0.016238636154625376,0.004714956383194524,10,0.06698760290488637,10,-0.009512666473558362,0,0.08417635714077143,0.043833300760477756,0.017067314842462267,-0.3304441625145407,-0.348357782707408,0.3032850795865147,0.18802925489264635,8.912015609900703
KOSDAQ,TURNOVER20_TOP01_LOW30,EARLY_2016_2019,0,10,0.01602202631509042,0.018849648119924556,0.00665476755040828,10,0.06320745640416912,10,0.00032765117148797485,6,0.09495950103321249,0.04778380365880919,0.016074239505372123,-0.3210917067263983,-0.3511017554993803,0.3202017001969424,0.18390764825884764,8.93295425157386
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,30,10,0.012895823743238,0.012709907606862936,0.008373697207275321,10,0.06217182406959365,10,0.007961566864478742,10,0.051007202546990094,0.014275606891932413,-0.010925705268715724,-0.3263732421659935,-0.3463425788390522,0.17294821774408486,0.05442725729093236,8.878989330121023
KOSDAQ,ACT5_LOW30,EARLY_2016_2019,30,10,0.013756880619766765,0.010788361947763869,-0.008145740531986245,8,0.06445241780243136,8,-0.013739366944879483,1,1.9949998930718795,0.015815007062280673,-0.015067340737852097,-0.3531349628526961,-0.3616872049386617,0.17999582715896012,0.032192510116779656,10.834008303363024
KOSDAQ,AMIHUD20_TOP05,EARLY_2016_2019,30,10,0.010252408537147706,0.010732790646072288,0.00911300947767768,10,0.04878569593194264,10,0.004596154886044923,10,0.011695297883706601,0.011475238385672992,-0.009288019103778966,-0.329966037973589,-0.35339214295367183,0.1597155075099238,0.062328840914719574,8.836024163931473
KOSDAQ,TURNOVER20_LOW30,EARLY_2016_2019,30,10,0.016761049579945952,0.015586165345280002,0.004249168743398091,10,0.07501294894761987,10,-0.008427775058408415,1,0.08417635714077143,0.01625501687378983,-0.009818413300316742,-0.34300444767073535,-0.3709970691729604,0.1845280381954586,0.06884779869164276,8.912015609900703
KOSDAQ,TURNOVER20_TOP01_LOW30,EARLY_2016_2019,30,10,0.015296654189435932,0.018071185333751794,0.006186339438022603,10,0.0701812593980635,10,-0.00025060845746904814,5,0.09495950103321249,0.020068269069045352,-0.010799428850479464,-0.33576232354541924,-0.37365963743155095,0.20117040203694797,0.06520636877767555,8.93295425157386
KOSDAQ,ACT1_LOW05,EARLY_2016_2019,60,10,0.012382838444576605,0.012225699612128892,0.007957315105122209,10,0.061595912454850146,10,0.00939502417368765,10,0.051007202546990094,-0.012431458474677304,-0.03693677722132915,-0.34544523765530993,-0.36857695042777283,0.04634181855456913,-0.07120898441052406,8.878989330121023
KOSDAQ,ACT5_LOW30,EARLY_2016_2019,60,10,0.007398976729643403,0.004570268864871529,-0.014353825630617378,8,0.03447708941326764,8,-0.011741042937628399,0,1.9949998930718795,-0.016609989613489196,-0.046776745025487676,-0.37505768563335246,-0.3907326293507968,0.026064710345872124,-0.12354063334036834,10.834008303363024
KOSDAQ,AMIHUD20_TOP05,EARLY_2016_2019,60,10,0.00992507518607616,0.01041748529692622,0.008840019095940344,10,0.04867579493897816,10,0.006257199526469637,10,0.011695297883706601,-0.015022847608359313,-0.03522018216711731,-0.3496506215693676,-0.37531787845486975,0.033591353643879204,-0.06263380622856285,8.836024163931473
KOSDAQ,TURNOVER20_LOW30,EARLY_2016_2019,60,10,0.015960482346569438,0.01495583007854021,0.0037848069658943384,10,0.08298214941232056,10,-0.007946283071169402,1,0.08417635714077143,-0.010624178687417718,-0.03602213768681195,-0.3614392205612788,-0.39287389053887156,0.0658447360920871,-0.050055544484017056,8.912015609900703
KOSDAQ,TURNOVER20_TOP01_LOW30,EARLY_2016_2019,60,10,0.014597188680039175,0.017319506526989225,0.005737125180273139,10,0.07808026518847122,10,-0.0022892027045119945,2,0.09495950103321249,-0.006943860730624474,-0.03699122828389367,-0.35756373201677283,-0.39545731907461124,0.08220499238762508,-0.05332364364307692,8.93295425157386
