universe,strategy,manifest,rows,dates
KOSPI_EX_K200,CF20,targets_KOSPI_EX_K200_CF20.manifest.json,207884,2580
KOSPI_EX_K200,ACT5_LOW10,targets_KOSPI_EX_K200_ACT5_LOW10.manifest.json,203562,2580
KOSPI_EX_K200,ADV20_LOW10,targets_KOSPI_EX_K200_ADV20_LOW10.manifest.json,206880,2580
KOSPI_EX_K200,TURNOVER20_TOP01,targets_KOSPI_EX_K200_TURNOVER20_TOP01.manifest.json,206906,2580
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,targets_KOSPI_EX_K200_TURNOVER20_TOP01_LOW10.manifest.json,201989,2580
KOSPI_EX_K200,AMIHUD20_TOP05,targets_KOSPI_EX_K200_AMIHUD20_TOP05.manifest.json,207310,2580
KOSDAQ,CF20,targets_KOSDAQ_CF20.manifest.json,234493,2580
KOSDAQ,ACT5_LOW30,targets_KOSDAQ_ACT5_LOW30.manifest.json,221533,2580
KOSDAQ,TURNOVER20_LOW30,targets_KOSDAQ_TURNOVER20_LOW30.manifest.json,220752,2580
KOSDAQ,TURNOVER20_TOP01_LOW30,targets_KOSDAQ_TURNOVER20_TOP01_LOW30.manifest.json,220151,2580
KOSDAQ,ACT1_LOW05,targets_KOSDAQ_ACT1_LOW05.manifest.json,233665,2580
KOSDAQ,AMIHUD20_TOP05,targets_KOSDAQ_AMIHUD20_TOP05.manifest.json,234201,2580
