universe,strategy,factor,family,phase,period,zero_fill_cagr,zero_fill_sharpe,legacy_cagr,legacy_sharpe,mean_legacy_minus_zero,mean_complete_names,n_periods
K200,CF20,FOREIGN_FLOW,FLOW,0,FULL_2016_2026,0.10361017925546778,0.5564531729303861,0.10361017925546756,0.5564531729303851,-9.633492121779504e-18,20.0,259
K200,CF20,FOREIGN_FLOW,FLOW,0,PRE_STRESS_2016_2024,0.04438453099465001,0.3299314754933881,0.044384530994649785,0.3299314754933864,-1.1099581064472641e-17,20.0,221
K200,CF20,FOREIGN_FLOW,FLOW,0,EARLY_2016_2019,0.011793730510118117,0.1542597352018312,0.011793730510117895,0.1542597352018295,-1.015167258645611e-17,20.0,98
K200,CF20,FOREIGN_FLOW,FLOW,0,LATE_2020_2022,0.08131380442195546,0.45472085168551263,0.08131380442195502,0.454720851685511,-1.5533003124475662e-17,20.0,75
K200,CF20,FOREIGN_FLOW,FLOW,0,NORMAL_2023_2024,0.055336178344106424,0.44852255808046315,0.05533617834410576,0.4485225580804619,-6.1076722383350086e-18,20.0,48
K200,CF20,FOREIGN_FLOW,FLOW,0,BULL_2025,1.0746970462000913,2.6395727754840657,1.0746970462000918,2.639572775484066,6.071532165918824e-19,20.0,25
K200,CF20,FOREIGN_FLOW,FLOW,0,YTD_2026,-0.162731275384014,-0.15697190786563936,-0.16273127538401377,-0.1569719078656397,-4.403528823633433e-18,20.0,13
K200,CF20,FOREIGN_FLOW,FLOW,1,FULL_2016_2026,0.09558942261154346,0.4990956419907094,0.09558942261154324,0.4990956419907082,-1.0081578274072618e-17,20.0,259
K200,CF20,FOREIGN_FLOW,FLOW,1,PRE_STRESS_2016_2024,0.03779154119688455,0.2895302875941695,0.037791541196884104,0.28953028759416805,-1.2688311129806461e-17,20.0,221
K200,CF20,FOREIGN_FLOW,FLOW,1,EARLY_2016_2019,-0.011419742229210272,0.00430261572288809,-0.011419742229210605,0.004302615722885691,-1.4775683787072377e-17,20.0,98
K200,CF20,FOREIGN_FLOW,FLOW,1,LATE_2020_2022,0.06325932959438552,0.3701879752124339,0.06325932959438507,0.3701879752124329,-1.2277857034362874e-17,20.0,74
K200,CF20,FOREIGN_FLOW,FLOW,1,NORMAL_2023_2024,0.10256819419667162,0.6949430845194006,0.10256819419667074,0.6949430845193992,-9.13343526553637e-18,20.0,49
K200,CF20,FOREIGN_FLOW,FLOW,1,BULL_2025,1.051034195549637,2.469086419919393,1.0510341955496383,2.469086419919392,-3.521488656232918e-18,20.0,25
K200,CF20,FOREIGN_FLOW,FLOW,1,YTD_2026,-0.17569726106522887,-0.07464434145479176,-0.17569726106522843,-0.07464434145479058,2.1617323316018673e-17,20.0,13
K200,CF20,FOREIGN_FLOW,FLOW,2,FULL_2016_2026,0.09782886357098342,0.4916141097652453,0.09782886357098297,0.491614109765244,-1.2451371243048296e-17,20.0,259
K200,CF20,FOREIGN_FLOW,FLOW,2,PRE_STRESS_2016_2024,0.0440717551569243,0.3079081297622867,0.04407175515692385,0.30790812976228504,-1.4052192274926944e-17,20.0,221
K200,CF20,FOREIGN_FLOW,FLOW,2,EARLY_2016_2019,-0.014621515314340972,-0.01482812271650575,-0.014621515314341194,-0.01482812271650741,-1.0588672441692616e-17,20.0,98
K200,CF20,FOREIGN_FLOW,FLOW,2,LATE_2020_2022,0.06681091235212322,0.37188992981029095,0.066810912352123,0.3718899298102897,-1.6000040303551285e-17,20.0,74
K200,CF20,FOREIGN_FLOW,FLOW,2,NORMAL_2023_2024,0.13462867866272799,0.7445689310097235,0.1346286786627271,0.744568931009721,-1.8037583898167005e-17,20.0,49
K200,CF20,FOREIGN_FLOW,FLOW,2,BULL_2025,0.8758443239385811,1.9984921604437869,0.8758443239385794,1.9984921604437857,-1.0177947894207673e-17,20.0,24
