strategy,universe,horizon,sample,family,n_dates,gross_delta
BAND_50_95,K200,5,BULL_2025,FLOW,49,-0.0035454671760416024
BAND_50_95,K200,5,BULL_2025,MOMENTUM,49,-0.001825442386063251
BAND_50_95,K200,5,BULL_2025,REVISION,49,-0.0019264567547315362
BAND_50_95,K200,5,BULL_2025,VALUE,49,-0.00022674792948554484
BAND_50_95,K200,5,EARLY_2016_2019,FLOW,192,0.00022167643040830781
BAND_50_95,K200,5,EARLY_2016_2019,MOMENTUM,192,-0.0004007261315721753
BAND_50_95,K200,5,EARLY_2016_2019,REVISION,192,-0.0012000643413756335
BAND_50_95,K200,5,EARLY_2016_2019,VALUE,192,-0.00013460961559524811
BAND_50_95,K200,5,LATE_2020_2022,FLOW,149,-0.0009752014256074105
BAND_50_95,K200,5,LATE_2020_2022,MOMENTUM,149,-0.00220558789421734
BAND_50_95,K200,5,LATE_2020_2022,REVISION,149,-0.0014242657860303741
BAND_50_95,K200,5,LATE_2020_2022,VALUE,149,-0.00015174300755958835
BAND_50_95,K200,5,NORMAL_2023_2024,FLOW,97,-0.00034355179442782527
BAND_50_95,K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0007752685251604466
BAND_50_95,K200,5,NORMAL_2023_2024,REVISION,97,0.0015278644819714778
BAND_50_95,K200,5,NORMAL_2023_2024,VALUE,97,-0.0008781066377095535
BAND_50_95,K200,5,YTD_2026,FLOW,28,0.002752096419422015
BAND_50_95,K200,5,YTD_2026,MOMENTUM,28,0.0011713566899184266
BAND_50_95,K200,5,YTD_2026,REVISION,28,0.00196605100150509
BAND_50_95,K200,5,YTD_2026,VALUE,28,0.0015837385680022703
BAND_50_95,K200,10,BULL_2025,FLOW,25,-0.0035809745083724724
BAND_50_95,K200,10,BULL_2025,MOMENTUM,25,0.0002140755895040808
BAND_50_95,K200,10,BULL_2025,REVISION,25,-0.0014995908965049548
BAND_50_95,K200,10,BULL_2025,VALUE,25,-0.0021054830606126096
BAND_50_95,K200,10,EARLY_2016_2019,FLOW,96,-0.0006285932630432072
BAND_50_95,K200,10,EARLY_2016_2019,MOMENTUM,96,-0.0003753824450711568
BAND_50_95,K200,10,EARLY_2016_2019,REVISION,96,-0.0017852758054409138
BAND_50_95,K200,10,EARLY_2016_2019,VALUE,96,0.000621498829136082
BAND_50_95,K200,10,LATE_2020_2022,FLOW,75,-0.0007832588592842849
BAND_50_95,K200,10,LATE_2020_2022,MOMENTUM,75,-0.0018937756636349667
BAND_50_95,K200,10,LATE_2020_2022,REVISION,75,-0.002866725562991938
BAND_50_95,K200,10,LATE_2020_2022,VALUE,75,-0.001189632270198043
BAND_50_95,K200,10,NORMAL_2023_2024,FLOW,48,0.0010441245435036759
BAND_50_95,K200,10,NORMAL_2023_2024,MOMENTUM,48,0.0014049248704714682
BAND_50_95,K200,10,NORMAL_2023_2024,REVISION,48,0.004138026992564304
BAND_50_95,K200,10,NORMAL_2023_2024,VALUE,48,-0.0013350932805750043
BAND_50_95,K200,10,YTD_2026,FLOW,13,0.007233638321818626
BAND_50_95,K200,10,YTD_2026,MOMENTUM,13,0.006861587874915583
BAND_50_95,K200,10,YTD_2026,REVISION,13,0.0063004418287374575
BAND_50_95,K200,10,YTD_2026,VALUE,13,0.003210106353063404
BAND_50_95,K200,20,BULL_2025,FLOW,12,-0.004838735860933312
BAND_50_95,K200,20,BULL_2025,MOMENTUM,12,0.004381708354768246
BAND_50_95,K200,20,BULL_2025,REVISION,12,-0.005961176499426451
BAND_50_95,K200,20,BULL_2025,VALUE,12,-0.007491626897809037
BAND_50_95,K200,20,EARLY_2016_2019,FLOW,48,-0.000380257167838389
BAND_50_95,K200,20,EARLY_2016_2019,MOMENTUM,48,-0.00022101517661197133
BAND_50_95,K200,20,EARLY_2016_2019,REVISION,48,-0.008584300742848586
BAND_50_95,K200,20,EARLY_2016_2019,VALUE,48,-0.0032789553494912867
BAND_50_95,K200,20,LATE_2020_2022,FLOW,38,-0.0054737886425272175
BAND_50_95,K200,20,LATE_2020_2022,MOMENTUM,38,-0.006414921197467674
BAND_50_95,K200,20,LATE_2020_2022,REVISION,38,-0.010214716909268602
BAND_50_95,K200,20,LATE_2020_2022,VALUE,38,-0.0028678491175034766
BAND_50_95,K200,20,NORMAL_2023_2024,FLOW,24,-0.00556098132999662
BAND_50_95,K200,20,NORMAL_2023_2024,MOMENTUM,24,-0.0016386288863709925
BAND_50_95,K200,20,NORMAL_2023_2024,REVISION,24,0.004550969163104321
BAND_50_95,K200,20,NORMAL_2023_2024,VALUE,24,0.0032175257007105475
BAND_50_95,K200,20,YTD_2026,FLOW,6,0.010707266387193886
BAND_50_95,K200,20,YTD_2026,MOMENTUM,6,-0.0005649135206238406
BAND_50_95,K200,20,YTD_2026,REVISION,6,0.010469453730683162
BAND_50_95,K200,20,YTD_2026,VALUE,6,0.007209513489118723
BAND_50_95,KOSDAQ,5,BULL_2025,FLOW,49,-7.756237704708827e-05
BAND_50_95,KOSDAQ,5,BULL_2025,MOMENTUM,49,0.0016624603838312582
BAND_50_95,KOSDAQ,5,BULL_2025,REVISION,49,-3.284814962958339e-05
BAND_50_95,KOSDAQ,5,BULL_2025,VALUE,49,0.00244947178145388
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,FLOW,192,-0.0006527857899453317
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,MOMENTUM,192,0.00015793740720471808
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,REVISION,192,-0.0005313023456758793
BAND_50_95,KOSDAQ,5,EARLY_2016_2019,VALUE,192,0.0004101908471047756
BAND_50_95,KOSDAQ,5,LATE_2020_2022,FLOW,149,-0.0005452309611510237
BAND_50_95,KOSDAQ,5,LATE_2020_2022,MOMENTUM,149,-0.00019106562711409923
BAND_50_95,KOSDAQ,5,LATE_2020_2022,REVISION,149,-0.0002224743235592399
BAND_50_95,KOSDAQ,5,LATE_2020_2022,VALUE,149,-0.0005807198902881675
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,FLOW,97,5.3151291989873266e-05
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,MOMENTUM,97,0.002305799371741924
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,REVISION,97,0.0008760633457032335
BAND_50_95,KOSDAQ,5,NORMAL_2023_2024,VALUE,97,0.002440379855367101
BAND_50_95,KOSDAQ,5,YTD_2026,FLOW,28,0.004467895051164683
BAND_50_95,KOSDAQ,5,YTD_2026,MOMENTUM,28,0.002600750872290091
BAND_50_95,KOSDAQ,5,YTD_2026,REVISION,28,-0.0015783854271616503
BAND_50_95,KOSDAQ,5,YTD_2026,VALUE,28,0.00038661818881457176
BAND_50_95,KOSDAQ,10,BULL_2025,FLOW,25,0.0019118803071398315
BAND_50_95,KOSDAQ,10,BULL_2025,MOMENTUM,25,0.002408602478246914
BAND_50_95,KOSDAQ,10,BULL_2025,REVISION,25,0.003472348589390964
BAND_50_95,KOSDAQ,10,BULL_2025,VALUE,25,0.006284131773553811
BAND_50_95,KOSDAQ,10,EARLY_2016_2019,FLOW,96,-0.00035345666064301836
BAND_50_95,KOSDAQ,10,EARLY_2016_2019,MOMENTUM,96,-0.0005522457006105242
BAND_50_95,KOSDAQ,10,EARLY_2016_2019,REVISION,96,-0.00045545833424571845
BAND_50_95,KOSDAQ,10,EARLY_2016_2019,VALUE,96,0.001435839832683598
BAND_50_95,KOSDAQ,10,LATE_2020_2022,FLOW,75,0.00015924910327830703
BAND_50_95,KOSDAQ,10,LATE_2020_2022,MOMENTUM,75,0.004389121088022513
BAND_50_95,KOSDAQ,10,LATE_2020_2022,REVISION,75,0.00013182983415485326
BAND_50_95,KOSDAQ,10,LATE_2020_2022,VALUE,75,-0.00018929255051297971
BAND_50_95,KOSDAQ,10,NORMAL_2023_2024,FLOW,48,0.0018486031216359874
BAND_50_95,KOSDAQ,10,NORMAL_2023_2024,MOMENTUM,48,-0.001222598136408462
BAND_50_95,KOSDAQ,10,NORMAL_2023_2024,REVISION,48,0.00040963489261934175
BAND_50_95,KOSDAQ,10,NORMAL_2023_2024,VALUE,48,0.005839234960637994
BAND_50_95,KOSDAQ,10,YTD_2026,FLOW,13,0.008170227858186262
BAND_50_95,KOSDAQ,10,YTD_2026,MOMENTUM,13,0.012761404741892314
BAND_50_95,KOSDAQ,10,YTD_2026,REVISION,13,0.0039961701616375404
BAND_50_95,KOSDAQ,10,YTD_2026,VALUE,13,0.004462855801567538
BAND_50_95,KOSDAQ,20,BULL_2025,FLOW,12,0.00789077862298769
BAND_50_95,KOSDAQ,20,BULL_2025,MOMENTUM,12,-0.005966021467134601
BAND_50_95,KOSDAQ,20,BULL_2025,REVISION,12,-0.004573584799556295
BAND_50_95,KOSDAQ,20,BULL_2025,VALUE,12,0.006145955823442247
BAND_50_95,KOSDAQ,20,EARLY_2016_2019,FLOW,48,-0.0011134812891280827
BAND_50_95,KOSDAQ,20,EARLY_2016_2019,MOMENTUM,48,0.000123455577690009
BAND_50_95,KOSDAQ,20,EARLY_2016_2019,REVISION,48,-0.003028520532467176
BAND_50_95,KOSDAQ,20,EARLY_2016_2019,VALUE,48,-0.000572712048985357
BAND_50_95,KOSDAQ,20,LATE_2020_2022,FLOW,38,0.005638885336542909
BAND_50_95,KOSDAQ,20,LATE_2020_2022,MOMENTUM,38,0.007939605436581473
BAND_50_95,KOSDAQ,20,LATE_2020_2022,REVISION,38,-0.0006118586554276714
BAND_50_95,KOSDAQ,20,LATE_2020_2022,VALUE,38,-0.0008567325513963589
BAND_50_95,KOSDAQ,20,NORMAL_2023_2024,FLOW,24,-0.0008847793923723897
BAND_50_95,KOSDAQ,20,NORMAL_2023_2024,MOMENTUM,24,-0.003928441610718247
BAND_50_95,KOSDAQ,20,NORMAL_2023_2024,REVISION,24,0.0014822702564608028
BAND_50_95,KOSDAQ,20,NORMAL_2023_2024,VALUE,24,0.011729345332776975
BAND_50_95,KOSDAQ,20,YTD_2026,FLOW,6,0.008378469554215342
BAND_50_95,KOSDAQ,20,YTD_2026,MOMENTUM,6,0.016831778712625735
BAND_50_95,KOSDAQ,20,YTD_2026,REVISION,6,0.004245845143719747
BAND_50_95,KOSDAQ,20,YTD_2026,VALUE,6,-0.0033618376957594543
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,FLOW,49,-0.0032970230571934935
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,-0.000954087712393476
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,REVISION,49,-0.00016212092095087876
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,VALUE,49,-0.0008278928644336588
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,192,5.155853762758045e-05
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,192,0.0005067856770534532
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,192,0.000680987790850674
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,192,-1.7665177246407192e-05
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,-0.0006363159604952239
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,-0.0008919583602992453
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,REVISION,149,-0.0016052587420529885
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,-0.0008236981685239914
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,0.0021235046427353927
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0024284300840459235
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,97,0.0008954070692829124
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,97,0.0008790247057188617
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,FLOW,28,-0.0010772036200523947
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,0.0014170528138011454
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,REVISION,28,0.003323432738495636
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,VALUE,28,0.0017549327977554423
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,FLOW,25,-0.005635585330226451
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,-0.00960407159737981
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,REVISION,25,0.0022313940098783614
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,VALUE,25,-0.00029950102394805613
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,96,0.00041020092987410084
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,96,-0.0012427887454537932
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,96,-0.0006266491771267424
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,96,-6.470352925387612e-05
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,0.0024456008870823226
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,0.00022030485693503923
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,-2.0462954749816514e-05
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,-0.00042039812150590006
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,0.0010426070981201473
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,0.005427572807755983
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,0.0032882457755581637
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,-0.0011229353415250457
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,FLOW,13,0.003427438013153353
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,0.0103858801744362
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.011096141996065036
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,VALUE,13,0.007444022182630374
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,FLOW,12,-0.004451447243711412
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,MOMENTUM,12,-0.020406235312782375
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,REVISION,12,-0.006413495864037055
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,VALUE,12,-0.003894020027878
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,FLOW,48,-0.0015186793081242926
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,MOMENTUM,48,0.003987028422816524
BAND_50_95,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,REVISION,48,-0.0009309755340241487
