universe,sample,zone,n_dates,fwd10
K200,BULL_2025,P00_20,25,0.027980482288172563
K200,BULL_2025,P20_50,25,0.019179604030934837
K200,BULL_2025,P50_70,25,0.025561993571503353
K200,BULL_2025,P70_90,25,0.02059766630675124
K200,BULL_2025,P90_95,25,0.02568879416239061
K200,BULL_2025,P95_99,25,0.010852079968904155
K200,BULL_2025,P99_100,25,-0.008209031203429753
K200,EARLY_2016_2019,P00_20,96,-0.0003924220500694505
K200,EARLY_2016_2019,P20_50,96,0.0002925515942446948
K200,EARLY_2016_2019,P50_70,96,-0.0011746622615260791
K200,EARLY_2016_2019,P70_90,96,0.0002992008003850563
K200,EARLY_2016_2019,P90_95,96,-0.002454136377709964
K200,EARLY_2016_2019,P95_99,96,-9.966633683172049e-05
K200,EARLY_2016_2019,P99_100,96,-0.004406847710476379
K200,LATE_2020_2022,P00_20,75,0.004474731478572528
K200,LATE_2020_2022,P20_50,75,0.0053035909821961364
K200,LATE_2020_2022,P50_70,75,0.006007348434334124
K200,LATE_2020_2022,P70_90,75,2.703733967187247e-05
K200,LATE_2020_2022,P90_95,75,0.002198650489087084
K200,LATE_2020_2022,P95_99,75,0.0008159870537776634
K200,LATE_2020_2022,P99_100,74,0.00833728713078214
K200,NORMAL_2023_2024,P00_20,48,-0.0034460820374191685
K200,NORMAL_2023_2024,P20_50,48,0.003278517015453583
K200,NORMAL_2023_2024,P50_70,48,0.0051456336911592645
K200,NORMAL_2023_2024,P70_90,48,0.0016277495302027527
K200,NORMAL_2023_2024,P90_95,48,0.00460989527333212
K200,NORMAL_2023_2024,P95_99,48,0.0009343763181623128
K200,NORMAL_2023_2024,P99_100,48,-0.009590518498338555
K200,YTD_2026,P00_20,13,-0.011759238859573631
K200,YTD_2026,P20_50,13,0.013313429640502698
K200,YTD_2026,P50_70,13,0.01492272184032736
K200,YTD_2026,P70_90,13,0.013317726479417409
K200,YTD_2026,P90_95,13,0.018180232838401204
K200,YTD_2026,P95_99,13,-0.004959093352414271
K200,YTD_2026,P99_100,13,-0.015316659082870788
KOSDAQ,BULL_2025,P00_20,25,0.007408473300453989
KOSDAQ,BULL_2025,P20_50,25,0.012843984428196752
KOSDAQ,BULL_2025,P50_70,25,0.022729064892648955
KOSDAQ,BULL_2025,P70_90,25,0.02282150379435054
KOSDAQ,BULL_2025,P90_95,25,0.02297081347839163
KOSDAQ,BULL_2025,P95_99,24,0.018183971676821672
KOSDAQ,BULL_2025,P99_100,12,-0.08179164046612812
KOSDAQ,EARLY_2016_2019,P00_20,96,-0.006987652035540683
KOSDAQ,EARLY_2016_2019,P20_50,96,0.0002940799062025199
KOSDAQ,EARLY_2016_2019,P50_70,96,-0.0018733312755731925
KOSDAQ,EARLY_2016_2019,P70_90,96,0.002131190257458378
KOSDAQ,EARLY_2016_2019,P90_95,96,-0.002653576564547669
KOSDAQ,EARLY_2016_2019,P95_99,91,0.0014962988188485314
KOSDAQ,EARLY_2016_2019,P99_100,29,-0.014288292617929283
KOSDAQ,LATE_2020_2022,P00_20,75,-0.0026167325709984847
KOSDAQ,LATE_2020_2022,P20_50,75,0.0026011753470403264
KOSDAQ,LATE_2020_2022,P50_70,75,0.0048074178671035925
KOSDAQ,LATE_2020_2022,P70_90,75,0.001339335998541705
KOSDAQ,LATE_2020_2022,P90_95,75,0.01360769551090161
KOSDAQ,LATE_2020_2022,P95_99,74,-0.0037398415315123158
KOSDAQ,LATE_2020_2022,P99_100,42,0.019260687839238375
KOSDAQ,NORMAL_2023_2024,P00_20,48,-0.005041226347722174
KOSDAQ,NORMAL_2023_2024,P20_50,48,0.004561203841117893
KOSDAQ,NORMAL_2023_2024,P50_70,48,8.641438635664872e-05
KOSDAQ,NORMAL_2023_2024,P70_90,48,0.0038418785931990137
KOSDAQ,NORMAL_2023_2024,P90_95,48,0.006113383286475566
KOSDAQ,NORMAL_2023_2024,P95_99,48,-0.0012720991248758352
KOSDAQ,NORMAL_2023_2024,P99_100,30,-0.02338021188135298
KOSDAQ,YTD_2026,P00_20,13,-0.03907840400990713
KOSDAQ,YTD_2026,P20_50,13,-0.008203196427647143
KOSDAQ,YTD_2026,P50_70,13,0.006125100284816909
KOSDAQ,YTD_2026,P70_90,13,-0.00017616494362022151
KOSDAQ,YTD_2026,P90_95,13,-0.03432197592783896
KOSDAQ,YTD_2026,P95_99,12,-0.005806978882354527
KOSDAQ,YTD_2026,P99_100,8,-0.11241876252223745
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P00_20,25,0.006649287512629955
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P20_50,25,0.016742993693930744
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P50_70,25,0.01675895155987618
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P70_90,25,0.023568196046944635
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P90_95,25,0.02255714122445282
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P95_99,25,0.013741906940240531
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,P99_100,18,-0.03447586579516937
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P00_20,96,-0.0041375805639891905
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P20_50,96,0.0005652641423930646
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P50_70,96,-0.0018086918178057494
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P70_90,96,0.0008112193454491557
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P90_95,96,0.0017844049644817435
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P95_99,95,-0.0009076635453932071
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,P99_100,51,-0.003016135502328366
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P00_20,75,0.0029784860036181616
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P20_50,75,0.004342301239814211
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P50_70,75,0.006248737997990153
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P70_90,75,0.0024566039682587483
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P90_95,75,0.009367699012409712
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P95_99,75,-0.002546635908304513
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,P99_100,59,-0.003485195628270391
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P00_20,48,-0.0025885255470003
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P20_50,48,0.003319168266287843
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P50_70,48,0.0031250198571981
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P70_90,48,0.003946640344063969
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P90_95,48,-0.0005785042906559157
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P95_99,48,0.0015220220373745972
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,P99_100,37,-0.009303041624365871
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P00_20,13,-0.02930684903719936
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P20_50,13,-0.002670790408575437
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P50_70,13,0.00571175639936881
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P70_90,13,-0.003161823319515699
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P90_95,13,-0.02295817250089603
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P95_99,13,-0.0015841192501732894
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,P99_100,9,-0.10323068285983407
KOSPI_ALL,BULL_2025,P00_20,25,0.019257397636328402
