low_cut,universe,horizon,sample,combo_net30,top1_only_net30,low_only_net30,combo_minus_best_component
0.05,K200,5,EARLY_2016_2019,-9.029064556206747e-05,-4.792280616964991e-05,-6.30394506989878e-05,-4.236783939241756e-05
0.05,K200,5,LATE_2020_2022,-0.0004436937134429893,-0.00011553003903768166,-0.00013627340461373416,-0.00032816367440530766
0.05,K200,5,NORMAL_2023_2024,0.00014783748650643556,0.00021905556235661856,-0.0001909249115580302,-7.1218075850183e-05
0.05,K200,5,BULL_2025,0.0006829004335939555,0.00026832513752057693,0.0003768882736413221,0.0003060121599526334
0.05,K200,5,YTD_2026,0.001140147612096392,0.0003635030328803852,0.0007983985715623671,0.00034174904053402495
0.05,K200,10,EARLY_2016_2019,-8.659183794039753e-05,0.00011425276847998156,-0.00013707584409462423,-0.00020084460642037907
0.05,K200,10,LATE_2020_2022,-0.0006961077679246215,-0.00021321721439091052,-0.0002716079939634345,-0.000482890553533711
0.05,K200,10,NORMAL_2023_2024,0.0007571109533499871,0.00029045652978857203,0.0005844565051735872,0.0001726544481763999
0.05,K200,10,BULL_2025,0.0016597711080179767,0.0006773122748832167,0.0008892517130600782,0.0007705193949578985
0.05,K200,10,YTD_2026,0.00046704491093576476,-9.06778201618135e-05,5.641255434268088e-05,0.0004106323565930839
0.05,K200,20,EARLY_2016_2019,-0.00016887163368324923,0.00025887267942334516,-0.00023006883829969262,-0.0004277443131065944
0.05,K200,20,LATE_2020_2022,-0.0014917740054627155,-0.0008719729474730306,-0.00026919152404928417,-0.0012225824814134313
0.05,K200,20,NORMAL_2023_2024,0.00012578979676897527,0.0004758976947526222,-0.0005580532459783181,-0.00035010789798364697
0.05,K200,20,BULL_2025,0.0005458228183108943,-0.0005565308018096478,0.0009655390626641925,-0.0004197162443532982
0.05,K200,20,YTD_2026,0.001550417159955176,-0.0013652664850916216,0.0008843785849468646,0.0006660385750083113
0.05,KOSPI_EX_K200,5,EARLY_2016_2019,7.517467768130091e-05,1.4499351541277485e-05,9.060509741961886e-05,-1.5430419738317948e-05
0.05,KOSPI_EX_K200,5,LATE_2020_2022,0.00010957726042398207,9.156908148831565e-05,0.00010727035816368658,2.30690226029549e-06
0.05,KOSPI_EX_K200,5,NORMAL_2023_2024,0.0005654788728517812,0.00023511097869095777,0.0005622497050023189,3.2291678494622946e-06
0.05,KOSPI_EX_K200,5,BULL_2025,0.00021354859541081785,0.00016590814189909259,5.511068781976943e-05,4.764045351172527e-05
0.05,KOSPI_EX_K200,5,YTD_2026,0.0008689540807432684,0.0008236831765176075,0.0006959272374958707,4.527090422566096e-05
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,0.00020540993461721452,8.774507240121318e-05,0.00024043951809676358,-3.502958347954905e-05
0.05,KOSPI_EX_K200,10,LATE_2020_2022,0.0005243501356913759,0.0002678689990503217,0.00043102534026708754,9.332479542428838e-05
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,0.0007579856815158823,0.00044200459424202036,0.0009637669615842787,-0.00020578128006839636
0.05,KOSPI_EX_K200,10,BULL_2025,0.00038859540559791684,0.00021379324382077573,0.0002870828492064266,0.00010151255639149023
0.05,KOSPI_EX_K200,10,YTD_2026,0.002645130031022737,0.0028389057285671438,0.0019286877950735989,-0.00019377569754440655
0.05,KOSPI_EX_K200,20,EARLY_2016_2019,0.00013587012645080435,1.6695154794804743e-05,0.00026995039747244637,-0.00013408027102164202
0.05,KOSPI_EX_K200,20,LATE_2020_2022,0.00017968682362468047,-0.00012093187166829918,0.0006092024276044487,-0.0004295156039797682
0.05,KOSPI_EX_K200,20,NORMAL_2023_2024,0.0010463274525605892,0.0007572341531057826,0.0011998523395850434,-0.00015352488702445426
0.05,KOSPI_EX_K200,20,BULL_2025,0.00121633822534785,0.0008785922342663603,-2.02894491357129e-06,0.00033774599108148964
0.05,KOSPI_EX_K200,20,YTD_2026,0.00436677004537896,0.0040931064864277505,0.002815263124960178,0.0002736635589512095
0.05,KOSPI_ALL,5,EARLY_2016_2019,9.693200097563914e-05,4.296356210031307e-05,9.786901691089797e-05,-9.370159352588308e-07
0.05,KOSPI_ALL,5,LATE_2020_2022,7.86807330222723e-05,0.0001488199405672904,2.759415858858674e-06,-7.01392075450181e-05
0.05,KOSPI_ALL,5,NORMAL_2023_2024,0.00024395682377126096,8.319117652896329e-05,0.0002876559480214931,-4.369912425023216e-05
0.05,KOSPI_ALL,5,BULL_2025,3.216009126701267e-05,0.00018966982635900054,-6.90996972025137e-05,-0.0001575097350919879
0.05,KOSPI_ALL,5,YTD_2026,0.0005780953636030439,7.733165954892628e-05,0.000586519684308582,-8.424320705538121e-06
0.05,KOSPI_ALL,10,EARLY_2016_2019,2.956902813374775e-05,-2.0432476162798132e-06,0.00011636902701540076,-8.679999888165302e-05
0.05,KOSPI_ALL,10,LATE_2020_2022,-6.947534475266303e-06,0.0001925984415009993,-6.929549812970616e-05,-0.0001995459759762656
0.05,KOSPI_ALL,10,NORMAL_2023_2024,0.0002200592986631746,3.5120609366154354e-05,0.00033823481375244165,-0.00011817551508926704
0.05,KOSPI_ALL,10,BULL_2025,0.0002850442928805722,0.00031246061539228696,8.045419167329787e-05,-2.741632251171476e-05
0.05,KOSPI_ALL,10,YTD_2026,0.0025710562843614857,0.0011676151326312782,0.0014092268170939714,0.0011618294672675143
0.05,KOSPI_ALL,20,EARLY_2016_2019,0.00023354713456906145,0.00019655893648403357,0.0004431581213081013,-0.00020961098673903984
0.05,KOSPI_ALL,20,LATE_2020_2022,-0.0001651287955773462,-5.581224209892054e-05,0.00022096552584921099,-0.00038609432142655716
0.05,KOSPI_ALL,20,NORMAL_2023_2024,-5.249915607997965e-05,0.00016657533263964163,0.00017960574320599016,-0.00023210489928596981
0.05,KOSPI_ALL,20,BULL_2025,0.0013100165663207826,0.0011887858912287554,0.0001893477411968609,0.00012123067509202715
0.05,KOSPI_ALL,20,YTD_2026,0.006485953704230476,0.0029332868931459303,0.003088747896129378,0.003397205808101098
0.05,KOSDAQ,5,EARLY_2016_2019,0.0002662312793992319,0.00024073802415289515,0.00019968788519511918,2.5493255246336757e-05
0.05,KOSDAQ,5,LATE_2020_2022,-0.0001956046497958236,-0.00014710243028952087,-0.00017944269935845126,-4.850221950630272e-05
0.05,KOSDAQ,5,NORMAL_2023_2024,0.00015780617146020934,-4.3222791909347566e-05,0.0003000383572477074,-0.00014223218578749807
0.05,KOSDAQ,5,BULL_2025,-0.00016095945965911363,-0.00010125233442256481,-5.4949981371112865e-05,-0.00010600947828800077
0.05,KOSDAQ,5,YTD_2026,0.000712517000691362,0.0008303171976614605,-0.00012797454052664844,-0.00011780019697009848
0.05,KOSDAQ,10,EARLY_2016_2019,0.0006826267994580986,0.00047126055225480513,0.000584670087269766,9.795671218833257e-05
0.05,KOSDAQ,10,LATE_2020_2022,-0.00035269937809608807,-0.0004208562790492416,-0.00013431227697610209,-0.00021838710111998598
0.05,KOSDAQ,10,NORMAL_2023_2024,0.0005268108702055148,0.00028826463124689367,0.00043917153910933365,8.763933109618116e-05
0.05,KOSDAQ,10,BULL_2025,0.00024047204288257324,6.568650802970699e-05,0.0002791288259920825,-3.865678310950929e-05
