strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_LOW05,K200,5,BULL_2025,49,0.0004427046001719344,0.02193877551020408,0.0004427046001719344,0.0003768882736413221,0.00031107194711070985
VETO_LOW05,K200,5,EARLY_2016_2019,192,1.7429299301012213e-05,0.02682291666666667,1.7429299301012213e-05,-6.30394506989878e-05,-0.0001435082006989878
VETO_LOW05,K200,5,LATE_2020_2022,149,-8.442776702984155e-05,0.017281879194630874,-8.442776702984155e-05,-0.00013627340461373416,-0.00018811904219762676
VETO_LOW05,K200,5,NORMAL_2023_2024,97,-0.00013641460227967965,0.018170103092783503,-0.00013641460227967965,-0.0001909249115580302,-0.00024543522083638066
VETO_LOW05,K200,5,YTD_2026,28,0.0008553182144195097,0.018973214285714277,0.0008553182144195097,0.0007983985715623671,0.0007414789287052241
VETO_LOW05,K200,10,BULL_2025,25,0.0009447517130600782,0.018500000000000006,0.0009447517130600782,0.0008892517130600782,0.000833751713060078
VETO_LOW05,K200,10,EARLY_2016_2019,96,-5.40680315946243e-05,0.027669270833333332,-5.40680315946243e-05,-0.00013707584409462423,-0.00022008365659462422
VETO_LOW05,K200,10,LATE_2020_2022,75,-0.00022660799396343457,0.015,-0.00022660799396343457,-0.0002716079939634345,-0.00031660799396343456
VETO_LOW05,K200,10,NORMAL_2023_2024,48,0.0006493002551735872,0.021614583333333336,0.0006493002551735872,0.0005844565051735872,0.0005196127551735873
VETO_LOW05,K200,10,YTD_2026,13,0.00011698947741960389,0.0201923076923077,0.00011698947741960389,5.641255434268088e-05,-4.164368734242252e-06
VETO_LOW05,K200,20,BULL_2025,12,0.0009749140626641924,0.003125000000000012,0.0009749140626641924,0.0009655390626641925,0.0009561640626641923
VETO_LOW05,K200,20,EARLY_2016_2019,48,-0.00014881883829969255,0.027083333333333338,-0.00014881883829969255,-0.00023006883829969262,-0.00031131883829969273
VETO_LOW05,K200,20,LATE_2020_2022,38,-0.0002479744187861263,0.007072368421052627,-0.0002479744187861263,-0.00026919152404928417,-0.00029040862931244187
VETO_LOW05,K200,20,NORMAL_2023_2024,24,-0.000509615745978318,0.016145833333333328,-0.000509615745978318,-0.0005580532459783181,-0.0006064907459783181
VETO_LOW05,K200,20,YTD_2026,6,0.0009125035849468647,0.009374999999999986,0.0009125035849468647,0.0008843785849468646,0.0008562535849468647
VETO_LOW05,KOSDAQ,5,BULL_2025,49,-5.456732830988837e-05,0.00012755102040816339,-5.456732830988837e-05,-5.4949981371112865e-05,-5.5332634432337345e-05
VETO_LOW05,KOSDAQ,5,EARLY_2016_2019,192,0.00021775429144511917,0.006022135416666669,0.00021775429144511917,0.00019968788519511918,0.00018162147894511913
VETO_LOW05,KOSDAQ,5,LATE_2020_2022,149,-0.00016685880674100156,0.004194630872483221,-0.00016685880674100156,-0.00017944269935845126,-0.00019202659197590092
VETO_LOW05,KOSDAQ,5,NORMAL_2023_2024,97,0.00030661052219616095,0.002190721649484533,0.00030661052219616095,0.0003000383572477074,0.00029346619229925376
VETO_LOW05,KOSDAQ,5,YTD_2026,28,-0.00012127811195521982,0.0022321428571428622,-0.00012127811195521982,-0.00012797454052664844,-0.00013467096909807702
VETO_LOW05,KOSDAQ,10,BULL_2025,25,0.0002798788259920825,0.00024999999999999914,0.0002798788259920825,0.0002791288259920825,0.0002783788259920825
VETO_LOW05,KOSDAQ,10,EARLY_2016_2019,96,0.0006086935247697659,0.008007812500000001,0.0006086935247697659,0.000584670087269766,0.000560646649769766
VETO_LOW05,KOSDAQ,10,LATE_2020_2022,75,-0.0001235622769761021,0.0035833333333333346,-0.0001235622769761021,-0.00013431227697610209,-0.0001450622769761021
VETO_LOW05,KOSDAQ,10,NORMAL_2023_2024,48,0.0004477652891093336,0.002864583333333335,0.0004477652891093336,0.00043917153910933365,0.00043057778910933356
VETO_LOW05,KOSDAQ,10,YTD_2026,13,0.0002417002540320324,0.0004807692307692376,0.0002417002540320324,0.00024025794633972472,0.00023881563864741696
VETO_LOW05,KOSDAQ,20,BULL_2025,12,-0.00012747544921725375,0.0,-0.00012747544921725375,-0.00012747544921725375,-0.00012747544921725375
VETO_LOW05,KOSDAQ,20,EARLY_2016_2019,48,0.0011027477902397242,0.0067708333333333336,0.0011027477902397242,0.001082435290239724,0.0010621227902397241
VETO_LOW05,KOSDAQ,20,LATE_2020_2022,38,-7.352684578451447e-05,0.0018092105263157801,-7.352684578451447e-05,-7.89544773634618e-05,-8.43821089424092e-05
VETO_LOW05,KOSDAQ,20,NORMAL_2023_2024,24,-4.777785437486571e-05,0.000260416666666675,-4.777785437486571e-05,-4.855910437486573e-05,-4.9340354374865754e-05
VETO_LOW05,KOSDAQ,20,YTD_2026,6,0.00021143078753572847,-0.002083333333333326,0.00021143078753572847,0.0002176807875357285,0.0002239307875357284
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,0.00012816155730197007,0.00038265306122449184,0.00012816155730197007,0.00012701359811829657,0.0001258656389346231
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,0.0003345196361337988,0.0063802083333333315,0.0003345196361337988,0.0003153790111337988,0.00029623838613379886
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-1.3704685578996744e-05,0.003187919463087249,-1.3704685578996744e-05,-2.326844396825853e-05,-3.283220235752027e-05
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0005412817414072183,0.003350515463917523,0.0005412817414072183,0.0005312301950154658,0.0005211786486237133
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.000314728067821152,0.004017857142857147,-0.000314728067821152,-0.00032678163924972325,-0.00033883521067829464
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,-0.00012418103932879156,0.0010000000000000009,-0.00012418103932879156,-0.00012718103932879153,-0.00013018103932879155
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,0.0007009650690490513,0.007812500000000002,0.0007009650690490513,0.0006775275690490513,0.0006540900690490515
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-7.19202965159439e-05,0.0026666666666666705,-7.19202965159439e-05,-7.992029651594391e-05,-8.792029651594393e-05
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0011393131811143868,0.0022135416666666657,0.0011393131811143868,0.001132672556114387,0.0011260319311143868
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.0008877328543267456,0.007692307692307691,0.0008877328543267456,0.0008646559312498226,0.0008415790081728995
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,-0.0007658393289656484,0.0,-0.0007658393289656484,-0.0007658393289656484,-0.0007658393289656484
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0011642446923414349,0.006901041666666674,0.0011642446923414349,0.0011435415673414348,0.0011228384423414347
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,0.0001104977532021747,0.0009868421052631545,0.0001104977532021747,0.00010753722688638527,0.00010457670057059574
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.0012357164654338447,-0.0015624999999999944,0.0012357164654338447,0.0012404039654338448,0.0012450914654338445
VETO_LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,6,0.0022331486161450875,0.0010416666666666445,0.0022331486161450875,0.002230023616145088,0.0022268986161450874
VETO_LOW05,KOSPI_ALL,5,BULL_2025,49,-6.106398291679938e-05,0.0026785714285714316,-6.106398291679938e-05,-6.90996972025137e-05,-7.713541148822797e-05
VETO_LOW05,KOSPI_ALL,5,EARLY_2016_2019,192,0.00012072057941089799,0.0076171875,0.00012072057941089799,9.786901691089797e-05,7.501745441089799e-05
VETO_LOW05,KOSPI_ALL,5,LATE_2020_2022,149,1.0183912503153978e-05,0.002474832214765103,1.0183912503153978e-05,2.759415858858674e-06,-4.665080785436636e-06
VETO_LOW05,KOSPI_ALL,5,NORMAL_2023_2024,97,0.0002979007933823177,0.0034149484536082427,0.0002979007933823177,0.0002876559480214931,0.0002774111026606683
VETO_LOW05,KOSPI_ALL,5,YTD_2026,28,0.0006019214700228677,0.005133928571428575,0.0006019214700228677,0.000586519684308582,0.0005711178985942963
VETO_LOW05,KOSPI_ALL,10,BULL_2025,25,7.820419167329788e-05,-0.0007499999999999973,7.820419167329788e-05,8.045419167329787e-05,8.270419167329787e-05
VETO_LOW05,KOSPI_ALL,10,EARLY_2016_2019,96,0.00014722840201540077,0.010286458333333331,0.00014722840201540077,0.00011636902701540076,8.55096520154008e-05
