universe,horizon,topn,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
K200,5,10,BULL_2025,49,0.002246233162185248,0.050765306122448985,0.002246233162185248,0.002093937243817901,0.0019416413254505541
K200,5,10,EARLY_2016_2019,196,-0.000275070392666501,0.029272959183673473,-0.000275070392666501,-0.0003628892702175215,-0.0004507081477685418
K200,5,10,LATE_2020_2022,149,0.0010830650888168155,0.0398489932885906,0.0010830650888168155,0.0009635181089510438,0.000843971129085272
K200,5,10,NORMAL_2023_2024,97,0.00022683567139572826,0.05154639175257732,0.00022683567139572826,7.21964961379958e-05,-8.244267911973604e-05
K200,5,10,YTD_2026,28,0.003966115270477195,0.03303571428571429,0.003966115270477195,0.003867008127620053,0.00376790098476291
K200,5,20,BULL_2025,49,0.0010608893664213188,0.015561224489795912,0.0010608893664213188,0.0010142056929519309,0.0009675220194825432
K200,5,20,EARLY_2016_2019,196,7.230760599909891e-05,0.008577806122448977,7.230760599909891e-05,4.6574187631752005e-05,2.0840769264405076e-05
K200,5,20,LATE_2020_2022,149,4.8147068631967824e-05,0.01556208053691275,4.8147068631967824e-05,1.460827021229539e-06,-4.522541458950866e-05
K200,5,20,NORMAL_2023_2024,97,0.0004621484727523337,0.014368556701030925,0.0004621484727523337,0.00041904280264924086,0.00037593713254614817
K200,5,20,YTD_2026,28,0.00189751533755529,0.01629464285714285,0.00189751533755529,0.0018486314089838612,0.001799747480412433
K200,10,10,BULL_2025,25,0.0009075177981243079,0.0575,0.0009075177981243079,0.0007350177981243078,0.0005625177981243079
K200,10,10,EARLY_2016_2019,98,-0.0010861248266312974,0.033290816326530616,-0.0010861248266312974,-0.001185997275610889,-0.0012858697245904807
K200,10,10,LATE_2020_2022,75,0.0018230783377158326,0.042333333333333334,0.0018230783377158326,0.0016960783377158318,0.0015690783377158323
K200,10,10,NORMAL_2023_2024,48,0.0009026606577637991,0.053125,0.0009026606577637991,0.0007432856577637989,0.0005839106577637993
K200,10,10,YTD_2026,13,0.007830679228339951,0.031730769230769236,0.007830679228339951,0.007735486920647642,0.007640294612955335
K200,10,20,BULL_2025,25,0.002455605062629791,0.024,0.002455605062629791,0.0023836050626297907,0.002311605062629791
K200,10,20,EARLY_2016_2019,98,0.0002699296944752257,0.009247448979591837,0.0002699296944752257,0.00024218734753645018,0.0002144450005976748
K200,10,20,LATE_2020_2022,75,-8.292539804349478e-05,0.016583333333333332,-8.292539804349478e-05,-0.0001326753980434948,-0.00018242539804349481
K200,10,20,NORMAL_2023_2024,48,0.0007412773950016406,0.012760416666666663,0.0007412773950016406,0.0007029961450016406,0.0006647148950016405
K200,10,20,YTD_2026,13,0.002800941058417827,0.026442307692307692,0.002800941058417827,0.0027216141353409032,0.00264228721226398
K200,20,10,BULL_2025,12,0.0002232465487987511,0.06354166666666668,0.0002232465487987511,3.2621548798750406e-05,-0.00015800345120124942
K200,20,10,EARLY_2016_2019,49,-0.0015968364345571122,0.034948979591836744,-0.0015968364345571122,-0.0017016833733326225,-0.0018065303121081325
K200,20,10,LATE_2020_2022,38,0.002612326268208568,0.06644736842105266,0.002612326268208568,0.0024129841629454097,0.002213642057682252
K200,20,10,NORMAL_2023_2024,24,0.0021826435214174953,0.06406250000000001,0.0021826435214174953,0.0019904560214174948,0.001798268521417495
K200,20,10,YTD_2026,6,0.01592496353472544,0.025000000000000005,0.01592496353472544,0.01584996353472544,0.015774963534725437
K200,20,20,BULL_2025,12,0.003886932914535782,0.029687500000000006,0.003886932914535782,0.003797870414535782,0.003708807914535782
K200,20,20,EARLY_2016_2019,49,0.00023450487352577967,0.009821428571428568,0.00023450487352577967,0.0002050405878114939,0.0001755763020972082
K200,20,20,LATE_2020_2022,38,0.0012921627443523418,0.016611842105263154,0.0012921627443523418,0.0012423272180365525,0.001192491691720763
K200,20,20,NORMAL_2023_2024,24,-0.0006674334150187076,0.01927083333333333,-0.0006674334150187076,-0.0007252459150187077,-0.0007830584150187078
K200,20,20,YTD_2026,6,0.003196239881105555,0.02708333333333333,0.003196239881105555,0.003114989881105555,0.003033739881105555
KOSDAQ,5,10,BULL_2025,49,0.0018204987475705654,0.056632653061224496,0.0018204987475705654,0.0016506007883868915,0.0014807028292032182
KOSDAQ,5,10,EARLY_2016_2019,196,0.0006207383186180558,0.032525510204081634,0.0006207383186180558,0.0005231617880058108,0.00042558525739356607
KOSDAQ,5,10,LATE_2020_2022,149,2.2905863590911667e-05,0.0578020134228188,2.2905863590911667e-05,-0.00015050017667754442,-0.0003239062169460009
KOSDAQ,5,10,NORMAL_2023_2024,97,0.00029015755198016696,0.06301546391752577,0.00029015755198016696,0.00010111116022758961,-8.793523152498753e-05
KOSDAQ,5,10,YTD_2026,28,0.004032532598989043,0.07187500000000001,0.004032532598989043,0.0038169075989890437,0.0036012825989890436
KOSDAQ,5,20,BULL_2025,49,-0.00010252449372641467,0.030229591836734692,-0.00010252449372641467,-0.0001932132692366186,-0.0002839020447468227
KOSDAQ,5,20,EARLY_2016_2019,196,0.0006178464544308569,0.011192602040816329,0.0006178464544308569,0.000584268648308408,0.0005506908421859589
KOSDAQ,5,20,LATE_2020_2022,149,0.0007317299342450804,0.02642617449664429,0.0007317299342450804,0.0006524514107551474,0.0005731728872652146
KOSDAQ,5,20,NORMAL_2023_2024,97,0.00023004221445556804,0.028286082474226797,0.00023004221445556804,0.0001451839670328877,6.032571961020718e-05
KOSDAQ,5,20,YTD_2026,28,0.0019398362977283636,0.03816964285714285,0.0019398362977283636,0.0018253273691569347,0.0017108184405855065
KOSDAQ,10,10,BULL_2025,25,0.0022481687321244882,0.07150000000000001,0.0022481687321244882,0.0020336687321244884,0.0018191687321244888
KOSDAQ,10,10,EARLY_2016_2019,98,0.0009239260449149426,0.03903061224489796,0.0009239260449149426,0.0008068342081802486,0.0006897423714455549
KOSDAQ,10,10,LATE_2020_2022,75,0.0009876091219925014,0.06383333333333334,0.0009876091219925014,0.0007961091219925011,0.0006046091219925013
KOSDAQ,10,10,NORMAL_2023_2024,48,-0.0016678908047154644,0.06796875000000001,-0.0016678908047154644,-0.0018717970547154645,-0.002075703304715465
KOSDAQ,10,10,YTD_2026,13,0.013007753291474465,0.07788461538461539,0.013007753291474465,0.012774099445320618,0.012540445599166773
KOSDAQ,10,20,BULL_2025,25,0.0004258316793954901,0.03325,0.0004258316793954901,0.0003260816793954903,0.0002263316793954903
KOSDAQ,10,20,EARLY_2016_2019,98,0.00042511091161576505,0.011415816326530612,0.00042511091161576505,0.0003908634626361732,0.0003566160136565814
KOSDAQ,10,20,LATE_2020_2022,75,0.0006616980117050663,0.03108333333333333,0.0006616980117050663,0.0005684480117050664,0.00047519801170506636
KOSDAQ,10,20,NORMAL_2023_2024,48,0.0004842006387000277,0.03515625000000001,0.0004842006387000277,0.00037873188870002784,0.00027326313870002774
KOSDAQ,10,20,YTD_2026,13,0.0054127858391999845,0.052403846153846155,0.0054127858391999845,0.005255574300738446,0.005098362762276908
KOSDAQ,20,10,BULL_2025,12,0.015415899065764183,0.08125,0.015415899065764183,0.015172149065764183,0.01492839906576418
KOSDAQ,20,10,EARLY_2016_2019,49,-0.0003421441684865255,0.03801020408163266,-0.0003421441684865255,-0.0004561747807314239,-0.0005702053929763216
KOSDAQ,20,10,LATE_2020_2022,38,0.0018569940277215913,0.07368421052631578,0.0018569940277215913,0.0016359413961426431,0.0014148887645636958
KOSDAQ,20,10,NORMAL_2023_2024,24,0.0017426952277667818,0.08281250000000001,0.0017426952277667818,0.0014942577277667834,0.0012458202277667826
KOSDAQ,20,10,YTD_2026,6,0.020306060074132885,0.09583333333333334,0.020306060074132885,0.020018560074132885,0.01973106007413289
KOSDAQ,20,20,BULL_2025,12,0.0025793644451458228,0.0359375,0.0025793644451458228,0.0024715519451458216,0.002363739445145822
KOSDAQ,20,20,EARLY_2016_2019,49,0.0002306257374751382,0.013392857142857142,0.0002306257374751382,0.00019044716604656685,0.00015026859461799547
KOSDAQ,20,20,LATE_2020_2022,38,-8.203590477164128e-05,0.030592105263157896,-8.203590477164128e-05,-0.00017381222056111546,-0.00026558853635058887
KOSDAQ,20,20,NORMAL_2023_2024,24,0.002417535936622079,0.032031250000000004,0.002417535936622079,0.0023214421866220793,0.002225348436622079
KOSDAQ,20,20,YTD_2026,6,0.008040498502784392,0.06145833333333333,0.008040498502784392,0.007856123502784392,0.007671748502784392
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,BULL_2025,49,0.0034115783165566335,0.08163265306122448,0.0034115783165566335,0.00316668035737296,0.0029217823981892857
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,EARLY_2016_2019,196,0.0019143979859616946,0.053826530612244905,0.0019143979859616946,0.0017529183941249595,0.0015914388022882251
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,LATE_2020_2022,149,0.0010814096471948558,0.09093959731543624,0.0010814096471948558,0.0008085908552485468,0.0005357720633022381
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,NORMAL_2023_2024,97,-0.0002561576583332526,0.09458762886597939,-0.0002561576583332526,-0.0005399205449311909,-0.0008236834315291291
KOSDAQ_PLUS_KOSPI_EX_K200,5,10,YTD_2026,28,0.003802700299198789,0.09464285714285713,0.003802700299198789,0.003518771727770217,0.003234843156341647
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,BULL_2025,49,0.0012933354736465081,0.04630102040816327,0.0012933354736465081,0.0011544324124220188,0.0010155293511975288
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,EARLY_2016_2019,196,0.0007930911673799032,0.027391581632653064,0.0007930911673799032,0.0007109164224819439,0.000628741677583985
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,LATE_2020_2022,149,0.0014141093618072573,0.053691275167785234,0.0014141093618072573,0.0012530355363039015,0.0010919617108005458
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,NORMAL_2023_2024,97,0.0008742454390645693,0.042654639175257726,0.0008742454390645693,0.0007462815215387958,0.0006183176040130226
KOSDAQ_PLUS_KOSPI_EX_K200,5,20,YTD_2026,28,0.0016171704220422545,0.06116071428571429,0.0016171704220422545,0.001433688279185112,0.001250206136327969
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,BULL_2025,25,0.0049583734244926835,0.091,0.0049583734244926835,0.004685373424492682,0.004412373424492683
KOSDAQ_PLUS_KOSPI_EX_K200,10,10,EARLY_2016_2019,98,0.0021368252490318574,0.06607142857142857,0.0021368252490318574,0.0019386109633175719,0.0017403966776032864
