date,universe,factor,family,horizon,topn,strategy,gross,turnover,sample
2016-01-04,K200,OP12_REV,REVISION,5,10,BASE,0.008968746097589813,1.0,EARLY_2016_2019
2016-01-04,K200,OP12_REV,REVISION,5,10,CROSS_FAMILY_W20,0.007636785911207203,1.0,EARLY_2016_2019
2016-01-04,K200,OP12_REV,REVISION,5,20,BASE,0.01954752820420625,1.0,EARLY_2016_2019
2016-01-04,K200,OP12_REV,REVISION,5,20,CROSS_FAMILY_W20,0.03241345878647049,1.0,EARLY_2016_2019
2016-01-04,K200,OPFY1_REV,REVISION,5,10,BASE,-0.026683621973804937,1.0,EARLY_2016_2019
2016-01-04,K200,OPFY1_REV,REVISION,5,10,CROSS_FAMILY_W20,-0.010510531519646255,1.0,EARLY_2016_2019
2016-01-04,K200,OPFY1_REV,REVISION,5,20,BASE,-0.029900907058820463,1.0,EARLY_2016_2019
2016-01-04,K200,OPFY1_REV,REVISION,5,20,CROSS_FAMILY_W20,-0.01886267779347445,1.0,EARLY_2016_2019
2016-01-04,K200,PBR12MF,VALUE,5,10,BASE,-0.05704333930546943,1.0,EARLY_2016_2019
2016-01-04,K200,PBR12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.04935493496591488,1.0,EARLY_2016_2019
2016-01-04,K200,PBR12MF,VALUE,5,20,BASE,-0.03369613479925837,1.0,EARLY_2016_2019
2016-01-04,K200,PBR12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.03272215070886924,1.0,EARLY_2016_2019
2016-01-04,K200,PER12MF,VALUE,5,10,BASE,-0.02217194037828026,1.0,EARLY_2016_2019
2016-01-04,K200,PER12MF,VALUE,5,10,CROSS_FAMILY_W20,-0.02852380280668676,1.0,EARLY_2016_2019
2016-01-04,K200,PER12MF,VALUE,5,20,BASE,-0.019291581160532412,1.0,EARLY_2016_2019
2016-01-04,K200,PER12MF,VALUE,5,20,CROSS_FAMILY_W20,-0.01304158274173238,1.0,EARLY_2016_2019
2016-01-04,K200,MOM1M,MOMENTUM,5,10,BASE,0.03435406401809782,1.0,EARLY_2016_2019
2016-01-04,K200,MOM1M,MOMENTUM,5,10,CROSS_FAMILY_W20,0.0478882915589964,1.0,EARLY_2016_2019
2016-01-04,K200,MOM1M,MOMENTUM,5,20,BASE,0.02057321369987183,1.0,EARLY_2016_2019
2016-01-04,K200,MOM1M,MOMENTUM,5,20,CROSS_FAMILY_W20,0.014454514922972747,1.0,EARLY_2016_2019
